Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count
0, directional, StraightLine, 104.32, 0, 0.1500001, 0, 0, False, 0
1, directional, StraightLine, 104.34, 0, 0.1468759, 0, 0, False, 0
2, directional, StraightLine, 104.36, -2.099675E-05, 0.1420558, -1.090458E-05, 0, False, 0
3, directional, StraightLine, 104.38, -6.748582E-05, 0.1362919, -3.47941E-05, 0, False, 0
4, directional, StraightLine, 104.4, -0.00013714, 0.129647, -7.023925E-05, 0, False, 0
5, directional, StraightLine, 104.42, -0.0002277325, 0.122183, -0.0001158943, 0, False, 0
6, directional, StraightLine, 104.44, -0.000337138, 0.1139609, -0.000170496, 0, False, 0
7, directional, StraightLine, 104.46, -0.000463334, 0.1050401, -0.0002328613, 0, False, 0
8, directional, StraightLine, 104.48, -0.0006044013, 0.09547901, -0.0003018865, 0, False, 0
9, directional, StraightLine, 104.5, -0.0007585241, 0.08533448, -0.0003765448, 0, False, 0
10, directional, StraightLine, 104.52, -0.0009239897, 0.07466185, -0.0004558842, 0, False, 0
11, directional, StraightLine, 104.54, -0.001099188, 0.06351507, -0.0005390256, 0, False, 0
12, directional, StraightLine, 104.56, -0.00128261, 0.05270332, -0.0006251603, 0, False, 0
13, directional, StraightLine, 104.58, -0.001464721, 0.05054039, -0.0007105082, 0, False, 0
14, directional, StraightLine, 104.6, -0.001643618, 0.05010802, -0.0007943182, 0, False, 0
15, directional, StraightLine, 104.62, -0.00181902, 0.05002159, -0.0008764845, 0, False, 0
16, directional, StraightLine, 104.64, -0.00199093, 0.0500043, -0.0009570136, 0, False, 0
17, directional, StraightLine, 104.66, -0.002159405, 0.05000085, -0.001035933, 0, False, 0
18, directional, StraightLine, 104.68, -0.00232451, 0.05000013, -0.001113274, 0, False, 0
19, directional, StraightLine, 104.7, -0.002486313, 0.05000001, -0.001189068, 0, False, 0
20, directional, StraightLine, 104.72, -0.002644879, 0.04999995, -0.001263345, 0, False, 0
21, directional, StraightLine, 104.74, -0.002800273, 0.04999995, -0.001336137, 0, False, 0
22, directional, StraightLine, 104.76, -0.002952559, 0.04999995, -0.001407473, 0, False, 0
23, directional, StraightLine, 104.78, -0.003101798, 0.04999995, -0.001477381, 0, False, 0
24, directional, StraightLine, 104.8, -0.003248052, 0.05000001, -0.001545891, 0, False, 0
25, directional, StraightLine, 104.82, -0.003391381, 0.05000001, -0.001613031, 0, False, 0
26, directional, StraightLine, 104.84, -0.003531843, 0.05000001, -0.001678828, 0, False, 0
27, directional, StraightLine, 104.86, -0.003669496, 0.05000001, -0.001743309, 0, False, 0
28, directional, StraightLine, 104.88, -0.003804396, 0.05000001, -0.0018065, 0, False, 0
29, directional, StraightLine, 104.9, -0.003936598, 0.05000001, -0.001868427, 0, False, 0
30, directional, StraightLine, 104.92, -0.004066155, 0.05000001, -0.001929116, 0, False, 0
31, directional, StraightLine, 104.94, -0.004193122, 0.05000001, -0.001988591, 0, False, 0
32, directional, StraightLine, 104.96, -0.004317549, 0.05000001, -0.002046877, 0, False, 0
33, directional, StraightLine, 104.98, -0.004439487, 0.05000001, -0.002103996, 0, False, 0
34, directional, StraightLine, 105, -0.004558986, 0.05000001, -0.002159974, 0, False, 0
35, directional, StraightLine, 105.02, -0.004676095, 0.05000001, -0.002214831, 0, False, 0
36, directional, StraightLine, 105.04, -0.004790862, 0.05000001, -0.002268592, 0, False, 0
