Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count, RMSE Distance, Sway V X, Sway V Y, Sway V Z, Sway V Magnitude
0, combined, FreeMode, 74.68, 0, 0.1671875, 0, 0, False, 0, 0,0,0,0,0
1, combined, FreeMode, 74.7, 0, 0.1671875, 0, 0, False, 0, 0,0.01786651,0.0850701,0.05163821,0.1011071
2, combined, FreeMode, 74.72, 0, 0.1671875, 0, 0, False, 0, 0,0.03664903,0.194365,0.1210908,0.2319135
3, combined, FreeMode, 74.74, 0, 0.1671875, 0, 0, False, 0, 0,0.01873092,0.1058756,0.06524228,0.1257658
4, combined, FreeMode, 74.76, 0, 0.1671875, 0, 0, False, 0, 0,0.04639677,0.2253766,0.1433007,0.2710763
5, combined, FreeMode, 74.78, 0, 0.1671875, 0, 0, False, 0, 0,0.02596218,0.1219477,0.07120374,0.1435801
6, combined, FreeMode, 74.8, 0, 0.1671875, 0, 0, False, 0, 0,0.04336519,0.2607664,0.1652995,0.3117749
7, combined, FreeMode, 74.82, 0, 0.1671875, 0, 0, False, 0, 0,0.02981681,0.1306732,0.08143831,0.1568334
8, combined, FreeMode, 74.84, 0, 0.1671875, 0, 0, False, 0, 0,0.06681908,0.2592045,0.1633859,0.3136028
9, combined, FreeMode, 74.86, 0, 0.1671875, 0, 0, False, 0, 0,0.03645833,0.1329734,0.0852522,0.1621082
10, combined, FreeMode, 74.88, 0, 0.1671875, 0, 0, False, 0, 0,0.0352576,0.1363745,0.08409839,0.1640538
11, combined, FreeMode, 74.9, 0, 0.1671875, 0, 0, False, 0, 0,0.07774063,0.2828113,0.181082,0.3446977
12, combined, FreeMode, 74.92, 0, 0.1671875, 0, 0, False, 0, 0,0.04129656,0.1352537,0.09767264,0.1718689
13, combined, FreeMode, 74.93999, 0, 0.1671875, 0, 0, False, 0, 0,0.04091055,0.1335607,0.0969215,0.1700173
14, combined, FreeMode, 74.96, 0, 0.1671875, 0, 0, False, 0, 0,0.09541187,0.2652436,0.2088101,0.350798
15, combined, FreeMode, 74.98, 0, 0.1671875, 0, 0, False, 0, 0,0.1127693,0.2626502,0.2437822,0.3756751
16, combined, FreeMode, 75, 0, 0.1671875, 0, 0, False, 0, 0,0.06757426,0.1266209,0.1315194,0.1946702
17, combined, FreeMode, 75.02, 0, 0.1671875, 0, 0, False, 0, 0,0.1447667,0.255413,0.2904783,0.4130023
18, combined, FreeMode, 75.04, 0, 0.1671875, 0, 0, False, 0, 0,0.07313865,0.1353571,0.1523765,0.2165396
19, combined, FreeMode, 75.06, 0, 0.1671875, 0, 0, False, 0, 0,0.0776451,0.1311403,0.1535077,0.2163126
20, combined, FreeMode, 75.08, 0, 0.1671875, 0, 0, False, 0, 0,0.1818522,0.2180587,0.3479334,0.4490851
21, combined, FreeMode, 75.1, 0, 0.1671875, 0, 0, False, 0, 0,0.1022138,0.0856424,0.182701,0.2261901
22, combined, FreeMode, 75.12, 0, 0.1671875, 0, 0, False, 0, 0,0.2146522,0.1549862,0.3927234,0.4736328
23, combined, FreeMode, 75.14, 0, 0.1671875, 0, 0, False, 0, 0,0.09756909,0.05992563,0.1932804,0.2246511
24, combined, FreeMode, 75.16, 0, 0.1671875, 0, 0, False, 0, 0,0.2296818,0.1196466,0.4525825,0.5214403
