Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count, RMSE Distance, Sway V X, Sway V Y, Sway V Z, Sway V Magnitude
0, directional, FreeMode, 98.9, 0, 0.1671875, 0, 0, False, 0, 0,0,0,0,0
1, directional, FreeMode, 98.92, 0, 0.1671875, 0, 0, False, 0, 0,-0.001792165,-0.002348817,-0.004641001,0.005501607
2, directional, FreeMode, 98.93999, 0, 0.1671875, 0, 0, False, 0, 0,-0.003838438,-0.006927222,-0.009572622,0.01242397
3, directional, FreeMode, 98.96, 0, 0.1671875, 0, 0, False, 0, 0,-0.002759851,-0.002049962,-0.002100615,0.004028859
4, directional, FreeMode, 98.98, 0, 0.1671875, 0, 0, False, 0, 0,-0.007258084,-0.001299599,-0.004828787,0.008813961
5, directional, FreeMode, 99, 0, 0.1671875, 0, 0, False, 0, 0,-0.001575834,-0.002181064,-0.006409111,0.006951042
6, directional, FreeMode, 99.02, 0, 0.1671875, 0, 0, False, 0, 0,-0.003304142,0.0001430752,-0.01205855,0.01250386
7, directional, FreeMode, 99.04, 0, 0.1671875, 0, 0, False, 0, 0,-0.003248132,0.003057065,-0.007088458,0.008375097
8, directional, FreeMode, 99.06, 0, 0.1671875, 0, 0, False, 0, 0,-0.006634365,0.003451688,-0.01309138,0.01507691
9, directional, FreeMode, 99.07999, 0, 0.1671875, 0, 0, False, 0, 0,-0.002376389,-0.0006259538,-0.005843726,0.006339415
10, directional, FreeMode, 99.1, 0, 0.1671875, 0, 0, False, 0, 0,-0.003310331,-0.001078614,-0.004969966,0.006068135
11, directional, FreeMode, 99.12, 0, 0.1671875, 0, 0, False, 0, 0,-0.009708246,-0.00134133,-0.006456267,0.01173595
12, directional, FreeMode, 99.14, 0, 0.1671875, 0, 0, False, 0, 0,-0.005059354,-0.0003992658,-0.002252574,0.005552527
13, directional, FreeMode, 99.16, 0, 0.1671875, 0, 0, False, 0, 0,-0.009586781,0.0003874952,-0.005526278,0.01107232
14, directional, FreeMode, 99.18, 0, 0.1671875, 0, 0, False, 0, 0,-0.006392722,0.0006376335,-0.001734125,0.006654372
15, directional, FreeMode, 99.2, 0, 0.1671875, 0, 0, False, 0, 0,-0.01872347,0.006527804,-0.00423413,0.02027581
16, directional, FreeMode, 99.22, 0, 0.1671875, 0, 0, False, 0, 0,-0.01061146,0.003480168,-8.491848E-05,0.01116789
17, directional, FreeMode, 99.24, 0, 0.1671875, 0, 0, False, 0, 0,-0.009115453,0.0007988364,0.001971754,0.009360419
18, directional, FreeMode, 99.25999, 0, 0.1671875, 0, 0, False, 0, 0,-0.01811577,-0.004411484,0.005137293,0.01933996
19, directional, FreeMode, 99.28, 0, 0.1671875, 0, 0, False, 0, 0,-0.0142123,-0.001632818,0.001515124,0.0143858
20, directional, FreeMode, 99.3, 0, 0.1671875, 0, 0, False, 0, 0,-0.02742386,-0.003392074,0.004359321,0.02797459
21, directional, FreeMode, 99.32, 0, 0.1671875, 0, 0, False, 0, 0,-0.01376163,-0.003116657,0.007490704,0.01597519
22, directional, FreeMode, 99.34, 0, 0.1671875, 0, 0, False, 0, 0,-0.0263534,-0.006468189,0.01068146,0.02916218
23, directional, FreeMode, 99.36, 0, 0.1671875, 0, 0, False, 0, 0,-0.01684812,-0.002103595,0.001707308,0.01706456
24, directional, FreeMode, 99.38, 0, 0.1671875, 0, 0, False, 0, 0,-0.03807811,-0.009305847,0.006214827,0.03968836
25, directional, FreeMode, 99.4, 0, 0.1671875, 0, 0, False, 0, 0,-0.01466557,-0.00471968,0.003919658,0.01589711
26, directional, FreeMode, 99.42, 0, 0.1671875, 0, 0, False, 0, 0,-0.01423002,-0.001806324,0.005951033,0.01552968
27, directional, FreeMode, 99.43999, 0, 0.1671875, 0, 0, False, 0, 0,-0.03034572,-0.001234023,0.0063892,0.03103558
