Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count, RMSE Distance, Sway V X, Sway V Y, Sway V Z, Sway V Magnitude
0, torque, RaceTrack, 37.04, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
1, torque, RaceTrack, 37.06, 0, 0.1671875, 0, 0, False, 0, 0.1671875,-0.003308613,-0.002652852,-0.00276612,0.005063197
2, torque, RaceTrack, 37.08, 0, 0.1671875, 0, 0, False, 0, 0.1671875,-0.002917581,-0.002694068,-0.004342099,0.005884225
3, torque, RaceTrack, 37.1, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0.0003218577,-0.00399342,-0.00509012,0.006477679
4, torque, RaceTrack, 37.12, 0, 0.1671875, 0, 0, False, 0, 0.1671875,-0.0005155684,-0.002735791,-0.001746376,0.003286364
5, torque, RaceTrack, 37.14, 0, 0.1671875, 0, 0, False, 0, 0.1671875,-0.004386801,-0.004976874,-0.001609289,0.006826647
6, torque, RaceTrack, 37.16, 0, 0.1671875, 0, 0, False, 0, 0.1671875,-0.004035142,-0.00308745,0.0009298112,0.005165198
7, torque, RaceTrack, 37.18, 0, 0.1671875, 0, 0, False, 0, 0.1671875,-0.008281875,-0.0007867633,0.00217552,0.008598915
8, torque, RaceTrack, 37.2, 0, 0.1671875, 0, 0, False, 0, 0.1671875,-0.003552356,0.001138423,0.0003844412,0.003750071
9, torque, RaceTrack, 37.22, 0, 0.1671875, 0, 0, False, 0, 0.1671875,-0.004649943,-0.0009955646,-0.0008375858,0.004828526
10, torque, RaceTrack, 37.24, 0, 0.1671875, 0, 0, False, 0, 0.1671875,-0.0102011,-0.009572287,9.536525E-05,0.01398929
11, torque, RaceTrack, 37.26, 0, 0.1671875, 0, 0, False, 0, 0.1671875,-0.006008011,-0.007390807,0.003778848,0.01024695
12, torque, RaceTrack, 37.28, 0, 0.1671875, 0, 0, False, 0, 0.1671875,-0.01747866,-0.01833397,0.01244516,0.02822269
13, torque, RaceTrack, 37.3, 0, 0.1671875, 0, 0, False, 0, 0.1671875,-0.00927427,-0.008797444,0.008186511,0.01517979
14, torque, RaceTrack, 37.32, 0, 0.1671875, 0, 0, False, 0, 0.1671875,-0.02486649,-0.01534784,0.01896278,0.03483512
15, torque, RaceTrack, 37.34, 0, 0.1671875, 0, 0, False, 0, 0.1671875,-0.02383237,-0.01068091,0.01653097,0.03090852
16, torque, RaceTrack, 37.36, 0, 0.1671875, 0, 0, False, 0, 0.1671875,-0.03926664,-0.01580679,0.03391129,0.05423743
17, torque, RaceTrack, 37.38, 0, 0.1671875, 0, 0, False, 0, 0.1671875,-0.02032174,-0.001800019,0.02270289,0.03052269
18, torque, RaceTrack, 37.4, 0, 0.1671875, 0, 0, False, 0, 0.1671875,-0.02263866,-0.006128386,0.02256414,0.03254546
19, torque, RaceTrack, 37.42, 0, 0.1671875, 0, 0, False, 0, 0.1671875,-0.03769609,-0.01662932,0.05905493,0.07200705
20, torque, RaceTrack, 37.44, 0, 0.1671875, 0, 0, False, 0, 0.1671875,-0.01628362,-0.008016641,0.03614343,0.04044466
21, torque, RaceTrack, 37.46, 0, 0.1671875, 0, 0, False, 0, 0.1671875,-0.04877038,-0.01854854,0.08193365,0.09713764
22, torque, RaceTrack, 37.48, 0, 0.1671875, 0, 0, False, 0, 0.1671875,-0.03295764,-0.0171121,0.0501502,0.0624025
23, torque, RaceTrack, 37.5, 0, 0.1671875, 0, 0, False, 0, 0.1671875,-0.09307052,-0.03486792,0.1403359,0.1719653
24, torque, RaceTrack, 37.52, 0, 0.1671875, 0, 0, False, 0, 0.1671875,-0.06430002,-0.007223918,0.08465454,0.1065508
25, torque, RaceTrack, 37.54, 0, 0.1671875, 0, 0, False, 0, 0.1671875,-0.07422695,-0.009703415,0.08167735,0.1107925
26, torque, RaceTrack, 37.56, 0, 0.1671875, 0, 0, False, 0, 0.1671875,-0.1742864,-0.02879388,0.2151672,0.2783914
27, torque, RaceTrack, 37.58, 0, 0.1671875, 0, 0, False, 0, 0.1671875,-0.09676593,-0.01683793,0.1357346,0.1675441
28, torque, RaceTrack, 37.6, 0, 0.1671875, 0, 0, False, 0, 0.1671875,-0.2455834,-0.05726087,0.3261194,0.4122425
29, torque, RaceTrack, 37.62, 0, 0.1671875, 0, 0, False, 0, 0.1671875,-0.1445976,-0.02669631,0.1940385,0.2434586
30, torque, RaceTrack, 37.64, 0, 0.1671875, 0, 0, False, 0, 0.1671875,-0.345848,-0.04011897,0.4698586,0.584797
