Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count, RMSE Distance, Sway V X, Sway V Y, Sway V Z, Sway V Magnitude
0, torque, FreeMode, 36.86, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
1, torque, FreeMode, 36.88, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
2, torque, FreeMode, 36.9, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
3, torque, FreeMode, 36.92, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
4, torque, FreeMode, 36.94, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
5, torque, FreeMode, 36.96, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
6, torque, FreeMode, 36.98, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
7, torque, FreeMode, 37, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
8, torque, FreeMode, 37.02, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
9, torque, FreeMode, 37.04, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
10, torque, FreeMode, 37.06, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
11, torque, FreeMode, 37.08, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
12, torque, FreeMode, 37.1, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
13, torque, FreeMode, 37.12, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
14, torque, FreeMode, 37.14, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
15, torque, FreeMode, 37.16, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
16, torque, FreeMode, 37.18, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
17, torque, FreeMode, 37.2, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
18, torque, FreeMode, 37.22, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
19, torque, FreeMode, 37.24, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
20, torque, FreeMode, 37.26, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
21, torque, FreeMode, 37.28, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
