Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count
0, torque, LeftCurve, 405.46, 0, 0.15, 0, 0, False, 0
1, torque, LeftCurve, 405.48, 0, 0.1468757, 0, 0, False, 0
2, torque, LeftCurve, 405.5, -2.08295E-05, 0.1420563, -1.137665E-05, 0, False, 0
3, torque, LeftCurve, 405.52, -6.674448E-05, 0.1362929, -3.691369E-05, 0, False, 0
4, torque, LeftCurve, 405.54, -0.0001352652, 0.1296484, -7.565712E-05, 0, False, 0
5, torque, LeftCurve, 405.56, -0.0002240344, 0.1221851, -0.0001266652, 0, False, 0
6, torque, LeftCurve, 405.58, -0.0003308174, 0.1139634, -0.0001890123, 0, False, 0
7, torque, LeftCurve, 405.6, -0.0004535011, 0.105043, -0.0002617922, 0, False, 0
8, torque, LeftCurve, 405.62, -0.0005900937, 0.09548229, -0.0003441212, 0, False, 0
9, torque, LeftCurve, 405.64, -0.0007387233, 0.08533806, -0.0004351412, 0, False, 0
10, torque, LeftCurve, 405.66, -0.0008976359, 0.07466573, -0.0005340215, 0, False, 0
11, torque, LeftCurve, 405.68, -0.001065194, 0.06351924, -0.0006399614, 0, False, 0
12, torque, LeftCurve, 405.7, -0.001239874, 0.05270422, -0.0007521916, 0, False, 0
13, torque, LeftCurve, 405.72, -0.001413166, 0.05054063, -0.0008638677, 0, False, 0
14, torque, LeftCurve, 405.74, -0.001583376, 0.05010808, -0.0009736189, 0, False, 0
15, torque, LeftCurve, 405.76, -0.001750258, 0.05002159, -0.001081235, 0, False, 0
16, torque, LeftCurve, 405.78, -0.001913817, 0.0500043, -0.001186711, 0, False, 0
17, torque, LeftCurve, 405.8, -0.002074108, 0.05000085, -0.00129008, 0, False, 0
18, torque, LeftCurve, 405.82, -0.002231193, 0.05000013, -0.001391381, 0, False, 0
19, torque, LeftCurve, 405.84, -0.002385136, 0.05000001, -0.001490657, 0, False, 0
20, torque, LeftCurve, 405.86, -0.002536, 0.04999995, -0.001587946, 0, False, 0
21, torque, LeftCurve, 405.88, -0.002683847, 0.04999995, -0.00168329, 0, False, 0
22, torque, LeftCurve, 405.9, -0.002828737, 0.04999995, -0.001776727, 0, False, 0
23, torque, LeftCurve, 405.92, -0.002970729, 0.04999995, -0.001868294, 0, False, 0
24, torque, LeftCurve, 405.94, -0.00310988, 0.05000001, -0.001958031, 0, False, 0
25, torque, LeftCurve, 405.96, -0.003246249, 0.05000001, -0.002045972, 0, False, 0
26, torque, LeftCurve, 405.98, -0.00337989, 0.05000001, -0.002132154, 0, False, 0
27, torque, LeftCurve, 406, -0.003510858, 0.05000001, -0.002216613, 0, False, 0
28, torque, LeftCurve, 406.02, -0.003639207, 0.05000001, -0.002299383, 0, False, 0
29, torque, LeftCurve, 406.04, -0.003764989, 0.05000001, -0.002380497, 0, False, 0
30, torque, LeftCurve, 406.06, -0.003888255, 0.05000001, -0.002459989, 0, False, 0
31, torque, LeftCurve, 406.08, -0.004009055, 0.05000001, -0.002537891, 0, False, 0
32, torque, LeftCurve, 406.1, -0.00412744, 0.05000001, -0.002614235, 0, False, 0
33, torque, LeftCurve, 406.12, -0.004243457, 0.05000001, -0.002689052, 0, False, 0
34, torque, LeftCurve, 406.14, -0.004357153, 0.05000001, -0.002762373, 0, False, 0
35, torque, LeftCurve, 406.16, -0.004468576, 0.05000001, -0.002834227, 0, False, 0
36, torque, LeftCurve, 406.18, -0.004577769, 0.05000001, -0.002904644, 0, False, 0
37, torque, LeftCurve, 406.2, -0.004684779, 0.05000001, -0.002973652, 0, False, 0
38, torque, LeftCurve, 406.22, -0.004789649, 0.05000001, -0.003041281, 0, False, 0
39, torque, LeftCurve, 406.24, -0.004892421, 0.05000001, -0.003107557, 0, False, 0
40, torque, LeftCurve, 406.26, -0.004993137, 0.05000001, -0.003172507, 0, False, 0
41, torque, LeftCurve, 406.28, -0.005091839, 0.05000001, -0.003236158, 0, False, 0
42, torque, LeftCurve, 406.3, -0.005188568, 0.05000001, -0.003298536, 0, False, 0
43, torque, LeftCurve, 406.32, -0.005283361, 0.05000001, -0.003359667, 0, False, 0
44, torque, LeftCurve, 406.34, -0.005376258, 0.05000001, -0.003419575, 0, False, 0
45, torque, LeftCurve, 406.36, -0.005467298, 0.05000001, -0.003478285, 0, False, 0
46, torque, LeftCurve, 406.38, -0.005556516, 0.05000001, -0.00353582, 0, False, 0
47, torque, LeftCurve, 406.4, -0.00564395, 0.05000001, -0.003592205, 0, False, 0
48, torque, LeftCurve, 406.42, -0.005729636, 0.05000001, -0.003647462, 0, False, 0
49, torque, LeftCurve, 406.44, -0.005813607, 0.05000001, -0.003701614, 0, False, 0
50, torque, LeftCurve, 406.46, -0.005895899, 0.05000001, -0.003754683, 0, False, 0
51, torque, LeftCurve, 406.48, -0.005976545, 0.05000001, -0.00380669, 0, False, 0
52, torque, LeftCurve, 406.5, -0.006055578, 0.05000001, -0.003857657, 0, False, 0
53, torque, LeftCurve, 406.52, -0.00613303, 0.05000001, -0.003907605, 0, False, 0
54, torque, LeftCurve, 406.54, -0.006208933, 0.05000001, -0.003956554, 0, False, 0
55, torque, LeftCurve, 406.56, -0.006283318, 0.05000001, -0.004004524, 0, False, 0
56, torque, LeftCurve, 406.58, -0.006356215, 0.05000001, -0.004051534, 0, False, 0
57, torque, LeftCurve, 406.6, -0.006427654, 0.05000001, -0.004097604, 0, False, 0
58, torque, LeftCurve, 406.62, -0.006497664, 0.05000001, -0.004142753, 0, False, 0
59, torque, LeftCurve, 406.64, -0.006566274, 0.05000001, -0.004186999, 0, False, 0
60, torque, LeftCurve, 406.66, -0.006633512, 0.05000001, -0.004230359, 0, False, 0
61, torque, LeftCurve, 406.68, -0.006699405, 0.05000001, -0.004272853, 0, False, 0
62, torque, LeftCurve, 406.7, -0.00676398, 0.05000001, -0.004314496, 0, False, 0
63, torque, LeftCurve, 406.72, -0.006827264, 0.05000001, -0.004355307, 0, False, 0
64, torque, LeftCurve, 406.74, -0.006889281, 0.05000001, -0.004395301, 0, False, 0
65, torque, LeftCurve, 406.76, -0.006950059, 0.05000001, -0.004434495, 0, False, 0
66, torque, LeftCurve, 406.78, -0.00700962, 0.05000001, -0.004472906, 0, False, 0
67, torque, LeftCurve, 406.8, -0.00706799, 0.05000001, -0.004510548, 0, False, 0
68, torque, LeftCurve, 406.82, -0.007125193, 0.05000001, -0.004547437, 0, False, 0
69, torque, LeftCurve, 406.84, -0.007181251, 0.05000001, -0.004583589, 0, False, 0
70, torque, LeftCurve, 406.86, -0.007236189, 0.05000001, -0.004619017, 0, False, 0
71, torque, LeftCurve, 406.88, -0.007290027, 0.05000001, -0.004653737, 0, False, 0
72, torque, LeftCurve, 406.9, -0.007342789, 0.05000001, -0.004687762, 0, False, 0
73, torque, LeftCurve, 406.92, -0.007394495, 0.05000001, -0.004721107, 0, False, 0
74, torque, LeftCurve, 406.94, -0.007445168, 0.05000001, -0.004753785, 0, False, 0
75, torque, LeftCurve, 406.96, -0.007494826, 0.05000001, -0.00478581, 0, False, 0
76, torque, LeftCurve, 406.98, -0.007543492, 0.05000001, -0.004817193, 0, False, 0
77, torque, LeftCurve, 407, -0.007591184, 0.05000001, -0.004847949, 0, False, 0
78, torque, LeftCurve, 407.02, -0.007637922, 0.05000001, -0.00487809, 0, False, 0
79, torque, LeftCurve, 407.04, -0.007683725, 0.05000001, -0.004907628, 0, False, 0
80, torque, LeftCurve, 407.06, -0.007728612, 0.05000001, -0.004936575, 0, False, 0
81, torque, LeftCurve, 407.08, -0.007772601, 0.05000001, -0.004964944, 0, False, 0
