Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count
0, torque, RaceTrack, 15.66, 0, 0.3171874, 0, 0, False, 0
1, torque, RaceTrack, 15.68, 0, 0.3182788, 0, 0, False, 0
2, torque, RaceTrack, 15.7, -0.0001153471, 0.3174959, -7.146678E-11, 0, False, 0
3, torque, RaceTrack, 15.72, -0.0005306989, 0.3165054, -3.740332E-10, 0, False, 0
4, torque, RaceTrack, 15.74, -0.001304039, 0.3153181, -1.017756E-09, 0, False, 0
5, torque, RaceTrack, 15.76, -0.002473426, 0.3139476, -2.038737E-09, 0, False, 0
6, torque, RaceTrack, 15.78, -0.004060966, 0.3124093, -3.486606E-09, 0, False, 0
7, torque, RaceTrack, 15.8, -0.006076044, 0.3107195, -5.376897E-09, 0, False, 0
8, torque, RaceTrack, 15.82, -0.008517992, 0.3088951, -7.715353E-09, 0, False, 0
9, torque, RaceTrack, 15.84, -0.01137828, 0.3069526, -1.050416E-08, 0, False, 0
10, torque, RaceTrack, 15.86, -0.01464236, 0.3049085, -1.374002E-08, 0, False, 0
11, torque, RaceTrack, 15.88, -0.0182911, 0.3027786, -1.739333E-08, 0, False, 0
12, torque, RaceTrack, 15.9, -0.02230213, 0.3005778, -2.145363E-08, 0, False, 0
13, torque, RaceTrack, 15.92, -0.02665074, 0.2983201, -2.587307E-08, 0, False, 0
14, torque, RaceTrack, 15.94, -0.03131077, 0.2960187, -3.064117E-08, 0, False, 0
15, torque, RaceTrack, 15.96, -0.03625529, 0.2936858, -3.574208E-08, 0, False, 0
16, torque, RaceTrack, 15.98, -0.04145708, 0.2913325, -4.11508E-08, 0, False, 0
17, torque, RaceTrack, 16, -0.04688907, 0.2889692, -4.684689E-08, 0, False, 0
18, torque, RaceTrack, 16.02, -0.05252474, 0.2866048, -5.281873E-08, 0, False, 0
19, torque, RaceTrack, 16.04, -0.05833826, 0.284248, -5.903758E-08, 0, False, 0
20, torque, RaceTrack, 16.06, -0.06430479, 0.2819061, -6.545314E-08, 0, False, 0
21, torque, RaceTrack, 16.08, -0.07040054, 0.2795859, -7.203943E-08, 0, False, 0
22, torque, RaceTrack, 16.1, -0.07660294, 0.2772932, -7.876861E-08, 0, False, 0
23, torque, RaceTrack, 16.12, -0.08289061, 0.2750332, -8.561901E-08, 0, False, 0
24, torque, RaceTrack, 16.14, -0.08924352, 0.2728106, -9.256178E-08, 0, False, 0
25, torque, RaceTrack, 16.16, -0.09564287, 0.2706292, -9.956985E-08, 0, False, 0
26, torque, RaceTrack, 16.18, -0.1020712, 0.2684922, -1.066201E-07, 0, False, 0
27, torque, RaceTrack, 16.2, -0.1085123, 0.2664027, -1.136954E-07, 0, False, 0
28, torque, RaceTrack, 16.22, -0.1149511, 0.2643629, -1.207762E-07, 0, False, 0
29, torque, RaceTrack, 16.24, -0.1213739, 0.2623746, -1.27834E-07, 0, False, 0
30, torque, RaceTrack, 16.26, -0.1277682, 0.2604396, -1.348351E-07, 0, False, 0
31, torque, RaceTrack, 16.28, -0.1341222, 0.2585589, -1.417766E-07, 0, False, 0
32, torque, RaceTrack, 16.3, -0.1404257, 0.2567333, -1.48649E-07, 0, False, 0
33, torque, RaceTrack, 16.32, -0.1466691, 0.2549634, -1.554398E-07, 0, False, 0
34, torque, RaceTrack, 16.34, -0.152844, 0.2532494, -1.62137E-07, 0, False, 0
35, torque, RaceTrack, 16.36, -0.1589427, 0.2515914, -1.687284E-07, 0, False, 0
36, torque, RaceTrack, 16.38, -0.1649584, 0.2499894, -1.752071E-07, 0, False, 0
37, torque, RaceTrack, 16.4, -0.1708852, 0.2484427, -1.815654E-07, 0, False, 0
38, torque, RaceTrack, 16.42, -0.1767177, 0.2469511, -1.87793E-07, 0, False, 0
39, torque, RaceTrack, 16.44, -0.1824515, 0.2455137, -1.938794E-07, 0, False, 0
40, torque, RaceTrack, 16.46, -0.1880826, 0.2441299, -1.998045E-07, 0, False, 0
41, torque, RaceTrack, 16.48, -0.1936076, 0.2427987, -2.055774E-07, 0, False, 0
42, torque, RaceTrack, 16.5, -0.1990238, 0.2415193, -2.111818E-07, 0, False, 0
43, torque, RaceTrack, 16.52, -0.2043288, 0.2402903, -2.166004E-07, 0, False, 0
44, torque, RaceTrack, 16.54, -0.209521, 0.2391109, -2.218496E-07, 0, False, 0
45, torque, RaceTrack, 16.56, -0.2145987, 0.2379798, -2.269369E-07, 0, False, 0
46, torque, RaceTrack, 16.58, -0.2195611, 0.2368958, -2.318646E-07, 0, False, 0
47, torque, RaceTrack, 16.6, -0.2244075, 0.2358575, -2.36606E-07, 0, False, 0
48, torque, RaceTrack, 16.62, -0.2291376, 0.2348639, -2.411646E-07, 0, False, 0
49, torque, RaceTrack, 16.64, -0.2337515, 0.2339134, -2.455447E-07, 0, False, 0
50, torque, RaceTrack, 16.66, -0.2382492, 0.2330049, -2.497513E-07, 0, False, 0
51, torque, RaceTrack, 16.68, -0.2426315, 0.232137, -2.537868E-07, 0, False, 0
52, torque, RaceTrack, 16.7, -0.2468989, 0.2313083, -2.576547E-07, 0, False, 0
53, torque, RaceTrack, 16.72, -0.2510525, 0.2305176, -2.61334E-07, 0, False, 0
54, torque, RaceTrack, 16.74, -0.2550932, 0.2297636, -2.648308E-07, 0, False, 0
55, torque, RaceTrack, 16.76, -0.2590225, 0.229045, -2.681265E-07, 0, False, 0
56, torque, RaceTrack, 16.78, -0.2628417, 0.2283605, -2.712344E-07, 0, False, 0
57, torque, RaceTrack, 16.8, -0.2665524, 0.2277088, -2.741692E-07, 0, False, 0
