Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count
0, torque, RaceTrack, 28.38, 0, 0.3171874, 0, 0, False, 0
1, torque, RaceTrack, 28.4, 0, 0.3161088, 0, 0, False, 0
2, torque, RaceTrack, 28.42, -0.0001100377, 0.3139921, 4.1724E-05, 0, False, 0
3, torque, RaceTrack, 28.44, -0.0005237368, 0.3117852, 0.000158966, 0, False, 0
4, torque, RaceTrack, 28.46, -0.001351023, 0.3094753, 0.0003640036, 0, False, 0
5, torque, RaceTrack, 28.48, -0.002668418, 0.3070589, 0.0006645524, 0, False, 0
6, torque, RaceTrack, 28.5, -0.004525841, 0.3045388, 0.001064735, 0, False, 0
7, torque, RaceTrack, 28.52, -0.006951972, 0.3019226, 0.001565846, 0, False, 0
8, torque, RaceTrack, 28.54, -0.00995855, 0.2992212, 0.002166959, 0, False, 0
9, torque, RaceTrack, 28.56, -0.0135439, 0.2964473, 0.002865431, 0, False, 0
10, torque, RaceTrack, 28.58, -0.01769584, 0.2936148, 0.003657307, 0, False, 0
11, torque, RaceTrack, 28.6, -0.0223941, 0.2907381, 0.004537661, 0, False, 0
12, torque, RaceTrack, 28.62, -0.02761231, 0.2878314, 0.005500872, 0, False, 0
13, torque, RaceTrack, 28.64, -0.03331965, 0.2849086, 0.006540854, 0, False, 0
14, torque, RaceTrack, 28.66, -0.03948225, 0.2819827, 0.00765124, 0, False, 0
15, torque, RaceTrack, 28.68, -0.04606426, 0.279066, 0.00882553, 0, False, 0
16, torque, RaceTrack, 28.7, -0.0530288, 0.2761698, 0.01005721, 0, False, 0
17, torque, RaceTrack, 28.72, -0.06033863, 0.2733043, 0.01133986, 0, False, 0
18, torque, RaceTrack, 28.74, -0.06795678, 0.2704788, 0.0126672, 0, False, 0
19, torque, RaceTrack, 28.76, -0.07584698, 0.2677016, 0.01403316, 0, False, 0
20, torque, RaceTrack, 28.78, -0.08397398, 0.2649799, 0.01543194, 0, False, 0
21, torque, RaceTrack, 28.8, -0.09230387, 0.2623199, 0.01685798, 0, False, 0
22, torque, RaceTrack, 28.82, -0.1008042, 0.2597269, 0.01830606, 0, False, 0
23, torque, RaceTrack, 28.84, -0.1094442, 0.2572056, 0.01977124, 0, False, 0
24, torque, RaceTrack, 28.86, -0.1181948, 0.2547596, 0.02124892, 0, False, 0
25, torque, RaceTrack, 28.88, -0.1270286, 0.2523918, 0.02273478, 0, False, 0
26, torque, RaceTrack, 28.9, -0.1359202, 0.2501047, 0.02422485, 0, False, 0
27, torque, RaceTrack, 28.92, -0.1448456, 0.2478998, 0.02571543, 0, False, 0
28, torque, RaceTrack, 28.94, -0.1537829, 0.2457783, 0.02720314, 0, False, 0
29, torque, RaceTrack, 28.96, -0.1627117, 0.2437408, 0.02868487, 0, False, 0
30, torque, RaceTrack, 28.98, -0.1716134, 0.2417874, 0.0301578, 0, False, 0
31, torque, RaceTrack, 29, -0.1804707, 0.239918, 0.03161935, 0, False, 0
32, torque, RaceTrack, 29.02, -0.1892681, 0.2381318, 0.03306719, 0, False, 0
33, torque, RaceTrack, 29.04, -0.1979915, 0.236428, 0.03449925, 0, False, 0
34, torque, RaceTrack, 29.06, -0.206628, 0.2348055, 0.03591364, 0, False, 0
35, torque, RaceTrack, 29.08, -0.2151661, 0.2332626, 0.0373087, 0, False, 0
36, torque, RaceTrack, 29.1, -0.2235956, 0.2317979, 0.03868298, 0, False, 0
37, torque, RaceTrack, 29.12, -0.2319073, 0.2304095, 0.04003517, 0, False, 0
38, torque, RaceTrack, 29.14, -0.2400932, 0.2290954, 0.04136416, 0, False, 0
39, torque, RaceTrack, 29.16, -0.2481462, 0.2278535, 0.04266899, 0, False, 0
40, torque, RaceTrack, 29.18, -0.2560602, 0.2266818, 0.04394885, 0, False, 0
41, torque, RaceTrack, 29.2, -0.2638301, 0.225578, 0.04520305, 0, False, 0
42, torque, RaceTrack, 29.22, -0.2714512, 0.2245396, 0.04643102, 0, False, 0
43, torque, RaceTrack, 29.24, -0.27892, 0.2235645, 0.04763234, 0, False, 0
44, torque, RaceTrack, 29.26, -0.2862335, 0.2226502, 0.04880667, 0, False, 0
45, torque, RaceTrack, 29.28, -0.2933892, 0.2217944, 0.04995376, 0, False, 0
46, torque, RaceTrack, 29.3, -0.3003854, 0.2209947, 0.05107346, 0, False, 0
47, torque, RaceTrack, 29.32, -0.307221, 0.2202488, 0.05216569, 0, False, 0
48, torque, RaceTrack, 29.34, -0.313895, 0.2195542, 0.05323047, 0, False, 0
49, torque, RaceTrack, 29.36, -0.3204072, 0.2189088, 0.05426785, 0, False, 0
50, torque, RaceTrack, 29.38, -0.3267578, 0.2183103, 0.05527795, 0, False, 0
51, torque, RaceTrack, 29.4, -0.3329471, 0.2177564, 0.05626097, 0, False, 0
52, torque, RaceTrack, 29.42, -0.338976, 0.217245, 0.05721713, 0, False, 0
53, torque, RaceTrack, 29.44, -0.3448456, 0.2167739, 0.0581467, 0, False, 0
54, torque, RaceTrack, 29.46, -0.3505572, 0.2163411, 0.05905, 0, False, 0
55, torque, RaceTrack, 29.48, -0.3561126, 0.2159446, 0.05992737, 0, False, 0
56, torque, RaceTrack, 29.5, -0.3615135, 0.2155825, 0.06077918, 0, False, 0
57, torque, RaceTrack, 29.52, -0.3667619, 0.2152528, 0.06160583, 0, False, 0
58, torque, RaceTrack, 29.54, -0.3718601, 0.2149538, 0.06240775, 0, False, 0
59, torque, RaceTrack, 29.56, -0.3768103, 0.2146837, 0.06318539, 0, False, 0
60, torque, RaceTrack, 29.58, -0.3816151, 0.2144408, 0.06393919, 0, False, 0
61, torque, RaceTrack, 29.6, -0.386277, 0.2142236, 0.06466965, 0, False, 0
62, torque, RaceTrack, 29.62, -0.3907987, 0.2140303, 0.06537723, 0, False, 0
63, torque, RaceTrack, 29.64, -0.3951829, 0.2138597, 0.06606244, 0, False, 0
64, torque, RaceTrack, 29.66, -0.3994325, 0.2137102, 0.06672577, 0, False, 0
65, torque, RaceTrack, 29.68, -0.4035503, 0.2135804, 0.06736773, 0, False, 0
66, torque, RaceTrack, 29.7, -0.4075392, 0.2134691, 0.06798884, 0, False, 0
67, torque, RaceTrack, 29.72, -0.4114022, 0.213375, 0.06858961, 0, False, 0
68, torque, RaceTrack, 29.74, -0.4151421, 0.213297, 0.06917053, 0, False, 0
69, torque, RaceTrack, 29.76, -0.418762, 0.2132338, 0.06973214, 0, False, 0
70, torque, RaceTrack, 29.78, -0.4222648, 0.2131845, 0.07027492, 0, False, 0
71, torque, RaceTrack, 29.8, -0.4256534, 0.2131481, 0.07079939, 0, False, 0
72, torque, RaceTrack, 29.82, -0.4289309, 0.2131234, 0.07130604, 0, False, 0
73, torque, RaceTrack, 29.84, -0.4321001, 0.2131097, 0.07179538, 0, False, 0
74, torque, RaceTrack, 29.86, -0.4351639, 0.2131061, 0.0722679, 0, False, 0
75, torque, RaceTrack, 29.88, -0.4381252, 0.2131117, 0.07272407, 0, False, 0
76, torque, RaceTrack, 29.9, -0.4409868, 0.2131258, 0.07316437, 0, False, 0
77, torque, RaceTrack, 29.92, -0.4437516, 0.2131476, 0.07358928, 0, False, 0
78, torque, RaceTrack, 29.94, -0.4464223, 0.2131764, 0.07399926, 0, False, 0
79, torque, RaceTrack, 29.96, -0.4490017, 0.2132117, 0.07439475, 0, False, 0
80, torque, RaceTrack, 29.98, -0.4514924, 0.2132528, 0.0747762, 0, False, 0
81, torque, RaceTrack, 30, -0.453897, 0.213299, 0.07514405, 0, False, 0
82, torque, RaceTrack, 30.02, -0.4562181, 0.2133501, 0.07549872, 0, False, 0
83, torque, RaceTrack, 30.04, -0.4584583, 0.2134052, 0.07584064, 0, False, 0
84, torque, RaceTrack, 30.06, -0.4606201, 0.213464, 0.0761702, 0, False, 0
85, torque, RaceTrack, 30.08, -0.4627058, 0.2135262, 0.07648781, 0, False, 0
86, torque, RaceTrack, 30.1, -0.4647179, 0.2135912, 0.07679386, 0, False, 0
87, torque, RaceTrack, 30.12, -0.4666586, 0.2136586, 0.07708872, 0, False, 0
88, torque, RaceTrack, 30.14, -0.4685303, 0.2137281, 0.07737277, 0, False, 0
