Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count, RMSE Distance, Sway V X, Sway V Y, Sway V Z, Sway V Magnitude
0, torque, RaceTrack, 43.2, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
1, torque, RaceTrack, 43.22, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
2, torque, RaceTrack, 43.24, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
3, torque, RaceTrack, 43.26, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
4, torque, RaceTrack, 43.28, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
5, torque, RaceTrack, 43.3, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
6, torque, RaceTrack, 43.32, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
7, torque, RaceTrack, 43.34, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
8, torque, RaceTrack, 43.36, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
9, torque, RaceTrack, 43.38, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
10, torque, RaceTrack, 43.4, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
11, torque, RaceTrack, 43.42, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
12, torque, RaceTrack, 43.44, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
13, torque, RaceTrack, 43.46, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
14, torque, RaceTrack, 43.48, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
15, torque, RaceTrack, 43.5, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
16, torque, RaceTrack, 43.52, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
17, torque, RaceTrack, 43.54, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
18, torque, RaceTrack, 43.56, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
19, torque, RaceTrack, 43.58, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
20, torque, RaceTrack, 43.6, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
21, torque, RaceTrack, 43.62, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
22, torque, RaceTrack, 43.64, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
23, torque, RaceTrack, 43.66, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
24, torque, RaceTrack, 43.68, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
25, torque, RaceTrack, 43.7, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
26, torque, RaceTrack, 43.72, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
27, torque, RaceTrack, 43.74, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
28, torque, RaceTrack, 43.76, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
29, torque, RaceTrack, 43.78, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
30, torque, RaceTrack, 43.8, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
31, torque, RaceTrack, 43.82, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
32, torque, RaceTrack, 43.84, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
33, torque, RaceTrack, 43.86, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
34, torque, RaceTrack, 43.88, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
35, torque, RaceTrack, 43.9, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
36, torque, RaceTrack, 43.92, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
37, torque, RaceTrack, 43.94, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
38, torque, RaceTrack, 43.96, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
39, torque, RaceTrack, 43.98, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
40, torque, RaceTrack, 44, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
41, torque, RaceTrack, 44.02, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
42, torque, RaceTrack, 44.04, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
43, torque, RaceTrack, 44.06, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
44, torque, RaceTrack, 44.08, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
45, torque, RaceTrack, 44.1, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
46, torque, RaceTrack, 44.12, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
47, torque, RaceTrack, 44.14, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
48, torque, RaceTrack, 44.16, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
49, torque, RaceTrack, 44.18, 0, 0.1671875, 0, 0, False, 0, 0.1671875,0,0,0,0
