Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count
0, torque, RightCurve, 275.72, 0, 0.15, 0, 0, False, 0
1, torque, RightCurve, 275.74, 0, 0.1468757, 0, 0, False, 0
2, torque, RightCurve, 275.76, -2.086722E-05, 0.1420563, -1.137773E-05, 0, False, 0
3, torque, RightCurve, 275.78, -6.691421E-05, 0.1362929, -3.691875E-05, 0, False, 0
4, torque, RightCurve, 275.8, -0.0001356998, 0.1296486, -7.567053E-05, 0, False, 0
5, torque, RightCurve, 275.82, -0.0002248997, 0.1221851, -0.0001266926, 0, False, 0
6, torque, RightCurve, 275.84, -0.000332307, 0.1139635, -0.0001890604, 0, False, 0
7, torque, RightCurve, 275.86, -0.0004558319, 0.1050431, -0.0002618685, 0, False, 0
8, torque, RightCurve, 275.88, -0.0005935011, 0.09548241, -0.0003442341, 0, False, 0
9, torque, RightCurve, 275.9, -0.0007434569, 0.08533818, -0.0004352994, 0, False, 0
10, torque, RightCurve, 275.92, -0.0009039562, 0.07466584, -0.0005342342, 0, False, 0
11, torque, RightCurve, 275.94, -0.001073369, 0.06351936, -0.0006402382, 0, False, 0
12, torque, RightCurve, 275.96, -0.001250175, 0.05270422, -0.0007525421, 0, False, 0
13, torque, RightCurve, 275.98, -0.001425613, 0.05054069, -0.0008642926, 0, False, 0
14, torque, RightCurve, 276, -0.001597938, 0.05010808, -0.0009741171, 0, False, 0
15, torque, RightCurve, 276.02, -0.001766894, 0.05002159, -0.001081805, 0, False, 0
16, torque, RightCurve, 276.04, -0.001932486, 0.0500043, -0.001187352, 0, False, 0
17, torque, RightCurve, 276.06, -0.002094769, 0.05000085, -0.001290789, 0, False, 0
18, torque, RightCurve, 276.08, -0.002253807, 0.05000013, -0.001392158, 0, False, 0
19, torque, RightCurve, 276.1, -0.002409665, 0.05000001, -0.0014915, 0, False, 0
20, torque, RightCurve, 276.12, -0.002562405, 0.04999995, -0.001588855, 0, False, 0
21, torque, RightCurve, 276.14, -0.00271209, 0.04999995, -0.001684262, 0, False, 0
22, torque, RightCurve, 276.16, -0.002858781, 0.04999995, -0.001777761, 0, False, 0
23, torque, RightCurve, 276.18, -0.003002538, 0.04999995, -0.00186939, 0, False, 0
24, torque, RightCurve, 276.2, -0.00314342, 0.05000001, -0.001959186, 0, False, 0
25, torque, RightCurve, 276.22, -0.003281484, 0.05000001, -0.002047186, 0, False, 0
26, torque, RightCurve, 276.24, -0.003416787, 0.05000001, -0.002133426, 0, False, 0
27, torque, RightCurve, 276.26, -0.003549384, 0.05000001, -0.002217941, 0, False, 0
28, torque, RightCurve, 276.28, -0.003679328, 0.05000001, -0.002300766, 0, False, 0
29, torque, RightCurve, 276.3, -0.003806674, 0.05000001, -0.002381934, 0, False, 0
30, torque, RightCurve, 276.32, -0.003931473, 0.05000001, -0.002461479, 0, False, 0
31, torque, RightCurve, 276.34, -0.004053776, 0.05000001, -0.002539433, 0, False, 0
32, torque, RightCurve, 276.36, -0.004173632, 0.05000001, -0.002615828, 0, False, 0
33, torque, RightCurve, 276.38, -0.004291092, 0.05000001, -0.002690695, 0, False, 0
34, torque, RightCurve, 276.4, -0.004406202, 0.05000001, -0.002764065, 0, False, 0
35, torque, RightCurve, 276.42, -0.004519009, 0.05000001, -0.002835967, 0, False, 0
36, torque, RightCurve, 276.44, -0.004629561, 0.05000001, -0.002906431, 0, False, 0
37, torque, RightCurve, 276.46, -0.004737902, 0.05000001, -0.002975486, 0, False, 0
38, torque, RightCurve, 276.48, -0.004844076, 0.05000001, -0.003043159, 0, False, 0
39, torque, RightCurve, 276.5, -0.004948126, 0.05000001, -0.003109479, 0, False, 0
40, torque, RightCurve, 276.52, -0.005050095, 0.05000001, -0.003174473, 0, False, 0
41, torque, RightCurve, 276.54, -0.005150024, 0.05000001, -0.003238167, 0, False, 0
42, torque, RightCurve, 276.56, -0.005247955, 0.05000001, -0.003300587, 0, False, 0
43, torque, RightCurve, 276.58, -0.005343928, 0.05000001, -0.003361758, 0, False, 0
44, torque, RightCurve, 276.6, -0.00543798, 0.05000001, -0.003421706, 0, False, 0
45, torque, RightCurve, 276.62, -0.005530152, 0.05000001, -0.003480455, 0, False, 0
46, torque, RightCurve, 276.64, -0.00562048, 0.05000001, -0.003538029, 0, False, 0
47, torque, RightCurve, 276.66, -0.005709001, 0.05000001, -0.003594452, 0, False, 0
48, torque, RightCurve, 276.68, -0.005795752, 0.05000001, -0.003649746, 0, False, 0
49, torque, RightCurve, 276.7, -0.005880768, 0.05000001, -0.003703934, 0, False, 0
50, torque, RightCurve, 276.72, -0.005964083, 0.05000001, -0.003757038, 0, False, 0
51, torque, RightCurve, 276.74, -0.006045732, 0.05000001, -0.00380908, 0, False, 0
52, torque, RightCurve, 276.76, -0.006125748, 0.05000001, -0.003860081, 0, False, 0
53, torque, RightCurve, 276.78, -0.006204164, 0.05000001, -0.003910062, 0, False, 0
54, torque, RightCurve, 276.8, -0.006281011, 0.05000001, -0.003959044, 0, False, 0
55, torque, RightCurve, 276.82, -0.006356321, 0.05000001, -0.004007046, 0, False, 0
56, torque, RightCurve, 276.84, -0.006430124, 0.05000001, -0.004054088, 0, False, 0
57, torque, RightCurve, 276.86, -0.006502452, 0.05000001, -0.004100189, 0, False, 0
58, torque, RightCurve, 276.88, -0.006573333, 0.05000001, -0.004145368, 0, False, 0
