Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count
0, torque, SinCurve, 149.68, 0, 0.15, 0, 0, False, 0
1, torque, SinCurve, 149.7, 0, 0.1468757, 0, 0, False, 0
2, torque, SinCurve, 149.72, 2.077148E-05, 0.1420562, 1.137625E-05, 0, False, 0
3, torque, SinCurve, 149.74, 6.648357E-05, 0.1362928, 3.691152E-05, 0, False, 0
4, torque, SinCurve, 149.76, 0.0001345972, 0.1296483, 7.56508E-05, 0, False, 0
5, torque, SinCurve, 149.78, 0.0002227044, 0.1221849, 0.0001266515, 0, False, 0
6, torque, SinCurve, 149.8, 0.0003285276, 0.1139632, 0.0001889873, 0, False, 0
7, torque, SinCurve, 149.82, 0.0004499184, 0.1050428, 0.0002617513, 0, False, 0
8, torque, SinCurve, 149.84, 0.0005848564, 0.09548205, 0.0003440594, 0, False, 0
9, torque, SinCurve, 149.86, 0.0007314474, 0.08533782, 0.0004350528, 0, False, 0
10, torque, SinCurve, 149.88, 0.000887921, 0.07466549, 0.0005339009, 0, False, 0
11, torque, SinCurve, 149.9, 0.001052629, 0.063519, 0.0006398025, 0, False, 0
12, torque, SinCurve, 149.92, 0.00122404, 0.0527041, 0.0007519883, 0, False, 0
13, torque, SinCurve, 149.94, 0.001394033, 0.05054063, 0.0008636194, 0, False, 0
14, torque, SinCurve, 149.96, 0.001560993, 0.05010808, 0.0009733261, 0, False, 0
15, torque, SinCurve, 149.98, 0.001724686, 0.05002159, 0.001080899, 0, False, 0
16, torque, SinCurve, 150, 0.001885119, 0.0500043, 0.001186332, 0, False, 0
17, torque, SinCurve, 150.02, 0.002042346, 0.05000085, 0.001289658, 0, False, 0
18, torque, SinCurve, 150.04, 0.002196428, 0.05000013, 0.001390919, 0, False, 0
19, torque, SinCurve, 150.06, 0.002347429, 0.05000001, 0.001490154, 0, False, 0
20, torque, SinCurve, 150.08, 0.00249541, 0.05000001, 0.001587404, 0, False, 0
21, torque, SinCurve, 150.1, 0.002640431, 0.04999995, 0.001682709, 0, False, 0
22, torque, SinCurve, 150.12, 0.002782551, 0.04999995, 0.001776107, 0, False, 0
23, torque, SinCurve, 150.14, 0.002921829, 0.04999995, 0.001867638, 0, False, 0
24, torque, SinCurve, 150.16, 0.003058321, 0.05000001, 0.001957337, 0, False, 0
25, torque, SinCurve, 150.18, 0.003192083, 0.05000001, 0.002045243, 0, False, 0
26, torque, SinCurve, 150.2, 0.003323169, 0.05000001, 0.00213139, 0, False, 0
27, torque, SinCurve, 150.22, 0.003451634, 0.05000001, 0.002215814, 0, False, 0
28, torque, SinCurve, 150.24, 0.00357753, 0.05000001, 0.00229855, 0, False, 0
29, torque, SinCurve, 150.26, 0.003700907, 0.05000001, 0.002379631, 0, False, 0
30, torque, SinCurve, 150.28, 0.003821817, 0.05000001, 0.002459091, 0, False, 0
31, torque, SinCurve, 150.3, 0.003940308, 0.05000001, 0.002536961, 0, False, 0
32, torque, SinCurve, 150.32, 0.00405643, 0.05000001, 0.002613274, 0, False, 0
33, torque, SinCurve, 150.34, 0.00417023, 0.05000001, 0.002688061, 0, False, 0
34, torque, SinCurve, 150.36, 0.004281753, 0.05000001, 0.002761351, 0, False, 0
35, torque, SinCurve, 150.38, 0.004391045, 0.05000001, 0.002833176, 0, False, 0
36, torque, SinCurve, 150.4, 0.004498152, 0.05000001, 0.002903564, 0, False, 0
37, torque, SinCurve, 150.42, 0.004603117, 0.05000001, 0.002972545, 0, False, 0
38, torque, SinCurve, 150.44, 0.004705982, 0.05000001, 0.003040146, 0, False, 0
39, torque, SinCurve, 150.46, 0.00480679, 0.05000001, 0.003106395, 0, False, 0
40, torque, SinCurve, 150.48, 0.004905581, 0.05000001, 0.003171319, 0, False, 0
41, torque, SinCurve, 150.5, 0.005002397, 0.05000001, 0.003234944, 0, False, 0
42, torque, SinCurve, 150.52, 0.005097276, 0.05000001, 0.003297297, 0, False, 0
43, torque, SinCurve, 150.54, 0.005190257, 0.05000001, 0.003358403, 0, False, 0
44, torque, SinCurve, 150.56, 0.005281379, 0.05000001, 0.003418286, 0, False, 0
45, torque, SinCurve, 150.58, 0.005370679, 0.05000001, 0.003476972, 0, False, 0
46, torque, SinCurve, 150.6, 0.005458192, 0.05000001, 0.003534484, 0, False, 0
47, torque, SinCurve, 150.62, 0.005543955, 0.05000001, 0.003590846, 0, False, 0
48, torque, SinCurve, 150.64, 0.005628003, 0.05000001, 0.00364608, 0, False, 0
49, torque, SinCurve, 150.66, 0.005710369, 0.05000001, 0.00370021, 0, False, 0
50, torque, SinCurve, 150.68, 0.005791089, 0.05000001, 0.003753257, 0, False, 0
51, torque, SinCurve, 150.7, 0.005870193, 0.05000001, 0.003805244, 0, False, 0
52, torque, SinCurve, 150.72, 0.005947716, 0.05000001, 0.00385619, 0, False, 0
53, torque, SinCurve, 150.74, 0.006023688, 0.05000001, 0.003906118, 0, False, 0
54, torque, SinCurve, 150.76, 0.00609814, 0.05000001, 0.003955046, 0, False, 0
55, torque, SinCurve, 150.78, 0.006171104, 0.05000001, 0.004002996, 0, False, 0
56, torque, SinCurve, 150.8, 0.006242608, 0.05000001, 0.004049988, 0, False, 0
57, torque, SinCurve, 150.82, 0.006312681, 0.05000001, 0.004096039, 0, False, 0
58, torque, SinCurve, 150.84, 0.006381354, 0.05000001, 0.00414117, 0, False, 0
59, torque, SinCurve, 150.86, 0.006448653, 0.05000001, 0.004185397, 0, False, 0
60, torque, SinCurve, 150.88, 0.006514605, 0.05000001, 0.00422874, 0, False, 0
61, torque, SinCurve, 150.9, 0.006579239, 0.05000001, 0.004271216, 0, False, 0
62, torque, SinCurve, 150.92, 0.00664258, 0.05000001, 0.004312843, 0, False, 0
63, torque, SinCurve, 150.94, 0.006704654, 0.05000001, 0.004353636, 0, False, 0
64, torque, SinCurve, 150.96, 0.006765486, 0.05000001, 0.004393614, 0, False, 0
65, torque, SinCurve, 150.98, 0.006825102, 0.05000001, 0.004432793, 0, False, 0
66, torque, SinCurve, 151, 0.006883525, 0.05000001, 0.004471187, 0, False, 0
67, torque, SinCurve, 151.02, 0.00694078, 0.05000001, 0.004508814, 0, False, 0
68, torque, SinCurve, 151.04, 0.00699689, 0.05000001, 0.004545689, 0, False, 0
69, torque, SinCurve, 151.06, 0.007051877, 0.05000001, 0.004581825, 0, False, 0
70, torque, SinCurve, 151.08, 0.007105764, 0.05000001, 0.004617239, 0, False, 0
71, torque, SinCurve, 151.1, 0.007158574, 0.05000001, 0.004651945, 0, False, 0
72, torque, SinCurve, 151.12, 0.007210328, 0.05000001, 0.004685957, 0, False, 0
73, torque, SinCurve, 151.14, 0.007261046, 0.05000001, 0.004719288, 0, False, 0
74, torque, SinCurve, 151.16, 0.00731075, 0.05000001, 0.004751952, 0, False, 0
75, torque, SinCurve, 151.18, 0.00735946, 0.05000001, 0.004783964, 0, False, 0
76, torque, SinCurve, 151.2, 0.007407195, 0.05000001, 0.004815335, 0, False, 0
77, torque, SinCurve, 151.22, 0.007453976, 0.05000001, 0.004846078, 0, False, 0
78, torque, SinCurve, 151.24, 0.007499821, 0.05000001, 0.004876207, 0, False, 0
79, torque, SinCurve, 151.26, 0.007544748, 0.05000001, 0.004905733, 0, False, 0
80, torque, SinCurve, 151.28, 0.007588778, 0.05000001, 0.004934669, 0, False, 0
81, torque, SinCurve, 151.3, 0.007631926, 0.05000001, 0.004963025, 0, False, 0
82, torque, SinCurve, 151.32, 0.007674212, 0.05000001, 0.004990815, 0, False, 0
83, torque, SinCurve, 151.34, 0.007715652, 0.05000001, 0.005018049, 0, False, 0
84, torque, SinCurve, 151.36, 0.007756263, 0.05000001, 0.005044738, 0, False, 0
85, torque, SinCurve, 151.38, 0.007796062, 0.05000001, 0.005070893, 0, False, 0
86, torque, SinCurve, 151.4, 0.007835064, 0.05000001, 0.005096525, 0, False, 0
87, torque, SinCurve, 151.42, 0.007873286, 0.05000001, 0.005121644, 0, False, 0
88, torque, SinCurve, 151.44, 0.007910744, 0.05000001, 0.005146261, 0, False, 0
89, torque, SinCurve, 151.46, 0.007947453, 0.05000001, 0.005170385, 0, False, 0
90, torque, SinCurve, 151.48, 0.007983427, 0.05000001, 0.005194027, 0, False, 0
91, torque, SinCurve, 151.5, 0.008018683, 0.05000001, 0.005217196, 0, False, 0
92, torque, SinCurve, 151.52, 0.008053232, 0.05000001, 0.005239902, 0, False, 0
93, torque, SinCurve, 151.54, 0.00808709, 0.05000001, 0.005262154, 0, False, 0
94, torque, SinCurve, 151.56, 0.008120271, 0.05000001, 0.00528396, 0, False, 0
95, torque, SinCurve, 151.58, 0.008152789, 0.05000001, 0.00530533, 0, False, 0
96, torque, SinCurve, 151.6, 0.008184657, 0.05000001, 0.005326273, 0, False, 0
97, torque, SinCurve, 151.62, 0.008215887, 0.05000001, 0.005346797, 0, False, 0
98, torque, SinCurve, 151.64, 0.008246492, 0.05000001, 0.005366911, 0, False, 0
99, torque, SinCurve, 151.66, 0.008276485, 0.05000001, 0.005386622, 0, False, 0
100, torque, SinCurve, 151.68, 0.008305878, 0.05000001, 0.005405939, 0, False, 0
101, torque, SinCurve, 151.7, 0.008334683, 0.05000001, 0.005424869, 0, False, 0
102, torque, SinCurve, 151.72, 0.008362913, 0.05000001, 0.005443421, 0, False, 0
103, torque, SinCurve, 151.74, 0.008390577, 0.05000001, 0.005461602, 0, False, 0
104, torque, SinCurve, 151.76, 0.008417687, 0.05000001, 0.005479419, 0, False, 0
105, torque, SinCurve, 151.78, 0.008444256, 0.05000001, 0.00549688, 0, False, 0
106, torque, SinCurve, 151.8, 0.008470293, 0.05000001, 0.005513992, 0, False, 0
107, torque, SinCurve, 151.82, 0.00849581, 0.05000001, 0.005530761, 0, False, 0
108, torque, SinCurve, 151.84, 0.008520816, 0.05000001, 0.005547195, 0, False, 0
109, torque, SinCurve, 151.86, 0.008545321, 0.05000001, 0.0055633, 0, False, 0
110, torque, SinCurve, 151.88, 0.008569337, 0.05000001, 0.005579083, 0, False, 0
111, torque, SinCurve, 151.9, 0.008592873, 0.05000001, 0.005594551, 0, False, 0
112, torque, SinCurve, 151.92, 0.008615937, 0.05000001, 0.005609708, 0, False, 0
113, torque, SinCurve, 151.94, 0.00863854, 0.05000001, 0.005624563, 0, False, 0
114, torque, SinCurve, 151.96, 0.008660691, 0.05000001, 0.00563912, 0, False, 0
115, torque, SinCurve, 151.98, 0.008682399, 0.05000001, 0.005653387, 0, False, 0
116, torque, SinCurve, 152, 0.008703672, 0.05000001, 0.005667368, 0, False, 0
117, torque, SinCurve, 152.02, 0.00872452, 0.05000001, 0.00568107, 0, False, 0
118, torque, SinCurve, 152.04, 0.008744951, 0.05000001, 0.005694497, 0, False, 0
119, torque, SinCurve, 152.06, 0.008764974, 0.05000001, 0.005707656, 0, False, 0
120, torque, SinCurve, 152.08, 0.008784596, 0.05000001, 0.005720551, 0, False, 0
121, torque, SinCurve, 152.1, 0.008803825, 0.05000001, 0.005733189, 0, False, 0
122, torque, SinCurve, 152.12, 0.008822669, 0.05000001, 0.005745573, 0, False, 0
123, torque, SinCurve, 152.14, 0.008841136, 0.05000001, 0.00575771, 0, False, 0
124, torque, SinCurve, 152.16, 0.008859235, 0.05000001, 0.005769605, 0, False, 0
125, torque, SinCurve, 152.18, 0.008876971, 0.05000001, 0.005781261, 0, False, 0
126, torque, SinCurve, 152.2, 0.008894352, 0.05000001, 0.005792684, 0, False, 0
127, torque, SinCurve, 152.22, 0.008911386, 0.05000001, 0.005803879, 0, False, 0
128, torque, SinCurve, 152.24, 0.008928079, 0.05000001, 0.00581485, 0, False, 0
129, torque, SinCurve, 152.26, 0.008944438, 0.05000001, 0.005825601, 0, False, 0
130, torque, SinCurve, 152.28, 0.00896047, 0.05000001, 0.005836137, 0, False, 0
131, torque, SinCurve, 152.3, 0.008976181, 0.05000001, 0.005846463, 0, False, 0
132, torque, SinCurve, 152.32, 0.008991578, 0.05000001, 0.005856581, 0, False, 0
133, torque, SinCurve, 152.34, 0.009006666, 0.05000001, 0.005866498, 0, False, 0
134, torque, SinCurve, 152.36, 0.009021453, 0.05000001, 0.005876217, 0, False, 0
135, torque, SinCurve, 152.38, 0.009035944, 0.05000001, 0.00588574, 0, False, 0
136, torque, SinCurve, 152.4, 0.009050145, 0.05000001, 0.005895074, 0, False, 0
137, torque, SinCurve, 152.42, 0.009064062, 0.05000001, 0.00590422, 0, False, 0
138, torque, SinCurve, 152.44, 0.0090777, 0.05000001, 0.005913184, 0, False, 0
139, torque, SinCurve, 152.46, 0.009091065, 0.05000001, 0.005921968, 0, False, 0
140, torque, SinCurve, 152.48, 0.009104162, 0.05000001, 0.005930576, 0, False, 0
141, torque, SinCurve, 152.5, 0.009116997, 0.05000001, 0.005939012, 0, False, 0
142, torque, SinCurve, 152.52, 0.009129575, 0.05000001, 0.005947279, 0, False, 0
143, torque, SinCurve, 152.54, 0.009141901, 0.05000001, 0.005955381, 0, False, 0
144, torque, SinCurve, 152.56, 0.009153979, 0.05000001, 0.005963321, 0, False, 0
145, torque, SinCurve, 152.58, 0.009165816, 0.05000001, 0.005971102, 0, False, 0
146, torque, SinCurve, 152.6, 0.009177416, 0.05000001, 0.005978727, 0, False, 0
147, torque, SinCurve, 152.62, 0.009188782, 0.05000001, 0.005986199, 0, False, 0
148, torque, SinCurve, 152.64, 0.009199922, 0.05000001, 0.005993522, 0, False, 0
149, torque, SinCurve, 152.66, 0.009210838, 0.05000001, 0.006000699, 0, False, 0
150, torque, SinCurve, 152.68, 0.009221535, 0.05000001, 0.006007731, 0, False, 0
151, torque, SinCurve, 152.7, 0.009232018, 0.05000001, 0.006014624, 0, False, 0
152, torque, SinCurve, 152.72, 0.009242291, 0.05000001, 0.006021378, 0, False, 0
153, torque, SinCurve, 152.74, 0.009252357, 0.05000001, 0.006027997, 0, False, 0
154, torque, SinCurve, 152.76, 0.009262222, 0.05000001, 0.006034483, 0, False, 0
155, torque, SinCurve, 152.78, 0.009271889, 0.05000001, 0.00604084, 0, False, 0
156, torque, SinCurve, 152.8, 0.009281362, 0.05000001, 0.00604707, 0, False, 0
157, torque, SinCurve, 152.82, 0.009290646, 0.05000001, 0.006053174, 0, False, 0
158, torque, SinCurve, 152.84, 0.009299743, 0.05000001, 0.006059157, 0, False, 0
159, torque, SinCurve, 152.86, 0.009308658, 0.05000001, 0.006065019, 0, False, 0
160, torque, SinCurve, 152.88, 0.009317393, 0.05000001, 0.006070765, 0, False, 0
161, torque, SinCurve, 152.9, 0.009325954, 0.05000001, 0.006076395, 0, False, 0
162, torque, SinCurve, 152.92, 0.009334343, 0.05000001, 0.006081913, 0, False, 0
163, torque, SinCurve, 152.94, 0.009342564, 0.05000001, 0.00608732, 0, False, 0
164, torque, SinCurve, 152.96, 0.00935062, 0.05000001, 0.006092619, 0, False, 0
165, torque, SinCurve, 152.98, 0.009358515, 0.05000001, 0.006097812, 0, False, 0
166, torque, SinCurve, 153, 0.009366251, 0.05000001, 0.006102901, 0, False, 0
167, torque, SinCurve, 153.02, 0.009373832, 0.05000001, 0.006107889, 0, False, 0
168, torque, SinCurve, 153.04, 0.009381261, 0.05000001, 0.006112776, 0, False, 0
169, torque, SinCurve, 153.06, 0.00938854, 0.05000001, 0.006117565, 0, False, 0
170, torque, SinCurve, 153.08, 0.009395674, 0.05000001, 0.006122258, 0, False, 0
171, torque, SinCurve, 153.1, 0.009402664, 0.05000001, 0.006126858, 0, False, 0
172, torque, SinCurve, 153.12, 0.009409514, 0.05000001, 0.006131366, 0, False, 0
173, torque, SinCurve, 153.14, 0.009416227, 0.05000001, 0.006135783, 0, False, 0
174, torque, SinCurve, 153.16, 0.009422805, 0.05000001, 0.006140112, 0, False, 0
175, torque, SinCurve, 153.18, 0.009429251, 0.05000001, 0.006144354, 0, False, 0
176, torque, SinCurve, 153.2, 0.009435567, 0.05000001, 0.006148512, 0, False, 0
177, torque, SinCurve, 153.22, 0.009441757, 0.05000001, 0.006152586, 0, False, 0
178, torque, SinCurve, 153.24, 0.009447822, 0.05000001, 0.006156578, 0, False, 0
179, torque, SinCurve, 153.26, 0.009453766, 0.05000001, 0.006160491, 0, False, 0
180, torque, SinCurve, 153.28, 0.009459591, 0.05000001, 0.006164325, 0, False, 0
181, torque, SinCurve, 153.3, 0.009465298, 0.05000001, 0.006168082, 0, False, 0
182, torque, SinCurve, 153.32, 0.00947089, 0.05000001, 0.006171764, 0, False, 0
183, torque, SinCurve, 153.34, 0.009476371, 0.05000001, 0.006175373, 0, False, 0
184, torque, SinCurve, 153.36, 0.009481741, 0.05000001, 0.006178909, 0, False, 0
185, torque, SinCurve, 153.38, 0.009487004, 0.05000001, 0.006182374, 0, False, 0
186, torque, SinCurve, 153.4, 0.009492161, 0.05000001, 0.006185771, 0, False, 0
187, torque, SinCurve, 153.42, 0.009497214, 0.05000001, 0.006189099, 0, False, 0
188, torque, SinCurve, 153.44, 0.009502166, 0.05000001, 0.00619236, 0, False, 0
189, torque, SinCurve, 153.46, 0.009507018, 0.05000001, 0.006195555, 0, False, 0
190, torque, SinCurve, 153.48, 0.009511773, 0.05000001, 0.006198687, 0, False, 0
191, torque, SinCurve, 153.5, 0.009516432, 0.05000001, 0.006201757, 0, False, 0
192, torque, SinCurve, 153.52, 0.009520997, 0.05000001, 0.006204764, 0, False, 0
193, torque, SinCurve, 153.54, 0.00952547, 0.05000001, 0.006207712, 0, False, 0
194, torque, SinCurve, 153.56, 0.009529854, 0.05000001, 0.0062106, 0, False, 0
195, torque, SinCurve, 153.58, 0.009534149, 0.05000001, 0.006213431, 0, False, 0
196, torque, SinCurve, 153.6, 0.009538359, 0.05000001, 0.006216205, 0, False, 0
197, torque, SinCurve, 153.62, 0.009542484, 0.05000001, 0.006218923, 0, False, 0
198, torque, SinCurve, 153.64, 0.009546526, 0.05000001, 0.006221586, 0, False, 0
199, torque, SinCurve, 153.66, 0.009550486, 0.05000001, 0.006224197, 0, False, 0
200, torque, SinCurve, 153.68, 0.009554367, 0.05000001, 0.006226755, 0, False, 0
201, torque, SinCurve, 153.7, 0.009558169, 0.05000001, 0.006229261, 0, False, 0
202, torque, SinCurve, 153.72, 0.009561895, 0.05000001, 0.006231718, 0, False, 0
203, torque, SinCurve, 153.74, 0.009565546, 0.05000001, 0.006234126, 0, False, 0
204, torque, SinCurve, 153.76, 0.009569123, 0.05000001, 0.006236485, 0, False, 0
205, torque, SinCurve, 153.78, 0.009572629, 0.05000001, 0.006238797, 0, False, 0
206, torque, SinCurve, 153.8, 0.009576064, 0.05000001, 0.006241062, 0, False, 0
207, torque, SinCurve, 153.82, 0.009579429, 0.05000001, 0.006243282, 0, False, 0
208, torque, SinCurve, 153.84, 0.009582727, 0.05000001, 0.006245458, 0, False, 0
209, torque, SinCurve, 153.86, 0.009585959, 0.05000001, 0.00624759, 0, False, 0
210, torque, SinCurve, 153.88, 0.009589125, 0.05000001, 0.006249679, 0, False, 0
211, torque, SinCurve, 153.9, 0.009592228, 0.05000001, 0.006251727, 0, False, 0
212, torque, SinCurve, 153.92, 0.009595267, 0.05000001, 0.006253733, 0, False, 0
213, torque, SinCurve, 153.94, 0.009598246, 0.05000001, 0.006255699, 0, False, 0
214, torque, SinCurve, 153.96, 0.009601165, 0.05000001, 0.006257626, 0, False, 0
215, torque, SinCurve, 153.98, 0.009604025, 0.05000001, 0.006259514, 0, False, 0
216, torque, SinCurve, 154, 0.009606827, 0.05000001, 0.006261365, 0, False, 0
217, torque, SinCurve, 154.02, 0.009609573, 0.05000001, 0.006263178, 0, False, 0
218, torque, SinCurve, 154.04, 0.009612263, 0.05000001, 0.006264955, 0, False, 0
219, torque, SinCurve, 154.06, 0.009614899, 0.05000001, 0.006266696, 0, False, 0
220, torque, SinCurve, 154.08, 0.009617481, 0.05000001, 0.006268402, 0, False, 0
221, torque, SinCurve, 154.1, 0.009620012, 0.05000001, 0.006270074, 0, False, 0
222, torque, SinCurve, 154.12, 0.009622491, 0.05000001, 0.006271713, 0, False, 0
223, torque, SinCurve, 154.14, 0.009624921, 0.05000001, 0.006273319, 0, False, 0
224, torque, SinCurve, 154.16, 0.009627301, 0.05000001, 0.006274892, 0, False, 0
225, torque, SinCurve, 154.18, 0.009629633, 0.05000001, 0.006276434, 0, False, 0
226, torque, SinCurve, 154.2, 0.009631919, 0.05000001, 0.006277945, 0, False, 0
227, torque, SinCurve, 154.22, 0.009634158, 0.05000001, 0.006279425, 0, False, 0
228, torque, SinCurve, 154.24, 0.009636352, 0.05000001, 0.006280876, 0, False, 0
229, torque, SinCurve, 154.26, 0.009638501, 0.05000001, 0.006282298, 0, False, 0
230, torque, SinCurve, 154.28, 0.009640607, 0.05000001, 0.006283691, 0, False, 0
231, torque, SinCurve, 154.3, 0.009642671, 0.05000001, 0.006285056, 0, False, 0
232, torque, SinCurve, 154.32, 0.009644693, 0.05000001, 0.006286394, 0, False, 0
233, torque, SinCurve, 154.34, 0.009646674, 0.05000001, 0.006287705, 0, False, 0
234, torque, SinCurve, 154.36, 0.009648615, 0.05000001, 0.00628899, 0, False, 0
235, torque, SinCurve, 154.38, 0.009650516, 0.05000001, 0.006290249, 0, False, 0
236, torque, SinCurve, 154.4, 0.009652379, 0.05000001, 0.006291482, 0, False, 0
237, torque, SinCurve, 154.42, 0.009654204, 0.05000001, 0.006292691, 0, False, 0
238, torque, SinCurve, 154.44, 0.009655993, 0.05000001, 0.006293876, 0, False, 0
239, torque, SinCurve, 154.46, 0.009657744, 0.05000001, 0.006295037, 0, False, 0
240, torque, SinCurve, 154.48, 0.009659461, 0.05000001, 0.006296174, 0, False, 0
241, torque, SinCurve, 154.5, 0.009661143, 0.05000001, 0.006297289, 0, False, 0
242, torque, SinCurve, 154.52, 0.00966279, 0.05000001, 0.006298381, 0, False, 0
243, torque, SinCurve, 154.54, 0.009664404, 0.05000001, 0.006299451, 0, False, 0
244, torque, SinCurve, 154.56, 0.009665986, 0.05000001, 0.0063005, 0, False, 0
245, torque, SinCurve, 154.58, 0.009667534, 0.05000001, 0.006301528, 0, False, 0
246, torque, SinCurve, 154.6, 0.009669052, 0.05000001, 0.006302535, 0, False, 0
247, torque, SinCurve, 154.62, 0.00967054, 0.05000001, 0.006303522, 0, False, 0
248, torque, SinCurve, 154.64, 0.009671996, 0.05000001, 0.006304489, 0, False, 0
249, torque, SinCurve, 154.66, 0.009673423, 0.05000001, 0.006305437, 0, False, 0
250, torque, SinCurve, 154.68, 0.009674821, 0.05000001, 0.006306365, 0, False, 0
251, torque, SinCurve, 154.7, 0.009676191, 0.05000001, 0.006307275, 0, False, 0
252, torque, SinCurve, 154.72, 0.009677533, 0.05000001, 0.006308167, 0, False, 0
253, torque, SinCurve, 154.74, 0.009678847, 0.05000001, 0.00630904, 0, False, 0
254, torque, SinCurve, 154.76, 0.009680135, 0.05000001, 0.006309896, 0, False, 0
255, torque, SinCurve, 154.78, 0.009681396, 0.05000001, 0.006310735, 0, False, 0
256, torque, SinCurve, 154.8, 0.009682632, 0.05000001, 0.006311557, 0, False, 0
257, torque, SinCurve, 154.82, 0.009683843, 0.05000001, 0.006312362, 0, False, 0
258, torque, SinCurve, 154.84, 0.009685028, 0.05000001, 0.006313152, 0, False, 0
259, torque, SinCurve, 154.86, 0.00968619, 0.05000001, 0.006313925, 0, False, 0
260, torque, SinCurve, 154.88, 0.009687328, 0.05000001, 0.006314683, 0, False, 0
261, torque, SinCurve, 154.9, 0.009688443, 0.05000001, 0.006315426, 0, False, 0
262, torque, SinCurve, 154.92, 0.009689535, 0.05000001, 0.006316153, 0, False, 0
263, torque, SinCurve, 154.94, 0.009690605, 0.05000001, 0.006316866, 0, False, 0
264, torque, SinCurve, 154.96, 0.009691653, 0.05000001, 0.006317564, 0, False, 0
265, torque, SinCurve, 154.98, 0.009692679, 0.05000001, 0.006318249, 0, False, 0
266, torque, SinCurve, 155, 0.009693684, 0.05000001, 0.006318919, 0, False, 0
267, torque, SinCurve, 155.02, 0.009694668, 0.05000001, 0.006319576, 0, False, 0
268, torque, SinCurve, 155.04, 0.009695633, 0.05000001, 0.00632022, 0, False, 0
269, torque, SinCurve, 155.06, 0.009696579, 0.05000001, 0.006320851, 0, False, 0
270, torque, SinCurve, 155.08, 0.009697504, 0.05000001, 0.00632147, 0, False, 0
271, torque, SinCurve, 155.1, 0.009698411, 0.05000001, 0.006322076, 0, False, 0
272, torque, SinCurve, 155.12, 0.009699298, 0.05000001, 0.006322669, 0, False, 0
273, torque, SinCurve, 155.14, 0.009700168, 0.05000001, 0.006323251, 0, False, 0
274, torque, SinCurve, 155.16, 0.00970102, 0.05000001, 0.006323821, 0, False, 0
275, torque, SinCurve, 155.18, 0.009701855, 0.05000001, 0.006324379, 0, False, 0
276, torque, SinCurve, 155.2, 0.009702671, 0.05000001, 0.006324926, 0, False, 0
277, torque, SinCurve, 155.22, 0.009703471, 0.05000001, 0.006325462, 0, False, 0
278, torque, SinCurve, 155.24, 0.009704255, 0.05000001, 0.006325988, 0, False, 0
279, torque, SinCurve, 155.26, 0.009705023, 0.05000001, 0.006326502, 0, False, 0
280, torque, SinCurve, 155.28, 0.009705774, 0.05000001, 0.006327007, 0, False, 0
281, torque, SinCurve, 155.3, 0.009706511, 0.05000001, 0.006327501, 0, False, 0
282, torque, SinCurve, 155.32, 0.009707232, 0.05000001, 0.006327985, 0, False, 0
283, torque, SinCurve, 155.34, 0.009707938, 0.05000001, 0.006328459, 0, False, 0
284, torque, SinCurve, 155.36, 0.00970863, 0.05000001, 0.006328924, 0, False, 0
285, torque, SinCurve, 155.38, 0.009709307, 0.05000001, 0.00632938, 0, False, 0
286, torque, SinCurve, 155.4, 0.00970997, 0.05000001, 0.006329826, 0, False, 0
287, torque, SinCurve, 155.42, 0.00971062, 0.05000001, 0.006330263, 0, False, 0
288, torque, SinCurve, 155.44, 0.009711256, 0.05000001, 0.006330691, 0, False, 0
289, torque, SinCurve, 155.46, 0.009711879, 0.05000001, 0.006331111, 0, False, 0
290, torque, SinCurve, 155.48, 0.009712489, 0.05000001, 0.006331522, 0, False, 0
291, torque, SinCurve, 155.5, 0.009713086, 0.05000001, 0.006331925, 0, False, 0
292, torque, SinCurve, 155.52, 0.009713671, 0.05000001, 0.00633232, 0, False, 0
293, torque, SinCurve, 155.54, 0.009714244, 0.05000001, 0.006332706, 0, False, 0
294, torque, SinCurve, 155.56, 0.009714805, 0.05000001, 0.006333085, 0, False, 0
295, torque, SinCurve, 155.58, 0.009715354, 0.05000001, 0.006333456, 0, False, 0
296, torque, SinCurve, 155.6, 0.009715891, 0.05000001, 0.00633382, 0, False, 0
297, torque, SinCurve, 155.62, 0.009716418, 0.05000001, 0.006334176, 0, False, 0
