Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count
0, torque, StraightLine, 183.52, 0, 0.15, 0, 0, False, 0
1, torque, StraightLine, 183.54, 0, 0.1468757, 0, 0, False, 0
2, torque, StraightLine, 183.56, -2.085107E-05, 0.1420563, -1.137692E-05, 0, False, 0
3, torque, StraightLine, 183.58, -6.684159E-05, 0.1362929, -3.691503E-05, 0, False, 0
4, torque, StraightLine, 183.6, -0.0001355139, 0.1296485, -7.566085E-05, 0, False, 0
5, torque, StraightLine, 183.62, -0.0002245296, 0.1221851, -0.0001266731, 0, False, 0
6, torque, StraightLine, 183.64, -0.0003316698, 0.1139634, -0.0001890264, 0, False, 0
7, torque, StraightLine, 183.66, -0.0004548347, 0.1050431, -0.0002618148, 0, False, 0
8, torque, StraightLine, 183.68, -0.0005920432, 0.09548235, -0.0003441551, 0, False, 0
9, torque, StraightLine, 183.7, -0.0007414314, 0.08533812, -0.000435189, 0, False, 0
10, torque, StraightLine, 183.72, -0.0009012516, 0.07466578, -0.0005340863, 0, False, 0
11, torque, StraightLine, 183.74, -0.00106987, 0.0635193, -0.0006400461, 0, False, 0
12, torque, StraightLine, 183.76, -0.001245766, 0.05270422, -0.0007522994, 0, False, 0
13, torque, StraightLine, 183.78, -0.001420285, 0.05054069, -0.000863999, 0, False, 0
14, torque, StraightLine, 183.8, -0.001591705, 0.05010808, -0.0009737732, 0, False, 0
15, torque, StraightLine, 183.82, -0.001759773, 0.05002159, -0.001081412, 0, False, 0
16, torque, StraightLine, 183.84, -0.001924495, 0.0500043, -0.00118691, 0, False, 0
17, torque, StraightLine, 183.86, -0.002085926, 0.05000085, -0.001290301, 0, False, 0
18, torque, StraightLine, 183.88, -0.002244128, 0.05000013, -0.001391623, 0, False, 0
19, torque, StraightLine, 183.9, -0.002399166, 0.05000001, -0.001490919, 0, False, 0
20, torque, StraightLine, 183.92, -0.002551103, 0.04999995, -0.001588229, 0, False, 0
21, torque, StraightLine, 183.94, -0.002700001, 0.04999995, -0.001683593, 0, False, 0
22, torque, StraightLine, 183.96, -0.002845921, 0.04999995, -0.001777049, 0, False, 0
23, torque, StraightLine, 183.98, -0.002988923, 0.04999995, -0.001868636, 0, False, 0
24, torque, StraightLine, 184, -0.003129064, 0.05000001, -0.001958391, 0, False, 0
25, torque, StraightLine, 184.02, -0.003266403, 0.05000001, -0.002046351, 0, False, 0
26, torque, StraightLine, 184.04, -0.003400994, 0.05000001, -0.002132551, 0, False, 0
27, torque, StraightLine, 184.06, -0.003532894, 0.05000001, -0.002217028, 0, False, 0
28, torque, StraightLine, 184.08, -0.003662156, 0.05000001, -0.002299814, 0, False, 0
29, torque, StraightLine, 184.1, -0.003788832, 0.05000001, -0.002380946, 0, False, 0
30, torque, StraightLine, 184.12, -0.003912975, 0.05000001, -0.002460454, 0, False, 0
31, torque, StraightLine, 184.14, -0.004034635, 0.05000001, -0.002538373, 0, False, 0
32, torque, StraightLine, 184.16, -0.004153862, 0.05000001, -0.002614732, 0, False, 0
33, torque, StraightLine, 184.18, -0.004270704, 0.05000001, -0.002689565, 0, False, 0
34, torque, StraightLine, 184.2, -0.004385209, 0.05000001, -0.002762901, 0, False, 0
35, torque, StraightLine, 184.22, -0.004497424, 0.05000001, -0.00283477, 0, False, 0
36, torque, StraightLine, 184.24, -0.004607394, 0.05000001, -0.002905202, 0, False, 0
37, torque, StraightLine, 184.26, -0.004715165, 0.05000001, -0.002974225, 0, False, 0
38, torque, StraightLine, 184.28, -0.00482078, 0.05000001, -0.003041868, 0, False, 0
39, torque, StraightLine, 184.3, -0.004924282, 0.05000001, -0.003108158, 0, False, 0
Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count
0, torque, StraightLine, 186.94, 0, 0.15, 0, 0, False, 0
1, torque, StraightLine, 186.96, 0, 0.1468757, 0, 0, False, 0
2, torque, StraightLine, 186.98, 2.086284E-05, 0.1420563, 1.138379E-05, 0, False, 0
3, torque, StraightLine, 187, 6.689472E-05, 0.1362929, 3.694593E-05, 0, False, 0
4, torque, StraightLine, 187.02, 0.0001356502, 0.1296486, 7.573997E-05, 0, False, 0
5, torque, StraightLine, 187.04, 0.0002248014, 0.1221851, 0.0001268306, 0, False, 0
6, torque, StraightLine, 187.06, 0.0003321384, 0.1139635, 0.0001892975, 0, False, 0
7, torque, StraightLine, 187.08, 0.0004555687, 0.1050432, 0.0002622388, 0, False, 0
8, torque, StraightLine, 187.1, 0.0005931172, 0.09548247, 0.0003447746, 0, False, 0
9, torque, StraightLine, 187.12, 0.0007429246, 0.08533823, 0.0004360492, 0, False, 0
10, torque, StraightLine, 187.14, 0.0009032466, 0.0746659, 0.000535234, 0, False, 0
11, torque, StraightLine, 187.16, 0.001072452, 0.06351942, 0.0006415294, 0, False, 0
12, torque, StraightLine, 187.18, 0.001249021, 0.05270422, 0.000754167, 0, False, 0
13, torque, StraightLine, 187.2, 0.001424219, 0.05054069, 0.0008662543, 0, False, 0
14, torque, StraightLine, 187.22, 0.001596308, 0.05010808, 0.0009764106, 0, False, 0
15, torque, StraightLine, 187.24, 0.001765033, 0.05002159, 0.001084424, 0, False, 0
