Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count
0, torque, StraightLine, 57.28, 0, 0.15, 0, 0, False, 0
1, torque, StraightLine, 57.3, 0, 0.1468757, 0, 0, False, 0
2, torque, StraightLine, 57.32, -2.200127E-05, 0.1420574, -1.157767E-05, 0, False, 0
3, torque, StraightLine, 57.34, -7.201872E-05, 0.136295, -3.782338E-05, 0, False, 0
4, torque, StraightLine, 57.36, -0.0001487772, 0.1296515, -7.799813E-05, 0, False, 0
5, torque, StraightLine, 57.38, -0.0002509505, 0.1221889, -0.0001313431, 0, False, 0
6, torque, StraightLine, 57.4, -0.0003771733, 0.1139679, -0.0001970856, 0, False, 0
7, torque, StraightLine, 57.42, -0.0005260523, 0.1050481, -0.0002744452, 0, False, 0
8, torque, StraightLine, 57.44, -0.0006961761, 0.09548783, -0.0003626384, 0, False, 0
9, torque, StraightLine, 57.46, -0.0008861249, 0.08534396, -0.0004608839, 0, False, 0
10, torque, StraightLine, 57.48, -0.001094479, 0.07467198, -0.0005684068, 0, False, 0
11, torque, StraightLine, 57.5, -0.001319828, 0.06352568, -0.0006844429, 0, False, 0
12, torque, StraightLine, 57.52, -0.001560777, 0.05270612, -0.0008082417, 0, False, 0
13, torque, StraightLine, 57.54, -0.001800949, 0.05054098, -0.0009315916, 0, False, 0
14, torque, StraightLine, 57.56, -0.002037054, 0.05010813, -0.001052844, 0, False, 0
15, torque, StraightLine, 57.58, -0.002268581, 0.05002159, -0.001171743, 0, False, 0
16, torque, StraightLine, 57.6, -0.002495506, 0.0500043, -0.001288277, 0, False, 0
17, torque, StraightLine, 57.62, -0.002717897, 0.05000085, -0.001402484, 0, False, 0
18, torque, StraightLine, 57.64, -0.002935841, 0.05000013, -0.001514407, 0, False, 0
19, torque, StraightLine, 57.66, -0.003149425, 0.05000001, -0.001624091, 0, False, 0
20, torque, StraightLine, 57.68, -0.003358738, 0.04999995, -0.001731581, 0, False, 0
21, torque, StraightLine, 57.7, -0.003563863, 0.05000001, -0.00183692, 0, False, 0
22, torque, StraightLine, 57.72, -0.003764886, 0.05000001, -0.001940153, 0, False, 0
23, torque, StraightLine, 57.74, -0.003961889, 0.05000001, -0.002041321, 0, False, 0
24, torque, StraightLine, 57.76, -0.004154951, 0.05000001, -0.002140466, 0, False, 0
25, torque, StraightLine, 57.78, -0.004344152, 0.05000001, -0.002237628, 0, False, 0
26, torque, StraightLine, 57.8, -0.004529569, 0.05000001, -0.002332847, 0, False, 0
27, torque, StraightLine, 57.82, -0.004711278, 0.05000001, -0.002426161, 0, False, 0
28, torque, StraightLine, 57.84, -0.004889352, 0.05000001, -0.002517609, 0, False, 0
29, torque, StraightLine, 57.86, -0.005063864, 0.05000001, -0.002607228, 0, False, 0
30, torque, StraightLine, 57.88, -0.005234887, 0.05000001, -0.002695055, 0, False, 0
31, torque, StraightLine, 57.9, -0.005402489, 0.05000001, -0.002781125, 0, False, 0
32, torque, StraightLine, 57.92, -0.005566738, 0.05000001, -0.002865473, 0, False, 0
33, torque, StraightLine, 57.94, -0.005727703, 0.05000001, -0.002948134, 0, False, 0
34, torque, StraightLine, 57.96, -0.005885448, 0.05000001, -0.003029143, 0, False, 0
35, torque, StraightLine, 57.98, -0.006040038, 0.05000001, -0.003108531, 0, False, 0
36, torque, StraightLine, 58, -0.006191536, 0.05000001, -0.003186331, 0, False, 0
37, torque, StraightLine, 58.02, -0.006340005, 0.05000001, -0.003262575, 0, False, 0
38, torque, StraightLine, 58.04, -0.006485503, 0.05000001, -0.003337294, 0, False, 0
39, torque, StraightLine, 58.06, -0.006628092, 0.05000001, -0.003410519, 0, False, 0
40, torque, StraightLine, 58.08, -0.006767828, 0.05000001, -0.003482279, 0, False, 0
41, torque, StraightLine, 58.1, -0.00690477, 0.05000001, -0.003552604, 0, False, 0
42, torque, StraightLine, 58.12, -0.007038972, 0.05000001, -0.003621523, 0, False, 0
43, torque, StraightLine, 58.14, -0.00717049, 0.05000001, -0.003689063, 0, False, 0
44, torque, StraightLine, 58.16, -0.007299376, 0.05000001, -0.003755252, 0, False, 0
45, torque, StraightLine, 58.18, -0.007425684, 0.05000001, -0.003820117, 0, False, 0
46, torque, StraightLine, 58.2, -0.007549466, 0.05000001, -0.003883685, 0, False, 0
47, torque, StraightLine, 58.22, -0.007670772, 0.05000001, -0.003945982, 0, False, 0
48, torque, StraightLine, 58.24, -0.007789651, 0.05000001, -0.004007032, 0, False, 0
49, torque, StraightLine, 58.26, -0.007906152, 0.05000001, -0.004066862, 0, False, 0
50, torque, StraightLine, 58.28, -0.008020323, 0.05000001, -0.004125495, 0, False, 0
51, torque, StraightLine, 58.3, -0.008132209, 0.05000001, -0.004182954, 0, False, 0
52, torque, StraightLine, 58.32, -0.008241857, 0.05000001, -0.004239265, 0, False, 0
53, torque, StraightLine, 58.34, -0.008349312, 0.05000001, -0.004294449, 0, False, 0
54, torque, StraightLine, 58.36, -0.008454618, 0.05000001, -0.00434853, 0, False, 0
55, torque, StraightLine, 58.38, -0.008557817, 0.05000001, -0.004401529, 0, False, 0
56, torque, StraightLine, 58.4, -0.008658951, 0.05000001, -0.004453468, 0, False, 0
57, torque, StraightLine, 58.42, -0.008758062, 0.05000001, -0.004504368, 0, False, 0
58, torque, StraightLine, 58.44, -0.008855191, 0.05000001, -0.00455425, 0, False, 0
59, torque, StraightLine, 58.46, -0.008950377, 0.05000001, -0.004603134, 0, False, 0
60, torque, StraightLine, 58.48, -0.009043658, 0.05000001, -0.004651041, 0, False, 0
61, torque, StraightLine, 58.5, -0.009135074, 0.05000001, -0.004697989, 0, False, 0
62, torque, StraightLine, 58.52, -0.009224661, 0.05000001, -0.004743998, 0, False, 0
63, torque, StraightLine, 58.54, -0.009312456, 0.05000001, -0.004789087, 0, False, 0
64, torque, StraightLine, 58.56, -0.009398494, 0.05000001, -0.004833275, 0, False, 0
65, torque, StraightLine, 58.58, -0.009482811, 0.05000001, -0.004876578, 0, False, 0
66, torque, StraightLine, 58.6, -0.009565442, 0.05000001, -0.004919015, 0, False, 0
67, torque, StraightLine, 58.62, -0.009646419, 0.05000001, -0.004960603, 0, False, 0
68, torque, StraightLine, 58.64, -0.009725777, 0.05000001, -0.00500136, 0, False, 0
69, torque, StraightLine, 58.66, -0.009803547, 0.05000001, -0.005041301, 0, False, 0
70, torque, StraightLine, 58.68, -0.00987976, 0.05000001, -0.005080443, 0, False, 0
71, torque, StraightLine, 58.7, -0.00995445, 0.05000001, -0.005118803, 0, False, 0
72, torque, StraightLine, 58.72, -0.01002765, 0.05000001, -0.005156395, 0, False, 0
73, torque, StraightLine, 58.74, -0.01009938, 0.05000001, -0.005193236, 0, False, 0
74, torque, StraightLine, 58.76, -0.01016967, 0.05000001, -0.005229339, 0, False, 0
75, torque, StraightLine, 58.78, -0.01023856, 0.05000001, -0.005264721, 0, False, 0
76, torque, StraightLine, 58.8, -0.01030607, 0.05000001, -0.005299394, 0, False, 0
77, torque, StraightLine, 58.82, -0.01037223, 0.05000001, -0.005333375, 0, False, 0
78, torque, StraightLine, 58.84, -0.01043707, 0.05000001, -0.005366675, 0, False, 0
79, torque, StraightLine, 58.86, -0.01050061, 0.05000001, -0.00539931, 0, False, 0
80, torque, StraightLine, 58.88, -0.01056288, 0.05000001, -0.005431291, 0, False, 0
81, torque, StraightLine, 58.9, -0.0106239, 0.05000001, -0.005462633, 0, False, 0
82, torque, StraightLine, 58.92, -0.0106837, 0.05000001, -0.005493348, 0, False, 0
83, torque, StraightLine, 58.94, -0.0107423, 0.05000001, -0.005523449, 0, False, 0
84, torque, StraightLine, 58.96, -0.01079974, 0.05000001, -0.005552948, 0, False, 0
85, torque, StraightLine, 58.98, -0.01085602, 0.05000001, -0.005581856, 0, False, 0
