Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count, RMSE Distance, Sway V X, Sway V Y, Sway V Z, Sway V Magnitude
0, torque, RaceTrack, 61.82, 0, 0.1671874, 0, 0, False, 0, 0.4335339,0,0,0,0
1, torque, RaceTrack, 61.84, 0, 0.1671874, 0, 0, False, 0, 0.4335339,0.02121653,0.05148233,-0.04417199,0.07107557
2, torque, RaceTrack, 61.86, 0, 0.1671874, 0, 0, False, 0, 0.4335339,0.03190949,0.05461894,-0.05724795,0.08531572
3, torque, RaceTrack, 61.88, 0, 0.1671874, 0, 0, False, 0, 0.4335339,0.07370766,0.1581305,-0.1280994,0.2164429
4, torque, RaceTrack, 61.9, 0, 0.1671874, 0, 0, False, 0, 0.4335339,0.03720809,0.1110051,-0.08564992,0.1450603
5, torque, RaceTrack, 61.92, 0, 0.1671874, 0, 0, False, 0, 0.4335339,0.1158062,0.2419655,-0.1864152,0.3266634
6, torque, RaceTrack, 61.94, 0, 0.1671874, 0, 0, False, 0, 0.4335339,0.08976179,0.1766313,-0.111178,0.2271923
7, torque, RaceTrack, 61.96, 0, 0.1671874, 0, 0, False, 0, 0.4335339,0.2384012,0.6175347,-0.2108228,0.6947161
8, torque, RaceTrack, 61.98, 0, 0.1671874, 0, 0, False, 0, 0.4335339,0.1650616,0.4132892,-0.06415101,0.4496316
9, torque, RaceTrack, 62, 0, 0.1671874, 0, 0, False, 0, 0.4335339,0.3653823,1.047742,-0.1372366,1.11808
10, torque, RaceTrack, 62.02, 0, 0.1671874, 0, 0, False, 0, 0.4335339,0.1954213,0.5312411,-0.05083564,0.5683228
11, torque, RaceTrack, 62.04, 0, 0.1671874, 0, 0, False, 0, 0.4335339,0.3566909,1.098048,-0.04792422,1.155524
12, torque, RaceTrack, 62.06, 0, 0.1671874, 0, 0, False, 0, 0.4335339,0.143448,0.5857989,-0.05057934,0.6052239
13, torque, RaceTrack, 62.08, 0, 0.1671874, 0, 0, False, 0, 0.4335339,0.1499566,0.5833284,-0.02452675,0.6027939
14, torque, RaceTrack, 62.1, 0, 0.1671874, 0, 0, False, 0, 0.4335339,0.2247297,1.160029,0.03301426,1.182058
15, torque, RaceTrack, 62.12, 0, 0.1671874, 0, 0, False, 0, 0.4335339,0.1171972,0.6066362,0.02218434,0.6182514
16, torque, RaceTrack, 62.14, 0, 0.1671874, 0, 0, False, 0, 0.4335339,0.2026586,1.333486,0.0228519,1.348992
17, torque, RaceTrack, 62.16, 0, 0.1671874, 0, 0, False, 0, 0.4335339,0.09760782,0.6699379,0.02349561,0.6774187
18, torque, RaceTrack, 62.18, 0, 0.1671874, 0, 0, False, 0, 0.4335339,0.2323448,1.353638,0.07903395,1.375706
19, torque, RaceTrack, 62.2, 0, 0.1671874, 0, 0, False, 0, 0.4335339,0.1393343,0.6610669,0.06955241,0.679162
20, torque, RaceTrack, 62.22, 0, 0.1671874, 0, 0, False, 0, 0.4335339,0.1534181,0.6672945,0.04420179,0.6861289
21, torque, RaceTrack, 62.24, 0, 0.1671874, 0, 0, False, 0, 0.4335339,0.3505947,1.348035,0.09332085,1.396003
22, torque, RaceTrack, 62.26, 0, 0.1671874, 0, 0, False, 0, 0.4335339,0.1785908,0.6925901,0.06627885,0.7183096
23, torque, RaceTrack, 62.28, 0, 0.1671874, 0, 0, False, 0, 0.4335339,0.3776821,1.377539,0.1572573,1.437007
24, torque, RaceTrack, 62.3, 0, 0.1671874, 0, 0, False, 0, 0.4335339,0.1924769,0.6778204,0.09490034,0.710981
25, torque, RaceTrack, 62.32, 0, 0.1671874, 0, 0, False, 0, 0.4335339,0.3925249,1.395611,0.2118658,1.46516
26, torque, RaceTrack, 62.34, 0, 0.1671874, 0, 0, False, 0, 0.4335339,0.2217227,0.6981928,0.1083468,0.7405223
27, torque, RaceTrack, 62.36, 0, 0.1671874, 0, 0, False, 0, 0.4335339,0.4195515,1.355649,0.2787164,1.446199
