Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count, RMSE Distance, Sway V X, Sway V Y, Sway V Z, Sway V Magnitude, stg0,stg1,stg2,stg3,horizontal,vertical
0, joystickDir, Slope_HighAmp_HighFreq, 1874.78, 0, 0.4671876, 0, 0, False, 0, 0,0,0,0,0,97.74,98.13,97.31,96.5,0,0
1, joystickDir, Slope_HighAmp_HighFreq, 1874.8, 0, 0.4671876, 0, 0, False, 0, 0,0,0,0,0,97.74,98.13,97.31,96.5,0,0
2, joystickDir, Slope_HighAmp_HighFreq, 1874.82, 0, 0.4671876, 0, 0, False, 0, 0,0,0,0,0,97.74,98.13,97.31,96.5,0,0
3, joystickDir, Slope_HighAmp_HighFreq, 1874.84, 0, 0.4671876, 0, 0, False, 0, 0,0,0,0,0,97.74,98.13,97.31,96.5,0,0
4, joystickDir, Slope_HighAmp_HighFreq, 1874.86, 0, 0.4671876, 0, 0, False, 0, 0,0,0,0,0,97.74,98.13,97.31,96.5,0,0
5, joystickDir, Slope_HighAmp_HighFreq, 1874.88, 0, 0.4671876, 0, 0, False, 0, 0,-0.007234899,0.0265101,-0.01528261,0.0314434,97.79,98.32,97.36,96.73,0,0
6, joystickDir, Slope_HighAmp_HighFreq, 1874.9, 0, 0.4671876, 0, 0, False, 0, 0,0.003163344,-0.004085985,-0.005540344,0.007576109,98.02,98.37,97.44,96.94,0,0
7, joystickDir, Slope_HighAmp_HighFreq, 1874.92, 0, 0.4671876, 0, 0, False, 0, 0,0.007284025,-0.01650629,-0.00676597,0.01926896,97.58,98.39,97.5,97,0,0
8, joystickDir, Slope_HighAmp_HighFreq, 1874.94, 0, 0.4671876, 0, 0, False, 0, 0,0.003796089,-0.01770913,-0.00993831,0.02065898,97.72,98.29,96.8,95.88,0,0
9, joystickDir, Slope_HighAmp_HighFreq, 1874.96, 0, 0.4671876, 0, 0, False, 0, 0,-0.0006252382,-0.00476372,-0.002088593,0.005238909,97.72,98.29,96.8,95.88,0,0
10, joystickDir, Slope_HighAmp_HighFreq, 1874.98, 0, 0.4671876, 0, 0, False, 0, 0,0.004850062,-0.01531536,-0.01030006,0.01908335,97.61,97.84,97.1,96.24,0,0
11, joystickDir, Slope_HighAmp_HighFreq, 1875, 0, 0.4671876, 0, 0, False, 0, 0,0.001831055,-0.007872047,-0.00542022,0.009731427,97.06,97.93,97.43,96.06,0,0
12, joystickDir, Slope_HighAmp_HighFreq, 1875.02, 0, 0.4671876, 0, 0, False, 0, 0,0.002201759,-0.01044862,-0.008609327,0.01371648,96.48,97.73,97.57,96.62,0,0
13, joystickDir, Slope_HighAmp_HighFreq, 1875.04, 0, 0.4671876, 0, 0, False, 0, 0,0.003697837,-0.0003810975,-0.006908882,0.007845501,96.48,97.73,97.57,96.62,0,0
14, joystickDir, Slope_HighAmp_HighFreq, 1875.06, 0, 0.4671876, 0, 0, False, 0, 0,0.001728337,0.006562023,-0.003888386,0.007820924,96.37,97.86,96.72,97.06,0,0
15, joystickDir, Slope_HighAmp_HighFreq, 1875.08, 0, 0.4671876, 0, 0, False, 0, 0,0.0009557212,0.006133289,-0.00930414,0.01118471,96.26,97.78,97.04,96.83,0,0
16, joystickDir, Slope_HighAmp_HighFreq, 1875.1, 0, 0.4671876, 0, 0, False, 0, 0,-0.0003974728,0.001560118,-0.00425162,0.004546232,96.26,97.78,97.04,96.83,0,0
17, joystickDir, Slope_HighAmp_HighFreq, 1875.12, 0, 0.4671876, 0, 0, False, 0, 0,-0.00124601,5.95465E-05,-0.01039682,0.01047138,96.25,97.8,97.3,96.98,0,0
18, joystickDir, Slope_HighAmp_HighFreq, 1875.14, 0, 0.4671876, 0, 0, False, 0, 0,0.001612221,0.002786776,-0.008641685,0.009221936,96.19,97.65,97.93,96.72,0,0
19, joystickDir, Slope_HighAmp_HighFreq, 1875.16, 0, 0.4671876, 0, 0, False, 0, 0,0.001720967,0.00370255,-0.008236376,0.00919285,96.19,97.65,97.93,96.72,0,0
20, joystickDir, Slope_HighAmp_HighFreq, 1875.18, 0, 0.4671876, 0, 0, False, 0, 0,0.002371439,0.01138529,-0.009086795,0.01475867,96.36,97.51,97.43,95.97,0,0
21, joystickDir, Slope_HighAmp_HighFreq, 1875.2, 0, 0.4671876, 0, 0, False, 0, 0,0.0001205817,0.003989615,-0.003712724,0.005451228,96.33,97.6,97.29,95.69,0,0
22, joystickDir, Slope_HighAmp_HighFreq, 1875.22, 0, 0.4671876, 0, 0, False, 0, 0,0.002130276,0.003441787,-0.005689668,0.006982571,96.61,97.44,97.25,96.06,0,0
23, joystickDir, Slope_HighAmp_HighFreq, 1875.24, 0, 0.4671876, 0, 0, False, 0, 0,0.0005135885,0.001655393,-0.002262767,0.0028503,97.08,97.37,97.2,95.68,0,0
