Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count, RMSE Distance, Sway V X, Sway V Y, Sway V Z, Sway V Magnitude, stg0,stg1,stg2,stg3,horizontal,vertical
0, joystickDir, Slope_LowAmp_HighFreq, 658.56, 0, 0.4671876, 0, 0, False, 0, 0,0,0,0,0,96.39,98.02,98.69,98.96,0,0
1, joystickDir, Slope_LowAmp_HighFreq, 658.58, 0, 0.4671876, 0, 0, False, 0, 0,0,0,0,0,96.39,98.02,98.69,98.96,0,0
2, joystickDir, Slope_LowAmp_HighFreq, 658.6, 0, 0.4671876, 0, 0, False, 0, 0,0,0,0,0,96.39,98.02,98.69,98.96,0,0
3, joystickDir, Slope_LowAmp_HighFreq, 658.62, 0, 0.4671876, 0, 0, False, 0, 0,0,0,0,0,96.39,98.02,98.69,98.96,0,0
4, joystickDir, Slope_LowAmp_HighFreq, 658.64, 0, 0.4671876, 0, 0, False, 0, 0,0.06138052,0.01669684,-0.05660639,0.08515067,97.43,97.91,98.99,98.75,0,0
5, joystickDir, Slope_LowAmp_HighFreq, 658.66, 0, 0.4671876, 0, 0, False, 0, 0,0.005079917,-0.001146789,-0.004151137,0.006659776,97.23,97.68,99.24,98.43,0,0
6, joystickDir, Slope_LowAmp_HighFreq, 658.68, 0, 0.4671876, 0, 0, False, 0, 0,0.0003126191,-0.004727992,-0.006629013,0.008148341,97.44,97.87,98.88,98.12,0,0
7, joystickDir, Slope_LowAmp_HighFreq, 658.7, 0, 0.4671876, 0, 0, False, 0, 0,0.005917433,-0.002250857,-0.006971406,0.009417159,97.44,97.87,98.88,98.12,0,0
8, joystickDir, Slope_LowAmp_HighFreq, 658.72, 0, 0.4671876, 0, 0, False, 0, 0,0.01009712,0.00323729,-0.006867295,0.01263296,97.47,97.87,99.2,98.24,0,0
9, joystickDir, Slope_LowAmp_HighFreq, 658.74, 0, 0.4671876, 0, 0, False, 0, 0,0.003867545,0.00135766,-0.005765589,0.00707412,97.47,97.87,99.2,98.24,0,0
10, joystickDir, Slope_LowAmp_HighFreq, 658.76, 0, 0.4671876, 0, 0, False, 0, 0,0.003313762,0.002572409,-0.009813262,0.01067232,96.42,97.83,99.15,99.06,0,0
11, joystickDir, Slope_LowAmp_HighFreq, 658.78, 0, 0.4671876, 0, 0, False, 0, 0,0.001773939,0.001899369,-0.004272087,0.00500052,96.42,98.1,99.22,98.89,0,0
12, joystickDir, Slope_LowAmp_HighFreq, 658.8, 0, 0.4671876, 0, 0, False, 0, 0,0.004425793,0.0003930069,-0.01368378,0.01438708,96.54,98.05,99.16,98.83,0,0
13, joystickDir, Slope_LowAmp_HighFreq, 658.82, 0, 0.4671876, 0, 0, False, 0, 0,0.0003885409,-0.002584318,-0.005292194,0.005902287,96.54,98.05,99.16,98.83,0,0
14, joystickDir, Slope_LowAmp_HighFreq, 658.84, 0, 0.4671876, 0, 0, False, 0, 0,0.001205024,0.002066609,-0.008818927,0.009137638,96.61,98.17,98.38,98.82,0,0
15, joystickDir, Slope_LowAmp_HighFreq, 658.86, 0, 0.4671876, 0, 0, False, 0, 0,0.0001295136,0.0009408346,-0.002234482,0.002427932,96.59,97.84,98.36,98.32,0,0
16, joystickDir, Slope_LowAmp_HighFreq, 658.88, 0, 0.4671876, 0, 0, False, 0, 0,-0.0006475681,0.001286204,-0.001505038,0.00208298,96.59,97.84,98.36,98.32,0,0
