Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count, RMSE Distance, Sway V X, Sway V Y, Sway V Z, Sway V Magnitude, stg0,stg1,stg2,stg3,horizontal,vertical
0, joystickDir, Slope_None, 624.14, 0, 0.4671876, 0, 0, False, 0, 0,0,0,0,0,96.79,99.07,98.26,97.75,0,0
1, joystickDir, Slope_None, 624.16, 0, 0.4671876, 0, 0, False, 0, 0,0,0,0,0,96.79,99.07,98.26,97.75,0,0
2, joystickDir, Slope_None, 624.18, 0, 0.4671876, 0, 0, False, 0, 0,0,0,0,0,96.79,99.07,98.26,97.75,0,0
3, joystickDir, Slope_None, 624.2, 0, 0.4671876, 0, 0, False, 0, 0,0,0,0,0,96.79,99.07,98.26,97.75,0,0
4, joystickDir, Slope_None, 624.22, 0, 0.4671876, 0, 0, False, 0, 0,-0.08216569,0.0389072,-0.05122922,0.1043523,96.81,98.83,98.14,97.35,0,0
5, joystickDir, Slope_None, 624.24, 0, 0.4671876, 0, 0, False, 0, 0,-0.01726551,0.01943598,-0.003746963,0.02626584,96.97,98.28,98.33,97.6,0,0
6, joystickDir, Slope_None, 624.26, 0, 0.4671876, 0, 0, False, 0, 0,0.0019695,-0.01224276,-0.001527368,0.01249388,96.75,98.58,98.65,97.61,0,0
7, joystickDir, Slope_None, 624.28, 0, 0.4671876, 0, 0, False, 0, 0,-0.02688235,0.004372133,-0.007933451,0.02836751,97.22,98.24,98.59,97.46,0,0
8, joystickDir, Slope_None, 624.3, 0, 0.4671876, 0, 0, False, 0, 0,-0.01287991,0.007193217,0.0007860137,0.01477336,97.07,98.24,98.07,97.5,0,0
9, joystickDir, Slope_None, 624.32, 0, 0.4671876, 0, 0, False, 0, 0,-0.008561297,0.003965796,0.006801698,0.01163127,97.1,98.23,98.47,97.58,0,0
10, joystickDir, Slope_None, 624.34, 0, 0.4671876, 0, 0, False, 0, 0,-0.01841582,0.0005972859,0.0007376481,0.01844026,97.1,98.23,98.47,97.58,0,0
11, joystickDir, Slope_None, 624.36, 0, 0.4671876, 0, 0, False, 0, 0,-0.04392745,-0.01138529,-0.0001548209,0.04537918,97.28,98.31,99.13,97.57,0,0
12, joystickDir, Slope_None, 624.38, 0, 0.4671876, 0, 0, False, 0, 0,-0.0276132,-0.00543064,0.002727229,0.02827399,97.28,98.52,99.07,98.27,0,0
13, joystickDir, Slope_None, 624.4, 0, 0.4671876, 0, 0, False, 0, 0,-0.03861006,-0.003201453,-0.00210394,0.03879964,97.21,98.42,98.31,97.97,0,0
14, joystickDir, Slope_None, 624.42, 0, 0.4671876, 0, 0, False, 0, 0,-0.03095822,-0.005418731,-0.002599204,0.03153617,97.21,98.42,98.31,97.97,0,0
15, joystickDir, Slope_None, 624.44, 0, 0.4671876, 0, 0, False, 0, 0,-0.03165938,0,-0.003903273,0.03189909,97.01,98.09,98.23,98.04,0,0
16, joystickDir, Slope_None, 624.46, 0, 0.4671876, 0, 0, False, 0, 0,-0.06874464,-0.02039134,-0.008357523,0.07219059,97.57,97.93,98.23,97.94,0,0
17, joystickDir, Slope_None, 624.48, 0, 0.4671876, 0, 0, False, 0, 0,-0.03171298,-0.004096799,-0.008232303,0.0330192,96.97,98.2,97.99,97.62,0,0
18, joystickDir, Slope_None, 624.5, 0, 0.4671876, 0, 0, False, 0, 0,-0.06168421,-0.01876906,-0.02048102,0.06765125,97.01,98.3,98.17,97.48,0,0
19, joystickDir, Slope_None, 624.52, 0, 0.4671876, 0, 0, False, 0, 0,-0.01936104,-0.0132478,-0.01354047,0.02708687,97.01,98.3,98.17,97.48,0,0
20, joystickDir, Slope_None, 624.54, 0, 0.4671876, 0, 0, False, 0, 0,-0.04373988,-0.000440644,-0.01707793,0.04695771,97.41,98.16,98.17,97.42,0,0
21, joystickDir, Slope_None, 624.56, 0, 0.4671876, 0, 0, False, 0, 0,-0.02262023,-0.00680021,-0.01002763,0.02566069,97.36,98.23,98.19,97.34,0,0
22, joystickDir, Slope_None, 624.58, 0, 0.4671876, 0, 0, False, 0, 0,-0.02421696,-0.005518922,-0.01905641,0.03130601,96.8,98.58,98.39,97.59,0,0
23, joystickDir, Slope_None, 624.6, 0, 0.4671876, 0, 0, False, 0, 0,-0.009981484,-0.001988853,-0.01149098,0.01535019,96.8,98.58,98.39,97.59,0,0
24, joystickDir, Slope_None, 624.62, 0, 0.4671876, 0, 0, False, 0, 0,-0.01088808,-0.01276677,-0.01406339,0.02189337,96.83,98.27,98.21,98.05,0,0
25, joystickDir, Slope_None, 624.64, 0, 0.4671876, 0, 0, False, 0, 0,0.004492783,-0.002560499,-0.01011099,0.01135665,97.02,98.13,98.35,98.32,0,0
26, joystickDir, Slope_None, 624.66, 0, 0.4671876, 0, 0, False, 0, 0,-0.01551301,-0.004133218,-0.00756164,0.01774586,97.02,98.13,98.35,98.32,0,0
27, joystickDir, Slope_None, 624.68, 0, 0.4671876, 0, 0, False, 0, 0,0.02868951,-0.0005240092,-0.01341285,0.03167439,97.08,98.05,98.4,98.4,0,0
28, joystickDir, Slope_None, 624.7, 0, 0.4671876, 0, 0, False, 0, 0,0.02533554,-0.003179783,-0.006867199,0.02644162,96.95,97.93,98.72,98.31,0,0
29, joystickDir, Slope_None, 624.72, 0, 0.4671876, 0, 0, False, 0, 0,0.08191032,-0.01527857,-0.0141512,0.08451622,96.85,97.97,98.29,98.24,0,0
30, joystickDir, Slope_None, 624.74, 0, 0.4671876, 0, 0, False, 0, 0,0.02591612,-0.001726848,-0.005149283,0.0264791,96.77,97.82,98.03,98.67,0,0
31, joystickDir, Slope_None, 624.76, 0, 0.4671876, 0, 0, False, 0, 0,0.05739687,-0.001405297,-0.007069658,0.05784769,97.02,97.87,98.27,98.82,0,0
