Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count, RMSE Distance, Sway V X, Sway V Y, Sway V Z, Sway V Magnitude, stg0,stg1,stg2,stg3,horizontal,vertical
0, oneDir, FreeMode, 32.64, 0, 0.4671873, 0, 0, False, 0, 0,0,0,0,0,0,0,0,0,0,0
1, oneDir, FreeMode, 32.66, 0, 0.4671873, 0, 0, False, 0, 0,0,0,0,0,0,0,0,0,0,0
2, oneDir, FreeMode, 32.68, 0, 0.4671873, 0, 0, False, 0, 0,0,0,0,0,0,0,0,0,0,0
3, oneDir, FreeMode, 32.7, 0, 0.4671873, 0, 0, False, 0, 0,0,0,0,0,0,0,0,0,0,0
4, oneDir, FreeMode, 32.72, 0, 0.4671873, 0, 0, False, 0, 0,0.05788881,-0.03256152,0.1500352,0.164079,0,0,0,0,0,0
5, oneDir, FreeMode, 32.74, 0, 0.4671873, 0, 0, False, 0, 0,0,0,0,0,0,0,0,0,0,0
6, oneDir, FreeMode, 32.76, 0, 0.4671873, 0, 0, False, 0, 0,0,0,0,0,0,0,0,0,0,0
7, oneDir, FreeMode, 32.78, 0, 0.4671873, 0, 0, False, 0, 0,0.007048088,-0.0200267,0.2159859,0.2170268,0,0,0,0,0,0
8, oneDir, FreeMode, 32.8, 0, 0.4671873, 0, 0, False, 0, 0,0,0,0,0,0,0,0,0,0,0
9, oneDir, FreeMode, 32.82, 0, 0.4671873, 0, 0, False, 0, 0,0,0,0,0,0,0,0,0,0,0
10, oneDir, FreeMode, 32.84, 0, 0.4671873, 0, 0, False, 0, 0,0,0,0,0,0,0,0,0,0,0
11, oneDir, FreeMode, 32.86, 0, 0.4671873, 0, 0, False, 0, 0,-0.05275784,0.03765139,0.2824778,0.2898185,0,0,0,0,0,0
12, oneDir, FreeMode, 32.88, 0, 0.4671873, 0, 0, False, 0, 0,0,0,0,0,0,0,0,0,0,0
13, oneDir, FreeMode, 32.9, 0, 0.4671873, 0, 0, False, 0, 0,0,0,0,0,0,0,0,0,0,0
14, oneDir, FreeMode, 32.92, 0, 0.4671873, 0, 0, False, 0, 0,-0.07365476,-0.01383988,0.2523469,0.2632404,0,0,0,0,0,0
15, oneDir, FreeMode, 32.94, 0, 0.4671873, 0, 0, False, 0, 0,0,0,0,0,0,0,0,0,0,0
16, oneDir, FreeMode, 32.96, 0, 0.4671873, 0, 0, False, 0, 0,-0.0795823,-0.08270551,0.4545689,0.4688352,0,0,0,0,0,0
17, oneDir, FreeMode, 32.98, 0, 0.4671873, 0, 0, False, 0, 0,0,0,0,0,0,0,0,0,0,0
18, oneDir, FreeMode, 33, 0, 0.4671873, 0, 0, False, 0, 0,-0.03539243,-0.0919321,0.3750626,0.3877836,0,0,0,0,0,0
19, oneDir, FreeMode, 33.02, 0, 0.4671873, 0, 0, False, 0, 0,0,0,0,0,0,0,0,0,0,0
20, oneDir, FreeMode, 33.04, 0, 0.4671873, 0, 0, False, 0, 0,-0.04604055,-0.1334637,0.7606727,0.7736635,0,0,0,0,0,0
21, oneDir, FreeMode, 33.06, 0, 0.4671873, 0, 0, False, 0, 0,0,0,0,0,0,0,0,0,0,0
22, oneDir, FreeMode, 33.08, 0, 0.4671873, 0, 0, False, 0, 0,0,0,0,0,0,0,0,0,0,0
23, oneDir, FreeMode, 33.1, 0, 0.4671873, 0, 0, False, 0, 0,-0.01863199,-0.08362936,0.8827894,0.8869376,0,0,0,0,0,0
24, oneDir, FreeMode, 33.12, 0, 0.4671873, 0, 0, False, 0, 0,0,0,0,0,0,0,0,0,0,0
25, oneDir, FreeMode, 33.14, 0, 0.4671873, 0, 0, False, 0, 0,0.07923064,-0.1366584,1.488343,1.496702,0,0,0,0,0,0
26, oneDir, FreeMode, 33.16, 0, 0.4671873, 0, 0, False, 0, 0,0,0,0,0,0,0,0,0,0,0
27, oneDir, FreeMode, 33.18, 0, 0.4671873, 0, 0, False, 0, 0,0,0,0,0,0,0,0,0,0,0
28, oneDir, FreeMode, 33.2, 0, 0.4671873, 0, 0, False, 0, 0,0.03616131,-0.1139794,0.9136267,0.9214188,0,0,0,0,0,0
29, oneDir, FreeMode, 33.22, 0, 0.4671873, 0, 0, False, 0, 0,0,0,0,0,0,0,0,0,0,0
30, oneDir, FreeMode, 33.24, 0, 0.4671873, 0, 0, False, 0, 0,0.02373105,-0.1424101,0.4538916,0.4762997,0,0,0,0,0,0
31, oneDir, FreeMode, 33.26, 0, 0.4671873, 0, 0, False, 0, 0,0,0,0,0,0,0,0,0,0,0
32, oneDir, FreeMode, 33.28, 0, 0.4671873, 0, 0, False, 0, 0,0,0,0,0,0,0,0,0,0,0
33, oneDir, FreeMode, 33.3, 0, 0.4671873, 0, 0, False, 0, 0,0,0,0,0,0,0,0,0,0,0
34, oneDir, FreeMode, 33.32, 0, 0.4671873, 0, 0, False, 0, 0,0.06998021,0.08302141,0.5641659,0.5745198,0,0,0,0,0,0
35, oneDir, FreeMode, 33.34, 0, 0.4671873, 0, 0, False, 0, 0,0,0,0,0,0,0,0,0,0,0
36, oneDir, FreeMode, 33.36, 0, 0.4671873, 0, 0, False, 0, 0,0,0,0,0,0,0,0,0,0,0
37, oneDir, FreeMode, 33.38, 0, 0.4671873, 0, 0, False, 0, 0,0.1357941,0.295525,0.4335535,0.5419813,0,0,0,0,0,0
38, oneDir, FreeMode, 33.4, 0, 0.4671873, 0, 0, False, 0, 0,0,0,0,0,0,0,0,0,0,0
39, oneDir, FreeMode, 33.42, 0, 0.4671873, 0, 0, False, 0, 0,0,0,0,0,0,0,0,0,0,0
40, oneDir, FreeMode, 33.44, 0, 0.4671873, 0, 0, False, 0, 0,0.1286298,-0.08371877,-0.1630947,0.2239517,0,0,0,0,0,0
41, oneDir, FreeMode, 33.46, 0, 0.4671873, 0, 0, False, 0, 0,0,0,0,0,0,0,0,0,0,0
42, oneDir, FreeMode, 33.48, 0, 0.4671873, 0, 0, False, 0, 0,0,0,0,0,0,0,0,0,0,0
43, oneDir, FreeMode, 33.5, 0, 0.4671873, 0, 0, False, 0, 0,-0.08419261,-0.1006401,-0.457181,0.4756378,0,0,0,0,0,0
44, oneDir, FreeMode, 33.52, 0, 0.4671873, 0, 0, False, 0, 0,0,0,0,0,0,0,0,0,0,0
45, oneDir, FreeMode, 33.54, 0, 0.4671873, 0, 0, False, 0, 0,0,0,0,0,0,0,0,0,0,0
46, oneDir, FreeMode, 33.56, 0, 0.4671873, 0, 0, False, 0, 0,-0.1260284,-0.01964303,-0.520114,0.5355255,0,0,0,0,0,0
47, oneDir, FreeMode, 33.58, 0, 0.4671873, 0, 0, False, 0, 0,0,0,0,0,0,0,0,0,0,0
48, oneDir, FreeMode, 33.6, 0, 0.4671873, 0, 0, False, 0, 0,0,0,0,0,0,0,0,0,0,0
49, oneDir, FreeMode, 33.62, 0, 0.4671873, 0, 0, False, 0, 0,-0.1342176,-0.001651011,-0.6761776,0.6893716,0,0,0,0,0,0
50, oneDir, FreeMode, 33.64, 0, 0.4671873, 0, 0, False, 0, 0,0,0,0,0,0,0,0,0,0,0
51, oneDir, FreeMode, 33.66, 0, 0.4671873, 0, 0, False, 0, 0,0,0,0,0,0,0,0,0,0,0
52, oneDir, FreeMode, 33.68, 0, 0.4671873, 0, 0, False, 0, 0,-0.1060521,0.05837545,-1.076505,1.08329,0,0,0,0,0,0
53, oneDir, FreeMode, 33.7, 0, 0.4634987, 0, 0, False, 0, 0,0,-0.1844245,0,0.1844245,0,0,0,0,0,0
54, oneDir, FreeMode, 33.72, 0, 0.4563429, 0, 0, False, 0, 0,0,-0.3578489,0,0.3578489,0,0,0,0,0,0
55, oneDir, FreeMode, 33.74, 0, 0.4459279, 0, 0, False, 0, 0,-0.1030064,-0.1794416,-1.334354,1.3503,0,0,0,0,0,0
56, oneDir, FreeMode, 33.76, 0, 0.4324492, 0, 0, False, 0, 0,0,-0.6739164,0,0.6739164,0,0,0,0,0,0
57, oneDir, FreeMode, 33.78, 0, 0.4160907, 0, 0, False, 0, 0,0,-0.817906,0,0.817906,0,0,0,0,0,0
58, oneDir, FreeMode, 33.8, 0, 0.3970251, 0, 0, False, 0, 0,0,-0.9532591,0,0.9532591,0,0,0,0,0,0
59, oneDir, FreeMode, 33.82, 0, 0.375415, 0, 0, False, 0, 0,0.4292211,-0.6787562,-1.460279,1.66654,0,0,0,0,0,0
60, oneDir, FreeMode, 33.84, 0, 0.3514128, 0, 0, False, 0, 0,0.9083361,-0.6033223,-1.241301,1.652241,0,0,0,0,0,0
61, oneDir, FreeMode, 33.86, 0, 0.3251622, 0, 0, False, 0, 0,0,-1.312497,0,1.312497,0,0,0,0,0,0
62, oneDir, FreeMode, 33.88, 0, 0.2967981, 0, 0, False, 0, 0,0,-1.418174,0,1.418174,0,0,0,0,0,0
63, oneDir, FreeMode, 33.9, 0, 0.2664473, 0, 0, False, 0, 0,0,-1.517795,0,1.517795,0,0,0,0,0,0
64, oneDir, FreeMode, 33.92, 0, 0.234229, 0, 0, False, 0, 0,0.4876859,-1.34538,0.371087,1.478374,0,0,0,0,0,0
65, oneDir, FreeMode, 33.94, 0, 0.2002552, 0, 0, False, 0, 0,0,-1.698652,0,1.698652,0,0,0,0,0,0
