Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count, RMSE Distance, Sway V X, Sway V Y, Sway V Z, Sway V Magnitude, stg0,stg1,stg2,stg3,horizontal,vertical
0, torque, Slope_None, 264.3, 0, 0.4671876, 0, 0, False, 0, 0,0,0,0,0,34.92,21.36,25.07,39.07,0,0
1, torque, Slope_None, 264.32, 0, 0.4671876, 0, 0, False, 0, 0,0,0,0,0,34.92,21.36,25.07,39.07,0,0
2, torque, Slope_None, 264.34, 0, 0.4671876, 0, 0, False, 0, 0,0,0,0,0,34.92,21.36,25.07,39.07,0,0
3, torque, Slope_None, 264.36, 0, 0.4671876, 0, 0, False, 0, 0,0,0,0,0,34.92,21.36,25.07,39.07,0,0
4, torque, Slope_None, 264.38, 0, 0.4671876, 0, 0, False, 0, 0,0,0,0,0,34.92,21.36,25.07,39.07,0,0
5, torque, Slope_None, 264.4, 0, 0.4671876, 0, 0, False, 0, 0,0,0,0,0,34.92,21.36,25.07,39.07,0,0
6, torque, Slope_None, 264.42, 0, 0.4671876, 0, 0, False, 0, 0,0,0,0,0,34.92,21.36,25.07,39.07,0,0
7, torque, Slope_None, 264.44, 0, 0.4671876, 0, 0, False, 0, 0,0,0,0,0,34.92,21.36,25.07,39.07,0,0
8, torque, Slope_None, 264.46, 0, 0.4671876, 0, 0, False, 0, 0,0,0,0,0,34.92,21.36,25.07,39.07,0,0
9, torque, Slope_None, 264.48, 0, 0.4671876, 0, 0, False, 0, 0,0,0,0,0,34.92,21.36,25.07,39.07,0,0
10, torque, Slope_None, 264.5, 0, 0.4671876, 0, 0, False, 0, 0,0,0,0,0,34.92,21.36,25.07,39.07,0,0
11, torque, Slope_None, 264.52, 0, 0.4671876, 0, 0, False, 0, 0,0,0,0,0,34.92,21.36,25.07,39.07,0,0
12, torque, Slope_None, 264.54, 0, 0.4671876, 0, 0, False, 0, 0,0,0,0,0,34.92,21.36,25.07,39.07,0,0
13, torque, Slope_None, 264.56, 0, 0.4671876, 0, 0, False, 0, 0,0,0,0,0,34.92,21.36,25.07,39.07,0,0
14, torque, Slope_None, 264.58, 0, 0.4671876, 0, 0, False, 0, 0,0,0,0,0,34.92,21.36,25.07,39.07,0,0
15, torque, Slope_None, 264.6, 0, 0.4671876, 0, 0, False, 0, 0,0,0,0,0,34.92,21.36,25.07,39.07,0,0
16, torque, Slope_None, 264.62, 0, 0.4671876, 0, 0, False, 0, 0,-0.05321968,-0.08309876,0.07272111,0.122581,35.12,22,24.97,38.55,0,0
17, torque, Slope_None, 264.64, 0, 0.4671876, 0, 0, False, 0, 0,0,0,0,0,35.12,22,24.97,38.55,0,0
18, torque, Slope_None, 264.66, 0, 0.4671876, 0, 0, False, 0, 0,0,0,0,0,35.12,22,24.97,38.55,0,0
19, torque, Slope_None, 264.68, 0, 0.4671876, 0, 0, False, 0, 0,-0.004229038,-0.04282562,0.03028089,0.05261987,35.3,23.11,24.96,38.04,0,0
20, torque, Slope_None, 264.7, 0, 0.4671876, 0, 0, False, 0, 0,0.006436367,-0.01346016,0.0083552,0.01710006,35.31,23.48,25.08,38.07,0,0
21, torque, Slope_None, 264.72, 0, 0.4671876, 0, 0, False, 0, 0,0.01422194,-0.03562071,0.01724466,0.04205326,35.47,22.91,25.06,37.96,0,0
22, torque, Slope_None, 264.74, 0, 0.4671876, 0, 0, False, 0, 0,0.001341842,-0.02152314,0.003147364,0.02179339,35.44,23.03,25.14,37.59,0,0
23, torque, Slope_None, 264.76, 0, 0.4671876, 0, 0, False, 0, 0,0.01748196,-0.02250716,-0.004571952,0.02886336,35.27,23.84,25.36,37,0,0
24, torque, Slope_None, 264.78, 0, 0.4671876, 0, 0, False, 0, 0,0.02150596,-0.0004704173,0.01301686,0.02514292,35.25,24.48,25.17,37.35,0,0
