Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count, RMSE Distance, Sway V X, Sway V Y, Sway V Z, Sway V Magnitude, stg0,stg1,stg2,stg3,horizontal,vertical
0, oneDir, Slope_HighAmp_HighFreq, 786.54, 0, 0.4671876, 0, 0, False, 0, 0,0,0,0,0,72.58,67.97,53.51,62.11,0,0
1, oneDir, Slope_HighAmp_HighFreq, 786.56, 0, 0.4671876, 0, 0, False, 0, 0,0,0,0,0,72.58,67.97,53.51,62.11,0,0
2, oneDir, Slope_HighAmp_HighFreq, 786.58, 0, 0.4671876, 0, 0, False, 0, 0,0,0,0,0,72.58,67.97,53.51,62.11,0,0
3, oneDir, Slope_HighAmp_HighFreq, 786.6, 0, 0.4671876, 0, 0, False, 0, 0,0,0,0,0,72.58,67.97,53.51,62.11,0,0
4, oneDir, Slope_HighAmp_HighFreq, 786.62, 0, 0.4671876, 0, 0, False, 0, 0,-0.1439478,0.1636338,-0.3093589,0.3784176,72.66,67.89,53.57,62.12,0,0
5, oneDir, Slope_HighAmp_HighFreq, 786.64, 0, 0.4671876, 0, 0, False, 0, 0,-0.06009891,0.08082473,-0.09915992,0.1413407,72.58,67.9,53.56,62.01,0,0
6, oneDir, Slope_HighAmp_HighFreq, 786.66, 0, 0.4671876, 0, 0, False, 0, 0,-0.05031827,0.05441359,-0.1001051,0.1245544,72.86,68.21,53.62,61.75,0,0
7, oneDir, Slope_HighAmp_HighFreq, 786.68, 0, 0.4671876, 0, 0, False, 0, 0,-0.03991699,0.04349276,-0.07691918,0.09696157,72.98,68.23,53.78,61.77,0,0
8, oneDir, Slope_HighAmp_HighFreq, 786.7, 0, 0.4671876, 0, 0, False, 0, 0,-0.003005609,0.01245117,-0.02582531,0.02882728,72.99,68.42,53.88,62.31,0,0
9, oneDir, Slope_HighAmp_HighFreq, 786.72, 0, 0.4671876, 0, 0, False, 0, 0,-0.07476974,0.1007323,-0.1862278,0.2245402,73.02,68.47,53.96,62.82,0,0
10, oneDir, Slope_HighAmp_HighFreq, 786.74, 0, 0.4671876, 0, 0, False, 0, 0,-0.02748368,0.0482922,-0.1056265,0.1193501,72.84,68.16,54.16,62.94,0,0
11, oneDir, Slope_HighAmp_HighFreq, 786.76, 0, 0.4671876, 0, 0, False, 0, 0,-0.05845084,0.1024676,-0.2098567,0.2407404,72.79,68.07,54.65,62.81,0,0
12, oneDir, Slope_HighAmp_HighFreq, 786.78, 0, 0.4671876, 0, 0, False, 0, 0,-0.02412289,0.05648533,-0.1090704,0.1251753,72.79,68.07,54.65,62.81,0,0
13, oneDir, Slope_HighAmp_HighFreq, 786.8, 0, 0.4671876, 0, 0, False, 0, 0,-0.02730504,0.05416945,-0.1318717,0.1451552,72.84,67.97,54.87,62.67,0,0
14, oneDir, Slope_HighAmp_HighFreq, 786.82, 0, 0.4671876, 0, 0, False, 0, 0,-0.02726932,0.05254383,-0.1280562,0.1410775,72.78,67.94,54.7,62.72,0,0
15, oneDir, Slope_HighAmp_HighFreq, 786.84, 0, 0.4671876, 0, 0, False, 0, 0,-0.05769334,0.1198275,-0.2635838,0.2952347,72.73,67.8,54.41,63.01,0,0
16, oneDir, Slope_HighAmp_HighFreq, 786.86, 0, 0.4671876, 0, 0, False, 0, 0,-0.02765339,0.07027677,-0.1311928,0.1513773,72.73,67.8,54.41,63.01,0,0
17, oneDir, Slope_HighAmp_HighFreq, 786.88, 0, 0.4671876, 0, 0, False, 0, 0,-0.05835259,0.1367843,-0.2812887,0.3181797,72.6,67.61,54.22,63.16,0,0
18, oneDir, Slope_HighAmp_HighFreq, 786.9, 0, 0.4671876, 0, 0, False, 0, 0,-0.03097226,0.0654924,-0.1609327,0.1764876,72.43,67.44,54.12,63.09,0,0
19, oneDir, Slope_HighAmp_HighFreq, 786.92, 0, 0.4671876, 0, 0, False, 0, 0,-0.02711301,0.06486399,-0.1560825,0.1711847,72.43,67.44,54.12,63.09,0,0
