Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count, RMSE Distance, Sway V X, Sway V Y, Sway V Z, Sway V Magnitude
0, oneDir, Slope_None, 211.66, 0, -15.34524, 0, 0, False, 0, 0,0,0,0,0
1, oneDir, Slope_None, 211.68, 0, -15.34524, 0, 0, False, 0, 0,0,0,0,0
2, oneDir, Slope_None, 211.7, 0, -15.34524, 0, 0, False, 0, 0,0,0,0,0
3, oneDir, Slope_None, 211.72, 0, -15.34524, 0, 0, False, 0, 0,0,0,0,0
4, oneDir, Slope_None, 211.74, 0, -15.34524, 0, 0, False, 0, 0,0,0,0,0
5, oneDir, Slope_None, 211.76, 0, -15.34524, 0, 0, False, 0, 0,0,0,0,0
6, oneDir, Slope_None, 211.78, 0, -15.34524, 0, 0, False, 0, 0,0,0,0,0
7, oneDir, Slope_None, 211.8, 0, -15.34524, 0, 0, False, 0, 0,0,0,0,0
8, oneDir, Slope_None, 211.82, 0, -15.34524, 0, 0, False, 0, 0,0,0,0,0
9, oneDir, Slope_None, 211.84, 0, -15.34524, 0, 0, False, 0, 0,0,0,0,0
10, oneDir, Slope_None, 211.86, 0, -15.34524, 0, 0, False, 0, 0,0,0,0,0
11, oneDir, Slope_None, 211.88, 0, -15.34524, 0, 0, False, 0, 0,0,0,0,0
12, oneDir, Slope_None, 211.9, 0, -15.34524, 0, 0, False, 0, 0,0,0,0,0
13, oneDir, Slope_None, 211.92, 0, -15.34524, 0, 0, False, 0, 0,0,0,0,0
14, oneDir, Slope_None, 211.94, 0, -15.34524, 0, 0, False, 0, 0,0,0,0,0
15, oneDir, Slope_None, 211.96, 0, -15.34524, 0, 0, False, 0, 0,0,0,0,0
16, oneDir, Slope_None, 211.98, 0, -15.34524, 0, 0, False, 0, 0,0,0,0,0
17, oneDir, Slope_None, 212, 0, -15.34524, 0, 0, False, 0, 0,-0.1450735,0.2629672,-0.8280345,0.8808174
18, oneDir, Slope_None, 212.02, 0, -15.34524, 0, 0, False, 0, 0,-0.0005412094,0.0003816794,-0.05566854,0.05567247
19, oneDir, Slope_None, 212.04, 0, -15.34524, 0, 0, False, 0, 0,-0.007603556,0.04667239,-0.03088537,0.05648037
20, oneDir, Slope_None, 212.06, 0, -15.34524, 0, 0, False, 0, 0,-0.01021592,0.02412281,-0.05532923,0.06121763
21, oneDir, Slope_None, 212.08, 0, -15.34524, 0, 0, False, 0, 0,-0.009973451,0.04910374,-0.05466888,0.07415748
22, oneDir, Slope_None, 212.1, 0, -15.34524, 0, 0, False, 0, 0,-0.0374877,0.03611641,-0.04575941,0.06930834
23, oneDir, Slope_None, 212.12, 0, -15.34524, 0, 0, False, 0, 0,-0.04583475,0.02321701,-0.09594261,0.108834
24, oneDir, Slope_None, 212.14, 0, -15.34524, 0, 0, False, 0, 0,-0.01532332,0.01987986,-0.04092102,0.04800566
25, oneDir, Slope_None, 212.16, 0, -15.34524, 0, 0, False, 0, 0,0.000616129,0.02490458,-0.04413801,0.05068315
26, oneDir, Slope_None, 212.18, 0, -15.34524, 0, 0, False, 0, 0,0.004467159,-0.01101259,-0.02519844,0.02786026
27, oneDir, Slope_None, 212.2, 0, -15.34524, 0, 0, False, 0, 0,-0.008749955,0.001811594,-0.02328591,0.02494148
28, oneDir, Slope_None, 212.22, 0, -15.34524, 0, 0, False, 0, 0,-0.006128656,0.01430206,-0.04180187,0.04460387
29, oneDir, Slope_None, 212.24, 0, -15.34524, 0, 0, False, 0, 0,-0.003606199,0.002624046,-0.01011711,0.0110565
30, oneDir, Slope_None, 212.26, 0, -15.34524, 0, 0, False, 0, 0,-0.002809014,0.006197559,-0.01455756,0.01606931
31, oneDir, Slope_None, 212.28, 0, -15.34524, 0, 0, False, 0, 0,-0.001794462,0.004624333,0.001864482,0.005299136
32, oneDir, Slope_None, 212.3, 0, -15.34524, 0, 0, False, 0, 0,-0.007544504,0.0125,-0.02238676,0.02672708
