Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count, RMSE Distance, Sway V X, Sway V Y, Sway V Z, Sway V Magnitude, stg0,stg1,stg2,stg3,horizontal,vertical
0, oneDir, Slope_None, 406.98, 0, 0.4671876, 0, 0, False, 0, 0,0,0,0,0,52.54,41.16,28.11,36.89,0,0
1, oneDir, Slope_None, 407, 0, 0.4671876, 0, 0, False, 0, 0,0,0,0,0,52.54,41.16,28.11,36.89,0,0
2, oneDir, Slope_None, 407.02, 0, 0.4671876, 0, 0, False, 0, 0,0,0,0,0,52.54,41.16,28.11,36.89,0,0
3, oneDir, Slope_None, 407.04, 0, 0.4671876, 0, 0, False, 0, 0,0,0,0,0,52.54,41.16,28.11,36.89,0,0
4, oneDir, Slope_None, 407.06, 0, 0.4671876, 0, 0, False, 0, 0,0,0,0,0,52.54,41.16,28.11,36.89,0,0
5, oneDir, Slope_None, 407.08, 0, 0.4671876, 0, 0, False, 0, 0,0,0,0,0,52.54,41.16,28.11,36.89,0,0
6, oneDir, Slope_None, 407.1, 0, 0.4671876, 0, 0, False, 0, 0,0,0,0,0,52.54,41.16,28.11,36.89,0,0
7, oneDir, Slope_None, 407.12, 0, 0.4671876, 0, 0, False, 0, 0,-0.1844182,-0.004472805,0.0229276,0.1858918,52.33,41.03,28.29,37.11,0,0
8, oneDir, Slope_None, 407.14, 0, 0.4671876, 0, 0, False, 0, 0,-0.03713323,0.001634065,0.005474714,0.03757019,52.53,41.41,28.6,38.05,0,0
9, oneDir, Slope_None, 407.16, 0, 0.4671876, 0, 0, False, 0, 0,-0.04127019,-0.001321932,0.005704554,0.04168354,53.14,42.06,29.26,38.59,0,0
10, oneDir, Slope_None, 407.18, 0, 0.4671876, 0, 0, False, 0, 0,-0.04505457,0.013323,0.007818464,0.04762924,53,42.37,29.67,39.26,0,0
11, oneDir, Slope_None, 407.2, 0, 0.4671876, 0, 0, False, 0, 0,-0.03874344,0.009995229,0.00637002,0.04051587,53.17,41.55,29.4,38.88,0,0
12, oneDir, Slope_None, 407.22, 0, 0.4671876, 0, 0, False, 0, 0,-0.0412032,0.005490187,0.003627126,0.04172531,53.52,41.29,28.98,39.06,0,0
13, oneDir, Slope_None, 407.24, 0, 0.4671876, 0, 0, False, 0, 0,-0.08377565,0.005093034,0.005570134,0.08411495,54.24,42.25,27.47,39.7,0,0
14, oneDir, Slope_None, 407.26, 0, 0.4671876, 0, 0, False, 0, 0,-0.0517593,-0.003244275,0.001611701,0.05188592,54.83,42.03,26.91,39.51,0,0
15, oneDir, Slope_None, 407.28, 0, 0.4671876, 0, 0, False, 0, 0,-0.05222525,-0.005240092,0.009344334,0.05331277,54.66,41.68,27.05,39.27,0,0
16, oneDir, Slope_None, 407.3, 0, 0.4671876, 0, 0, False, 0, 0,-0.04578811,0.003196565,0.008215798,0.04662905,54.31,41.01,27.18,38.67,0,0
17, oneDir, Slope_None, 407.32, 0, 0.4671876, 0, 0, False, 0, 0,-0.1094272,-0.01360926,0.01432565,0.1111969,54.93,41.09,27.37,38.19,0,0
18, oneDir, Slope_None, 407.34, 0, 0.4671876, 0, 0, False, 0, 0,-0.05603474,-0.0002620046,0.001594357,0.05605803,54.93,41.09,27.37,38.19,0,0
19, oneDir, Slope_None, 407.36, 0, 0.4671876, 0, 0, False, 0, 0,-0.1182923,-0.008039122,0.0167432,0.1197415,55.11,41.71,28.02,38.48,0,0
20, oneDir, Slope_None, 407.38, 0, 0.4671876, 0, 0, False, 0, 0,-0.06446206,-0.004775629,0.01119772,0.06560147,55.31,42.64,27.8,38.64,0,0
21, oneDir, Slope_None, 407.4, 0, 0.4671876, 0, 0, False, 0, 0,-0.07381023,-0.006357347,0.0158725,0.07576478,55.63,42.88,27.6,38.47,0,0
22, oneDir, Slope_None, 407.42, 0, 0.4671876, 0, 0, False, 0, 0,-0.1420831,-0.0140625,0.0339881,0.146767,56.46,43.17,27.22,37.54,0,0
23, oneDir, Slope_None, 407.44, 0, 0.4671876, 0, 0, False, 0, 0,-0.08162038,-0.0009646532,0.0334495,0.08821386,56.46,43.17,27.22,37.54,0,0
24, oneDir, Slope_None, 407.46, 0, 0.4671876, 0, 0, False, 0, 0,-0.2835177,-0.007872137,0.1290367,0.3116003,57.83,45.13,25.23,34.11,0.4846667,0
25, oneDir, Slope_None, 407.48, 0, 0.4671876, 0, 0, False, 0, 0,0,0,0,0,57.83,45.13,25.23,34.11,0.4846667,0
26, oneDir, Slope_None, 407.5, 0, 0.4671876, 0, 0, False, 0, 0,-0.2092851,-0.0001786395,0.1104297,0.2366326,58.89,48.5,23.91,32.08,0.5711111,0
27, oneDir, Slope_None, 407.52, 0, 0.4671876, 0, 0, False, 0, 0,-0.1179792,0.008528149,0.0625574,0.1338105,58.89,48.5,23.91,32.08,0.5711111,0
28, oneDir, Slope_None, 407.54, 0, 0.4671876, 0, 0, False, 0, 0,-0.119576,0.01354962,0.06460594,0.1365867,59.57,48.79,23.38,31.58,0.5933334,0
29, oneDir, Slope_None, 407.56, 0, 0.4671876, 0, 0, False, 0, 0,-0.2704561,0.002774867,0.1666874,0.3177088,58.5,48.21,24.12,31.09,0.5722222,0
30, oneDir, Slope_None, 407.58, 0, 0.4671876, 0, 0, False, 0, 0,-0.1435368,-0.005832538,0.08263806,0.1657283,58.5,48.21,24.12,31.09,0.5722222,0
31, oneDir, Slope_None, 407.6, 0, 0.4671876, 0, 0, False, 0, 0,-0.3043168,0.02409251,0.1736175,0.3511868,57.22,48.06,24.73,30.5,0.5561112,0
32, oneDir, Slope_None, 407.62, 0, 0.4671876, 0, 0, False, 0, 0,-0.1765506,0.01638836,0.1133346,0.2104362,56.81,49.29,25.57,30.44,0.5565557,0
33, oneDir, Slope_None, 407.64, 0, 0.4671876, 0, 0, False, 0, 0,-0.3966081,-0.009064886,0.2318643,0.459501,56.87,49.66,26.47,30.64,0.5491112,0
34, oneDir, Slope_None, 407.66, 0, 0.4671876, 0, 0, False, 0, 0,-0.1926895,0.01194503,0.1028666,0.2187543,56.82,49.87,27.21,30.9,0.5397778,0
35, oneDir, Slope_None, 407.68, 0, 0.4671876, 0, 0, False, 0, 0,-0.4053972,0.03113073,0.2006694,0.453414,56.7,50.24,27.6,31.39,0.5327778,0
36, oneDir, Slope_None, 407.7, 0, 0.4671876, 0, 0, False, 0, 0,-0.2251744,0.01056775,0.1126193,0.2519887,56.7,50.24,27.6,31.39,0.5327778,0
37, oneDir, Slope_None, 407.72, 0, 0.4671876, 0, 0, False, 0, 0,-0.2250902,0.003465606,0.096376,0.2448795,56.22,50.68,27.86,31.03,0.5334445,0
38, oneDir, Slope_None, 407.74, 0, 0.4671876, 0, 0, False, 0, 0,-0.4108408,0.02727815,0.1568971,0.4406256,55.43,50.48,28.53,30.2,0.5242222,0
39, oneDir, Slope_None, 407.76, 0, 0.4671876, 0, 0, False, 0, 0,-0.2145784,0.05023855,0.100656,0.2422796,55.43,50.48,28.53,30.2,0.5242222,0
40, oneDir, Slope_None, 407.78, 0, 0.4671876, 0, 0, False, 0, 0,-0.4465674,0.05990377,0.1740611,0.4830199,54.16,50.34,29.29,29.74,0.5052223,0
41, oneDir, Slope_None, 407.8, 0, 0.4671876, 0, 0, False, 0, 0,-0.2151598,-0.001001908,0.0661513,0.2251016,53.04,50.88,30.27,28.83,0.4980001,0
42, oneDir, Slope_None, 407.82, 0, 0.4671876, 0, 0, False, 0, 0,-0.3632545,0.04964218,0.1223476,0.3865063,52.66,51.75,31.87,27.67,0.4985556,0
43, oneDir, Slope_None, 407.84, 0, 0.4671876, 0, 0, False, 0, 0,-0.1725791,0.02006717,0.06362617,0.1850258,52.66,51.75,31.87,27.67,0.4985556,0
44, oneDir, Slope_None, 407.86, 0, 0.4671876, 0, 0, False, 0, 0,-0.3666762,0.02318702,0.1319433,0.390382,52.16,52.86,33.31,25.89,0.5091111,0
45, oneDir, Slope_None, 407.88, 0, 0.4671876, 0, 0, False, 0, 0,-0.1518614,0.01817359,0.05889744,0.1638935,50.16,53.8,34.71,24.63,0.4957778,0
46, oneDir, Slope_None, 407.9, 0, 0.4671876, 0, 0, False, 0, 0,-0.1619245,-0.001526718,0.05598834,0.1713376,47.76,54.73,36.03,23.58,0.4764445,0
47, oneDir, Slope_None, 407.92, 0, 0.4671876, 0, 0, False, 0, 0,-0.3145635,0.01673426,0.1198607,0.3370413,44.47,55.8,37.95,22.47,0,0
48, oneDir, Slope_None, 407.94, 0, 0.4671876, 0, 0, False, 0, 0,-0.1610346,0.01327887,0.0639976,0.1737934,44.47,55.8,37.95,22.47,0,0
49, oneDir, Slope_None, 407.96, 0, 0.4671876, 0, 0, False, 0, 0,-0.2810756,0.005593989,0.1108615,0.3022003,41.95,57.01,40.45,21.55,0,0
50, oneDir, Slope_None, 407.98, 0, 0.4671876, 0, 0, False, 0, 0,-0.1071103,-0.01065124,0.0527299,0.1198603,37.73,56.87,43.46,21.94,0,-0.4517777
51, oneDir, Slope_None, 408, 0, 0.4671876, 0, 0, False, 0, 0,-0.257616,0.01685166,0.116994,0.2834388,34.15,57.13,46.23,21.8,0,-0.5267779
52, oneDir, Slope_None, 408.02, -2.500652E-12, 0.4671876, 0, 0, False, 0, 0,-0.1204394,-0.01029342,0.0580503,0.1340949,34.15,57.13,46.23,21.8,0,-0.5267779
53, oneDir, Slope_None, 408.04, -1.207465E-11, 0.4671876, 0, 0, False, 0, 0,-0.1845347,0.03086832,0.1270478,0.2261571,31.71,58.18,48.86,21.17,0,-0.6017778
54, oneDir, Slope_None, 408.06, -3.499486E-11, 0.4671876, 0, 0, False, 0, 0,-0.08919479,0.01115901,0.05604516,0.1059306,29.48,59.63,50.93,21.19,0,-0.6654445
55, oneDir, Slope_None, 408.08, -7.891235E-11, 0.4671876, 0, 0, False, 0, 0,-0.07728132,0.02070611,0.05657801,0.0979909,29.48,59.63,50.93,21.19,0,-0.6654445
56, oneDir, Slope_None, 408.1, -1.525783E-10, 0.4671876, 0, 0, False, 0, 0,-0.134681,0.002667683,0.0980366,0.1666051,26.91,60.63,51.99,21.11,0,-0.7177777
57, oneDir, Slope_None, 408.12, -2.656041E-10, 0.4671876, 0, 0, False, 0, 0,-0.05163891,0.01606632,0.04966603,0.07342628,23.45,60.53,53.38,20.74,0,-0.7746668
58, oneDir, Slope_None, 408.14, -4.282557E-10, 0.4671876, 0, 0, False, 0, 0,-0.07432926,0.03634303,0.09348387,0.1248395,20.87,59.92,54.73,20.49,0,-0.8143334
59, oneDir, Slope_None, 408.16, -6.512769E-10, 0.4671876, 0, 0, False, 0, 0,-0.0200882,0.006407203,0.05320033,0.05722642,19.31,59.87,55.63,20.26,0,-0.8436667
60, oneDir, Slope_None, 408.18, -9.457393E-10, 0.4671876, 0, 0, False, 0, 0,-0.01628586,0.02358063,0.09485031,0.0990851,18.99,60.15,56.45,20.67,0,-0.854889
61, oneDir, Slope_None, 408.2, -1.322913E-09, 0.4671876, 0, 0, False, 0, 0,-0.002294736,0.003769084,0.03845793,0.03871026,18.99,60.15,56.45,20.67,0,-0.854889
62, oneDir, Slope_None, 408.22, -1.794161E-09, 0.4671876, 0, 0, False, 0, 0,0.004077074,0.01081364,0.04267623,0.04421332,19.36,60.36,57.36,22.17,0,-0.8465557
63, oneDir, Slope_None, 408.24, -2.370846E-09, 0.4671876, 0, 0, False, 0, 0,0.01839609,-0.0132395,0.0840947,0.08709546,19.15,59.6,58.2,23.79,0,-0.8317778
64, oneDir, Slope_None, 408.26, -3.064254E-09, 0.4671876, 0, 0, False, 0, 0,0.01517138,-0.003494752,0.04264522,0.04539822,19.15,59.6,58.2,23.79,0,-0.8317778
65, oneDir, Slope_None, 408.28, -3.885534E-09, 0.4671876, 0, 0, False, 0, 0,0.05632112,-0.02431879,0.09193904,0.1105272,19.36,59.33,58.43,24.79,0,-0.817889
66, oneDir, Slope_None, 408.3, -4.845643E-09, 0.4671876, 0, 0, False, 0, 0,0.03535715,-0.01328721,0.04729246,0.06052483,19.93,59.93,58.4,24.99,0,-0.8156667
67, oneDir, Slope_None, 408.32, -5.955306E-09, 0.4671876, 0, 0, False, 0, 0,0.05615998,-0.02768368,0.08500045,0.1055718,20.52,61.1,58.4,25.18,0,-0.8199999
68, oneDir, Slope_None, 408.34, -7.224985E-09, 0.4671876, 0, 0, False, 0, 0,0.03134639,-0.02354468,0.03744358,0.05421227,20.67,61.1,59.25,26.16,0,-0.816889
69, oneDir, Slope_None, 408.36, -8.664848E-09, 0.4671876, 0, 0, False, 0, 0,0.04976853,-0.003602099,0.04217781,0.06533644,20.67,61.1,59.25,26.16,0,-0.816889
70, oneDir, Slope_None, 408.38, -1.028475E-08, 0.4671876, 0, 0, False, 0, 0,0.07447425,-0.02348514,0.07424182,0.1077488,19.39,60.11,60.17,27.09,0,-0.8200001
