Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count, RMSE Distance, Sway V X, Sway V Y, Sway V Z, Sway V Magnitude, stg0,stg1,stg2,stg3,horizontal,vertical
0, oneDir, Slope_LowAmp_HighFreq, 2417.38, 0, 0.4671859, 0, 0, False, 0, 0,0,0,0,0,42.43,54.23,43.87,46.56,0,0
1, oneDir, Slope_LowAmp_HighFreq, 2417.4, 0, 0.4671859, 0, 0, False, 0, 0,0,0,0,0,42.43,54.23,43.87,46.56,0,0
2, oneDir, Slope_LowAmp_HighFreq, 2417.42, 0, 0.4671859, 0, 0, False, 0, 0,0,0,0,0,42.43,54.23,43.87,46.56,0,0
3, oneDir, Slope_LowAmp_HighFreq, 2417.44, 0, 0.4671859, 0, 0, False, 0, 0,0,0,0,0,42.43,54.23,43.87,46.56,0,0
4, oneDir, Slope_LowAmp_HighFreq, 2417.46, 0, 0.4671859, 0, 0, False, 0, 0,0,0,0,0,42.43,54.23,43.87,46.56,0,0
5, oneDir, Slope_LowAmp_HighFreq, 2417.48, 0, 0.4671859, 0, 0, False, 0, 0,0.02883467,-0.003429878,-0.04535656,0.05385555,42.41,53.99,43.84,46.56,0,0
6, oneDir, Slope_LowAmp_HighFreq, 2417.5, 0, 0.4671859, 0, 0, False, 0, 0,0,0,0,0,42.41,53.99,43.84,46.56,0,0
7, oneDir, Slope_LowAmp_HighFreq, 2417.52, 0, 0.4671859, 0, 0, False, 0, 0,0.004942731,-0.00585342,-0.0096376,0.01231164,42.35,53.76,43.38,46.57,0,0
8, oneDir, Slope_LowAmp_HighFreq, 2417.54, 0, 0.4671859, 0, 0, False, 0, 0,0.003187598,-0.005240092,-0.006984804,0.009295527,42.3,53.74,43.03,46.25,0,0
9, oneDir, Slope_LowAmp_HighFreq, 2417.56, 0, 0.4671859, 0, 0, False, 0, 0,0.002744349,-0.002030535,-0.006156363,0.007039555,42.64,53.82,42.81,45.95,0,0
10, oneDir, Slope_LowAmp_HighFreq, 2417.58, 0, 0.4671859, 0, 0, False, 0, 0,-0.001485189,-0.007679881,-0.004475912,0.009012221,42.42,54.69,43.09,45.86,0,0
11, oneDir, Slope_LowAmp_HighFreq, 2417.6, 0, 0.4671859, 0, 0, False, 0, 0,-0.001172322,-0.005180545,-0.002847067,0.006026456,42.55,54.89,42.87,46.14,0,0
12, oneDir, Slope_LowAmp_HighFreq, 2417.62, 0, 0.4671859, 0, 0, False, 0, 0,-0.001710473,-0.005126953,-0.002679592,0.006032544,43.01,55.31,42.91,46.32,0,0
13, oneDir, Slope_LowAmp_HighFreq, 2417.64, 0, 0.4671859, 0, 0, False, 0, 0,-0.004405696,-0.009313072,-0.003521431,0.01088779,43.42,55.6,42.92,46.09,0,0
