Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count, RMSE Distance, Sway V X, Sway V Y, Sway V Z, Sway V Magnitude, stg0,stg1,stg2,stg3,horizontal,vertical
0, oneDir, Slope_None, 346.68, 0, 0.4671874, 0, 0, False, 0, 0,0,0,0,0,59.11,81.22,39.66,19.16,0.9056667,-0.4734446
1, oneDir, Slope_None, 346.7, 0, 0.4671874, 0, 0, False, 0, 0,0,0,0,0,59.11,81.22,39.66,19.16,0.9056667,-0.4734446
2, oneDir, Slope_None, 346.72, 0, 0.4671874, 0, 0, False, 0, 0,0,0,0,0,59.11,81.22,39.66,19.16,0.9056667,-0.4734446
3, oneDir, Slope_None, 346.74, 0, 0.4671874, 0, 0, False, 0, 0,0,0,0,0,59.11,81.22,39.66,19.16,0.9056667,-0.4734446
4, oneDir, Slope_None, 346.76, 0, 0.4671874, 0, 0, False, 0, 0,0,0,0,0,59.11,81.22,39.66,19.16,0.9056667,-0.4734446
5, oneDir, Slope_None, 346.78, 0, 0.4671874, 0, 0, False, 0, 0,-0.03304384,-0.04127763,0.03431069,0.06303144,58.95,81.24,39.75,18.81,0.907,-0.4803334
6, oneDir, Slope_None, 346.8, 0, 0.4671874, 0, 0, False, 0, 0,-0.003448533,-0.002397424,0.005380785,0.006825896,58.49,81.22,39.77,18.55,0.9043334,-0.4883333
7, oneDir, Slope_None, 346.82, 0, 0.4671874, 0, 0, False, 0, 0,0.004305211,0.009723943,0.0005537824,0.01064878,58.62,80.46,39.22,18.71,0.9016666,-0.4705556
8, oneDir, Slope_None, 346.84, 0, 0.4671874, 0, 0, False, 0, 0,-0.0005009542,0.002355678,-0.0005814647,0.002477554,58.4,80.1,39.33,18.66,0.8945556,-0.4707779
9, oneDir, Slope_None, 346.86, 0, 0.4671874, 0, 0, False, 0, 0,-0.002960997,-0.0004890267,0.002539062,0.003931093,58.42,80.66,39.45,18.5,0.9014444,-0.4798891
10, oneDir, Slope_None, 346.88, 0, 0.4671874, 0, 0, False, 0, 0,-0.001706007,-0.01231422,0.001484196,0.01252011,58.22,80.41,40.3,18.69,0.8848889,-0.4866667
11, oneDir, Slope_None, 346.9, 0, 0.4671874, 0, 0, False, 0, 0,0.001739921,-0.003345658,-0.001832359,0.004192648,58.22,80.41,40.3,18.69,0.8848889,-0.4866667
12, oneDir, Slope_None, 346.92, 0, 0.4671874, 0, 0, False, 0, 0,0.01342736,0.0006321565,-0.006916448,0.01511724,57.31,79.9,40.97,18.52,0.8635557,-0.5004445
13, oneDir, Slope_None, 346.94, 0, 0.4671874, 0, 0, False, 0, 0,0.01570241,0.003406059,-0.007038395,0.01754155,56.61,79.15,41.5,19.07,0.8354445,-0.4996668
14, oneDir, Slope_None, 346.96, 0, 0.4671874, 0, 0, False, 0, 0,0.02185413,0.002904342,-0.01654342,0.02756307,56.01,78.83,42.19,19.63,0.8113334,-0.5042224
15, oneDir, Slope_None, 346.98, 0, 0.4671874, 0, 0, False, 0, 0,0.01200948,-0.004055344,-0.01059309,0.0165193,56.01,78.83,42.19,19.63,0.8113334,-0.5042224
16, oneDir, Slope_None, 347, 0, 0.4671874, 0, 0, False, 0, 0,0.01173661,-0.002685547,-0.008704209,0.01485677,55.28,78.86,42.53,19.85,0.7973334,-0.5140002
17, oneDir, Slope_None, 347.02, 0, 0.4671874, 0, 0, False, 0, 0,0.02602278,-0.003232347,-0.01931656,0.03256935,55.15,79.61,42.87,20.08,0.7978889,-0.525
18, oneDir, Slope_None, 347.04, 0, 0.4671874, 0, 0, False, 0, 0,0.03167193,0.001097328,-0.02978888,0.0434936,55.03,79.7,42.71,20.33,0.7965556,-0.5227778
19, oneDir, Slope_None, 347.06, 0, 0.4671874, 0, 0, False, 0, 0,0.01446533,-0.003108327,-0.01212962,0.01913205,55.03,79.7,42.71,20.33,0.7965556,-0.5227778
20, oneDir, Slope_None, 347.08, 0, 0.4671874, 0, 0, False, 0, 0,0.01224207,0.001681775,-0.01313067,0.01803084,55.09,79.74,42.12,20,0.8078889,-0.5196668
21, oneDir, Slope_None, 347.1, 0, 0.4671874, 0, 0, False, 0, 0,0.02464778,0.007919684,-0.01542254,0.03013452,55.34,79.36,41.77,19.8,0.8125556,-0.511
22, oneDir, Slope_None, 347.12, 0, 0.4671874, 0, 0, False, 0, 0,0.01136093,0.006428912,-0.005932431,0.01433859,55.46,78.9,41.49,19.89,0.810889,-0.5004446
23, oneDir, Slope_None, 347.14, 0, 0.4671874, 0, 0, False, 0, 0,0.0205257,0.003560353,-0.01975638,0.02871054,55.47,78.9,41.08,19.61,0.8186667,-0.4988889
24, oneDir, Slope_None, 347.16, 0, 0.4671874, 0, 0, False, 0, 0,0.01283525,-0.002209175,-0.0140366,0.01914811,55.47,78.9,41.08,19.61,0.8186667,-0.4988889
25, oneDir, Slope_None, 347.18, 0, 0.4671874, 0, 0, False, 0, 0,0.0132887,0.003584208,-0.01310085,0.0190018,55.66,78.93,40.99,19.17,0.827,-0.5010001
26, oneDir, Slope_None, 347.2, 0, 0.4671874, 0, 0, False, 0, 0,0.02478381,0.006041269,-0.02048247,0.03271492,55.9,79.45,41.1,19.09,0.8351112,-0.5062222
27, oneDir, Slope_None, 347.22, 0, 0.4671874, 0, 0, False, 0, 0,0.01021818,0.00738972,-0.004014922,0.013234,55.9,79.45,41.1,19.09,0.8351112,-0.5062222
28, oneDir, Slope_None, 347.24, 0, 0.4671874, 0, 0, False, 0, 0,0.0207404,0.01184995,-0.01229127,0.02686375,55.96,79.62,41.15,19.16,0.8363334,-0.5072223
29, oneDir, Slope_None, 347.26, 0, 0.4671874, 0, 0, False, 0, 0,0.01156667,0.005069179,-0.008419311,0.01517792,55.83,79.48,40.89,19.03,0.8376667,-0.5056667
30, oneDir, Slope_None, 347.28, 0, 0.4671874, 0, 0, False, 0, 0,0.02661207,0.0006192835,-0.03140631,0.04116968,56.09,79.52,40.71,19.25,0.8405556,-0.4987778
31, oneDir, Slope_None, 347.3, 0, 0.4671874, 0, 0, False, 0, 0,0.01553405,0.005140744,-0.01366591,0.0213188,56.09,79.52,40.71,19.25,0.8405556,-0.4987778
32, oneDir, Slope_None, 347.32, 0, 0.4671874, 0, 0, False, 0, 0,0.02691204,0.03389386,-0.01608351,0.04617067,56.46,79.36,40.65,19.25,0.8435556,-0.4922223
33, oneDir, Slope_None, 347.34, 0, 0.4671874, 0, 0, False, 0, 0,0.01465291,0.006500477,-0.01068702,0.01926594,56.64,79.33,40.72,19.55,0.8411112,-0.4873334
34, oneDir, Slope_None, 347.36, 0, 0.4671874, 0, 0, False, 0, 0,0.02702469,0.008188216,-0.02973223,0.04100471,57.34,79.23,40.41,19.69,0.8496668,-0.4734445
35, oneDir, Slope_None, 347.38, 0, 0.4671874, 0, 0, False, 0, 0,0.01497892,0.004430259,-0.01541063,0.02194272,57.55,79.12,40.18,19.32,0.8574445,-0.4714445
36, oneDir, Slope_None, 347.4, 0, 0.4671874, 0, 0, False, 0, 0,0.02896589,0.008909828,-0.02783129,0.04114594,56.92,78.75,40.06,19.48,0.845889,-0.4712224
37, oneDir, Slope_None, 347.42, 0, 0.4671874, 0, 0, False, 0, 0,0.0135034,0.007418893,-0.01543267,0.02180709,56.92,78.75,40.06,19.48,0.845889,-0.4712224
38, oneDir, Slope_None, 347.44, 0, 0.4671874, 0, 0, False, 0, 0,0.01751113,-0.002536681,-0.01458591,0.02293084,56.86,78.47,39.8,19.98,0.8394445,-0.4603334
39, oneDir, Slope_None, 347.46, 0, 0.4671874, 0, 0, False, 0, 0,0.03564379,-0.0008885973,-0.04249463,0.05547128,57.08,78.11,39.76,20.59,0.8315556,-0.4466666
40, oneDir, Slope_None, 347.48, 0, 0.4671874, 0, 0, False, 0, 0,0.01788675,0.005814647,-0.01689379,0.02528133,57.08,78.11,39.76,20.59,0.8315556,-0.4466666
41, oneDir, Slope_None, 347.5, 0, 0.4671874, 0, 0, False, 0, 0,0.04357463,0.01563691,-0.02573451,0.05296722,57.42,77.68,39.68,20.66,0.8306667,0
42, oneDir, Slope_None, 347.52, 0, 0.4671874, 0, 0, False, 0, 0,0.02138448,0.01724117,-0.009082776,0.02893183,57.52,77.33,39.53,20.07,0.8361111,0
43, oneDir, Slope_None, 347.54, 0, 0.4671874, 0, 0, False, 0, 0,0.02239981,0.007836355,-0.01159053,0.02641023,57.52,77.33,39.53,20.07,0.8361111,0
44, oneDir, Slope_None, 347.56, 0, 0.4671874, 0, 0, False, 0, 0,0.04364163,0.01169493,-0.02903636,0.05370729,57.74,77.06,39.29,20.1,0.8378889,0
45, oneDir, Slope_None, 347.58, 0, 0.4671874, 0, 0, False, 0, 0,0.02694418,-1.192748E-05,-0.02125477,0.03431842,57.92,76.63,39.04,20.25,0.8362222,0
46, oneDir, Slope_None, 347.6, 0, 0.4671874, 0, 0, False, 0, 0,0.05514601,0.006151153,-0.03781351,0.06714746,57.67,76.42,39.18,20.87,0.8226666,0
47, oneDir, Slope_None, 347.62, 0, 0.4671874, 0, 0, False, 0, 0,0.02687709,0.00805105,-0.01160842,0.03036367,57.39,76.15,39.35,21.18,0.8112223,0
48, oneDir, Slope_None, 347.64, 0, 0.4671874, 0, 0, False, 0, 0,0.05721165,0.01931059,-0.03397096,0.06928274,57.35,76.01,39.21,21.03,0.8124444,0
49, oneDir, Slope_None, 347.66, 0, 0.4671874, 0, 0, False, 0, 0,0.03019007,0.01071837,-0.01396365,0.03494721,57.35,76.01,39.21,21.03,0.8124444,0
50, oneDir, Slope_None, 347.68, 0, 0.4671874, 0, 0, False, 0, 0,0.05846404,0.01132514,-0.03192241,0.06756733,57.43,76.02,38.92,20.87,0.8184445,0
51, oneDir, Slope_None, 347.7, 0, 0.4671874, 0, 0, False, 0, 0,0.03219973,0.009297471,-0.01551467,0.03693197,57.56,75.99,38.68,20.93,0.8215556,0
52, oneDir, Slope_None, 347.72, 0, 0.4671874, 0, 0, False, 0, 0,0.06646729,0.02053163,-0.02602628,0.07427527,57.85,75.88,38.37,21.34,0.8224444,0
53, oneDir, Slope_None, 347.74, 0, 0.4671874, 0, 0, False, 0, 0,0.02960103,0.003679628,-0.0108719,0.03174837,57.85,75.88,38.37,21.34,0.8224444,0
54, oneDir, Slope_None, 347.76, 0, 0.4671874, 0, 0, False, 0, 0,0.02748092,0.005176526,-0.01507335,0.03176796,57.7,75.64,38.35,21.34,0.8183334,0
55, oneDir, Slope_None, 347.78, 0, 0.4671874, 0, 0, False, 0, 0,0.06183159,0.01576196,-0.01726551,0.06610357,58.01,75.44,38.35,21.52,0.8175556,0
56, oneDir, Slope_None, 347.8, 0, 0.4671874, 0, 0, False, 0, 0,0.03176139,0.00263001,-0.01210192,0.03409046,58.01,75.44,38.35,21.52,0.8175556,0
57, oneDir, Slope_None, 347.82, 0, 0.4671874, 0, 0, False, 0, 0,0.05161788,0.01132574,-0.02218702,0.05731441,58.22,75.4,38.13,21.57,0.8213333,0
58, oneDir, Slope_None, 347.84, 0, 0.4671874, 0, 0, False, 0, 0,0.02367009,0.002254294,-0.01247316,0.02685023,58.11,75.25,37.9,21.68,0.8197777,0
59, oneDir, Slope_None, 347.86, 0, 0.4671874, 0, 0, False, 0, 0,0.05124493,0.01446803,-0.02316913,0.05807044,58.1,74.66,37.8,22.13,0.8092223,0
60, oneDir, Slope_None, 347.88, 0, 0.4671874, 0, 0, False, 0, 0,0.02316954,0.0008872428,-0.01227551,0.02623553,58.22,74.5,37.74,22.38,0.8066667,0
61, oneDir, Slope_None, 347.9, 0, 0.4671874, 0, 0, False, 0, 0,0.04461623,0.00892772,-0.03747614,0.05894721,58.52,74.3,37.51,22.36,0.8105556,0
62, oneDir, Slope_None, 347.92, 0, 0.4671874, 0, 0, False, 0, 0,0.02805791,0.006989504,-0.01825203,0.03419409,58.52,74.3,37.51,22.36,0.8105556,0
63, oneDir, Slope_None, 347.94, 0, 0.4671874, 0, 0, False, 0, 0,0.02160198,0.01336223,-0.01148652,0.02787714,58.57,74.19,37.32,22.6,0.8093334,0
64, oneDir, Slope_None, 347.96, 0, 0.4671874, 0, 0, False, 0, 0,0.03779073,0.01145635,-0.03059697,0.0499556,58.85,73.9,36.9,22.67,0.8131111,0
