Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count, RMSE Distance, Sway V X, Sway V Y, Sway V Z, Sway V Magnitude
0, oneDir, Slope_LowAmp_LowFreq, 884.04, 0, 0.1671875, 0, 0, False, 0, 0,0,0,0,0
1, oneDir, Slope_LowAmp_LowFreq, 884.06, 0, 0.1671875, 0, 0, False, 0, 0,0,0,0,0
2, oneDir, Slope_LowAmp_LowFreq, 884.08, 0, 0.1671875, 0, 0, False, 0, 0,0,0,0,0
3, oneDir, Slope_LowAmp_LowFreq, 884.1, 0, 0.1671875, 0, 0, False, 0, 0,0,0,0,0
4, oneDir, Slope_LowAmp_LowFreq, 884.12, 0, 0.1671875, 0, 0, False, 0, 0,0.07083613,-0.009027248,0.2283705,0.2392746
5, oneDir, Slope_LowAmp_LowFreq, 884.14, 0, 0.1671875, 0, 0, False, 0, 0,0,0,0,0
6, oneDir, Slope_LowAmp_LowFreq, 884.16, 0, 0.1671875, 0, 0, False, 0, 0,0.02407837,0.009420255,0.04941094,0.05576692
7, oneDir, Slope_LowAmp_LowFreq, 884.18, 0, 0.1671875, 0, 0, False, 0, 0,0.01372621,0.03968178,0.01037672,0.04325193
8, oneDir, Slope_LowAmp_LowFreq, 884.2, 0, 0.1671875, 0, 0, False, 0, 0,-0.004127992,0.002795298,-0.00508813,0.007123417
9, oneDir, Slope_LowAmp_LowFreq, 884.22, 0, 0.1671875, 0, 0, False, 0, 0,0.01278724,-0.002024581,0.03213054,0.03464079
10, oneDir, Slope_LowAmp_LowFreq, 884.24, 0, 0.1671875, 0, 0, False, 0, 0,0.01009871,-0.002322313,0.01521115,0.01840533
11, oneDir, Slope_LowAmp_LowFreq, 884.26, 0, 0.1671875, 0, 0, False, 0, 0,0.003701187,-0.005013815,0.01036779,0.01209662
12, oneDir, Slope_LowAmp_LowFreq, 884.28, 0, 0.1671875, 0, 0, False, 0, 0,0.01847405,-0.01230409,0.02250349,0.03160836
13, oneDir, Slope_LowAmp_LowFreq, 884.3, 0, 0.1671875, 0, 0, False, 0, 0,0.01047609,-0.00373952,0.01286874,0.01700991
14, oneDir, Slope_LowAmp_LowFreq, 884.32, 0, 0.1671875, 0, 0, False, 0, 0,0.001938238,-0.0003215511,0.009383039,0.009586531
15, oneDir, Slope_LowAmp_LowFreq, 884.34, 0, 0.1671875, 0, 0, False, 0, 0,0.00743397,0.007036028,0.01650973,0.01942526
16, oneDir, Slope_LowAmp_LowFreq, 884.36, 0, 0.1671875, 0, 0, False, 0, 0,0.01194987,0.001226658,0.02950901,0.03186041
17, oneDir, Slope_LowAmp_LowFreq, 884.38, 0, 0.1671875, 0, 0, False, 0, 0,0.005948695,0.001417207,0.01469756,0.01591898
18, oneDir, Slope_LowAmp_LowFreq, 884.4, 0, 0.1671875, 0, 0, False, 0, 0,0.01406496,-0.001314029,0.03136199,0.03439657
19, oneDir, Slope_LowAmp_LowFreq, 884.42, 0, 0.1671875, 0, 0, False, 0, 0,0.001986248,0.001857851,0.01654872,0.01677071
20, oneDir, Slope_LowAmp_LowFreq, 884.44, 0, 0.1671875, 0, 0, False, 0, 0,0.008289988,-0.0009527439,0.01545008,0.01755952
21, oneDir, Slope_LowAmp_LowFreq, 884.46, 0, 0.1671875, 0, 0, False, 0, 0,0.007209988,-0.007191323,0.02833599,0.03011025
22, oneDir, Slope_LowAmp_LowFreq, 884.48, 0, 0.1671875, 0, 0, False, 0, 0,0.004109825,-0.005371094,0.01165399,0.01347423
23, oneDir, Slope_LowAmp_LowFreq, 884.5, 0, 0.1671875, 0, 0, False, 0, 0,0.009227846,-0.009205888,0.02325439,0.02665836
24, oneDir, Slope_LowAmp_LowFreq, 884.52, 0, 0.1671875, 0, 0, False, 0, 0,0.004102234,-0.009174312,0.003816657,0.01075003
25, oneDir, Slope_LowAmp_LowFreq, 884.54, 0, 0.1671875, 0, 0, False, 0, 0,0.006512525,-0.01931688,0.001598823,0.02044777
26, oneDir, Slope_LowAmp_LowFreq, 884.56, 0, 0.1671875, 0, 0, False, 0, 0,0.002249741,-0.00663348,-0.0003885409,0.007015365
27, oneDir, Slope_LowAmp_LowFreq, 884.58, 0, 0.1671875, 0, 0, False, 0, 0,-0.1144773,-0.04591934,0.1215238,0.1731522
28, oneDir, Slope_LowAmp_LowFreq, 884.6, 0, 0.1671875, 0, 0, False, 0, 0,0,0,0,0
29, oneDir, Slope_LowAmp_LowFreq, 884.62, 0, 0.1671875, 0, 0, False, 0, 0,0,0,0,0
30, oneDir, Slope_LowAmp_LowFreq, 884.64, 0, 0.1671875, 0, 0, False, 0, 0,0,0,0,0
31, oneDir, Slope_LowAmp_LowFreq, 884.66, 0, 0.1671875, 0, 0, False, 0, 0,0,0,0,0
32, oneDir, Slope_LowAmp_LowFreq, 884.68, 0, 0.1671875, 0, 0, False, 0, 0,0,0,0,0
33, oneDir, Slope_LowAmp_LowFreq, 884.7, 0, 0.1671875, 0, 0, False, 0, 0,0,0,0,0
34, oneDir, Slope_LowAmp_LowFreq, 884.72, 0, 0.1671875, 0, 0, False, 0, 0,0,0,0,0
35, oneDir, Slope_LowAmp_LowFreq, 884.74, 0, 0.1671875, 0, 0, False, 0, 0,0,0,0,0
36, oneDir, Slope_LowAmp_LowFreq, 884.76, 0, 0.1671875, 0, 0, False, 0, 0,0,0,0,0
37, oneDir, Slope_LowAmp_LowFreq, 884.78, 0, 0.1671875, 0, 0, False, 0, 0,0,0,0,0
38, oneDir, Slope_LowAmp_LowFreq, 884.8, 0, 0.1671875, 0, 0, False, 0, 0,0,0,0,0
39, oneDir, Slope_LowAmp_LowFreq, 884.82, 0, 0.1671875, 0, 0, False, 0, 0,0,0,0,0
40, oneDir, Slope_LowAmp_LowFreq, 884.84, 0, 0.1671875, 0, 0, False, 0, 0,0,0,0,0
41, oneDir, Slope_LowAmp_LowFreq, 884.86, 0, 0.1671875, 0, 0, False, 0, 0,0,0,0,0
42, oneDir, Slope_LowAmp_LowFreq, 884.88, 0, 0.1671875, 0, 0, False, 0, 0,-0.04479385,-0.0170303,0.03941233,0.06204718
43, oneDir, Slope_LowAmp_LowFreq, 884.9, 0, 0.1671875, 0, 0, False, 0, 0,0,0,0,0
44, oneDir, Slope_LowAmp_LowFreq, 884.92, 0, 0.1671875, 0, 0, False, 0, 0,-0.03037318,-0.004978087,0.02907358,0.04233892
45, oneDir, Slope_LowAmp_LowFreq, 884.94, 0, 0.1671875, 0, 0, False, 0, 0,-0.02003665,-0.008110233,0.0289262,0.0361105
46, oneDir, Slope_LowAmp_LowFreq, 884.96, 0, 0.1671875, 0, 0, False, 0, 0,-0.006913211,0.006104262,0.01325975,0.01615164
47, oneDir, Slope_LowAmp_LowFreq, 884.98, 0, 0.1671875, 0, 0, False, 0, 0,0,0,0,0
48, oneDir, Slope_LowAmp_LowFreq, 885, 0, 0.1671875, 0, 0, False, 0, 0,-0.01304738,0.0008931974,0.02032396,0.02416806
49, oneDir, Slope_LowAmp_LowFreq, 885.02, 0, 0.1671875, 0, 0, False, 0, 0,-0.01381634,0.0005495031,0.02268119,0.02656369
50, oneDir, Slope_LowAmp_LowFreq, 885.04, 0, 0.1671875, 0, 0, False, 0, 0,-0.008336881,0.004180164,0.01011472,0.01375808
51, oneDir, Slope_LowAmp_LowFreq, 885.06, 0, 0.1671875, 0, 0, False, 0, 0,-0.001855618,0.006466749,0.01544115,0.01684314
52, oneDir, Slope_LowAmp_LowFreq, 885.08, 0, 0.1671875, 0, 0, False, 0, 0,-0.002886011,0.01778718,0.02747665,0.03285846
53, oneDir, Slope_LowAmp_LowFreq, 885.1, 0, 0.1671875, 0, 0, False, 0, 0,-0.001865666,0.008110233,0.00704435,0.01090319
54, oneDir, Slope_LowAmp_LowFreq, 885.12, 0, 0.1671875, 0, 0, False, 0, 0,-0.003014541,0.007550495,0.01125875,0.01388729
55, oneDir, Slope_LowAmp_LowFreq, 885.14, 0, 0.1671875, 0, 0, False, 0, 0,-0.001292377,0.001457378,0.00340229,0.003920429
56, oneDir, Slope_LowAmp_LowFreq, 885.16, 0, 0.1671875, 0, 0, False, 0, 0,-0.00245406,-0.009074885,0.006763737,0.0115812
57, oneDir, Slope_LowAmp_LowFreq, 885.18, 0, 0.1671875, 0, 0, False, 0, 0,-0.0003237841,-0.01140911,0.001788628,0.011553
58, oneDir, Slope_LowAmp_LowFreq, 885.2, 0, 0.1671875, 0, 0, False, 0, 0,0.0001142309,-0.01263857,0.0007130101,0.01265918
59, oneDir, Slope_LowAmp_LowFreq, 885.22, 0, 0.1671875, 0, 0, False, 0, 0,0.001515086,-0.03397723,0.004110941,0.03425854
60, oneDir, Slope_LowAmp_LowFreq, 885.24, 0, 0.1671875, 0, 0, False, 0, 0,0.001904743,-0.02456888,0.003530363,0.02489421
61, oneDir, Slope_LowAmp_LowFreq, 885.26, 0, 0.1671875, 0, 0, False, 0, 0,0.008857169,-0.129073,0.01385349,0.1301161
62, oneDir, Slope_LowAmp_LowFreq, 885.28, 0, 0.1671875, 0, 0, False, 0, 0,0.003337335,-0.07167431,0.00806784,0.07220412
63, oneDir, Slope_LowAmp_LowFreq, 885.3, 0, 0.1671875, 0, 0, False, 0, 0,0.01056764,-0.180676,0.0008239746,0.1809866
64, oneDir, Slope_LowAmp_LowFreq, 885.32, 0, 0.1671875, 0, 0, False, 0, 0,0.01076191,-0.09906155,-0.001145526,0.099651
65, oneDir, Slope_LowAmp_LowFreq, 885.34, 0, 0.1671875, 0, 0, False, 0, 0,0.04268205,-0.1157421,0.004499056,0.1234432
66, oneDir, Slope_LowAmp_LowFreq, 885.36, 0, 0.1671875, 0, 0, False, 0, 0,0.01497111,-0.06982422,0.004777118,0.07157078
67, oneDir, Slope_LowAmp_LowFreq, 885.38, 0, 0.1671875, 0, 0, False, 0, 0,0.01824356,-0.08120951,0.004224824,0.08334063
68, oneDir, Slope_LowAmp_LowFreq, 885.4, 0, 0.1671875, 0, 0, False, 0, 0,0.04742936,-0.171887,-0.01616256,0.1790416
69, oneDir, Slope_LowAmp_LowFreq, 885.42, 0, 0.1671875, 0, 0, False, 0, 0,0.02707951,-0.05958222,-0.004999673,0.06563793
70, oneDir, Slope_LowAmp_LowFreq, 885.44, 0, 0.1671875, 0, 0, False, 0, 0,0.04898741,-0.1531595,0.009121034,0.1610615
71, oneDir, Slope_LowAmp_LowFreq, 885.46, 0, 0.1671875, 0, 0, False, 0, 0,0.02228735,-0.09173714,-0.003468738,0.09446937
72, oneDir, Slope_LowAmp_LowFreq, 885.48, 0, 0.1671875, 0, 0, False, 0, 0,0.05483227,-0.1849931,-0.02701327,0.19483
73, oneDir, Slope_LowAmp_LowFreq, 885.5, 0, 0.1671875, 0, 0, False, 0, 0,0.02834004,-0.05343702,-0.002826225,0.06055296
74, oneDir, Slope_LowAmp_LowFreq, 885.52, 0, 0.1671875, 0, 0, False, 0, 0,0.02856221,-0.05265673,0.01095721,0.06089821
75, oneDir, Slope_LowAmp_LowFreq, 885.54, 0, 0.1671875, 0, 0, False, 0, 0,0.04770344,-0.174108,-0.02138315,0.1817868
76, oneDir, Slope_LowAmp_LowFreq, 885.56, 0, 0.1671875, 0, 0, False, 0, 0,0.02196596,-0.09159442,-0.007739556,0.09450895
