Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count, RMSE Distance, Sway V X, Sway V Y, Sway V Z, Sway V Magnitude
0, combined, RaceTrack, 90.42, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0,0,0,0
1, combined, RaceTrack, 90.43999, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.03900586,-0.01811093,0.03604153,0.05611109
2, combined, RaceTrack, 90.46, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.009913115,-0.01874166,0.01842657,0.02809018
3, combined, RaceTrack, 90.48, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.01571591,-0.005764737,0.03477397,0.03859341
4, combined, RaceTrack, 90.5, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.0007419193,0.002473064,0.02175999,0.02191263
5, combined, RaceTrack, 90.52, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.002870445,-0.002014975,0.06173171,0.06183125
6, combined, RaceTrack, 90.54, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.009374553,-0.001168002,-0.003845913,0.01019988
7, combined, RaceTrack, 90.56, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.01743505,0.005681276,0.03802222,0.04221312
8, combined, RaceTrack, 90.57999, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.009304357,-0.0109691,0.01113527,0.01819028
9, combined, RaceTrack, 90.6, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.003280535,-0.01361079,0.01309309,0.01916884
10, combined, RaceTrack, 90.62, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.007672406,0.01572634,0.03823088,0.04204502
11, combined, RaceTrack, 90.64, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.01135226,0.01723398,0.0228967,0.03082439
12, combined, RaceTrack, 90.66, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.04635635,-0.01833747,0.03478962,0.06079056
13, combined, RaceTrack, 90.68, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.006185641,-0.01541643,0.01456277,0.02209079
14, combined, RaceTrack, 90.7, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.004690183,0.01665633,0.04355148,0.04686324
15, combined, RaceTrack, 90.72, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.01151763,0.02079162,0.02843577,0.0370613
16, combined, RaceTrack, 90.74, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.04552026,-0.01622711,0.04974544,0.06935433
17, combined, RaceTrack, 90.75999, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.01125152,-0.01155928,0.02341067,0.02843015
18, combined, RaceTrack, 90.78, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.01401825,0.002866371,0.05559553,0.05740723
19, combined, RaceTrack, 90.8, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.01114868,0.003302652,0.033879,0.03581882
20, combined, RaceTrack, 90.82, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.01958265,-0.0007627765,0.03154945,0.03714067
21, combined, RaceTrack, 90.84, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.04392184,-0.02912772,0.07781947,0.09398629
22, combined, RaceTrack, 90.86, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.01937929,0.0002979596,0.04822997,0.05197861
23, combined, RaceTrack, 90.88, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.04164381,0.01481424,0.07710559,0.08887599
24, combined, RaceTrack, 90.9, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.02289447,0.008265398,0.0383839,0.04545104
25, combined, RaceTrack, 90.92, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.05394828,-0.01957745,0.09210017,0.1085179
26, combined, RaceTrack, 90.93999, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.03470467,-0.00866797,0.05101971,0.06231018
27, combined, RaceTrack, 90.96, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.04777782,0.004785231,0.1209686,0.13015
28, combined, RaceTrack, 90.98, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.01173216,-0.00109691,0.0657654,0.06681268
29, combined, RaceTrack, 91, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.00980585,-0.002377717,0.06399725,0.06478778
30, combined, RaceTrack, 91.02, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.01343342,-0.02180108,0.1415028,0.1438012
31, combined, RaceTrack, 91.04, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.01745522,-0.01859864,0.07801177,0.08207576
32, combined, RaceTrack, 91.06, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.02925887,-0.01662057,0.1784147,0.1815603
33, combined, RaceTrack, 91.07999, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.01367933,0.005794544,0.09277456,0.09395647
34, combined, RaceTrack, 91.1, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.02360734,-0.01384916,0.1833442,0.1853759
35, combined, RaceTrack, 91.12, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.01882556,-0.01454598,0.09564128,0.09855577
