Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count, RMSE Distance, Sway V X, Sway V Y, Sway V Z, Sway V Magnitude
0, directional, FreeMode, 474.66, 0, 0.1671875, 0, 0, False, 0, 0,0,0,0,0
1, directional, FreeMode, 474.68, 0, 0.1671875, 0, 0, False, 0, 0,0.001654938,0.0004770992,-0.001648229,0.002383926
2, directional, FreeMode, 474.7, 0, 0.1671875, 0, 0, False, 0, 0,0.002578572,-0.000322042,-0.0005792283,0.002662377
3, directional, FreeMode, 474.72, 0, 0.1671875, 0, 0, False, 0, 0,0.002011927,-0.0008574695,-0.004666957,0.005153988
4, directional, FreeMode, 474.74, 0, 0.1671875, 0, 0, False, 0, 0,0.0009079795,-0.0002087309,-0.004005397,0.004112323
5, directional, FreeMode, 474.76, 0, 0.1671875, 0, 0, False, 0, 0,0.0001856214,0.004663645,-0.004542134,0.006512681
6, directional, FreeMode, 474.78, 0, 0.1671875, 0, 0, False, 0, 0,0.0009088283,0.002441406,-0.001509504,0.00301082
7, directional, FreeMode, 474.8, 0, 0.1671875, 0, 0, False, 0, 0,0.003741502,-0.0003399332,-0.009274362,0.01000641
8, directional, FreeMode, 474.82, 0, 0.1671875, 0, 0, False, 0, 0,0.002994543,0.0007156489,-0.002097746,0.003725584
9, directional, FreeMode, 474.84, 0, 0.1671875, 0, 0, False, 0, 0,0.004526278,-0.002500953,-0.005711997,0.00770512
10, directional, FreeMode, 474.86, 0, 0.1671875, 0, 0, False, 0, 0,0.0007626133,-0.0001013836,-0.006554896,0.006599888
11, directional, FreeMode, 474.88, 0, 0.1671875, 0, 0, False, 0, 0,-0.0005009542,0.002874523,-0.007561278,0.008104737
12, directional, FreeMode, 474.9, 0, 0.1671875, 0, 0, False, 0, 0,-0.001487174,0.0003632336,-0.001672512,0.00226736
13, directional, FreeMode, 474.92, 0, 0.1671875, 0, 0, False, 0, 0,-0.001285932,-0.0004770992,-0.003940541,0.004172422
14, directional, FreeMode, 474.94, 0, 0.1671875, 0, 0, False, 0, 0,-0.003074832,-0.002840368,-0.007076357,0.008221745
15, directional, FreeMode, 474.96, 0, 0.1671875, 0, 0, False, 0, 0,-0.003459715,0.001222567,-0.005888448,0.006938164
16, directional, FreeMode, 474.98, 0, 0.1671875, 0, 0, False, 0, 0,-0.008992575,0.004902195,-0.008827081,0.01352092
17, directional, FreeMode, 475, 0, 0.1671875, 0, 0, False, 0, 0,-0.004300746,0.002751048,-0.0003215511,0.005115474
18, directional, FreeMode, 475.02, 0, 0.1671875, 0, 0, False, 0, 0,-0.006096434,0.002188693,-0.002102219,0.006810008
19, directional, FreeMode, 475.04, 0, 0.1671875, 0, 0, False, 0, 0,-0.00428942,0.002904342,-0.001657174,0.005438801
20, directional, FreeMode, 475.06, 0, 0.1671875, 0, 0, False, 0, 0,-0.00851887,0.008205507,-0.001371058,0.01190719
21, directional, FreeMode, 475.08, 0, 0.1671875, 0, 0, False, 0, 0,-0.005405385,0.003751193,0.003638627,0.007518593
22, directional, FreeMode, 475.1, 0, 0.1671875, 0, 0, False, 0, 0,-0.006033815,0.007257872,0.00793923,0.01233349
23, directional, FreeMode, 475.12, 0, 0.1671875, 0, 0, False, 0, 0,-0.0124802,0.01223085,0.005017536,0.01818034
24, directional, FreeMode, 475.14, 0, 0.1671875, 0, 0, False, 0, 0,-0.005494841,0.001914361,0.002672501,0.006403149
