Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count, RMSE Distance, Sway V X, Sway V Y, Sway V Z, Sway V Magnitude
0, torque, FreeMode, 116.66, 0, 0.1671874, 0, 0, False, 0, 0,0,0,0,0
1, torque, FreeMode, 116.68, 0, 0.1671874, 0, 0, False, 0, 0,0.1834671,0.1180993,0.06916834,0.2288927
2, torque, FreeMode, 116.7, 0, 0.1671874, 0, 0, False, 0, 0,0.09854823,0.07026183,0.04221611,0.1281822
3, torque, FreeMode, 116.72, 0, 0.1671874, 0, 0, False, 0, 0,0.2246682,0.1399871,0.105199,0.2848492
4, torque, FreeMode, 116.74, 0, 0.1671874, 0, 0, False, 0, 0,0.1213351,0.07872092,0.06015804,0.1566467
5, torque, FreeMode, 116.76, 0, 0.1671874, 0, 0, False, 0, 0,0.2705216,0.1662533,0.1440588,0.3486761
6, torque, FreeMode, 116.78, 0, 0.1671874, 0, 0, False, 0, 0,0.1441335,0.08413187,0.07575324,0.183279
7, torque, FreeMode, 116.8, 0, 0.1671874, 0, 0, False, 0, 0,0.1517565,0.087717,0.08422358,0.1944683
8, torque, FreeMode, 116.82, 0, 0.1671874, 0, 0, False, 0, 0,0.3346682,0.1623999,0.1827684,0.4144645
9, torque, FreeMode, 116.84, 0, 0.1671874, 0, 0, False, 0, 0,0.1777076,0.07474485,0.0998605,0.2171149
10, torque, FreeMode, 116.86, 0, 0.1671874, 0, 0, False, 0, 0,0.376635,0.1288496,0.2236723,0.4566021
11, torque, FreeMode, 116.88, 0, 0.1671874, 0, 0, False, 0, 0,0.1873733,0.05086322,0.1173514,0.2268638
12, torque, FreeMode, 116.9, 0, 0.1671874, 0, 0, False, 0, 0,0.3826769,0.07109644,0.2570763,0.4664595
13, torque, FreeMode, 116.92, 0, 0.1671874, 0, 0, False, 0, 0,0.1894285,0.03467058,0.1401781,0.2381913
14, torque, FreeMode, 116.94, 0, 0.1671874, 0, 0, False, 0, 0,0.3756014,0.05117322,0.3272487,0.5007861
15, torque, FreeMode, 116.96, 0, 0.1671874, 0, 0, False, 0, 0,0.1927337,-0.00199037,0.1727808,0.2588502
16, torque, FreeMode, 116.98, 0, 0.1671874, 0, 0, False, 0, 0,0.1842965,0.001716902,0.1833866,0.2599976
17, torque, FreeMode, 117, 0, 0.1671874, 0, 0, False, 0, 0,0.3727787,0.005696987,0.4234363,0.5641761
18, torque, FreeMode, 117.02, 0, 0.1671874, 0, 0, False, 0, 0,0.1889084,-0.006152232,0.2344644,0.3011608
19, torque, FreeMode, 117.04, 0, 0.1671874, 0, 0, False, 0, 0,0.3890585,-0.03975973,0.507738,0.6408941
20, torque, FreeMode, 117.06, 0, 0.1671874, 0, 0, False, 0, 0,0.2064083,-0.05063668,0.2915335,0.3607773
21, torque, FreeMode, 117.08, 0, 0.1671874, 0, 0, False, 0, 0,0.4693894,-0.0590662,0.6291194,0.7871508
22, torque, FreeMode, 117.1, 0, 0.1671874, 0, 0, False, 0, 0,0.2484446,-0.02998665,0.3412829,0.4231997
23, torque, FreeMode, 117.12, 0, 0.1671874, 0, 0, False, 0, 0,0.2483427,-0.01961322,0.3448439,0.4254129
24, torque, FreeMode, 117.14, 0, 0.1671874, 0, 0, False, 0, 0,0.5331092,0.004362128,0.7003599,0.8801867
25, torque, FreeMode, 117.16, 0, 0.1671874, 0, 0, False, 0, 0,0.2626212,0.01089756,0.3396724,0.429495
