Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count, RMSE Distance, Sway V X, Sway V Y, Sway V Z, Sway V Magnitude
0, combined, RaceTrack, 798.82, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0,0,0,0
1, combined, RaceTrack, 798.84, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.01701145,-0.01091839,-0.09011253,0.09235188
2, combined, RaceTrack, 798.86, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.0247438,-0.01476753,-0.1757064,0.1780536
3, combined, RaceTrack, 798.88, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.01259185,-0.005240092,-0.07969666,0.08085524
4, combined, RaceTrack, 798.9, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.02533463,-0.009634222,-0.1639304,0.166156
5, combined, RaceTrack, 798.92, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.01017352,-0.01090892,-0.07830438,0.07971249
6, combined, RaceTrack, 798.94, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.01169865,-0.01015268,-0.07747818,0.07901141
7, combined, RaceTrack, 798.96, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.02322696,-0.01769161,-0.1437406,0.146676
8, combined, RaceTrack, 798.98, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.01258069,0.001339796,-0.0560459,0.05745618
9, combined, RaceTrack, 799, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.0249537,0.02717702,-0.09262792,0.09970561
10, combined, RaceTrack, 799.02, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.01320599,0.02327623,-0.04066285,0.04867904
11, combined, RaceTrack, 799.04, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.02805533,0.03046399,-0.07363296,0.08448058
12, combined, RaceTrack, 799.06, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.01540766,0.02654583,-0.02359604,0.03871498
13, combined, RaceTrack, 799.08, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.03140903,0.07760536,-0.02352149,0.08696194
14, combined, RaceTrack, 799.1, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.01406116,0.03495975,-0.01400757,0.0402009
15, combined, RaceTrack, 799.12, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.02005452,0.04364758,-0.01611217,0.05066455
16, combined, RaceTrack, 799.14, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.005854895,0.02828746,0.005526201,0.02941087
17, combined, RaceTrack, 799.16, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.002527749,0.02614687,0.01063742,0.02834084
18, combined, RaceTrack, 799.18, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.007737323,0.05371689,0.04632122,0.07135142
19, combined, RaceTrack, 799.2, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.006908882,0.01665515,0.02949059,0.03456619
20, combined, RaceTrack, 799.22, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.01056972,0.01911912,0.05015914,0.05471013
21, combined, RaceTrack, 799.24, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.004202494,0.0005537824,0.02487108,0.02522971
22, combined, RaceTrack, 799.26, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.001342029,0.007151534,0.06276052,0.06318092
23, combined, RaceTrack, 799.28, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.002427967,0.001917288,0.03509017,0.03522629
24, combined, RaceTrack, 799.3, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.002489788,0.0009110614,0.03116812,0.03128068
25, combined, RaceTrack, 799.32, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.0002255323,0.00917016,0.06192873,0.06260439
26, combined, RaceTrack, 799.34, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.002183827,0.007991686,0.03898859,0.03985908
27, combined, RaceTrack, 799.36, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.002773378,0.01115901,0.08834169,0.08908687
28, combined, RaceTrack, 799.38, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.002891727,0.003465606,0.04574957,0.04597168
29, combined, RaceTrack, 799.4, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.005467406,0.01253703,0.1024024,0.1033118
30, combined, RaceTrack, 799.42, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.003836283,0.004817311,0.05095914,0.05132989
31, combined, RaceTrack, 799.44, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.004394531,-0.001720894,0.04683146,0.04706866
32, combined, RaceTrack, 799.46, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.008634515,-0.00386444,0.1733477,0.1736056
33, combined, RaceTrack, 799.48, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.002626,0.001006336,0.0729184,0.07297261
34, combined, RaceTrack, 799.5, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.008838188,-0.009301162,0.1702892,0.1707719
35, combined, RaceTrack, 799.52, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.0007189829,-0.008475487,0.09870785,0.09907366
36, combined, RaceTrack, 799.54, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.002420565,-0.008771199,0.1053236,0.1057159
37, combined, RaceTrack, 799.56, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.008920809,-0.02207389,0.2415474,0.2427179
38, combined, RaceTrack, 799.58, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.000580114,-0.0315128,0.134732,0.1383695
39, combined, RaceTrack, 799.6, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.007091987,-0.03216702,0.1208987,0.1253057
40, combined, RaceTrack, 799.62, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.01892462,-0.1043731,0.2425064,0.2646909
41, combined, RaceTrack, 799.64, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.01375923,-0.0509903,0.1270752,0.1376133
42, combined, RaceTrack, 799.66, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.02021976,-0.1211235,0.2760884,0.3021665
43, combined, RaceTrack, 799.68, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.01181254,-0.06877024,0.1451803,0.1610782
44, combined, RaceTrack, 799.7, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.01406563,-0.06085056,0.1567796,0.1687616
45, combined, RaceTrack, 799.72, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.002289098,-0.1451942,0.2559579,0.2942806
46, combined, RaceTrack, 799.74, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.0155528,-0.05981445,0.1276346,0.1418106
47, combined, RaceTrack, 799.76, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.01787511,-0.1222847,0.2504559,0.279287
48, combined, RaceTrack, 799.78, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.003480684,-0.06486525,0.1174272,0.1341967
49, combined, RaceTrack, 799.8, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.009130711,-0.09691788,0.1915317,0.2148507
50, combined, RaceTrack, 799.82, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.005051031,-0.04638077,0.09001532,0.1013876
51, combined, RaceTrack, 799.84, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.008459808,-0.04602088,0.0678319,0.08240543
52, combined, RaceTrack, 799.86, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.01844006,-0.07954816,0.1428513,0.1645431
53, combined, RaceTrack, 799.88, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.005189477,-0.03982469,0.05344559,0.06685333
54, combined, RaceTrack, 799.9, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.02571316,-0.06255376,0.08011844,0.104848
55, combined, RaceTrack, 799.92, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.006560535,-0.0367521,0.02808436,0.04671711
56, combined, RaceTrack, 799.94, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.01278835,-0.03170255,0.01352189,0.03676187
57, combined, RaceTrack, 799.96, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.01898249,-0.06826978,0.01483882,0.07239675
58, combined, RaceTrack, 799.98, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.0112007,-0.03094631,-0.01952641,0.03826762
59, combined, RaceTrack, 800, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.01852491,-0.05613448,-0.04406143,0.07372694
60, combined, RaceTrack, 800.02, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.006486525,-0.03238484,-0.03033167,0.04484265
61, combined, RaceTrack, 800.04, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.009322748,-0.05702768,-0.08349274,0.1015387
62, combined, RaceTrack, 800.06, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.005622678,-0.01984089,-0.04727917,0.05158096
63, combined, RaceTrack, 800.08, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.0037853,-0.02332999,-0.1174753,0.1198293
64, combined, RaceTrack, 800.1, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.0006073742,-0.01055759,-0.05822754,0.05918005
65, combined, RaceTrack, 800.12, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.002847067,-0.02864186,-0.1229285,0.1262533
66, combined, RaceTrack, 800.14, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.007519083,-0.003523987,-0.06555736,0.06608118
67, combined, RaceTrack, 800.16, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.005604814,-0.002072218,-0.06574156,0.06601258
68, combined, RaceTrack, 800.18, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.02783203,-0.006246427,-0.1313358,0.1343976
69, combined, RaceTrack, 800.2, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.01144633,-0.001554164,-0.06416953,0.06520094
70, combined, RaceTrack, 800.22, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.01848973,0.005250143,-0.09650274,0.09839824
71, combined, RaceTrack, 800.24, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.01079206,0.01071837,-0.03150977,0.03498882
72, combined, RaceTrack, 800.26, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.02828086,0.03461438,-0.01089478,0.04600716
