Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count, RMSE Distance, Sway V X, Sway V Y, Sway V Z, Sway V Magnitude
0, directional, RaceTrack, 175.06, 0, 0.1671876, 0, 0, False, 0, 0.4335339,0,0,0,0
1, directional, RaceTrack, 175.08, 0, 0.1671876, 0, 0, False, 0, 0.4335339,0.08031947,-0.033586,0.06243072,0.10713
2, directional, RaceTrack, 175.1, 0, 0.1671876, 0, 0, False, 0, 0.4335339,0.003146619,-0.002588263,-0.0001140565,0.004075944
3, directional, RaceTrack, 175.12, 0, 0.1671876, 0, 0, False, 0, 0.4335339,0.06112566,-0.02841342,0.05495343,0.08696867
4, directional, RaceTrack, 175.14, 0, 0.1671876, 0, 0, False, 0, 0.4335339,0.03201203,-0.01271691,0.02830467,0.044583
5, directional, RaceTrack, 175.16, 0, 0.1671876, 0, 0, False, 0, 0.4335339,0.0901946,-0.03039188,0.06786327,0.1168938
6, directional, RaceTrack, 175.18, 0, 0.1671876, 0, 0, False, 0, 0.4335339,0.05643786,-0.009834208,0.03081763,0.06505129
7, directional, RaceTrack, 175.2, 0, 0.1671876, 0, 0, False, 0, 0.4335339,0.1306404,-0.04523622,0.06956387,0.1547655
8, directional, RaceTrack, 175.22, 0, 0.1671876, 0, 0, False, 0, 0.4335339,0.07685345,-0.01608982,0.04423359,0.09012184
9, directional, RaceTrack, 175.24, 0, 0.1671876, 0, 0, False, 0, 0.4335339,0.1582568,-0.0387345,0.07572459,0.1796658
10, directional, RaceTrack, 175.26, 0, 0.1671876, 0, 0, False, 0, 0.4335339,0.0795038,-0.01555349,0.032783,0.08739274
11, directional, RaceTrack, 175.28, 0, 0.1671876, 0, 0, False, 0, 0.4335339,0.1519661,0.001007103,0.06635708,0.1658251
12, directional, RaceTrack, 175.3, 0, 0.1671876, 0, 0, False, 0, 0.4335339,0.06997059,0.005327517,0.0295561,0.07614348
13, directional, RaceTrack, 175.32, 0, 0.1671876, 0, 0, False, 0, 0.4335339,0.06685055,0.000918416,0.02753683,0.07230572
14, directional, RaceTrack, 175.34, 0, 0.1671876, 0, 0, False, 0, 0.4335339,0.1123427,-0.01207332,0.04475651,0.121531
15, directional, RaceTrack, 175.36, 0, 0.1671876, 0, 0, False, 0, 0.4335339,0.0518025,-0.01246663,0.02120057,0.0573444
16, directional, RaceTrack, 175.38, 0, 0.1671876, 0, 0, False, 0, 0.4335339,0.05828512,-0.00722209,0.04810278,0.07591569
17, directional, RaceTrack, 175.4, 0, 0.1671876, 0, 0, False, 0, 0.4335339,0.02195813,-0.00376025,0.0273214,0.03525278
18, directional, RaceTrack, 175.42, 0, 0.1671876, 0, 0, False, 0, 0.4335339,0.03536855,-0.02184639,0.04185587,0.05899248
19, directional, RaceTrack, 175.44, 0, 0.1671876, 0, 0, False, 0, 0.4335339,0.007787918,-0.01028556,0.02407215,0.02731141
20, directional, RaceTrack, 175.46, 0, 0.1671876, 0, 0, False, 0, 0.4335339,-0.001391042,-0.01526718,0.02513046,0.02943742
21, directional, RaceTrack, 175.48, 0, 0.1671876, 0, 0, False, 0, 0.4335339,-0.007218071,-0.02909277,0.05238576,0.06035526
22, directional, RaceTrack, 175.5, 0, 0.1671876, 0, 0, False, 0, 0.4335339,-0.008668389,-0.01716247,0.0228833,0.02988874
23, directional, RaceTrack, 175.52, 0, 0.1671876, 0, 0, False, 0, 0.4335339,-0.02491353,-0.03328364,0.04749896,0.06312396
24, directional, RaceTrack, 175.54, 0, 0.1671876, 0, 0, False, 0, 0.4335339,-0.01130757,-0.004856741,0.02597612,0.02874383
25, directional, RaceTrack, 175.56, 0, 0.1671876, 0, 0, False, 0, 0.4335339,-0.0132227,-0.01027365,0.04514311,0.0481486
26, directional, RaceTrack, 175.58, 0, 0.1671876, 0, 0, False, 0, 0.4335339,-0.00402022,-0.00412376,0.01870218,0.01956883
27, directional, RaceTrack, 175.6, 0, 0.1671876, 0, 0, False, 0, 0.4335339,-0.003640864,0.01230916,0.03860031,0.04067868
28, directional, RaceTrack, 175.62, 0, 0.1671876, 0, 0, False, 0, 0.4335339,-0.001743063,-0.0003575515,0.01488755,0.01499351
29, directional, RaceTrack, 175.64, 0, 0.1671876, 0, 0, False, 0, 0.4335339,-0.005495119,0.0003575515,0.01184166,0.01305944
30, directional, RaceTrack, 175.66, 0, 0.1671876, 0, 0, False, 0, 0.4335339,-0.001479369,0.003623188,0.0234442,0.02376861
31, directional, RaceTrack, 175.68, 0, 0.1671876, 0, 0, False, 0, 0.4335339,-0.002574099,0.002164838,0.01088904,0.01139666
32, directional, RaceTrack, 175.7, 0, 0.1671876, 0, 0, False, 0, 0.4335339,-0.01123159,-0.009230788,0.02425987,0.02828245
