Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count, RMSE Distance, Sway V X, Sway V Y, Sway V Z, Sway V Magnitude
0, torque, FreeMode, 2165.74, 0, 0.1671876, 0, 0, False, 0, 0,0,0,0,0
1, torque, FreeMode, 2165.76, 0, 0.1671876, 0, 0, False, 0, 0,-0.01013556,0.02709365,-0.1081807,0.1119815
2, torque, FreeMode, 2165.78, 0, 0.1671876, 0, 0, False, 0, 0,-0.01709803,0.02898723,-0.1073992,0.1125486
3, torque, FreeMode, 2165.8, 0, 0.1671876, 0, 0, False, 0, 0,-0.05097552,0.06584651,-0.2254285,0.240317
4, torque, FreeMode, 2165.82, 0, 0.1671876, 0, 0, False, 0, 0,-0.03540337,0.04055116,-0.1168481,0.1286517
5, torque, FreeMode, 2165.84, 0, 0.1671876, 0, 0, False, 0, 0,-0.0455262,0.05988378,-0.2387503,0.2503206
6, torque, FreeMode, 2165.86, 0, 0.1671876, 0, 0, False, 0, 0,-0.02462545,0.02161538,-0.1185686,0.1230128
7, torque, FreeMode, 2165.88, 0, 0.1671876, 0, 0, False, 0, 0,-0.04992527,0.03159537,-0.2425411,0.2496337
8, torque, FreeMode, 2165.9, 0, 0.1671876, 0, 0, False, 0, 0,-0.02931623,0.01326696,-0.1224194,0.1265779
9, torque, FreeMode, 2165.92, 0, 0.1671876, 0, 0, False, 0, 0,-0.05940879,0.01900724,-0.2402333,0.2481989
10, torque, FreeMode, 2165.94, 0, 0.1671876, 0, 0, False, 0, 0,-0.02674605,0.01084937,-0.1211589,0.1245493
11, torque, FreeMode, 2165.96, 0, 0.1671876, 0, 0, False, 0, 0,-0.02110923,0.01221894,-0.12185,0.1242671
12, torque, FreeMode, 2165.98, 0, 0.1671876, 0, 0, False, 0, 0,-0.04986275,0.02026963,-0.2415976,0.2475208
13, torque, FreeMode, 2166, 0, 0.1671876, 0, 0, False, 0, 0,-0.02707877,0.01548209,-0.1183922,0.1224323
14, torque, FreeMode, 2166.02, 0, 0.1671876, 0, 0, False, 0, 0,-0.05011433,0.03772866,-0.2340032,0.2422651
15, torque, FreeMode, 2166.04, 0, 0.1671876, 0, 0, False, 0, 0,-0.01895365,0.02229421,-0.1185909,0.1221478
16, torque, FreeMode, 2166.06, 0, 0.1671876, 0, 0, False, 0, 0,-0.02635304,0.03519198,-0.2223849,0.2266893
17, torque, FreeMode, 2166.08, 0, 0.1671876, 0, 0, False, 0, 0,-0.006218804,0.016481,-0.1167049,0.1180268
18, torque, FreeMode, 2166.1, 0, 0.1671876, 0, 0, False, 0, 0,-0.004044696,0.0188286,-0.1138704,0.1154874
19, torque, FreeMode, 2166.12, 0, 0.1671876, 0, 0, False, 0, 0,-0.007555706,0.03275057,-0.2213695,0.2239065
20, torque, FreeMode, 2166.14, 0, 0.1671876, 0, 0, False, 0, 0,-0.006145942,0.01992426,-0.115041,0.1169153
21, torque, FreeMode, 2166.16, 0, 0.1671876, 0, 0, False, 0, 0,-0.00396133,0.03317931,-0.2212037,0.2237133
22, torque, FreeMode, 2166.18, 0, 0.1671876, 0, 0, False, 0, 0,0.0008224859,0.01449362,-0.1044494,0.1054534
23, torque, FreeMode, 2166.2, 0, 0.1671876, 0, 0, False, 0, 0,0.01220778,0.03321503,-0.2178118,0.2206677
24, torque, FreeMode, 2166.22, 0, 0.1671876, 0, 0, False, 0, 0,0.003342047,0.02086509,-0.1050601,0.1071641
25, torque, FreeMode, 2166.24, 0, 0.1671876, 0, 0, False, 0, 0,0.002369951,0.02469989,-0.09982932,0.1028669
26, torque, FreeMode, 2166.26, 0, 0.1671876, 0, 0, False, 0, 0,0.01929604,0.05890339,-0.2026291,0.2118974
27, torque, FreeMode, 2166.28, 0, 0.1671876, 0, 0, False, 0, 0,0.01660156,0.02577172,-0.1004021,0.104978
