Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count, RMSE Distance, Sway V X, Sway V Y, Sway V Z, Sway V Magnitude
0, torque, RaceTrack, 75.08, 0, 0.1671872, 0, 0, False, 0, 0.4335338,0,0,0,0
1, torque, RaceTrack, 75.1, 0, 0.1671872, 0, 0, False, 0, 0.4335338,-0.1831541,-0.3305871,0.1171305,0.3956675
2, torque, RaceTrack, 75.12, 0, 0.1671872, 0, 0, False, 0, 0.4335338,-0.1472735,-0.3127265,0.1148759,0.364258
3, torque, RaceTrack, 75.14, 0, 0.1671872, 0, 0, False, 0, 0.4335338,-0.0507522,-0.1437119,0.06559058,0.1659247
4, torque, RaceTrack, 75.16, 0, 0.1671872, 0, 0, False, 0, 0.4335338,-0.07486632,-0.2600033,0.1182896,0.295295
5, torque, RaceTrack, 75.18, 0, 0.1671872, 0, 0, False, 0, 0.4335338,-0.05464727,-0.1047864,0.03435288,0.1230717
6, torque, RaceTrack, 75.2, 0, 0.1671872, 0, 0, False, 0, 0.4335338,-0.09582906,-0.1748378,0.08789286,0.2178913
7, torque, RaceTrack, 75.22, 0, 0.1671872, 0, 0, False, 0, 0.4335338,-0.04506937,-0.08782656,0.03888037,0.1060964
8, torque, RaceTrack, 75.24, 0, 0.1671872, 0, 0, False, 0, 0.4335338,-0.06032854,-0.0793471,0.005958857,0.09985491
9, torque, RaceTrack, 75.25999, 0, 0.1671872, 0, 0, False, 0, 0.4335338,-0.1193392,-0.2062548,0.008521914,0.2384439
10, torque, RaceTrack, 75.28, 0, 0.1671872, 0, 0, False, 0, 0.4335338,-0.03621997,-0.1034516,0.01846083,0.1111527
11, torque, RaceTrack, 75.3, 0, 0.1671872, 0, 0, False, 0, 0.4335338,-0.06629074,-0.189825,0.05788732,0.2092341
12, torque, RaceTrack, 75.32, 0, 0.1671872, 0, 0, False, 0, 0.4335338,-0.04848622,-0.08062786,0.03324,0.09978308
13, torque, RaceTrack, 75.34, 0, 0.1671872, 0, 0, False, 0, 0.4335338,-0.1151777,-0.1756963,0.03242441,0.212571
14, torque, RaceTrack, 75.36, 0, 0.1671872, 0, 0, False, 0, 0.4335338,-0.0411106,-0.09616943,0.02948124,0.1086636
15, torque, RaceTrack, 75.38, 0, 0.1671872, 0, 0, False, 0, 0.4335338,-0.0497488,-0.173419,0.04012923,0.1848228
16, torque, RaceTrack, 75.4, 0, 0.1671872, 0, 0, False, 0, 0.4335338,-0.044228,-0.08528795,0.01984522,0.09810191
17, torque, RaceTrack, 75.42, 0, 0.1671872, 0, 0, False, 0, 0.4335338,-0.03618348,-0.07610406,0.0103573,0.08490198
18, torque, RaceTrack, 75.43999, 0, 0.1671872, 0, 0, False, 0, 0.4335338,-0.06477243,-0.1442317,0.02655497,0.1603228
19, torque, RaceTrack, 75.46, 0, 0.1671872, 0, 0, False, 0, 0.4335338,0.00810599,-0.0650267,0.01387635,0.06698307
20, torque, RaceTrack, 75.48, 0, 0.1671872, 0, 0, False, 0, 0.4335338,-0.01764296,-0.09720765,0.001332387,0.09880474
21, torque, RaceTrack, 75.5, 0, 0.1671872, 0, 0, False, 0, 0.4335338,-0.01555126,-0.03564788,0.006184523,0.03938098
22, torque, RaceTrack, 75.52, 0, 0.1671872, 0, 0, False, 0, 0.4335338,0.004449489,-0.03791492,0.009834182,0.03942144
23, torque, RaceTrack, 75.54, 0, 0.1671872, 0, 0, False, 0, 0.4335338,0.02909724,-0.001191838,-0.002639177,0.02924099
24, torque, RaceTrack, 75.56, 0, 0.1671872, 0, 0, False, 0, 0.4335338,0.0706143,0.08008632,0.01056185,0.1072928
25, torque, RaceTrack, 75.58, 0, 0.1671872, 0, 0, False, 0, 0.4335338,-0.01510134,-0.04880578,0.006586769,0.05151155
26, torque, RaceTrack, 75.6, 0, 0.1671872, 0, 0, False, 0, 0.4335338,0.08287331,0.2014498,0.006279658,0.2179208
27, torque, RaceTrack, 75.62, 0, 0.1671872, 0, 0, False, 0, 0.4335338,0.09013288,0.227728,0.006414909,0.2450002
28, torque, RaceTrack, 75.64, 0, 0.1671872, 0, 0, False, 0, 0.4335338,0.04958457,0.1481097,0.01490208,0.1568987
29, torque, RaceTrack, 75.66, 0, 0.1671872, 0, 0, False, 0, 0.4335338,0.1184048,0.3479946,0.0389198,0.3696412
30, torque, RaceTrack, 75.68, 0, 0.1671872, 0, 0, False, 0, 0.4335338,0.07041306,0.1865823,0.01257464,0.1998226
31, torque, RaceTrack, 75.7, 0, 0.1671872, 0, 0, False, 0, 0.4335338,0.1745137,0.4343047,0.06458055,0.4724894
32, torque, RaceTrack, 75.72, 0, 0.1671872, 0, 0, False, 0, 0.4335338,0.08378325,0.2388801,0.04674315,0.2574263
33, torque, RaceTrack, 75.74, 0, 0.1671872, 0, 0, False, 0, 0.4335338,0.1815892,0.5271604,0.09987541,0.5664343
34, torque, RaceTrack, 75.75999, 0, 0.1671872, 0, 0, False, 0, 0.4335338,0.092668,0.2932325,0.06391548,0.3140985
35, torque, RaceTrack, 75.78, 0, 0.1671872, 0, 0, False, 0, 0.4335338,0.09708863,0.3217725,0.0984451,0.3502216
36, torque, RaceTrack, 75.8, 0, 0.1671872, 0, 0, False, 0, 0.4335338,0.2060618,0.6730017,0.1919052,0.7295343
37, torque, RaceTrack, 75.82, 0, 0.1671872, 0, 0, False, 0, 0.4335338,0.1182021,0.3310331,0.1101638,0.3683622
38, torque, RaceTrack, 75.84, 0, 0.1671872, 0, 0, False, 0, 0.4335338,0.2887681,0.6706648,0.2349551,0.7670608
39, torque, RaceTrack, 75.86, 0, 0.1671872, 0, 0, False, 0, 0.4335338,0.1468263,0.3350734,0.1330829,0.3892855
40, torque, RaceTrack, 75.88, 0, 0.1671872, 0, 0, False, 0, 0.4335338,0.3412231,0.6734667,0.2471143,0.7943904
41, torque, RaceTrack, 75.9, 0, 0.1671872, 0, 0, False, 0, 0.4335338,0.188528,0.3182685,0.1358226,0.3940627
42, torque, RaceTrack, 75.92, 0, 0.1671872, 0, 0, False, 0, 0.4335338,0.1910925,0.2965114,0.1410151,0.3798955
43, torque, RaceTrack, 75.93999, 0, 0.1671872, 0, 0, False, 0, 0.4335338,0.4203369,0.5533193,0.2476944,0.7376977
44, torque, RaceTrack, 75.96, 0, 0.1671872, 0, 0, False, 0, 0.4335338,0.2305201,0.2239107,0.13496,0.3485538
45, torque, RaceTrack, 75.98, 0, 0.1671872, 0, 0, False, 0, 0.4335338,0.484296,0.4333628,0.2474831,0.6954091
46, torque, RaceTrack, 76, 0, 0.1671872, 0, 0, False, 0, 0.4335338,0.2463329,0.1773694,0.1222312,0.3272312
47, torque, RaceTrack, 76.02, 0, 0.1671872, 0, 0, False, 0, 0.4335338,0.464147,0.3027709,0.2127304,0.5935966
48, torque, RaceTrack, 76.04, 0, 0.1671872, 0, 0, False, 0, 0.4335338,0.2308643,0.1365012,0.1000563,0.2862554
49, torque, RaceTrack, 76.06, 0, 0.1671872, 0, 0, False, 0, 0.4335338,0.2524047,0.1179655,0.1085359,0.2990051
50, torque, RaceTrack, 76.08, 0, 0.1671872, 0, 0, False, 0, 0.4335338,0.4784933,0.2004791,0.2429339,0.5728565
51, torque, RaceTrack, 76.1, 0, 0.1671872, 0, 0, False, 0, 0.4335338,0.2122676,0.06833031,0.1101422,0.2487124
52, torque, RaceTrack, 76.12, -5.001304E-12, 0.1671872, 0, 0, False, 0, 0.4335338,0.4184119,0.1183112,0.1604823,0.4634875
53, torque, RaceTrack, 76.14, -2.41493E-11, 0.1671872, -2.455857E-29, 0, False, 0, 0.4335338,0.2035672,0.04893688,0.06682302,0.2197721
54, torque, RaceTrack, 76.16, -6.998972E-11, 0.1671872, -1.196538E-28, 0, False, 0, 0.4335338,0.3455195,0.04974246,0.1383242,0.3754885
55, torque, RaceTrack, 76.18, -1.578247E-10, 0.1671872, -3.534293E-28, 0, False, 0, 0.4335338,0.139552,0.01853308,0.05820864,0.1523367
56, torque, RaceTrack, 76.2, -3.051566E-10, 0.1671872, -8.145946E-28, 0, False, 0, 0.4335338,0.2855262,0.004411484,0.07645802,0.2956188
57, torque, RaceTrack, 76.22, -5.312082E-10, 0.1671872, -1.609436E-27, 0, False, 0, 0.4335338,0.1282912,-0.01014254,0.02845365,0.1317995
58, torque, RaceTrack, 76.24, -8.565114E-10, 0.1671872, -2.858118E-27, 0, False, 0, 0.4335338,0.1009815,0.01416444,0.01224708,0.1027029
59, torque, RaceTrack, 76.25999, -1.302554E-09, 0.1671872, -9.803918E-27, 0, False, 0, 0.4335338,0.1390997,-0.003338421,0.04974768,0.1477657
60, torque, RaceTrack, 76.28, -1.891479E-09, 0.1671872, -2.784008E-26, 0, False, 0, 0.4335338,0.07875453,0.004445557,0.01542537,0.080374
61, torque, RaceTrack, 76.3, -2.645827E-09, 0.1671872, -6.987609E-26, 0, False, 0, 0.4335338,0.1540735,0.03256152,0.007410101,0.1576509
62, torque, RaceTrack, 76.32, -3.588324E-09, 0.1671872, -1.486112E-25, 0, False, 0, 0.4335338,0.05368784,0.01567267,-0.005632181,0.05621155
63, torque, RaceTrack, 76.34, -4.741693E-09, 0.1671872, -2.763366E-25, 0, False, 0, 0.4335338,0.08477353,0.02235549,-0.01393716,0.08877254
64, torque, RaceTrack, 76.36, -6.12851E-09, 0.1671872, -4.878082E-25, 0, False, 0, 0.4335338,0.05310459,0.006316743,-0.01316832,0.05507634
65, torque, RaceTrack, 76.38, -7.771069E-09, 0.1671872, -8.156998E-25, 0, False, 0, 0.4335338,0.05202496,0.01827785,-0.01271879,0.05659014
66, torque, RaceTrack, 76.4, -9.691288E-09, 0.1671872, -1.319265E-24, 0, False, 0, 0.4335338,0.06301305,0.009296339,-0.02644913,0.06896827
67, torque, RaceTrack, 76.42, -1.191062E-08, 0.1671872, -2.053027E-24, 0, False, 0, 0.4335338,0.02120344,0.0118037,-0.01179923,0.02698398
68, torque, RaceTrack, 76.43999, -1.444998E-08, 0.1671872, -3.136729E-24, 0, False, 0, 0.4335338,0.07079221,0.02251049,-0.03374338,0.08158968
69, torque, RaceTrack, 76.46, -1.73297E-08, 0.1671872, -4.678778E-24, 0, False, 0, 0.4335338,0.0282367,-0.005291762,-0.02117971,0.03569165
70, torque, RaceTrack, 76.48, -2.056951E-08, 0.1671872, -6.776345E-24, 0, False, 0, 0.4335338,0.03796093,0.01854016,-0.029393,0.0514657
71, torque, RaceTrack, 76.5, -2.418845E-08, 0.1671872, -9.515612E-24, 0, False, 0, 0.4335338,0.002021656,-0.001382532,-0.01253739,0.01277438
72, torque, RaceTrack, 76.52, -2.820492E-08, 0.1671872, -1.297213E-23, 0, False, 0, 0.4335338,-0.008744724,0.004196872,-0.01709227,0.01965272
73, torque, RaceTrack, 76.54, -3.25316E-08, 0.1671872, 2.500652E-12, 0, False, 0, 0.4335338,0.03861035,0.007365561,-0.02366171,0.04587905
74, torque, RaceTrack, 76.56, -3.718348E-08, 0.1671872, 1.207465E-11, 0, False, 0, 0.4335338,-0.01176793,-0.003982258,-0.01525986,0.01967755
75, torque, RaceTrack, 76.58, -4.212594E-08, 0.1671872, -1.426897E-14, 0, False, 0, 0.4335338,-0.04584238,-0.03123808,-0.02266094,0.05992379
76, torque, RaceTrack, 76.6, -4.732307E-08, 0.1671873, -1.011185E-11, 0, False, 0, 0.4335338,-0.008310469,0.006784147,-0.006024806,0.01230394
77, torque, RaceTrack, 76.62, -5.278822E-08, 0.1671873, -1.847861E-11, 0, False, 0, 0.4335338,0.01228379,0.0002742274,-0.02211182,0.02529623
78, torque, RaceTrack, 76.64, -5.853074E-08, 0.1671873, -2.534372E-11, 0, False, 0, 0.4335338,-0.01584772,0.001871186,-0.006054911,0.01706791
79, torque, RaceTrack, 76.66, -6.446655E-08, 0.1671873, -3.090863E-11, 0, False, 0, 0.4335338,-0.04115721,-0.00590185,-0.01003762,0.04277267
80, torque, RaceTrack, 76.68, -7.061417E-08, 0.1671873, -3.535032E-11, 0, False, 0, 0.4335338,-0.01085914,-0.005959191,-0.001002262,0.01242728
81, torque, RaceTrack, 76.7, -7.698764E-08, 0.1671873, -3.88241E-11, 0, False, 0, 0.4335338,-0.01384401,-0.01033718,0.002967692,0.01753058
82, torque, RaceTrack, 76.72, -8.350715E-08, 0.1671873, -4.146619E-11, 0, False, 0, 0.4335338,-0.0289937,-0.02744804,0.006847111,0.04050818
