Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count, RMSE Distance, Sway V X, Sway V Y, Sway V Z, Sway V Magnitude
0, combined, FreeMode, 825.06, 0, 0.1671875, 0, 0, False, 0, 0,0,0,0,0
1, combined, FreeMode, 825.08, 0, 0.1671875, 0, 0, False, 0, 0,0.01349717,-0.00394806,0.04648751,0.04856799
2, combined, FreeMode, 825.1, 0, 0.1671875, 0, 0, False, 0, 0,0.02237906,-0.01238567,0.08606403,0.08978444
3, combined, FreeMode, 825.12, 0, 0.1671875, 0, 0, False, 0, 0,0.008003049,-0.0003810975,0.0457719,0.04646785
4, combined, FreeMode, 825.14, 0, 0.1671875, 0, 0, False, 0, 0,0.01809776,-0.01410192,0.1025525,0.1050876
5, combined, FreeMode, 825.16, 0, 0.1671875, 0, 0, False, 0, 0,0.007703828,-0.01297518,0.05424165,0.05630152
6, combined, FreeMode, 825.18, 0, 0.1671875, 0, 0, False, 0, 0,0.008349163,-0.01539872,0.05558367,0.05827842
7, combined, FreeMode, 825.2, 0, 0.1671875, 0, 0, False, 0, 0,0.02011136,-0.04412748,0.1058338,0.1164152
8, combined, FreeMode, 825.22, 0, 0.1671875, 0, 0, False, 0, 0,0.003762594,-0.02249071,0.04620733,0.05152773
9, combined, FreeMode, 825.24, 0, 0.1671875, 0, 0, False, 0, 0,0.009959151,-0.04812548,0.1024765,0.1136516
10, combined, FreeMode, 825.26, 0, 0.1671875, 0, 0, False, 0, 0,0.001056206,-0.01845346,0.0569726,0.05989593
11, combined, FreeMode, 825.28, 0, 0.1671875, 0, 0, False, 0, 0,-0.00113335,-0.02997181,0.1156756,0.1195008
12, combined, FreeMode, 825.3, 0, 0.1671875, 0, 0, False, 0, 0,-0.005372582,-0.01663729,0.05853122,0.06108657
13, combined, FreeMode, 825.32, 0, 0.1671875, 0, 0, False, 0, 0,-0.0117969,-0.04140268,0.107867,0.1161406
14, combined, FreeMode, 825.34, 0, 0.1671875, 0, 0, False, 0, 0,-0.006849376,-0.02298356,0.04740136,0.05312294
15, combined, FreeMode, 825.36, 0, 0.1671875, 0, 0, False, 0, 0,-0.004716082,-0.02927306,0.05595658,0.06332687
16, combined, FreeMode, 825.38, 0, 0.1671875, 0, 0, False, 0, 0,-0.004320843,-0.04602944,0.08611316,0.09773871
17, combined, FreeMode, 825.4, 0, 0.1671875, 0, 0, False, 0, 0,-0.007151752,-0.02438121,0.05049903,0.05653091
18, combined, FreeMode, 825.42, 0, 0.1671875, 0, 0, False, 0, 0,-0.02183198,-0.07476658,0.09780735,0.1250318
19, combined, FreeMode, 825.44, 0, 0.1671875, 0, 0, False, 0, 0,-0.01387582,-0.03796684,0.05008381,0.06436154
20, combined, FreeMode, 825.46, 0, 0.1671875, 0, 0, False, 0, 0,-0.04368549,-0.05096044,0.08804293,0.1107111
21, combined, FreeMode, 825.48, 0, 0.1671875, 0, 0, False, 0, 0,-0.024554,-0.01944789,0.03983437,0.05067442
22, combined, FreeMode, 825.5, 0, 0.1671875, 0, 0, False, 0, 0,-0.02561913,-0.02344941,0.04381803,0.05591274
23, combined, FreeMode, 825.52, 0, 0.1671875, 0, 0, False, 0, 0,-0.06116059,-0.05053039,0.08789735,0.1184056
24, combined, FreeMode, 825.54, 0, 0.1671875, 0, 0, False, 0, 0,-0.03162812,-0.0344536,0.02949561,0.05529358
25, combined, FreeMode, 825.56, 0, 0.1671875, 0, 0, False, 0, 0,-0.07819273,-0.05596775,0.0658934,0.1165694
26, combined, FreeMode, 825.58, 0, 0.1671875, 0, 0, False, 0, 0,-0.04294859,-0.03859064,0.02901466,0.06461942
27, combined, FreeMode, 825.6, 0, 0.1671875, 0, 0, False, 0, 0,-0.09680474,-0.08967702,0.04616268,0.1398003
28, combined, FreeMode, 825.62, 0, 0.1671875, 0, 0, False, 0, 0,-0.04827062,-0.05157322,0.01507941,0.07223045
29, combined, FreeMode, 825.64, 0, 0.1671875, 0, 0, False, 0, 0,-0.0707963,-0.1465023,0.0143147,0.16334
30, combined, FreeMode, 825.66, 0, 0.1671875, 0, 0, False, 0, 0,-0.04410832,-0.05803401,-0.003858613,0.07299575
31, combined, FreeMode, 825.68, 0, 0.1671875, 0, 0, False, 0, 0,-0.05038527,-0.0584687,0.006665485,0.07747059
32, combined, FreeMode, 825.7, 0, 0.1671875, 0, 0, False, 0, 0,-0.08236723,-0.1373101,-0.02951414,0.1628174
33, combined, FreeMode, 825.72, 0, 0.1671875, 0, 0, False, 0, 0,-0.03881836,-0.07406989,-0.01087914,0.08433012
34, combined, FreeMode, 825.74, 0, 0.1671875, 0, 0, False, 0, 0,-0.08592336,-0.1003001,-0.06335003,0.1464792
35, combined, FreeMode, 825.76, 0, 0.1671875, 0, 0, False, 0, 0,-0.04703801,-0.04325457,-0.03697391,0.07382819
36, combined, FreeMode, 825.78, 0, 0.1671875, 0, 0, False, 0, 0,-0.09347226,-0.09750693,-0.0998244,0.1679571
37, combined, FreeMode, 825.8, 0, 0.1671875, 0, 0, False, 0, 0,-0.03078851,-0.05556284,-0.06016801,0.08749486
38, combined, FreeMode, 825.82, 0, 0.1671875, 0, 0, False, 0, 0,-0.05546979,-0.07269436,-0.1384032,0.1658819
39, combined, FreeMode, 825.84, 0, 0.1671875, 0, 0, False, 0, 0,-0.04417825,-0.003249235,-0.07227458,0.08476964
40, combined, FreeMode, 825.86, 0, 0.1671875, 0, 0, False, 0, 0,-0.04556423,0.004543398,-0.07090648,0.08440658
41, combined, FreeMode, 825.88, 0, 0.1671875, 0, 0, False, 0, 0,-0.07905243,-0.0225443,-0.1654291,0.1847277
42, combined, FreeMode, 825.9, 0, 0.1671875, 0, 0, False, 0, 0,-0.03636127,-0.01567278,-0.08745386,0.09599977
43, combined, FreeMode, 825.92, 0, 0.1671875, 0, 0, False, 0, 0,-0.0549629,-0.03562667,-0.2043189,0.2145609
44, combined, FreeMode, 825.94, 0, 0.1671875, 0, 0, False, 0, 0,-0.0309091,-0.01449362,-0.1067393,0.1120657
45, combined, FreeMode, 825.96, 0, 0.1671875, 0, 0, False, 0, 0,-0.0798519,-0.04441418,-0.2081288,0.2273027
46, combined, FreeMode, 825.98, 0, 0.1671875, 0, 0, False, 0, 0,-0.03217967,-0.03548376,-0.111806,0.1216355
47, combined, FreeMode, 826, 0, 0.1671875, 0, 0, False, 0, 0,-0.03235161,-0.02857636,-0.1156356,0.1234294
48, combined, FreeMode, 826.02, 0, 0.1671875, 0, 0, False, 0, 0,-0.06352808,-0.04646287,-0.2336851,0.2465834
49, combined, FreeMode, 826.04, 0, 0.1671875, 0, 0, False, 0, 0,-0.03669032,-0.01149843,-0.1160152,0.1222208
50, combined, FreeMode, 826.06, 0, 0.1671875, 0, 0, False, 0, 0,-0.06233848,-0.02336604,-0.2315637,0.2409435
51, combined, FreeMode, 826.08, 0, 0.1671875, 0, 0, False, 0, 0,-0.03019952,-0.0004360187,-0.1195259,0.1232827
52, combined, FreeMode, 826.1, 0, 0.1671875, 0, 0, False, 0, 0,-0.03336985,0.02667088,-0.2491842,0.2528194
53, combined, FreeMode, 826.12, 0, 0.1671875, 0, 0, False, 0, 0,-0.01752677,0.01978135,-0.1271444,0.1298622
54, combined, FreeMode, 826.14, 0, 0.1671875, 0, 0, False, 0, 0,-0.04837792,0.05033926,-0.2565963,0.265925
55, combined, FreeMode, 826.16, 0, 0.1671875, 0, 0, False, 0, 0,-0.01795773,0.02843941,-0.1303264,0.1345967
56, combined, FreeMode, 826.18, 0, 0.1671875, 0, 0, False, 0, 0,-0.016446,0.0407298,-0.1328453,0.1399187
57, combined, FreeMode, 826.2, 0, 0.1671875, 0, 0, False, 0, 0,-0.05077229,0.08286148,-0.260955,0.2784625
58, combined, FreeMode, 826.22, 0, 0.1671875, 0, 0, False, 0, 0,-0.02799951,0.05812929,-0.1289822,0.1442199
59, combined, FreeMode, 826.24, 0, 0.1671875, 0, 0, False, 0, 0,-0.03013201,0.08629478,-0.2608605,0.2764108
60, combined, FreeMode, 826.26, 0, 0.1671875, 0, 0, False, 0, 0,0.001266107,0.03670446,-0.1390418,0.1438105
61, combined, FreeMode, 826.28, 0, 0.1671875, 0, 0, False, 0, 0,-0.01835086,0.07865061,-0.2625497,0.2746908
62, combined, FreeMode, 826.3, 0, 0.1671875, 0, 0, False, 0, 0,-0.01301389,0.04059285,-0.135239,0.1417982
63, combined, FreeMode, 826.32, 0, 0.1671875, 0, 0, False, 0, 0,-0.03688012,0.1056414,-0.2669722,0.2894727
64, combined, FreeMode, 826.34, 0, 0.1671875, 0, 0, False, 0, 0,-0.01921991,0.04692278,-0.1349605,0.1441717
65, combined, FreeMode, 826.36, 0, 0.1671875, 0, 0, False, 0, 0,-0.02022422,0.038997,-0.1357102,0.142643
66, combined, FreeMode, 826.38, 0, 0.1671875, 0, 0, False, 0, 0,-0.031579,0.06729349,-0.2825139,0.2921297
67, combined, FreeMode, 826.4, 0, 0.1671875, 0, 0, False, 0, 0,-0.004945527,0.03228928,-0.1426655,0.1463574
68, combined, FreeMode, 826.42, 0, 0.1671875, 0, 0, False, 0, 0,-0.009271389,0.03898509,-0.2751517,0.2780544
69, combined, FreeMode, 826.44, 0, 0.1671875, 0, 0, False, 0, 0,-0.009012362,0.01263577,-0.1263048,0.1272548
70, combined, FreeMode, 826.46, 0, 0.1671875, 0, 0, False, 0, 0,-0.02219216,0.01310445,-0.2522062,0.2535196
71, combined, FreeMode, 826.48, 0, 0.1671875, 0, 0, False, 0, 0,-0.004374434,0.004340939,-0.1073869,0.1075636
72, combined, FreeMode, 826.5, 0, 0.1671875, 0, 0, False, 0, 0,-0.009034691,0.003983661,-0.1877412,0.1880006
73, combined, FreeMode, 826.52, 0, 0.1671875, 0, 0, False, 0, 0,0.00213679,-0.01395857,-0.09534923,0.09638923
74, combined, FreeMode, 826.54, 0, 0.1671875, 0, 0, False, 0, 0,-0.00733985,0.003072599,-0.06516545,0.06564945
75, combined, FreeMode, 826.56, 0, 0.1671875, 0, 0, False, 0, 0,0.03427868,-0.01095655,-0.1151287,0.1206221
76, combined, FreeMode, 826.58, 0, 0.1671875, 0, 0, False, 0, 0,0.01672251,0.005530868,-0.04384676,0.04725221
77, combined, FreeMode, 826.6, 0, 0.1671875, 0, 0, False, 0, 0,0.02405827,-0.01033727,-0.0496975,0.05617385
78, combined, FreeMode, 826.62, 0, 0.1671875, 0, 0, False, 0, 0,0.007976253,0.004055116,-0.001362126,0.009050964
79, combined, FreeMode, 826.64, 0, 0.1671875, 0, 0, False, 0, 0,0.03652478,0.005465166,0.02700106,0.04574915
80, combined, FreeMode, 826.66, 0, 0.1671875, 0, 0, False, 0, 0,0.03255704,-0.01196289,0.02515467,0.04284658
81, combined, FreeMode, 826.68, 0, 0.1671875, 0, 0, False, 0, 0,0.0356743,-0.005091225,0.02495817,0.04383476
82, combined, FreeMode, 826.7, 0, 0.1671875, 0, 0, False, 0, 0,0.05524297,-0.007961822,0.08535291,0.1019818
83, combined, FreeMode, 826.72, 0, 0.1671875, 0, 0, False, 0, 0,0.03177103,-0.006305974,0.05762463,0.06610417
84, combined, FreeMode, 826.74, 0, 0.1671875, 0, 0, False, 0, 0,0.04852518,0.01946575,0.1426704,0.1519489
85, combined, FreeMode, 826.76, 0, 0.1671875, 0, 0, False, 0, 0,0.01700201,0.01449957,0.0819464,0.08493832
86, combined, FreeMode, 826.78, 0, 0.1671875, 0, 0, False, 0, 0,0.02469628,0.0283233,0.2036446,0.2070827
87, combined, FreeMode, 826.8, 0, 0.1671875, 0, 0, False, 0, 0,0.01318136,0.01211771,0.1051338,0.1066476
88, combined, FreeMode, 826.82, 0, 0.1671875, 0, 0, False, 0, 0,0.01761609,0.0180009,0.2299559,0.2313311
89, combined, FreeMode, 826.84, 0, 0.1671875, 0, 0, False, 0, 0,0.005579397,0.02065415,0.1311841,0.1329173
90, combined, FreeMode, 826.86, 0, 0.1671875, 0, 0, False, 0, 0,0.003992592,0.02934451,0.1365543,0.1397287
91, combined, FreeMode, 826.88, 0, 0.1671875, 0, 0, False, 0, 0,0.004966178,0.05593798,0.2870848,0.2925259
92, combined, FreeMode, 826.9, 0, 0.1671875, 0, 0, False, 0, 0,-0.002481723,0.03001362,0.1497657,0.1527637
93, combined, FreeMode, 826.92, 0, 0.1671875, 0, 0, False, 0, 0,-0.0105442,0.05144222,0.3112882,0.3156863
94, combined, FreeMode, 826.94, 0, 0.1671875, 0, 0, False, 0, 0,-0.005557921,0.03188119,0.1593129,0.1625666
95, combined, FreeMode, 826.96, 0, 0.1671875, 0, 0, False, 0, 0,-0.02192562,0.05295537,0.3198242,0.3249193
96, combined, FreeMode, 826.98, 0, 0.1671875, 0, 0, False, 0, 0,-0.01427106,0.01670875,0.1604138,0.1619118
97, combined, FreeMode, 827, 0, 0.1671875, 0, 0, False, 0, 0,-0.02566826,0.02591463,0.3226944,0.3247493
98, combined, FreeMode, 827.02, 0, 0.1671875, 0, 0, False, 0, 0,-0.0169017,0.01223839,0.1651175,0.1664308
99, combined, FreeMode, 827.04, 0, 0.1671875, 0, 0, False, 0, 0,-0.01696852,0.008991521,0.1667287,0.167831
100, combined, FreeMode, 827.06, 0, 0.1671875, 0, 0, False, 0, 0,-0.03625265,-0.001173066,0.3244696,0.3264907
101, combined, FreeMode, 827.08, 0, 0.1671875, 0, 0, False, 0, 0,-0.01892202,-0.002192039,0.1632091,0.164317
102, combined, FreeMode, 827.1, 0, 0.1671875, 0, 0, False, 0, 0,-0.03694711,-0.01620856,0.3374812,0.3398844
103, combined, FreeMode, 827.12, 0, 0.1671875, 0, 0, False, 0, 0,-0.02850193,-0.00152439,0.1601347,0.1626585
104, combined, FreeMode, 827.14, 0, 0.1671875, 0, 0, False, 0, 0,-0.04799267,-0.003494123,0.3299482,0.3334386
105, combined, FreeMode, 827.16, 0, 0.1671875, 0, 0, False, 0, 0,-0.01866559,-0.003090463,0.1674254,0.168491
106, combined, FreeMode, 827.18, 0, 0.1671875, 0, 0, False, 0, 0,-0.01505038,-0.01099228,0.1653219,0.1663691
107, combined, FreeMode, 827.2, 0, 0.1671875, 0, 0, False, 0, 0,-0.02927224,-0.0145021,0.3281384,0.3297605
108, combined, FreeMode, 827.22, 0, 0.1671875, 0, 0, False, 0, 0,-0.02128043,-0.001304068,0.1652594,0.166629
109, combined, FreeMode, 827.24, 0, 0.1671875, 0, 0, False, 0, 0,-0.02956707,-0.01257622,0.3361146,0.3376469
110, combined, FreeMode, 827.26, 0, 0.1671875, 0, 0, False, 0, 0,-0.01648842,-0.005978468,0.1683744,0.1692854
111, combined, FreeMode, 827.28, 0, 0.1671875, 0, 0, False, 0, 0,-0.03018832,-0.01019567,0.335288,0.3367986
112, combined, FreeMode, 827.3, 0, 0.1671875, 0, 0, False, 0, 0,-0.01679658,-0.003102372,0.1674567,0.1683255
113, combined, FreeMode, 827.32, 0, 0.1671875, 0, 0, False, 0, 0,-0.03796982,-0.01195694,0.3262247,0.3286445
114, combined, FreeMode, 827.34, 0, 0.1671875, 0, 0, False, 0, 0,-0.01631935,-0.003368693,0.1613053,0.1621637
115, combined, FreeMode, 827.36, 0, 0.1671875, 0, 0, False, 0, 0,-0.02443788,-0.0137076,0.310136,0.3113992
116, combined, FreeMode, 827.38, 0, 0.1671875, 0, 0, False, 0, 0,-0.01588552,-0.005609279,0.151234,0.1521694
117, combined, FreeMode, 827.4, 0, 0.1671875, 0, 0, False, 0, 0,-0.01480075,-0.008845804,0.1530986,0.1540665
118, combined, FreeMode, 827.42, 0, 0.1671875, 0, 0, False, 0, 0,-0.0381172,-0.02238353,0.2953469,0.2986364
119, combined, FreeMode, 827.44, 0, 0.1671875, 0, 0, False, 0, 0,-0.01587212,-0.02316954,0.140893,0.1436648
120, combined, FreeMode, 827.46, 0, 0.1671875, 0, 0, False, 0, 0,-0.02774692,-0.04196531,0.2703947,0.2750351
