Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count, RMSE Distance, Sway V X, Sway V Y, Sway V Z, Sway V Magnitude, stg0,stg1,stg2,stg3,horizontal,vertical
0, oneDir, Slope_LowAmp_LowFreq, 50.78, 0, 0.4671873, 0, 0, False, 0, 0,0,0,0,0,53.47,40.91,32.35,28.19,0,0
1, oneDir, Slope_LowAmp_LowFreq, 50.8, 0, 0.4671873, 0, 0, False, 0, 0,0,0,0,0,53.47,40.91,32.35,28.19,0,0
2, oneDir, Slope_LowAmp_LowFreq, 50.82, 0, 0.4671873, 0, 0, False, 0, 0,0,0,0,0,53.47,40.91,32.35,28.19,0,0
3, oneDir, Slope_LowAmp_LowFreq, 50.84, 0, 0.4671873, 0, 0, False, 0, 0,0,0,0,0,53.47,40.91,32.35,28.19,0,0
4, oneDir, Slope_LowAmp_LowFreq, 50.86, 0, 0.4671873, 0, 0, False, 0, 0,-0.02323857,-0.009923946,0.004492597,0.02566514,52.19,40.76,32.55,29.13,0,0
5, oneDir, Slope_LowAmp_LowFreq, 50.88, 0, 0.4671873, 0, 0, False, 0, 0,0,0,0,0,52.19,40.76,32.55,29.13,0,0
6, oneDir, Slope_LowAmp_LowFreq, 50.9, 0, 0.4671873, 0, 0, False, 0, 0,-0.00308447,-0.001156304,-0.003160464,0.004565033,52.15,39.89,32.51,29.08,0,0
7, oneDir, Slope_LowAmp_LowFreq, 50.92, 0, 0.4671873, 0, 0, False, 0, 0,-0.003623134,0.005423898,0.0005990129,0.00655016,52.48,40.82,32.49,28.95,0,0
8, oneDir, Slope_LowAmp_LowFreq, 50.94, 0, 0.4671873, 0, 0, False, 0, 0,0.001191321,0.0036358,0.0004067924,0.003847566,52.35,41.69,32.42,29,0,0
9, oneDir, Slope_LowAmp_LowFreq, 50.96, 0, 0.4671873, 0, 0, False, 0, 0,-0.004034397,0.004088785,0.003249869,0.00659971,51.93,40.62,32.46,29.25,0,0
10, oneDir, Slope_LowAmp_LowFreq, 50.98, 0, 0.4671873, 0, 0, False, 0, 0,0.003077764,0.001156304,-0.00526595,0.006208051,51.93,40.62,32.46,29.25,0,0
11, oneDir, Slope_LowAmp_LowFreq, 51, 0, 0.4671873, 0, 0, False, 0, 0,0.0002458635,0.0005841121,-0.0006235993,0.0008891074,52.59,39.95,32.46,29.32,0,0
12, oneDir, Slope_LowAmp_LowFreq, 51.02, 0, 0.4671873, 0, 0, False, 0, 0,-0.001258374,-0.002282806,0.001743396,0.003135943,52.82,39.67,32.61,29.18,0,0
13, oneDir, Slope_LowAmp_LowFreq, 51.04, 0, 0.4671873, 0, 0, False, 0, 0,0.0003889856,-0.001818247,0.0004717009,0.001918289,52.82,40.08,32.77,29.04,0,0
14, oneDir, Slope_LowAmp_LowFreq, 51.06, 0, 0.4671873, 0, 0, False, 0, 0,-0.001850682,0.0001311272,0.004850217,0.005192959,52.88,40.94,32.95,29.07,0,0
15, oneDir, Slope_LowAmp_LowFreq, 51.08, 0, 0.4671873, 0, 0, False, 0, 0,-0.0002302177,0.0004589453,0.001077329,0.001193428,52.88,40.94,32.95,29.07,0,0
16, oneDir, Slope_LowAmp_LowFreq, 51.1, 0, 0.4671873, 0, 0, False, 0, 0,-0.006240463,0.0006973584,-0.01073083,0.01243303,52.66,41.25,33.42,29.56,0,0
17, oneDir, Slope_LowAmp_LowFreq, 51.12, 0, 0.4671873, 0, 0, False, 0, 0,-0.002755907,-0.002068234,0.00299283,0.00456395,52.92,41.13,33.66,29.56,0,0
18, oneDir, Slope_LowAmp_LowFreq, 51.14, 0, 0.4671873, 0, 0, False, 0, 0,-0.002190421,-0.0002622544,0.004778693,0.005263329,52.93,40.4,33.5,29.61,0,0
19, oneDir, Slope_LowAmp_LowFreq, 51.16, 0, 0.4671873, 0, 0, False, 0, 0,-0.001032627,0.0009178905,0.002936952,0.003245693,52.93,40.4,33.5,29.61,0,0
20, oneDir, Slope_LowAmp_LowFreq, 51.18, 0, 0.4671873, 0, 0, False, 0, 0,5.140783E-05,0.003015926,0.0002816255,0.003029483,52.9,40.22,32.65,29.18,0,0
21, oneDir, Slope_LowAmp_LowFreq, 51.2, 0, 0.4671873, 0, 0, False, 0, 0,-2.682659E-05,0.002223626,-0.002244492,0.003159585,52.96,40.66,32.33,29.09,0,0
22, oneDir, Slope_LowAmp_LowFreq, 51.22, 0, 0.4671873, 0, 0, False, 0, 0,-0.0005207837,0.003182815,0.0004604353,0.003257841,52.96,40.66,32.33,29.09,0,0
23, oneDir, Slope_LowAmp_LowFreq, 51.24, 0, 0.4671873, 0, 0, False, 0, 0,-0.002295471,0.002050353,0.00327669,0.004495535,52.57,40.94,32.34,29.19,0,0
24, oneDir, Slope_LowAmp_LowFreq, 51.26, 0, 0.4671873, 0, 0, False, 0, 0,-0.001276255,-0.004243753,0.00209431,0.00490147,51.44,41.09,32.31,29.31,0,0
25, oneDir, Slope_LowAmp_LowFreq, 51.28, 0, 0.4671873, 0, 0, False, 0, 0,-0.004284731,-0.0008046443,-0.00390029,0.005849669,50.98,41,32.51,28.71,0,0
26, oneDir, Slope_LowAmp_LowFreq, 51.3, 0, 0.4671873, 0, 0, False, 0, 0,-0.003269985,0.002425854,-0.00562804,0.006946395,51.21,41,32.39,28.66,0,0
27, oneDir, Slope_LowAmp_LowFreq, 51.32, 0, 0.4671873, 0, 0, False, 0, 0,-0.002049608,0.001865583,-0.002961538,0.004056106,51.21,41,32.39,28.66,0,0
28, oneDir, Slope_LowAmp_LowFreq, 51.34, 0, 0.4671873, 0, 0, False, 0, 0,-0.002751437,0.0005423899,-0.000254804,0.002815939,51.43,41.74,32.4,29.3,0,0
29, oneDir, Slope_LowAmp_LowFreq, 51.36, 0, 0.4671873, 0, 0, False, 0, 0,-0.0003062118,0.0005245089,0.0002011611,0.0006397977,51.43,41.74,32.4,29.3,0,0
30, oneDir, Slope_LowAmp_LowFreq, 51.38, 0, 0.4671873, 0, 0, False, 0, 0,-0.001037295,0.001365175,-0.002506051,0.003036442,51.04,41.76,32.33,28.93,0,0
31, oneDir, Slope_LowAmp_LowFreq, 51.4, 0, 0.4671873, 0, 0, False, 0, 0,0.0002145718,0.0008582873,-0.003283396,0.003400498,51.04,41.76,32.33,28.93,0,0
32, oneDir, Slope_LowAmp_LowFreq, 51.42, 0, 0.4671873, 0, 0, False, 0, 0,-0.001586937,0.002431814,-0.00345103,0.004510177,50.94,41.62,32.3,28.86,0,0
33, oneDir, Slope_LowAmp_LowFreq, 51.44, 0, 0.4671873, 0, 0, False, 0, 0,-0.001043802,0.00127551,-0.0008068794,0.001835076,50.97,41.44,32.07,28.77,0,0
34, oneDir, Slope_LowAmp_LowFreq, 51.46, 0, 0.4671873, 0, 0, False, 0, 0,0.0005878374,-0.001436439,-0.001005805,0.001849474,51.67,40.66,32.11,28.68,0,0
35, oneDir, Slope_LowAmp_LowFreq, 51.48, 0, 0.4671873, 0, 0, False, 0, 0,-0.001043802,-0.0001013256,-0.001940087,0.002205386,51.67,40.66,32.11,28.68,0,0
36, oneDir, Slope_LowAmp_LowFreq, 51.5, 0, 0.4671873, 0, 0, False, 0, 0,-0.00382206,-0.001174185,-0.002878838,0.004926922,52.77,40.4,32.38,29.01,0,0
37, oneDir, Slope_LowAmp_LowFreq, 51.52, 0, 0.4671873, 0, 0, False, 0, 0,-0.0007398257,-0.0005006675,-0.004137213,0.004232557,53.09,40.3,32.31,29.29,0,0
38, oneDir, Slope_LowAmp_LowFreq, 51.54, 0, 0.4671873, 0, 0, False, 0, 0,0.001077535,0.0004173026,-0.003035876,0.003248348,53.15,40.57,32.3,29.63,0,0
39, oneDir, Slope_LowAmp_LowFreq, 51.56, 0, 0.4671873, 0, 0, False, 0, 0,0.002172539,9.536525E-05,-0.003609724,0.004214158,53.18,40.16,32.53,28.82,0,0
40, oneDir, Slope_LowAmp_LowFreq, 51.58, 0, 0.4671873, 0, 0, False, 0, 0,0.003846647,0.001972869,-0.01330792,0.01399249,53.18,40.16,32.53,28.82,0,0
41, oneDir, Slope_LowAmp_LowFreq, 51.6, 0, 0.4671873, 0, 0, False, 0, 0,0.004526124,0.0007331204,-0.01232,0.01314555,53.32,40.11,32.35,28.89,0,0
42, oneDir, Slope_LowAmp_LowFreq, 51.62, 0, 0.4671873, 0, 0, False, 0, 0,0.002141248,-0.0001192066,-0.002328998,0.003165973,52.77,40.21,32.43,28.56,0,0
