Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count, RMSE Distance, Sway V X, Sway V Y, Sway V Z, Sway V Magnitude, stg0,stg1,stg2,stg3,horizontal,vertical
0, oneDir, Slope_LowAmp_LowFreq, 97.48, 0, 0.4671876, 0, 0, False, 0, 0,0,0,0,0,53.84,16.36,35.6,79.47,-0.4985555,0.9038891
1, oneDir, Slope_LowAmp_LowFreq, 97.5, 0, 0.4671876, 0, 0, False, 0, 0,0,0,0,0,53.84,16.36,35.6,79.47,-0.4985555,0.9038891
2, oneDir, Slope_LowAmp_LowFreq, 97.52, 0, 0.4671876, 0, 0, False, 0, 0,0,0,0,0,53.84,16.36,35.6,79.47,-0.4985555,0.9038891
3, oneDir, Slope_LowAmp_LowFreq, 97.54, 0, 0.4671876, 0, 0, False, 0, 0,0,0,0,0,53.84,16.36,35.6,79.47,-0.4985555,0.9038891
4, oneDir, Slope_LowAmp_LowFreq, 97.56, 0, 0.4671876, 0, 0, False, 0, 0,0.5508304,-0.1411675,-0.146427,0.5871825,51.46,16.71,36.21,78.66,-0.518889,0.8577778
5, oneDir, Slope_LowAmp_LowFreq, 97.57999, 0, 0.4671876, 0, 0, False, 0, 0,0.1581428,-0.05830313,-0.07081773,0.1828211,50.78,18.11,36.02,76.35,-0.4831112,0.811111
6, oneDir, Slope_LowAmp_LowFreq, 97.6, 0, 0.4671876, 0, 0, False, 0, 0,0,0,0,0,50.78,18.11,36.02,76.35,-0.4831112,0.811111
7, oneDir, Slope_LowAmp_LowFreq, 97.62, 0, 0.4671876, 0, 0, False, 0, 0,0.08378839,-0.02881772,-0.03577624,0.09555572,50.55,19.99,36.82,74.58,-0.4540001,0.7591113
8, oneDir, Slope_LowAmp_LowFreq, 97.64, 0, 0.4671876, 0, 0, False, 0, 0,0.07707916,-0.03083286,-0.0241526,0.0864593,48.36,21.15,38.96,73.78,-0.4803333,0.6892223
9, oneDir, Slope_LowAmp_LowFreq, 97.66, 0, 0.4671876, 0, 0, False, 0, 0,0.09933887,0.002688621,-0.008976476,0.09977984,47.61,23.33,36.86,71.93,0,0.6594445
10, oneDir, Slope_LowAmp_LowFreq, 97.68, 0, 0.4671876, 0, 0, False, 0, 0,0.1097236,-0.03983124,-0.03272043,0.1212288,49.57,23.38,34.17,71.98,0,0.7111112
11, oneDir, Slope_LowAmp_LowFreq, 97.7, 0, 0.4671876, 0, 0, False, 0, 0,0.208237,-0.01396771,-0.02676102,0.2104136,52.58,21.96,31.21,73.34,0,0.8083333
12, oneDir, Slope_LowAmp_LowFreq, 97.72, 0, 0.4671876, 0, 0, False, 0, 0,0.08978267,-0.01260965,-0.01363463,0.09168334,52.58,21.96,31.21,73.34,0,0.8083333
13, oneDir, Slope_LowAmp_LowFreq, 97.74, 0, 0.4671876, 0, 0, False, 0, 0,0.07016943,-0.01745517,0.01945375,0.0748791,57.29,20.3,27.99,74.86,0,0.931778
14, oneDir, Slope_LowAmp_LowFreq, 97.75999, 0, 0.4671876, 0, 0, False, 0, 0,0.08290312,-0.02125262,0.007781202,0.08593688,62.25,20.31,25.25,75.12,0,1.020111
15, oneDir, Slope_LowAmp_LowFreq, 97.78, 0, 0.4671876, 0, 0, False, 0, 0,0.1234268,-0.05186284,0.01627902,0.1348663,65.2,21.29,24.34,74.89,0,1.049555
16, oneDir, Slope_LowAmp_LowFreq, 97.8, 0, 0.4671876, 0, 0, False, 0, 0,0.1038279,-0.03932182,0.03475534,0.1163373,66.63,22.22,24.26,74.36,0,1.050111
17, oneDir, Slope_LowAmp_LowFreq, 97.82, 0, 0.4671876, 0, 0, False, 0, 0,0,0,0,0,66.63,22.22,24.26,74.36,0,1.050111
18, oneDir, Slope_LowAmp_LowFreq, 97.84, 0, 0.4671876, 0, 0, False, 0, 0,0.07523965,-0.05284839,0.02758221,0.09599341,66.61,22.41,25.63,75.02,0,1.039889
19, oneDir, Slope_LowAmp_LowFreq, 97.86, 0, 0.4671876, 0, 0, False, 0, 0,0.008581236,-0.04528389,0.04496359,0.06438939,65.97,21.9,26.45,76.53,0,1.046111
20, oneDir, Slope_LowAmp_LowFreq, 97.88, 0, 0.4671876, 0, 0, False, 0, 0,0.004086584,-0.004012066,0.03440659,0.03487995,65.32,22.06,25.84,77.85,0,1.058556
21, oneDir, Slope_LowAmp_LowFreq, 97.9, 0, 0.4671876, 0, 0, False, 0, 0,-0.01292549,0.03020714,0.03072261,0.04498242,65.32,22.06,25.84,77.85,0,1.058556
22, oneDir, Slope_LowAmp_LowFreq, 97.92, 0, 0.4671876, 0, 0, False, 0, 0,-0.03262114,0.0602883,0.01572932,0.07032943,64.93,19.53,25.64,80.31,0,1.111889
23, oneDir, Slope_LowAmp_LowFreq, 97.93999, 0, 0.4671876, 0, 0, False, 0, 0,-0.04843989,0.08356782,0.05543865,0.1113708,63.98,16.39,25.35,81.37,0,1.151222
24, oneDir, Slope_LowAmp_LowFreq, 97.96, 0, 0.4671876, 0, 0, False, 0, 0,-0.07749929,0.1213291,0.06555557,0.1581911,62.96,12.73,24.8,82.56,0,1.199889
25, oneDir, Slope_LowAmp_LowFreq, 97.98, 0, 0.4671876, 0, 0, False, 0, 0,-0.03975701,0.08043209,0.06387114,0.1101338,62.96,12.73,24.8,82.56,0,1.199889
26, oneDir, Slope_LowAmp_LowFreq, 98, 0, 0.4671876, 0, 0, False, 0, 0,-0.04176201,0.08366705,0.06531423,0.1140622,62.4,9.49,23.96,82.46,0,1
27, oneDir, Slope_LowAmp_LowFreq, 98.02, 0, 0.4671876, 0, 0, False, 0, 0,-0.176367,0.1624499,0.2526439,0.3483163,62.96,9.78,23.34,81.18,0,1
28, oneDir, Slope_LowAmp_LowFreq, 98.04, 0, 0.4671876, 0, 0, False, 0, 0,0,0,0,0,62.96,9.78,23.34,81.18,0,1
