Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count, RMSE Distance, Sway V X, Sway V Y, Sway V Z, Sway V Magnitude
0, combined, RaceTrack, 1172.58, 0, 0.1671876, 0, 0, False, 0, 0.433534,0,0,0,0
1, combined, RaceTrack, 1172.6, 0, 0.1671876, 0, 0, False, 0, 0.433534,0.02229867,0.01924543,0.03451091,0.04537202
2, combined, RaceTrack, 1172.62, 0, 0.1671876, 0, 0, False, 0, 0.433534,0.03295005,0.01795922,0.05788589,0.06898563
3, combined, RaceTrack, 1172.64, 0, 0.1671876, 0, 0, False, 0, 0.433534,0.02416322,0.007431402,0.02766902,0.03747882
4, combined, RaceTrack, 1172.66, 0, 0.1671876, 0, 0, False, 0, 0.433534,0.04279086,0.0334294,0.0617981,0.08226535
5, combined, RaceTrack, 1172.68, 0, 0.1671876, 0, 0, False, 0, 0.433534,0.02104028,0.02277847,0.03537418,0.04704131
6, combined, RaceTrack, 1172.7, 0, 0.1671876, 0, 0, False, 0, 0.433534,0.02302886,0.007383765,0.03119939,0.03947468
7, combined, RaceTrack, 1172.72, 0, 0.1671876, 0, 0, False, 0, 0.433534,0.0374674,0.006645389,0.05290408,0.06516755
8, combined, RaceTrack, 1172.74, 0, 0.1671876, 0, 0, False, 0, 0.433534,0.02251974,0.008431784,0.0299824,0.03843408
9, combined, RaceTrack, 1172.76, 0, 0.1671876, 0, 0, False, 0, 0.433534,0.04226163,0.0147318,0.04361706,0.06249416
10, combined, RaceTrack, 1172.78, 0, 0.1671876, 0, 0, False, 0, 0.433534,0.0186053,-0.007026486,0.01283301,0.02366886
11, combined, RaceTrack, 1172.8, 0, 0.1671876, 0, 0, False, 0, 0.433534,0.03762986,-0.01620015,0.02366442,0.04731232
12, combined, RaceTrack, 1172.82, 0, 0.1671876, 0, 0, False, 0, 0.433534,0.01795773,0.008741425,0.02351342,0.03085083
13, combined, RaceTrack, 1172.84, 0, 0.1671876, 0, 0, False, 0, 0.433534,0.01499009,0.0119093,0.01955209,0.02736454
14, combined, RaceTrack, 1172.86, 0, 0.1671876, 0, 0, False, 0, 0.433534,0.03247442,0.01323123,0.03782468,0.05157867
15, combined, RaceTrack, 1172.88, 0, 0.1671876, 0, 0, False, 0, 0.433534,0.01517096,-0.009908536,0.005984423,0.01908273
16, combined, RaceTrack, 1172.9, 0, 0.1671876, 0, 0, False, 0, 0.433534,0.03724186,0.0004525534,0.02527079,0.0450086
17, combined, RaceTrack, 1172.92, 0, 0.1671876, 0, 0, False, 0, 0.433534,0.01286007,0.007740606,0.01785896,0.02332897
18, combined, RaceTrack, 1172.94, 0, 0.1671876, 0, 0, False, 0, 0.433534,0.02119557,0.01973371,0.03071483,0.04221459
19, combined, RaceTrack, 1172.96, 0, 0.1671876, 0, 0, False, 0, 0.433534,0.01069381,0.008467511,0.008934207,0.01630571
20, combined, RaceTrack, 1172.98, 0, 0.1671876, 0, 0, False, 0, 0.433534,0.02312935,0.002846322,0.005868307,0.02403134
21, combined, RaceTrack, 1173, 0, 0.1671876, 0, 0, False, 0, 0.433534,0.01034769,-0.001988853,0.005787919,0.01202207
