Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count, RMSE Distance, Sway V X, Sway V Y, Sway V Z, Sway V Magnitude
0, directional, FreeMode, 772.22, 0, 0.1671875, 0, 0, False, 0, 0,0,0,0,0
1, directional, FreeMode, 772.24, 0, 0.1671875, 0, 0, False, 0, 0,0.01091041,-0.05490187,-0.05579804,0.0790359
2, directional, FreeMode, 772.26, 0, 0.1671875, 0, 0, False, 0, 0,0.007636838,-0.02362209,-0.03062662,0.0394248
3, directional, FreeMode, 772.28, 0, 0.1671875, 0, 0, False, 0, 0,-0.004896251,-0.06482344,-0.05638305,0.08605289
4, directional, FreeMode, 772.3, 0, 0.1671875, 0, 0, False, 0, 0,0.006107237,-0.0455888,-0.0353494,0.05801049
5, directional, FreeMode, 772.32, 0, 0.1671875, 0, 0, False, 0, 0,0.001511737,-0.1077494,-0.07436761,0.1309303
6, directional, FreeMode, 772.34, 0, 0.1671875, 0, 0, False, 0, 0,-0.01097065,-0.0657791,-0.04674397,0.08143859
7, directional, FreeMode, 772.36, 0, 0.1671875, 0, 0, False, 0, 0,-0.01347835,-0.06401844,-0.05443033,0.08510398
8, directional, FreeMode, 772.38, 0, 0.1671875, 0, 0, False, 0, 0,-0.01799793,-0.08685452,-0.09232758,0.1280313
9, directional, FreeMode, 772.4, 0, 0.1671875, 0, 0, False, 0, 0,-0.007902093,-0.034111,-0.04240543,0.05499295
10, directional, FreeMode, 772.42, 0, 0.1671875, 0, 0, False, 0, 0,-0.02834115,-0.07298614,-0.07937622,0.1114934
11, directional, FreeMode, 772.44, 0, 0.1671875, 0, 0, False, 0, 0,-0.02361167,-0.03001143,-0.02974794,0.04840596
12, directional, FreeMode, 772.46, 0, 0.1671875, 0, 0, False, 0, 0,-0.06276878,-0.008517297,-0.06795733,0.09290136
13, directional, FreeMode, 772.48, 0, 0.1671875, 0, 0, False, 0, 0,-0.01052633,-0.01523199,-0.0294878,0.03481878
