Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count, RMSE Distance, Sway V X, Sway V Y, Sway V Z, Sway V Magnitude
0, directional, LeftCurve, 533.72, 0, 0.1671878, 0, 0, False, 0, 0,0,0,0,0
1, directional, LeftCurve, 533.74, 0, 0.1671878, 0, 0, False, 0, 0,0.02387517,-0.05702172,-0.03336092,0.07024565
2, directional, LeftCurve, 533.76, 0, 0.1671878, 0, 0, False, 0, 0,0.01695289,-0.02570027,-0.01460378,0.03407601
3, directional, LeftCurve, 533.78, 0, 0.1671878, 0, 0, False, 0, 0,0.02243406,-0.02276854,-0.01047789,0.03363747
4, directional, LeftCurve, 533.8, 0, 0.1671878, 0, 0, False, 0, 0,0.01823909,-0.01669684,-0.01128555,0.0271811
5, directional, LeftCurve, 533.82, 0, 0.1671878, 0, 0, False, 0, 0,0.02032917,-0.0001667302,-0.01935782,0.02807184
6, directional, LeftCurve, 533.84, 0, 0.1671878, 0, 0, False, 0, 0,0.00390625,0.004945527,-0.003285819,0.007107295
7, directional, LeftCurve, 533.86, 0, 0.1671878, 0, 0, False, 0, 0,0.01853385,0.003358422,-0.003914438,0.01923812
8, directional, LeftCurve, 533.88, 0, 0.1671878, 0, 0, False, 0, 0,0.02851979,0.02224657,0.005305592,0.03655732
9, directional, LeftCurve, 533.9, 0, 0.1671878, 0, 0, False, 0, 0,0.02187858,0.0238556,-4.479644E-06,0.03236916
10, directional, LeftCurve, 533.92, 0, 0.1671878, 0, 0, False, 0, 0,0.02439322,0.0388005,0.0188621,0.04956094
11, directional, LeftCurve, 533.94, 0, 0.1671878, 0, 0, False, 0, 0,0.003260171,0.03044017,0.02002995,0.03658458
12, directional, LeftCurve, 533.96, 0, 0.1671878, 0, 0, False, 0, 0,0.003673309,0.02812022,0.019697,0.03452842
13, directional, LeftCurve, 533.98, 0, 0.1671878, 0, 0, False, 0, 0,0.004242687,0.02888005,0.02717107,0.03987888
14, directional, LeftCurve, 534, 0, 0.1671878, 0, 0, False, 0, 0,0.01190632,0.06591797,0.0525535,0.08513994
15, directional, LeftCurve, 534.02, 0, 0.1671878, 0, 0, False, 0, 0,-0.005017202,0.06576118,0.08862305,0.1104706
16, directional, LeftCurve, 534.04, 0, 0.1671878, 0, 0, False, 0, 0,-0.003385218,0.02922542,0.03744284,0.04761881
17, directional, LeftCurve, 534.06, 0, 0.1671878, 0, 0, False, 0, 0,-0.008038777,0.02462843,0.03239181,0.04147783
18, directional, LeftCurve, 534.08, 0, 0.1671878, 0, 0, False, 0, 0,0.006600729,0.02623619,0.01942258,0.03330381
19, directional, LeftCurve, 534.1, 0, 0.1671878, 0, 0, False, 0, 0,0.009389335,0.02753488,0.03129927,0.04273142
20, directional, LeftCurve, 534.12, 0, 0.1671878, 0, 0, False, 0, 0,0.007172375,0.04886385,0.06903076,0.08487853
21, directional, LeftCurve, 534.14, 0, 0.1671878, 0, 0, False, 0, 0,0.001866783,0.01340987,0.04725238,0.0491538
22, directional, LeftCurve, 534.16, 0, 0.1671878, 0, 0, False, 0, 0,-0.009004085,0.02753488,0.04504059,0.05355275
23, directional, LeftCurve, 534.18, 0, 0.1671878, 0, 0, False, 0, 0,-0.01070944,0.03859804,0.05262272,0.06613359
24, directional, LeftCurve, 534.2, 0, 0.1671878, 0, 0, False, 0, 0,-0.003563858,0.03217892,0.05438232,0.06328998
25, directional, LeftCurve, 534.22, 0, 0.1671878, 0, 0, False, 0, 0,0.009290783,0.03692422,0.08304365,0.09135625
26, directional, LeftCurve, 534.24, 0, 0.1671878, 0, 0, False, 0, 0,0.00267066,0.01937643,0.02596078,0.03250447
27, directional, LeftCurve, 534.26, 0, 0.1671878, 0, 0, False, 0, 0,-0.002876096,0.02037681,0.04590811,0.05030945
28, directional, LeftCurve, 534.28, 0, 0.1671878, 0, 0, False, 0, 0,-0.01365396,0.03535933,0.07338329,0.08259431
29, directional, LeftCurve, 534.3, 0, 0.1671878, 0, 0, False, 0, 0,2.679592E-05,0.03925305,0.1303175,0.1361009
30, directional, LeftCurve, 534.32, 0, 0.1671878, 0, 0, False, 0, 0,0.0182123,0.04611281,0.1502872,0.1582539
31, directional, LeftCurve, 534.34, 0, 0.1671878, 0, 0, False, 0, 0,0.01188898,0.02002103,0.1047811,0.1073372
32, directional, LeftCurve, 534.36, 0, 0.1671878, 0, 0, False, 0, 0,-0.008967702,0.05654535,0.1849343,0.1935936
33, directional, LeftCurve, 534.38, 0, 0.1671878, 0, 0, False, 0, 0,-0.01409466,0.03409632,0.0870086,0.09450775
34, directional, LeftCurve, 534.4, 0, 0.1671878, 0, 0, False, 0, 0,-0.007982726,0.01990157,0.08119579,0.08397948
35, directional, LeftCurve, 534.42, 0, 0.1671878, 0, 0, False, 0, 0,-0.003769293,0.005930831,0.1671373,0.167285
36, directional, LeftCurve, 534.44, 0, 0.1671878, 0, 0, False, 0, 0,0.008842655,-0.008860518,0.07376248,0.07481714
37, directional, LeftCurve, 534.46, 0, 0.1671878, 0, 0, False, 0, 0,0.007516843,-0.02794104,0.07151081,0.07714272
38, directional, LeftCurve, 534.48, 0, 0.1671878, 0, 0, False, 0, 0,0.0067883,-0.03735947,0.05044556,0.06313925
39, directional, LeftCurve, 534.5, 0, 0.1671878, 0, 0, False, 0, 0,-0.0109774,-0.02313977,0.05029818,0.05644342
40, directional, LeftCurve, 534.52, 0, 0.1671878, 0, 0, False, 0, 0,-0.01421839,-0.05182053,0.09588455,0.1099153
41, directional, LeftCurve, 534.54, 0, 0.1671878, 0, 0, False, 0, 0,-0.008547899,-0.03609708,0.04189319,0.05595628
42, directional, LeftCurve, 534.56, 0, 0.1671878, 0, 0, False, 0, 0,-0.01594357,-0.008789063,0.04743548,0.05080915
43, directional, LeftCurve, 534.58, 0, 0.1671878, 0, 0, False, 0, 0,-0.028886,0.01457698,0.071822,0.07877366
44, directional, LeftCurve, 534.6, 0, 0.1671878, 0, 0, False, 0, 0,-0.0327462,0.01116925,0.06637713,0.07485312
45, directional, LeftCurve, 534.62, 0, 0.1671878, 0, 0, False, 0, 0,-0.05578018,-0.01631574,0.131367,0.1436486
46, directional, LeftCurve, 534.64, 0, 0.1671878, 0, 0, False, 0, 0,-0.01740842,-0.005668826,0.06633107,0.06881133
47, directional, LeftCurve, 534.66, 0, 0.1671878, 0, 0, False, 0, 0,-0.02823072,0.008373949,0.07813844,0.08350277
48, directional, LeftCurve, 534.68, 0, 0.1671878, 0, 0, False, 0, 0,-0.03823778,0.031381,0.0989953,0.110666
49, directional, LeftCurve, 534.7, 0, 0.1671878, 0, 0, False, 0, 0,-0.03143162,0.0381693,0.1029231,0.1141841
50, directional, LeftCurve, 534.72, 0, 0.1671878, 0, 0, False, 0, 0,-0.05709755,0.05652714,0.2629798,0.2749797
51, directional, LeftCurve, 534.74, 0, 0.1671878, 0, 0, False, 0, 0,-0.04499929,0.05910585,0.1455355,0.1633984
52, directional, LeftCurve, 534.76, 0, 0.1671878, 0, 0, False, 0, 0,-0.03322694,0.05128144,0.1858342,0.1956225
53, directional, LeftCurve, 534.78, 0, 0.1671878, 0, 0, False, 0, 0,-0.03041679,0.06104262,0.1769504,0.1896387
