Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count, RMSE Distance, Sway V X, Sway V Y, Sway V Z, Sway V Magnitude
0, directional, LeftCurve, 589.48, 0, 0.1671878, 0, 0, False, 0, 0,0,0,0,0
1, directional, LeftCurve, 589.5, 0, 0.1671878, 0, 0, False, 0, 0,-0.01101312,0.04082508,0.03295452,0.05360948
2, directional, LeftCurve, 589.52, 0, 0.1671878, 0, 0, False, 0, 0,0.008726347,0.07512663,0.08727244,0.1154844
3, directional, LeftCurve, 589.54, 0, 0.1671878, 0, 0, False, 0, 0,-0.005689668,0.05847466,0.05382407,0.07967866
4, directional, LeftCurve, 589.56, 0, 0.1671878, 0, 0, False, 0, 0,-0.004215892,0.02922542,0.02957823,0.04179439
5, directional, LeftCurve, 589.58, 0, 0.1671878, 0, 0, False, 0, 0,-0.001143293,0.03385814,0.03018561,0.04537456
6, directional, LeftCurve, 589.6, 0, 0.1671878, 0, 0, False, 0, 0,-0.002150229,0.04252676,0.02935511,0.05171916
7, directional, LeftCurve, 589.62, 0, 0.1671878, 0, 0, False, 0, 0,0.002876096,0.06010623,0.07891622,0.09924113
8, directional, LeftCurve, 589.64, 0, 0.1671878, 0, 0, False, 0, 0,0.002402701,0.03326267,0.04002864,0.05210058
9, directional, LeftCurve, 589.66, 0, 0.1671878, 0, 0, False, 0, 0,-0.003368693,0.04889383,0.04905659,0.06934337
10, directional, LeftCurve, 589.68, 0, 0.1671878, 0, 0, False, 0, 0,-0.001313,0.04792302,0.04329998,0.06460052
11, directional, LeftCurve, 589.7, 0, 0.1671878, 0, 0, False, 0, 0,-0.006011219,0.05450886,0.055443,0.07798254
12, directional, LeftCurve, 589.72, 0, 0.1671878, 0, 0, False, 0, 0,-0.01458572,0.09547018,0.1216739,0.1553442
13, directional, LeftCurve, 589.74, 0, 0.1671878, 0, 0, False, 0, 0,0.006279178,0.05105516,0.03907292,0.06459683
14, directional, LeftCurve, 589.76, 0, 0.1671878, 0, 0, False, 0, 0,0.003090463,0.04963796,0.06029082,0.07815665
15, directional, LeftCurve, 589.78, 0, 0.1671878, 0, 0, False, 0, 0,0.02061532,0.04373328,0.05584101,0.07386345
