Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count, RMSE Distance, Sway V X, Sway V Y, Sway V Z, Sway V Magnitude
0, directionalNoAccel, SinCurve, 208.46, 0, 0.1671877, 0, 0, False, 0, 0,0,0,0,0
1, directionalNoAccel, SinCurve, 208.48, 0, 0.1671877, 0, 0, False, 0, 0,-0.1061772,-0.002502861,-0.04293299,0.1145561
2, directionalNoAccel, SinCurve, 208.5, 0, 0.1671877, 0, 0, False, 0, 0,-0.02915385,-0.007717153,-0.01834239,0.03529795
3, directionalNoAccel, SinCurve, 208.52, 0, 0.1671877, 0, 0, False, 0, 0,-0.03717125,-0.001962071,-0.01326634,0.03951642
4, directionalNoAccel, SinCurve, 208.54, 0, 0.1671877, 0, 0, False, 0, 0,-0.04489953,-0.001197797,-0.007866133,0.0455991
5, directionalNoAccel, SinCurve, 208.56, 0, 0.1671877, 0, 0, False, 0, 0,-0.03073155,-0.01657847,-0.009743278,0.03625197
6, directionalNoAccel, SinCurve, 208.58, 0, 0.1671877, 0, 0, False, 0, 0,-0.09205163,-0.04194675,-0.05973791,0.1174804
7, directionalNoAccel, SinCurve, 208.6, 0, 0.1671877, 0, 0, False, 0, 0,-0.05225131,-0.01041269,-0.01739921,0.0560478
8, directionalNoAccel, SinCurve, 208.62, 0, 0.1671877, 0, 0, False, 0, 0,-0.02231121,-0.004278699,-0.006364416,0.02359244
9, directionalNoAccel, SinCurve, 208.64, 0, 0.1671877, 0, 0, False, 0, 0,-0.009372318,-0.007258295,-0.009636013,0.01527665
10, directionalNoAccel, SinCurve, 208.66, 0, 0.1671877, 0, 0, False, 0, 0,-0.01151747,-0.0003160783,-0.005743082,0.01287381
11, directionalNoAccel, SinCurve, 208.68, 0, 0.1671877, 0, 0, False, 0, 0,-0.03757196,0.004672006,0.004531965,0.03813159
12, directionalNoAccel, SinCurve, 208.7, 0, 0.1671877, 0, 0, False, 0, 0,-0.009821492,0.0009296339,0.01128075,0.01498603
13, directionalNoAccel, SinCurve, 208.72, 0, 0.1671877, 0, 0, False, 0, 0,-0.0003709597,-0.01046434,0.006525314,0.01233774
14, directionalNoAccel, SinCurve, 208.74, 0, 0.1671877, 0, 0, False, 0, 0,0.003095181,-0.00918416,0.004768011,0.01080106
15, directionalNoAccel, SinCurve, 208.76, 0, 0.1671877, 0, 0, False, 0, 0,-0.0166619,-0.001716247,-0.000840246,0.01677112
16, directionalNoAccel, SinCurve, 208.78, 0, 0.1671877, 0, 0, False, 0, 0,0.0265996,-0.01412924,0.04131508,0.05112836
17, directionalNoAccel, SinCurve, 208.8, 0, 0.1671877, 0, 0, False, 0, 0,0.007547859,-0.00463979,0.03417223,0.03530211
18, directionalNoAccel, SinCurve, 208.82, 0, 0.1671877, 0, 0, False, 0, 0,0.01873123,0.01551773,0.05443721,0.0596244
19, directionalNoAccel, SinCurve, 208.84, 0, 0.1671877, 0, 0, False, 0, 0,0.0133322,0.02034468,0.02943543,0.03818505
20, directionalNoAccel, SinCurve, 208.86, 0, 0.1671877, 0, 0, False, 0, 0,0.01785746,0.02052345,0.04236091,0.0503443
21, directionalNoAccel, SinCurve, 208.88, 0, 0.1671877, 0, 0, False, 0, 0,0.04700248,0.06957299,0.1708433,0.1903603
22, directionalNoAccel, SinCurve, 208.9, 0, 0.1671877, 0, 0, False, 0, 0,0.0357328,0.0985829,0.2017484,0.2273716
23, directionalNoAccel, SinCurve, 208.92, 0, 0.1671877, 0, 0, False, 0, 0,0.1292727,0.1801642,0.4109697,0.4669761
24, directionalNoAccel, SinCurve, 208.94, 0, 0.1671877, 0, 0, False, 0, 0,0.1657206,0.1733231,0.4428454,0.5036033
25, directionalNoAccel, SinCurve, 208.96, 0, 0.1671877, 0, 0, False, 0, 0,0.1280452,0.09018368,0.2911349,0.3305877
26, directionalNoAccel, SinCurve, 208.98, 0, 0.1671877, 0, 0, False, 0, 0,0.333562,0.2211039,0.5828268,0.706992
27, directionalNoAccel, SinCurve, 209, 0, 0.1671877, 0, 0, False, 0, 0,0.2306565,0.07164736,0.2553543,0.3514848
28, directionalNoAccel, SinCurve, 209.02, 0, 0.1671877, 0, 0, False, 0, 0,0.3978941,0.1600131,0.4917313,0.6524749
29, directionalNoAccel, SinCurve, 209.04, 0, 0.1671877, 0, 0, False, 0, 0,0.2220372,0.06341772,0.2475239,0.3385121
30, directionalNoAccel, SinCurve, 209.06, 0, 0.1671877, 0, 0, False, 0, 0,0.2198897,0.04663067,0.2098827,0.3075332
31, directionalNoAccel, SinCurve, 209.08, 0, 0.1671877, 0, 0, False, 0, 0,0.6113616,0.1833882,0.622372,0.8914825
32, directionalNoAccel, SinCurve, 209.1, 0, 0.1671877, 0, 0, False, 0, 0,0.1687299,0.04607586,0.1940124,0.2612156
33, directionalNoAccel, SinCurve, 209.12, 0, 0.1671877, 0, 0, False, 0, 0,0.1660112,0.0424354,0.1967338,0.260892
34, directionalNoAccel, SinCurve, 209.14, 0, 0.1671877, 0, 0, False, 0, 0,0.1560064,0.04512896,0.1951516,0.2538873
35, directionalNoAccel, SinCurve, 209.16, 0, 0.1671877, 0, 0, False, 0, 0,0.145762,0.0364146,0.1871601,0.2400031
36, directionalNoAccel, SinCurve, 209.18, 0, 0.1671877, 0, 0, False, 0, 0,0.2831852,0.008670623,0.35689,0.4556748
37, directionalNoAccel, SinCurve, 209.2, 0, 0.1671877, 0, 0, False, 0, 0,0.1383546,0.001603022,0.1858016,0.2316609
38, directionalNoAccel, SinCurve, 209.22, 0, 0.1671877, 0, 0, False, 0, 0,0.1249218,0.001668574,0.2198584,0.2528754
39, directionalNoAccel, SinCurve, 209.24, 0, 0.1671877, 0, 0, False, 0, 0,0.2424596,0.006017414,0.3550781,0.4300039
40, directionalNoAccel, SinCurve, 209.26, 0, 0.1671877, 0, 0, False, 0, 0,0.1162445,-0.006459764,0.1678526,0.2042767
41, directionalNoAccel, SinCurve, 209.28, 0, 0.1671877, 0, 0, False, 0, 0,0.2061731,-0.01441528,0.3315396,0.3906836
42, directionalNoAccel, SinCurve, 209.3, 0, 0.1671877, 0, 0, False, 0, 0,0.08823056,-0.02976503,0.1413496,0.169264
43, directionalNoAccel, SinCurve, 209.32, 0, 0.1671877, 0, 0, False, 0, 0,0.09141251,-0.01596467,0.1497426,0.1761646
44, directionalNoAccel, SinCurve, 209.34, 0, 0.1671877, 0, 0, False, 0, 0,0.1018932,-0.003706617,0.163401,0.1926029
45, directionalNoAccel, SinCurve, 209.36, 0, 0.1671877, 0, 0, False, 0, 0,0.07014713,-0.008837481,0.1769522,0.190554
46, directionalNoAccel, SinCurve, 209.38, 0, 0.1671877, 0, 0, False, 0, 0,0.2527963,-0.07281727,0.5307252,0.5923492
47, directionalNoAccel, SinCurve, 209.4, 0, 0.1671877, 0, 0, False, 0, 0,0.1366674,-0.06381698,0.3496138,0.3807629
48, directionalNoAccel, SinCurve, 209.42, 0, 0.1671877, 0, 0, False, 0, 0,0.0521109,-0.05419289,0.178007,0.1932328
49, directionalNoAccel, SinCurve, 209.44, 0, 0.1671877, 0, 0, False, 0, 0,0.06125081,-0.05176749,0.1832541,0.200034
50, directionalNoAccel, SinCurve, 209.46, 0, 0.1671877, 0, 0, False, 0, 0,0.05067241,-0.05053674,0.1981453,0.2106732
51, directionalNoAccel, SinCurve, 209.48, 0, 0.1671877, 0, 0, False, 0, 0,0.1852608,-0.1776673,0.5758277,0.6304481
52, directionalNoAccel, SinCurve, 209.5, -5.001303E-12, 0.1671877, -5.001303E-12, 0, False, 0, 0,0.07508097,-0.0515768,0.2019183,0.2215137
53, directionalNoAccel, SinCurve, 209.52, -2.414929E-11, 0.1671877, -2.414929E-11, 0, False, 0, 0,0.08238013,-0.06286379,0.2056775,0.2303075
54, directionalNoAccel, SinCurve, 209.54, -6.99897E-11, 0.1671877, -6.99897E-11, 0, False, 0, 0,0.08439966,-0.1108708,0.1924238,0.2375764
55, directionalNoAccel, SinCurve, 209.56, -1.578247E-10, 0.1671877, -1.578247E-10, 0, False, 0, 0,0.1419029,-0.169688,0.3721128,0.4328953
56, directionalNoAccel, SinCurve, 209.58, -3.051565E-10, 0.1671877, -3.051565E-10, 0, False, 0, 0,0.1642208,-0.1475496,0.3586778,0.4211758
57, directionalNoAccel, SinCurve, 209.6, -5.312081E-10, 0.1671877, -5.312081E-10, 0, False, 0, 0,0.07208075,-0.07281131,0.1629711,0.1925012
58, directionalNoAccel, SinCurve, 209.62, -8.565112E-10, 0.1671877, -8.565112E-10, 0, False, 0, 0,0.06822045,-0.07266638,0.1558373,0.1849857
59, directionalNoAccel, SinCurve, 209.64, -1.302554E-09, 0.1671877, 0.07, 0, False, 0, 0,0.05942431,-0.06516376,3.653732,3.654796
60, directionalNoAccel, SinCurve, 209.66, -1.891478E-09, 0.1671877, 0.14, 0, False, 0, 0,0.06412177,-0.06419966,3.64856,3.649688
61, directionalNoAccel, SinCurve, 209.68, -2.645826E-09, 0.1671877, 0.21, 0, False, 0, 0,0.1409204,-0.1351485,3.779501,3.784541
62, directionalNoAccel, SinCurve, 209.7, -3.528307E-09, 0.1671877, 0.28, 0, False, 0, 0,0.05403013,-0.03214984,3.629928,3.630473
63, directionalNoAccel, SinCurve, 209.72, -4.551927E-09, 0.1671877, 0.35, 0, False, 0, 0,0.1075208,-0.1094108,3.757833,3.760963
64, directionalNoAccel, SinCurve, 209.74, -5.671592E-09, 0.1671877, 0.42, 0, False, 0, 0,0.04278741,-0.0552302,3.608063,3.608739
65, directionalNoAccel, SinCurve, 209.76, -6.843993E-09, 0.1671877, 0.49, 0, False, 0, 0,0.04084113,-0.04453304,3.603023,3.603529
66, directionalNoAccel, SinCurve, 209.78, -8.077613E-09, 0.1671877, 0.56, 0, False, 0, 0,0.103219,-0.09058567,3.668034,3.670604
67, directionalNoAccel, SinCurve, 209.8, -9.339121E-09, 0.1671877, 0.63, 0, False, 0, 0,0.0423187,-0.0388657,3.589653,3.590113
68, directionalNoAccel, SinCurve, 209.82, -1.06505E-08, 0.1671877, 0.7, 0, False, 0, 0,0.03188521,-0.05348374,3.584799,3.58534
69, directionalNoAccel, SinCurve, 209.84, -1.197976E-08, 0.1671877, 0.77, 0, False, 0, 0,0.0366643,-0.05379958,3.583739,3.58433
70, directionalNoAccel, SinCurve, 209.86, -1.335009E-08, 0.1671877, 0.84, 0, False, 0, 0,0.04031095,-0.03459907,3.581474,3.581868
71, directionalNoAccel, SinCurve, 209.88, -1.479057E-08, 0.1671877, 0.91, 0, False, 0, 0,0.06676035,-0.03796517,3.661027,3.661832
72, directionalNoAccel, SinCurve, 209.9, -1.633504E-08, 0.1671877, 0.98, 0, False, 0, 0,0.02322558,-0.03362176,3.558203,3.558438
