Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count, RMSE Distance, Sway V X, Sway V Y, Sway V Z, Sway V Magnitude
0, directional, SinCurve, 429.8, 0, 0.1671873, 0, 0, False, 0, 0,0,0,0,0
1, directional, SinCurve, 429.82, 0, 0.1671873, 0, 0, False, 0, 0,-0.03903864,0.04306417,0.04343094,0.07255884
2, directional, SinCurve, 429.84, 0, 0.1671873, 0, 0, False, 0, 0,-0.02491128,0.03456674,0.03550236,0.05546034
3, directional, SinCurve, 429.86, 0, 0.1671873, 0, 0, False, 0, 0,-0.03215947,0.03773259,0.05045325,0.07073549
4, directional, SinCurve, 429.88, 0, 0.1671873, 0, 0, False, 0, 0,-0.03601372,0.03905059,0.05789482,0.0785732
5, directional, SinCurve, 429.9, 0, 0.1671873, 0, 0, False, 0, 0,-0.01461713,0.01861283,0.02865055,0.03716117
6, directional, SinCurve, 429.92, 0, 0.1671873, 0, 0, False, 0, 0,-0.02647901,0.03572281,0.05292223,0.06912322
7, directional, SinCurve, 429.94, 0, 0.1671873, 0, 0, False, 0, 0,-0.01339796,0.01943598,0.03840972,0.04508402
8, directional, SinCurve, 429.96, 0, 0.1671873, 0, 0, False, 0, 0,-0.009992247,0.02043178,0.0463405,0.05162116
9, directional, SinCurve, 429.98, 0, 0.1671873, 0, 0, False, 0, 0,-0.01628996,0.02871541,0.05677332,0.06567456
10, directional, SinCurve, 430, 0, 0.1671873, 0, 0, False, 0, 0,-0.01770317,0.03450124,0.07170812,0.08152173
11, directional, SinCurve, 430.02, 0, 0.1671873, 0, 0, False, 0, 0,-0.03695432,0.07448115,0.1644226,0.1842494
12, directional, SinCurve, 430.04, 0, 0.1671873, 0, 0, False, 0, 0,-0.005555224,0.0283397,0.0997033,0.1038015
13, directional, SinCurve, 430.06, 0, 0.1671873, 0, 0, False, 0, 0,-0.02633146,0.04249833,0.1159214,0.1262427
14, directional, SinCurve, 430.08, 0, 0.1671873, 0, 0, False, 0, 0,-0.01781966,0.03522185,0.1288414,0.1347525
15, directional, SinCurve, 430.1, 0, 0.1671873, 0, 0, False, 0, 0,-0.01364206,0.03168535,0.1298075,0.1343133
16, directional, SinCurve, 430.12, 0, 0.1671873, 0, 0, False, 0, 0,-0.02196372,0.03271484,0.2700895,0.2729487
17, directional, SinCurve, 430.14, 0, 0.1671873, 0, 0, False, 0, 0,-0.009688096,0.001025763,0.1535961,0.1539048
18, directional, SinCurve, 430.16, 0, 0.1671873, 0, 0, False, 0, 0,-0.009289254,-0.0004525534,0.142398,0.1427014
19, directional, SinCurve, 430.18, 0, 0.1671873, 0, 0, False, 0, 0,-0.00717438,-0.01772424,0.1572348,0.1583931
20, directional, SinCurve, 430.2, 0, 0.1671873, 0, 0, False, 0, 0,0.0003846613,-0.03914599,0.1525853,0.1575272
21, directional, SinCurve, 430.22, 0, 0.1671873, 0, 0, False, 0, 0,0.007449267,-0.09096918,0.3045892,0.3179709
22, directional, SinCurve, 430.24, 0, 0.1671873, 0, 0, False, 0, 0,-0.01484077,-0.03031369,0.1463323,0.1501743
23, directional, SinCurve, 430.26, 0, 0.1671873, 0, 0, False, 0, 0,-0.005492605,-0.06326932,0.3196826,0.3259296
24, directional, SinCurve, 430.28, 0, 0.1671873, 0, 0, False, 0, 0,0.02797494,-0.03135718,0.1636405,0.1689499
25, directional, SinCurve, 430.3, 0, 0.1671873, 0, 0, False, 0, 0,0.02597805,-0.02111761,0.1718407,0.1750715
26, directional, SinCurve, 430.32, 0, 0.1671873, 0, 0, False, 0, 0,0.02657741,-0.0517772,0.319412,0.324671
