Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count, RMSE Distance, Sway V X, Sway V Y, Sway V Z, Sway V Magnitude
0, directional, SinCurve, 145.72, 0, 0.1671872, 0, 0, False, 0, 0,0,0,0,0
1, directional, SinCurve, 145.74, 0, 0.1671872, 0, 0, False, 0, 0,-0.02845263,0.0204437,0.05514745,0.06533559
2, directional, SinCurve, 145.76, 0, 0.1671872, 0, 0, False, 0, 0,-0.01422291,0.00958238,0.02656663,0.03162118
3, directional, SinCurve, 145.78, 0, 0.1671872, 0, 0, False, 0, 0,-0.03948803,0.02676273,0.04490009,0.06551004
4, directional, SinCurve, 145.8, 0, 0.1671872, 0, 0, False, 0, 0,-0.02761117,0.01991562,0.01634178,0.03776324
5, directional, SinCurve, 145.82, 0, 0.1671872, 0, 0, False, 0, 0,-0.03420652,0.02415911,0.0366675,0.05566197
6, directional, SinCurve, 145.84, 0, 0.1671872, 0, 0, False, 0, 0,-0.0143691,0.01015446,0.01717309,0.02458656
7, directional, SinCurve, 145.86, 0, 0.1671872, 0, 0, False, 0, 0,-0.01640547,0.005291762,0.01517918,0.02296845
8, directional, SinCurve, 145.88, 0, 0.1671872, 0, 0, False, 0, 0,-0.01845414,0.009011212,0.02407432,0.0316438
9, directional, SinCurve, 145.9, 0, 0.1671872, 0, 0, False, 0, 0,-0.03004038,0.01487414,0.03159191,0.04606206
10, directional, SinCurve, 145.92, 0, 0.1671872, 0, 0, False, 0, 0,-0.04690796,0.02486771,0.04456544,0.06931694
11, directional, SinCurve, 145.94, 0, 0.1671872, 0, 0, False, 0, 0,-0.02465466,0.0172757,0.0230833,0.03793601
12, directional, SinCurve, 145.96, 0, 0.1671872, 0, 0, False, 0, 0,-0.02950961,0.01894084,0.03639913,0.05054176
13, directional, SinCurve, 145.98, 0, 0.1671872, 0, 0, False, 0, 0,-0.03323022,0.01372402,0.04807447,0.06003125
14, directional, SinCurve, 146, 0, 0.1671872, 0, 0, False, 0, 0,-0.04535783,0.01939717,0.06301398,0.08002715
15, directional, SinCurve, 146.02, 0, 0.1671872, 0, 0, False, 0, 0,-0.0783758,0.03819842,0.1772763,0.197557
16, directional, SinCurve, 146.04, 0, 0.1671872, 0, 0, False, 0, 0,-0.04348266,0.01823116,0.1087244,0.1185078
