Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count, RMSE Distance, Sway V X, Sway V Y, Sway V Z, Sway V Magnitude
0, directional, StraightLine, 640.92, 0, 0.1671875, 0, 0, False, 0, 0,0,0,0,0
1, directional, StraightLine, 640.94, 0, 0.1671875, 0, 0, False, 0, 0,-0.05682522,0.05016792,0.2375436,0.2493449
2, directional, StraightLine, 640.96, 0, 0.1671875, 0, 0, False, 0, 0,-0.03440367,0.008224627,0.1387995,0.1432361
3, directional, StraightLine, 640.98, 0, 0.1671875, 0, 0, False, 0, 0,-0.05882598,0.03730588,0.2544608,0.2638229
4, directional, StraightLine, 641, 0, 0.1671875, 0, 0, False, 0, 0,-0.02112412,0.0001845941,0.1272583,0.1289998
5, directional, StraightLine, 641.02, 0, 0.1671875, 0, 0, False, 0, 0,-0.04473373,-0.004545346,0.2390943,0.2432855
6, directional, StraightLine, 641.04, 0, 0.1671875, 0, 0, False, 0, 0,-0.03657643,-0.01103992,0.117815,0.1238551
7, directional, StraightLine, 641.06, 0, 0.1671875, 0, 0, False, 0, 0,-0.02950231,-0.01981707,0.1167119,0.1220031
8, directional, StraightLine, 641.08, 0, 0.1671875, 0, 0, False, 0, 0,-0.04866686,-0.01524274,0.1180409,0.1285864
9, directional, StraightLine, 641.1, 0, 0.1671875, 0, 0, False, 0, 0,-0.02686738,-0.03735352,0.1192061,0.1277781
10, directional, StraightLine, 641.12, 0, 0.1671875, 0, 0, False, 0, 0,-0.06381002,-0.0784406,0.2227232,0.2446023
11, directional, StraightLine, 641.14, 0, 0.1671875, 0, 0, False, 0, 0,-0.04631229,-0.06494736,0.1113929,0.1370086
12, directional, StraightLine, 641.16, 0, 0.1671875, 0, 0, False, 0, 0,-0.07099341,-0.1126541,0.2350716,0.270166
13, directional, StraightLine, 641.18, 0, 0.1671875, 0, 0, False, 0, 0,-0.02822504,-0.06539991,0.1100799,0.1311159
14, directional, StraightLine, 641.2, 0, 0.1671875, 0, 0, False, 0, 0,-0.017069,-0.0701279,0.09702357,0.120925
15, directional, StraightLine, 641.22, 0, 0.1671875, 0, 0, False, 0, 0,-0.05961511,-0.1026615,0.1994071,0.2320701
16, directional, StraightLine, 641.24, 0, 0.1671875, 0, 0, False, 0, 0,-0.07479635,-0.0144698,0.09218244,0.1195888
17, directional, StraightLine, 641.26, 0, 0.1671875, 0, 0, False, 0, 0,-0.07024104,-0.02838581,0.1038119,0.1285164
18, directional, StraightLine, 641.28, 0, 0.1671875, 0, 0, False, 0, 0,-0.1028795,-0.0002687787,0.07257024,0.1258996
19, directional, StraightLine, 641.3, 0, 0.1671875, 0, 0, False, 0, 0,-0.07904797,-0.02749857,0.08048379,0.1161137
20, directional, StraightLine, 641.32, 0, 0.1671875, 0, 0, False, 0, 0,-0.2006032,-0.1057188,0.2070834,0.3070857
21, directional, StraightLine, 641.34, 0, 0.1671875, 0, 0, False, 0, 0,-0.04631953,-0.04649274,0.05375573,0.08483367
22, directional, StraightLine, 641.36, 0, 0.1671875, 0, 0, False, 0, 0,-0.03393257,-0.05552115,0.05281476,0.08380583
23, directional, StraightLine, 641.38, 0, 0.1671875, 0, 0, False, 0, 0,-0.0477414,-0.05031679,0.03643799,0.07835016
24, directional, StraightLine, 641.4, 0, 0.1671875, 0, 0, False, 0, 0,-0.03808594,-0.05959719,0.02574004,0.07526562
25, directional, StraightLine, 641.42, 0, 0.1671875, 0, 0, False, 0, 0,-0.07819943,-0.1149902,0.01477795,0.1398438
26, directional, StraightLine, 641.44, 0, 0.1671875, 0, 0, False, 0, 0,-0.01034323,-0.04103944,-0.02914057,0.05138473
27, directional, StraightLine, 641.46, 0, 0.1671875, 0, 0, False, 0, 0,-0.05088876,-0.08382908,-0.04153526,0.1064996
28, directional, StraightLine, 641.48, 0, 0.1671875, 0, 0, False, 0, 0,-0.02612602,-0.03511457,-0.03646478,0.05696738
29, directional, StraightLine, 641.5, 0, 0.1671875, 0, 0, False, 0, 0,-0.02920756,-0.02211557,-0.05097031,0.06277063
30, directional, StraightLine, 641.52, 0, 0.1671875, 0, 0, False, 0, 0,-0.06713195,-0.035431,-0.1103964,0.1339754
31, directional, StraightLine, 641.54, 0, 0.1671875, 0, 0, False, 0, 0,-0.03604945,-0.01105183,-0.0672667,0.07711364
32, directional, StraightLine, 641.56, 0, 0.1671875, 0, 0, False, 0, 0,-0.0251703,-0.01642292,-0.06160829,0.06854808
33, directional, StraightLine, 641.58, 0, 0.1671875, 0, 0, False, 0, 0,-0.02314184,-0.01825903,-0.08151161,0.08667802
34, directional, StraightLine, 641.6, 0, 0.1671875, 0, 0, False, 0, 0,-0.01568455,-0.02198457,-0.08201338,0.08634536
35, directional, StraightLine, 641.62, 0, 0.1671875, 0, 0, False, 0, 0,-0.07569848,-0.0505252,-0.1815135,0.2030523
36, directional, StraightLine, 641.64, 0, 0.1671875, 0, 0, False, 0, 0,-0.04499035,-0.0268376,-0.08781247,0.1022517
37, directional, StraightLine, 641.66, 0, 0.1671875, 0, 0, False, 0, 0,-0.02757669,-0.03718105,-0.09404565,0.1048212
38, directional, StraightLine, 641.68, 0, 0.1671875, 0, 0, False, 0, 0,-0.02868057,-0.03470965,-0.08901382,0.09975367
39, directional, StraightLine, 641.7, 0, 0.1671875, 0, 0, False, 0, 0,-0.02195479,-0.04099181,-0.09096322,0.1021599
40, directional, StraightLine, 641.72, 0, 0.1671875, 0, 0, False, 0, 0,-0.1252329,-0.1186807,-0.2686936,0.319319
41, directional, StraightLine, 641.74, 0, 0.1671875, 0, 0, False, 0, 0,-0.0845322,-0.08876596,-0.1757411,0.2142662
42, directional, StraightLine, 641.76, 0, 0.1671875, 0, 0, False, 0, 0,-0.04978682,-0.05194836,-0.09018614,0.1153729
43, directional, StraightLine, 641.78, 0, 0.1671875, 0, 0, False, 0, 0,0.003171588,-0.014084,0.0001747061,0.01443775
44, directional, StraightLine, 641.8, 0, 0.1671875, 0, 0, False, 0, 0,-0.02132955,-0.06849633,-0.08283959,0.109586
45, directional, StraightLine, 641.82, 0, 0.1671875, 0, 0, False, 0, 0,-0.07362626,-0.1895484,-0.2469334,0.3198836
46, directional, StraightLine, 641.84, 0, 0.1671875, 0, 0, False, 0, 0,-0.02749606,-0.06181312,-0.0803805,0.1050615
47, directional, StraightLine, 641.86, 0, 0.1671875, 0, 0, False, 0, 0,-0.0300025,-0.06327411,-0.0792869,0.1057836
48, directional, StraightLine, 641.88, 0, 0.1671875, 0, 0, False, 0, 0,-0.01039682,-0.05775414,-0.07220832,0.09304664
49, directional, StraightLine, 641.9, 0, 0.1671875, 0, 0, False, 0, 0,-0.02927896,-0.1057674,-0.1490759,0.1851151
50, directional, StraightLine, 641.92, 0, 0.1671875, 0, 0, False, 0, 0,-0.008994498,-0.09692383,-0.1423667,0.1724628
51, directional, StraightLine, 641.94, -0.002860106, 0.1671875, -0.002794932, 0, False, 0, 0,-0.1542183,-0.04737519,-0.2063433,0.2619261
52, directional, StraightLine, 641.96, -0.008408712, 0.1671875, -0.008217101, 0, False, 0, 0,-0.2889733,-0.04498758,-0.3358162,0.4453111
53, directional, StraightLine, 641.98, -0.0169495, 0.1671875, -0.01639589, 0, False, 0, 0,-0.4384218,-0.04222442,-0.4682662,0.6428607
54, directional, StraightLine, 642, -0.02830293, 0.1671875, -0.02716589, 0, False, 0, 0,-0.5739594,-0.0441835,-0.603205,0.8338092
55, directional, StraightLine, 642.02, -0.0426775, 0.1671875, -0.04068999, 0, False, 0, 0,-0.7322826,-0.08752628,-0.794803,1.084256
56, directional, StraightLine, 642.04, -0.0601025, 0.1671875, -0.05712504, 0, False, 0, 0,-0.8687562,-0.04457651,-0.8714635,1.23133
57, directional, StraightLine, 642.06, -0.08039491, 0.1671875, -0.07629639, 0, False, 0, 0,-1.014801,-0.08502644,-1.06338,1.472355
