Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count, RMSE Distance, Sway V X, Sway V Y, Sway V Z, Sway V Magnitude
0, torque, FreeMode, 301.16, 0, 0.1671877, 0, 0, False, 0, 0,0,0,0,0
1, torque, FreeMode, 301.18, 0, 0.1671877, 0, 0, False, 0, 0,-0.01301978,0.01638239,0.07080302,0.07383065
2, torque, FreeMode, 301.2, 0, 0.1671877, 0, 0, False, 0, 0,-0.0231518,0.03346255,0.1387397,0.1445837
3, torque, FreeMode, 301.22, 0, 0.1671877, 0, 0, False, 0, 0,-0.03629824,0.06028487,0.2310992,0.2415754
4, torque, FreeMode, 301.24, 0, 0.1671877, 0, 0, False, 0, 0,-0.01981527,0.02851264,0.0940124,0.1002195
5, torque, FreeMode, 301.26, 0, 0.1671877, 0, 0, False, 0, 0,-0.01467509,0.02542939,0.09825709,0.1025498
6, torque, FreeMode, 301.28, 0, 0.1671877, 0, 0, False, 0, 0,-0.01280436,0.02888005,0.1037624,0.1084649
7, torque, FreeMode, 301.3, 0, 0.1671877, 0, 0, False, 0, 0,-0.01867322,0.0273676,0.1013046,0.1065847
8, torque, FreeMode, 301.32, 0, 0.1671877, 0, 0, False, 0, 0,-0.03916317,0.06029082,0.2057417,0.2179412
9, torque, FreeMode, 301.34, 0, 0.1671877, 0, 0, False, 0, 0,-0.0184356,0.03219227,0.1116099,0.1176137
10, torque, FreeMode, 301.36, 0, 0.1671877, 0, 0, False, 0, 0,-0.0136756,0.03724952,0.1250015,0.1311485
11, torque, FreeMode, 301.38, 0, 0.1671877, 0, 0, False, 0, 0,-0.02180965,0.04362376,0.1327842,0.1414579
12, torque, FreeMode, 301.4, 0, 0.1671877, 0, 0, False, 0, 0,-0.03716603,0.0468094,0.1413533,0.1534705
13, torque, FreeMode, 301.42, 0, 0.1671877, 0, 0, False, 0, 0,-0.05527008,0.1209208,0.2892194,0.3183151
