Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count, RMSE Distance, Sway V X, Sway V Y, Sway V Z, Sway V Magnitude
0, torque, LeftCurve, 66.64, 0, 0.1671876, 0, 0, False, 0, 0,0,0,0,0
1, torque, LeftCurve, 66.66, 0, 0.1671876, 0, 0, False, 0, 0,0.02386673,0.209468,0.2501669,0.3271543
2, torque, LeftCurve, 66.68, 0, 0.1671876, 0, 0, False, 0, 0,0.0780155,0.2525803,0.3157001,0.4117642
3, torque, LeftCurve, 66.7, 0, 0.1671876, 0, 0, False, 0, 0,0.02961879,0.04870517,0.06895328,0.0894652
4, torque, LeftCurve, 66.72, 0, 0.1671876, 0, 0, False, 0, 0,0.02450568,0.05632628,0.06817613,0.09176689
5, torque, LeftCurve, 66.74, 0, 0.1671876, 0, 0, False, 0, 0,0.03440287,0.03933971,0.06526016,0.08360656
6, torque, LeftCurve, 66.76, 0, 0.1671876, 0, 0, False, 0, 0,0.06738058,0.07583071,0.1133081,0.1520827
7, torque, LeftCurve, 66.78, 0, 0.1671876, 0, 0, False, 0, 0,0.07552356,0.08955313,0.120666,0.1681781
8, torque, LeftCurve, 66.8, 0, 0.1671876, 0, 0, False, 0, 0,0.0472148,0.08549337,0.1228121,0.1569114
9, torque, LeftCurve, 66.82, 0, 0.1671876, 0, 0, False, 0, 0,0.06250894,0.0719632,0.130694,0.1617621
10, torque, LeftCurve, 66.84, 0, 0.1671876, 0, 0, False, 0, 0,0.07318742,0.08253648,0.1250209,0.16673
11, torque, LeftCurve, 66.86, 0, 0.1671876, 0, 0, False, 0, 0,0.1440396,0.07865537,0.1935247,0.2537438
12, torque, LeftCurve, 66.88, 0, 0.1671876, 0, 0, False, 0, 0,0.349555,0.2257189,0.4687232,0.6267688
13, torque, LeftCurve, 66.9, 0, 0.1671876, 0, 0, False, 0, 0,0.16223,0.06503861,0.169837,0.2437072
14, torque, LeftCurve, 66.92, 0, 0.1671876, 0, 0, False, 0, 0,0.1557865,0.07231257,0.1871513,0.254016
15, torque, LeftCurve, 66.93999, 0, 0.1671876, 0, 0, False, 0, 0,0.1586569,0.07064933,0.1960577,0.2619198
16, torque, LeftCurve, 66.96, 0, 0.1671876, 0, 0, False, 0, 0,0.1524376,0.08300558,0.2047608,0.268429
17, torque, LeftCurve, 66.98, 0, 0.1671876, 0, 0, False, 0, 0,0.5256358,0.17327,0.5548813,0.7837147
18, torque, LeftCurve, 67, 0, 0.1671876, 0, 0, False, 0, 0,0.1871559,0.03844275,0.1869726,0.2673274
19, torque, LeftCurve, 67.02, 0, 0.1671876, 0, 0, False, 0, 0,0.1636064,0.03866606,0.1800243,0.2463146
20, torque, LeftCurve, 67.04, 0, 0.1671876, 0, 0, False, 0, 0,0.1631061,0.02991514,0.1899224,0.252129
21, torque, LeftCurve, 67.06, 0, 0.1671876, 0, 0, False, 0, 0,0.1534347,0.03003982,0.1852108,0.2423791
22, torque, LeftCurve, 67.08, 0, 0.1671876, 0, 0, False, 0, 0,0.4417415,0.06712433,0.5133277,0.6805487
23, torque, LeftCurve, 67.1, 0, 0.1671876, 0, 0, False, 0, 0,0.1189089,0.01415848,0.1419395,0.1857057
24, torque, LeftCurve, 67.12, 0, 0.1671876, 0, 0, False, 0, 0,0.1249784,0.0256343,0.1600653,0.2046891
25, torque, LeftCurve, 67.14, 0, 0.1671876, 0, 0, False, 0, 0,0.1044698,0.01418883,0.1419748,0.1768392
26, torque, LeftCurve, 67.16, 0, 0.1671876, 0, 0, False, 0, 0,0.09661374,0.004292255,0.1344907,0.1656514
27, torque, LeftCurve, 67.18, 0, 0.1671876, 0, 0, False, 0, 0,0.1828138,-0.007794622,0.278917,0.3335811
28, torque, LeftCurve, 67.2, 0, 0.1671876, 0, 0, False, 0, 0,0.06639135,-0.003791492,0.1399275,0.1549255
29, torque, LeftCurve, 67.22, 0, 0.1671876, 0, 0, False, 0, 0,0.1504755,-0.00169241,0.2853886,0.3226336
30, torque, LeftCurve, 67.24, 0, 0.1671876, 0, 0, False, 0, 0,0.07584325,-0.008047977,0.1475999,0.1661406
31, torque, LeftCurve, 67.26, 0, 0.1671876, 0, 0, False, 0, 0,0.07019629,-0.009790951,0.1517627,0.1674972
32, torque, LeftCurve, 67.28, 0, 0.1671876, 0, 0, False, 0, 0,0.1082274,-0.001090948,0.2905946,0.3100961
33, torque, LeftCurve, 67.3, 0, 0.1671876, 0, 0, False, 0, 0,0.05478437,-0.008119515,0.1552544,0.1648369
34, torque, LeftCurve, 67.32, 0, 0.1671876, 0, 0, False, 0, 0,0.03139302,-0.02766853,0.1467749,0.1526235
35, torque, LeftCurve, 67.34, 0, 0.1671876, 0, 0, False, 0, 0,0.07772111,-0.01453405,0.3018528,0.3120368
36, torque, LeftCurve, 67.36, 0, 0.1671876, 0, 0, False, 0, 0,0.02780857,-0.007311928,0.1541047,0.1567643
37, torque, LeftCurve, 67.38, 0, 0.1671876, 0, 0, False, 0, 0,0.02772081,-0.03248402,0.293161,0.296255
38, torque, LeftCurve, 67.4, 0, 0.1671876, 0, 0, False, 0, 0,0.006574478,-0.0312202,0.148956,0.1523345
39, torque, LeftCurve, 67.42, 0, 0.1671876, 0, 0, False, 0, 0,0.00545474,-0.02257011,0.1583663,0.1600595
40, torque, LeftCurve, 67.43999, 0, 0.1671876, 0, 0, False, 0, 0,0.004102233,-0.0194463,0.1590906,0.1603272
41, torque, LeftCurve, 67.46, 0, 0.1671876, 0, 0, False, 0, 0,-0.003229137,-0.01275863,0.1648134,0.165338
42, torque, LeftCurve, 67.48, 0, 0.1671876, 0, 0, False, 0, 0,-0.01850141,-0.06288154,0.322715,0.3293043
43, torque, LeftCurve, 67.5, 0, 0.1671876, 0, 0, False, 0, 0,-0.01533449,-0.04092773,0.1773992,0.1827038
44, torque, LeftCurve, 67.52, 0, 0.1671876, 0, 0, False, 0, 0,-0.02091133,-0.0346838,0.1868114,0.1911512
45, torque, LeftCurve, 67.54, 0, 0.1671876, 0, 0, False, 0, 0,-0.02282296,-0.03471825,0.169247,0.1742722
46, torque, LeftCurve, 67.56, 0, 0.1671876, 0, 0, False, 0, 0,-0.02651138,-0.03865414,0.1750793,0.181245
47, torque, LeftCurve, 67.58, 0, 0.1671876, 0, 0, False, 0, 0,-0.06352796,-0.06287543,0.3485054,0.3597849
48, torque, LeftCurve, 67.6, 0, 0.1671876, 0, 0, False, 0, 0,-0.03143406,-0.04053796,0.1754191,0.1827656
49, torque, LeftCurve, 67.62, 0, 0.1671876, 0, 0, False, 0, 0,-0.02520806,-0.04906286,0.1702416,0.1789548
