Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count, RMSE Distance, Sway V X, Sway V Y, Sway V Z, Sway V Magnitude
0, torque, LeftCurve, 457.1, 0, 0.1671878, 0, 0, False, 0, 0,0,0,0,0
1, torque, LeftCurve, 457.12, 0, 0.1671878, 0, 0, False, 0, 0,-0.1098137,0.1784608,0.5151669,0.5561513
2, torque, LeftCurve, 457.14, 0, 0.1671878, 0, 0, False, 0, 0,-0.0311317,0.05625,0.1978728,0.208055
3, torque, LeftCurve, 457.16, 0, 0.1671878, 0, 0, False, 0, 0,-0.02615547,0.1050877,0.3545662,0.3707354
4, torque, LeftCurve, 457.18, 0, 0.1671878, 0, 0, False, 0, 0,-0.01027921,0.05653626,0.1576723,0.1678171
5, torque, LeftCurve, 457.2, 0, 0.1671878, 0, 0, False, 0, 0,0.003412191,0.03668893,0.1764082,0.1802153
6, torque, LeftCurve, 457.22, 0, 0.1671878, 0, 0, False, 0, 0,0.01270866,0.1230588,0.4740787,0.4899547
7, torque, LeftCurve, 457.24, 0, 0.1671878, 0, 0, False, 0, 0,-0.005774252,0.05002385,0.1636778,0.1712488
8, torque, LeftCurve, 457.26, 0, 0.1671878, 0, 0, False, 0, 0,0.007477832,0.04633826,0.1744148,0.1806203
9, torque, LeftCurve, 457.28, 0, 0.1671878, 0, 0, False, 0, 0,0.00806655,0.04438595,0.168294,0.1742357
10, torque, LeftCurve, 457.3, 0, 0.1671878, 0, 0, False, 0, 0,0.03593424,0.03395754,0.1872585,0.1936753
11, torque, LeftCurve, 457.32, 0, 0.1671878, 0, 0, False, 0, 0,0.05627264,0.06839217,0.3440214,0.3552391
12, torque, LeftCurve, 457.34, 0, 0.1671878, 0, 0, False, 0, 0,0.02753239,0.006323838,0.1522306,0.1548295
13, torque, LeftCurve, 457.36, 0, 0.1671878, 0, 0, False, 0, 0,0.02282486,-0.001192748,0.1633618,0.1649529
14, torque, LeftCurve, 457.38, 0, 0.1671878, 0, 0, False, 0, 0,0.03969621,0.001488662,0.1428818,0.1483011
15, torque, LeftCurve, 457.4, 0, 0.1671878, 0, 0, False, 0, 0,0.0592841,-0.005737118,0.3066481,0.3123789
16, torque, LeftCurve, 457.42, 0, 0.1671878, 0, 0, False, 0, 0,0.0770519,-0.05628578,0.2645433,0.2812263
17, torque, LeftCurve, 457.44, 0, 0.1671878, 0, 0, False, 0, 0,0.04726438,-0.03101181,0.09969944,0.1146108
18, torque, LeftCurve, 457.46, 0, 0.1671878, 0, 0, False, 0, 0,0.04670485,-0.02553674,0.09071743,0.1051814
19, torque, LeftCurve, 457.48, 0, 0.1671878, 0, 0, False, 0, 0,0.03543636,-0.008420802,0.09004652,0.09713403
20, torque, LeftCurve, 457.5, 0, 0.1671878, 0, 0, False, 0, 0,0.02315317,-0.03429878,0.05838757,0.07156524
