Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count, RMSE Distance, Sway V X, Sway V Y, Sway V Z, Sway V Magnitude
0, torque, RaceTrack, 30.6, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0,0,0,0
1, torque, RaceTrack, 30.62, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.0001057958,0.03866167,0.007426569,0.03936864
2, torque, RaceTrack, 30.64, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.0009834542,0.05358335,0.01410214,0.05541672
3, torque, RaceTrack, 30.66, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.02733555,0.1143698,0.05273698,0.1288754
4, torque, RaceTrack, 30.68, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.03303827,0.08038269,0.02526228,0.09050462
5, torque, RaceTrack, 30.7, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.06167449,0.1948074,0.005948408,0.2044237
6, torque, RaceTrack, 30.72, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.004228853,0.1160684,0.01311272,0.1168833
7, torque, RaceTrack, 30.74, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.01778264,0.2566756,0.04257462,0.2607895
8, torque, RaceTrack, 30.76, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.01140807,0.1296818,0.0440051,0.137419
9, torque, RaceTrack, 30.78, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.02520267,0.2687858,0.1367549,0.3026266
10, torque, RaceTrack, 30.8, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.01330643,0.1795459,0.05726683,0.1889267
11, torque, RaceTrack, 30.82, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.02795096,0.4444438,0.09212283,0.4547507
12, torque, RaceTrack, 30.84, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.033053,0.2953879,0.05169392,0.3016932
13, torque, RaceTrack, 30.86, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.03186099,0.6970673,0.06092632,0.7004498
14, torque, RaceTrack, 30.88, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.02244063,0.3895968,0.04003552,0.3922909
15, torque, RaceTrack, 30.9, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.004885979,0.4145587,0.04690182,0.417232
16, torque, RaceTrack, 30.92, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.02933822,0.9398454,0.09864939,0.9454638
17, torque, RaceTrack, 30.94, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.007191821,0.5207439,0.0309907,0.5217148
18, torque, RaceTrack, 30.96, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.01149002,1.157478,0.06311987,1.159255
19, torque, RaceTrack, 30.98, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.0006794774,0.5927725,0.0424733,0.5942926
20, torque, RaceTrack, 31, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.01043802,1.256285,0.1235934,1.262393
21, torque, RaceTrack, 31.02, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.03033202,0.6617996,0.07635909,0.6668804
22, torque, RaceTrack, 31.04, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.0213499,0.6883613,0.06168343,0.6914492
23, torque, RaceTrack, 31.06, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.03140199,1.436213,0.1586222,1.445287
24, torque, RaceTrack, 31.08, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.04121865,0.7345389,0.1042998,0.7430511
25, torque, RaceTrack, 31.1, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.08387578,1.521423,0.2082618,1.5379
26, torque, RaceTrack, 31.12, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.02098184,0.7872282,0.1193734,0.796504
27, torque, RaceTrack, 31.14, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.07522381,1.619803,0.3456573,1.65798
28, torque, RaceTrack, 31.16, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.002407972,0.7814467,0.1824039,0.8024562
29, torque, RaceTrack, 31.18, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.03466858,1.512083,0.4016631,1.564906
30, torque, RaceTrack, 31.2, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.00762922,0.7719042,0.2892607,0.824358
31, torque, RaceTrack, 31.22, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.0101266,0.8030708,0.3128994,0.8619346
32, torque, RaceTrack, 31.24, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.0228668,1.564163,0.6903252,1.709876
33, torque, RaceTrack, 31.26, 0, 0.1671875, 0, 0, False, 0, 0.4335339,-0.0009387517,0.7623379,0.4127408,0.8668995
34, torque, RaceTrack, 31.28, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.03129173,1.481587,0.8576478,1.712203
35, torque, RaceTrack, 31.3, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.03758285,0.7025498,0.4681957,0.8451011
36, torque, RaceTrack, 31.32, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.1201513,1.331209,0.9863866,1.661178
37, torque, RaceTrack, 31.34, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.06127515,0.6646481,0.5273758,0.8506685
38, torque, RaceTrack, 31.36, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.2096209,1.209555,1.139384,1.674861
39, torque, RaceTrack, 31.38, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.1354902,0.5755114,0.5876466,0.8336063
40, torque, RaceTrack, 31.4, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.1406399,0.5557231,0.631014,0.8525177
41, torque, RaceTrack, 31.42, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.2772953,1.051736,1.358293,1.740115
42, torque, RaceTrack, 31.44, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.1337625,0.4984025,0.7145684,0.8814224
43, torque, RaceTrack, 31.46, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.3000012,0.9629744,1.444253,1.761587
44, torque, RaceTrack, 31.48, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.1786966,0.5079034,0.6957908,0.8797859
45, torque, RaceTrack, 31.5, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.3598831,0.8930002,1.409796,1.707188
46, torque, RaceTrack, 31.52, 0, 0.1671875, 0, 0, False, 0, 0.4335339,0.1695696,0.4416965,0.6746542,0.8240194
