Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count, RMSE Distance, Sway V X, Sway V Y, Sway V Z, Sway V Magnitude
0, torque, RightCurve, 303.78, 0, 0.1671876, 0, 0, False, 0, 0,0,0,0,0
1, torque, RightCurve, 303.8, 0, 0.1671876, 0, 0, False, 0, 0,0.003139909,0.004341603,0.00428942,0.006863503
2, torque, RightCurve, 303.82, 0, 0.1671876, 0, 0, False, 0, 0,0.006350634,0.004132526,0.002295517,0.007916926
3, torque, RightCurve, 303.84, 0, 0.1671876, 0, 0, False, 0, 0,0.005841484,-0.000298187,-0.002272185,0.006274924
4, torque, RightCurve, 303.86, 0, 0.1671876, 0, 0, False, 0, 0,0.008122615,-0.0003578244,-0.001981453,0.008368457
5, torque, RightCurve, 303.88, 0, 0.1671876, 0, 0, False, 0, 0,0.007100919,-0.0003215511,-0.001549697,0.007275164
6, torque, RightCurve, 303.9, 0, 0.1671876, 0, 0, False, 0, 0,0.006825501,-0.0002266221,-0.001561009,0.007005396
7, torque, RightCurve, 303.92, 0, 0.1671876, 0, 0, False, 0, 0,0.006592915,0.001073473,-0.002527135,0.007141798
8, torque, RightCurve, 303.94, 0, 0.1671876, 0, 0, False, 0, 0,-0.002099014,0.003918159,-0.002152606,0.004938779
9, torque, RightCurve, 303.96, 0, 0.1671876, 0, 0, False, 0, 0,0.0006351384,0.003017653,-0.001449189,0.003407312
10, torque, RightCurve, 303.98, 0, 0.1671876, 0, 0, False, 0, 0,0.006682371,0.0008826336,-0.001525227,0.006910821
11, torque, RightCurve, 304, 0, 0.1671876, 0, 0, False, 0, 0,0.006457817,0.001953125,-0.0009691192,0.006815959
12, torque, RightCurve, 304.02, 0, 0.1671876, 0, 0, False, 0, 0,0.01469764,0.006035306,-0.002580809,0.01609677
13, torque, RightCurve, 304.04, 0, 0.1671876, 0, 0, False, 0, 0,0.006968631,0.005892176,0.0008990339,0.009169941
14, torque, RightCurve, 304.06, 0, 0.1671876, 0, 0, False, 0, 0,0.006547137,0.009217797,0.002456293,0.01157005
15, torque, RightCurve, 304.08, 0, 0.1671876, 0, 0, False, 0, 0,-0.004025525,0.01604246,0.01860687,0.0248954
16, torque, RightCurve, 304.1, 0, 0.1671876, 0, 0, False, 0, 0,-0.006886552,0.02840368,0.02415206,0.03791458
17, torque, RightCurve, 304.12, 0, 0.1671876, 0, 0, False, 0, 0,0.001082419,0.1374165,0.07894949,0.158485
