Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count, RMSE Distance, Sway V X, Sway V Y, Sway V Z, Sway V Magnitude
0, torque, RightCurve, 493.32, 0, 0.1671873, 0, 0, False, 0, 0,0,0,0,0
1, torque, RightCurve, 493.34, 0, 0.1671873, 0, 0, False, 0, 0,0.001613431,-0.003084508,0.0190586,0.01937389
2, torque, RightCurve, 493.36, 0, 0.1671873, 0, 0, False, 0, 0,0.002767548,-0.0009064886,0.005668722,0.006373025
3, torque, RightCurve, 493.38, 0, 0.1671873, 0, 0, False, 0, 0,0.006399187,-3.578244E-05,0.006455936,0.009090103
4, torque, RightCurve, 493.4, 0, 0.1671873, 0, 0, False, 0, 0,0.007251274,-0.0001310023,0.006602962,0.00980802
5, torque, RightCurve, 493.42, 0, 0.1671873, 0, 0, False, 0, 0,-0.003641329,-0.00790792,0.01520922,0.01752469
6, torque, RightCurve, 493.44, 0, 0.1671873, 0, 0, False, 0, 0,-0.004365037,-0.00221513,0.003837399,0.006219806
7, torque, RightCurve, 493.46, 0, 0.1671873, 0, 0, False, 0, 0,-0.00562213,-0.00184876,0.005034701,0.007770102
8, torque, RightCurve, 493.48, 0, 0.1671873, 0, 0, False, 0, 0,-0.005420015,-0.003196565,0.007689312,0.009935799
9, torque, RightCurve, 493.5, 0, 0.1671873, 0, 0, False, 0, 0,0.001173717,-0.01168302,0.0144871,0.01864797
10, torque, RightCurve, 493.52, 0, 0.1671873, 0, 0, False, 0, 0,-0.01559164,-0.01313216,0.02619387,0.03319144
11, torque, RightCurve, 493.54, 0, 0.1671873, 0, 0, False, 0, 0,-0.008406637,-0.001693702,0.01032156,0.01341919
12, torque, RightCurve, 493.56, 0, 0.1671873, 0, 0, False, 0, 0,-0.0126032,0.005787919,0.01365587,0.01946339
13, torque, RightCurve, 493.58, 0, 0.1671873, 0, 0, False, 0, 0,-0.01874963,0.004186546,0.02334693,0.03023499
14, torque, RightCurve, 493.6, 0, 0.1671873, 0, 0, False, 0, 0,-0.01137453,0.01600668,0.02298854,0.03023354
15, torque, RightCurve, 493.62, 0, 0.1671873, 0, 0, False, 0, 0,-0.0179635,0.0268912,0.04807356,0.05793868
