Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count, RMSE Distance, Sway V X, Sway V Y, Sway V Z, Sway V Magnitude
0, torque, StraightLine, 30.06, 0, 0.1671875, 0, 0, False, 0, 0,0,0,0,0
1, torque, StraightLine, 30.08, 0, 0.1671875, 0, 0, False, 0, 0,-0.0137665,0.01336306,-0.01169062,0.02246683
2, torque, StraightLine, 30.1, 0, 0.1671875, 0, 0, False, 0, 0,-0.007617467,0.004351454,-0.005472289,0.01033958
3, torque, StraightLine, 30.12, 0, 0.1671875, 0, 0, False, 0, 0,-0.01936762,0.00853519,-0.01615547,0.02662618
4, torque, StraightLine, 30.14, 0, 0.1671875, 0, 0, False, 0, 0,-0.01234514,0.005161644,-0.01197188,0.01795469
5, torque, StraightLine, 30.16, 0, 0.1671875, 0, 0, False, 0, 0,-0.02026139,0.004625215,-0.01975253,0.02867192
6, torque, StraightLine, 30.18, 0, 0.1671875, 0, 0, False, 0, 0,-0.01821087,0.006354316,-0.004795169,0.01987477
7, torque, StraightLine, 30.2, 0, 0.1671875, 0, 0, False, 0, 0,-0.02384778,0.007593458,0.00123267,0.02505787
8, torque, StraightLine, 30.22, 0, 0.1671875, 0, 0, False, 0, 0,-0.05894005,0.03119636,-0.002887779,0.06674939
9, torque, StraightLine, 30.24, 0, 0.1671875, 0, 0, False, 0, 0,-0.01995238,0.007128553,-0.006536245,0.02217288
10, torque, StraightLine, 30.26, 0, 0.1671875, 0, 0, False, 0, 0,-0.021137,0.004482167,0.000218297,0.0216081
11, torque, StraightLine, 30.28, 0, 0.1671875, 0, 0, False, 0, 0,-0.01456014,0.002002861,0.005373375,0.01564872
12, torque, StraightLine, 30.3, 0, 0.1671875, 0, 0, False, 0, 0,-0.02274489,0.01124118,0.005272842,0.02591326
13, torque, StraightLine, 30.32, 0, 0.1671875, 0, 0, False, 0, 0,-0.06174416,0.03073145,0.05001032,0.0851927
14, torque, StraightLine, 30.34, 0, 0.1671875, 0, 0, False, 0, 0,-0.04098098,0.01683197,0.03597039,0.05706685
15, torque, StraightLine, 30.36, 0, 0.1671875, 0, 0, False, 0, 0,-0.03378319,-0.003516929,0.06244021,0.0710806
16, torque, StraightLine, 30.38, 0, 0.1671875, 0, 0, False, 0, 0,-0.08158506,0.008213332,0.1126796,0.1393567
17, torque, StraightLine, 30.4, 0, 0.1671875, 0, 0, False, 0, 0,-0.04804565,-0.00854711,0.08050541,0.09414116
18, torque, StraightLine, 30.42, 0, 0.1671875, 0, 0, False, 0, 0,-0.1050703,-0.03822954,0.1718466,0.2050184
19, torque, StraightLine, 30.44, 0, 0.1671875, 0, 0, False, 0, 0,-0.04621516,-0.02680019,0.09361951,0.1077901
20, torque, StraightLine, 30.46, 0, 0.1671875, 0, 0, False, 0, 0,-0.05431559,-0.01462665,0.1095808,0.123175
21, torque, StraightLine, 30.48, 0, 0.1671875, 0, 0, False, 0, 0,-0.04924032,-0.0127551,0.1073879,0.1188253
22, torque, StraightLine, 30.5, 0, 0.1671875, 0, 0, False, 0, 0,-0.04857649,-0.02236315,0.105355,0.1181502
23, torque, StraightLine, 30.52, 0, 0.1671875, 0, 0, False, 0, 0,-0.07269174,-0.07738436,0.1707434,0.2010615
24, torque, StraightLine, 30.54, 0, 0.1671875, 0, 0, False, 0, 0,-0.0352979,-0.03737126,0.06338809,0.08161251
25, torque, StraightLine, 30.56, 0, 0.1671875, 0, 0, False, 0, 0,-0.03774068,-0.02909832,0.07327487,0.08740868
26, torque, StraightLine, 30.58, 0, 0.1671875, 0, 0, False, 0, 0,-0.03483453,-0.02233931,0.04912605,0.06423284
27, torque, StraightLine, 30.6, 0, 0.1671875, 0, 0, False, 0, 0,-0.03576629,-0.0223176,0.04065099,0.05856454
28, torque, StraightLine, 30.62, 0, 0.1671875, 0, 0, False, 0, 0,-0.09369265,-0.006484837,-0.0219816,0.09645495
29, torque, StraightLine, 30.64, 0, 0.1671875, 0, 0, False, 0, 0,-0.05038827,0.01069283,-0.01325428,0.05318825
30, torque, StraightLine, 30.66, 0, 0.1671875, 0, 0, False, 0, 0,-0.04149366,0.01671276,-0.02994646,0.0538315
31, torque, StraightLine, 30.68, 0, 0.1671875, 0, 0, False, 0, 0,-0.04403403,0.02340248,-0.0176938,0.05291259
32, torque, StraightLine, 30.7, 0, 0.1671875, 0, 0, False, 0, 0,-0.0427668,0.035607,-0.02623532,0.06152357
33, torque, StraightLine, 30.72, 0, 0.1671875, 0, 0, False, 0, 0,-0.0761871,0.07939157,-0.008846897,0.1103891
34, torque, StraightLine, 30.74, 0, 0.1671875, 0, 0, False, 0, 0,-0.02438049,0.0249857,-0.01610043,0.03844368
35, torque, StraightLine, 30.76, 0, 0.1671875, 0, 0, False, 0, 0,-0.06721434,0.05694497,-0.03677113,0.09546001
36, torque, StraightLine, 30.78, 0, 0.1671875, 0, 0, False, 0, 0,-0.01606741,-0.0200763,-0.07158496,0.07606331
37, torque, StraightLine, 30.8, 0, 0.1671875, 0, 0, False, 0, 0,-0.02017287,-0.007343124,-0.016296,0.02695229
38, torque, StraightLine, 30.82, 0, 0.1671875, 0, 0, False, 0, 0,0.01305004,-0.0293725,-0.1041416,0.1089887
39, torque, StraightLine, 30.84, 0, 0.1671875, 0, 0, False, 0, 0,0.001742511,-0.009345794,-0.03965779,0.04078137
40, torque, StraightLine, 30.86, 0, 0.1671875, 0, 0, False, 0, 0,0.007162483,-0.0288269,-0.03051318,0.04258339
41, torque, StraightLine, 30.88, 0, 0.1671875, 0, 0, False, 0, 0,0.004386429,-0.03079106,-0.03937393,0.05017605
42, torque, StraightLine, 30.9, 0, 0.1671875, 0, 0, False, 0, 0,-0.01061222,0.008415983,-0.006564836,0.01505142
43, torque, StraightLine, 30.92, 0, 0.1671875, 0, 0, False, 0, 0,0.01886723,-0.00200267,-0.04156714,0.04569257
44, torque, StraightLine, 30.94, 0, 0.1671875, 0, 0, False, 0, 0,0.01401193,-0.02087506,-0.007919237,0.02635937
45, torque, StraightLine, 30.96, 0, 0.1671875, 0, 0, False, 0, 0,-0.00916936,0.01186105,-0.00322193,0.01533436
46, torque, StraightLine, 30.98, 0, 0.1671875, 0, 0, False, 0, 0,-0.007125945,0.03243611,0.0180651,0.03780513
47, torque, StraightLine, 31, 0, 0.1671875, 0, 0, False, 0, 0,0.002597679,-0.01063323,-0.02508507,0.02736921
48, torque, StraightLine, 31.02, 0, 0.1671875, 0, 0, False, 0, 0,-0.02279568,0.123319,0.08993456,0.1543225
49, torque, StraightLine, 31.04, 0, 0.1671875, 0, 0, False, 0, 0,-0.02056183,0.04361768,0.02771217,0.05561704
50, torque, StraightLine, 31.06, 0, 0.1671875, 0, 0, False, 0, 0,-0.01540582,0.03828915,0.01827409,0.04513691
51, torque, StraightLine, 31.08, 0, 0.1671875, -0.005494613, 0, False, 0, 0,0.003662761,0.02099228,-0.2252288,0.2262346
52, torque, StraightLine, 31.1, -5.936291E-06, 0.1671875, -0.01610152, 0, False, 0, 0,-0.002459336,0.01803767,-0.4727182,0.4730686
53, torque, StraightLine, 31.12, -2.272768E-05, 0.1671875, -0.03151397, 0, False, 0, 0,-0.05247734,0.02227971,-0.7018176,0.7041294
54, torque, StraightLine, 31.14, -5.438274E-05, 0.1671875, -0.05143423, 0, False, 0, 0,-0.04334341,-0.02666651,-0.9641209,0.965463
55, torque, StraightLine, 31.16, -0.0001040683, 0.1671875, -0.07556485, 0, False, 0, 0,-0.05601311,-0.006794774,-1.145581,1.14697
56, torque, StraightLine, 31.18, -0.0001742366, 0.1671875, -0.1036206, 0, False, 0, 0,-0.04757662,-0.01312589,-1.313335,1.314262
57, torque, StraightLine, 31.2, -0.000266906, 0.1671875, -0.135366, 0, False, 0, 0,-0.0542618,-0.01008487,-1.498485,1.499501
58, torque, StraightLine, 31.22, -0.0003837084, 0.1671875, -0.1705972, 0, False, 0, 0,-0.1187065,-0.09460232,-1.584768,1.592021
59, torque, StraightLine, 31.24, -0.0005259558, 0.1671875, -0.2091364, 0, False, 0, 0,-0.06994343,-0.05718339,-1.832147,1.834374
60, torque, StraightLine, 31.26, -0.0006944205, 0.1671875, -0.250785, 0, False, 0, 0,-0.08494651,-0.03316326,-1.977455,1.979557
61, torque, StraightLine, 31.28, -0.0008891516, 0.1671875, -0.2952944, 0, False, 0, 0,-0.1112814,-0.02018359,-2.108623,2.111653
62, torque, StraightLine, 31.3, -0.001110368, 0.1671875, -0.342493, 0, False, 0, 0,-0.1095021,-0.04358192,-2.238741,2.241841
63, torque, StraightLine, 31.32, -0.001356791, 0.1671875, -0.3920465, 0, False, 0, 0,-0.1920778,-0.09820236,-2.23394,2.244332
64, torque, StraightLine, 31.34, -0.001626562, 0.1671875, -0.4435898, 0, False, 0, 0,-0.1167818,-0.04250906,-2.433514,2.436686
65, torque, StraightLine, 31.36, -0.001916062, 0.1671875, -0.4965762, 0, False, 0, 0,-0.1212743,-0.02936338,-2.507888,2.51099
66, torque, StraightLine, 31.38, -0.002225053, 0.1671875, -0.5509191, 0, False, 0, 0,-0.1207454,-0.04358192,-2.585996,2.58918
67, torque, StraightLine, 31.4, -0.002549498, 0.1671875, -0.6060909, 0, False, 0, 0,-0.1210049,-0.05887612,-2.61867,2.622126
68, torque, StraightLine, 31.42, -0.002889146, 0.1671875, -0.6620418, 0, False, 0, 0,-0.2289938,-0.1601302,-2.526374,2.54178
69, torque, StraightLine, 31.44, -0.003241098, 0.1671875, -0.7184257, 0, False, 0, 0,-0.1381715,-0.06889604,-2.68913,2.693559
70, torque, StraightLine, 31.46, -0.003602889, 0.1671875, -0.7749627, 0, False, 0, 0,-0.1427336,-0.0631914,-2.690343,2.694868
71, torque, StraightLine, 31.48, -0.003974338, 0.1671875, -0.8316435, 0, False, 0, 0,-0.1457991,-0.07716241,-2.704129,2.709156
72, torque, StraightLine, 31.5, -0.004352753, 0.1671875, -0.888184, 0, False, 0, 0,-0.1538694,-0.08853471,-2.705053,2.710872
