Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count, RMSE Distance, Sway V X, Sway V Y, Sway V Z, Sway V Magnitude
0, directional, SinCurve, 213.42, 0, 0.1671874, 0, 0, False, 0, 0,0,0,0,0
1, directional, SinCurve, 213.44, 0, 0.1671874, 0, 0, False, 0, 0,0,0,0,0
2, directional, SinCurve, 213.46, 0, 0.1671874, 0, 0, False, 0, 0,0,0,0,0
3, directional, SinCurve, 213.48, 0, 0.1671874, 0, 0, False, 0, 0,0,0,0,0
4, directional, SinCurve, 213.5, 0, 0.1671874, 0, 0, False, 0, 0,0,0,0,0
5, directional, SinCurve, 213.52, 0, 0.1671874, 0, 0, False, 0, 0,0,0,0,0
6, directional, SinCurve, 213.54, 0, 0.1671874, 0, 0, False, 0, 0,0,0,0,0
7, directional, SinCurve, 213.56, 0, 0.1671874, 0, 0, False, 0, 0,0,0,0,0
8, directional, SinCurve, 213.58, 0, 0.1671874, 0, 0, False, 0, 0,0,0,0,0
9, directional, SinCurve, 213.6, 0, 0.1671874, 0, 0, False, 0, 0,0,0,0,0
10, directional, SinCurve, 213.62, 0, 0.1671874, 0, 0, False, 0, 0,0,0,0,0
11, directional, SinCurve, 213.64, 0, 0.1671874, 0, 0, False, 0, 0,0,0,0,0
12, directional, SinCurve, 213.66, 0, 0.1671874, 0, 0, False, 0, 0,0,0,0,0
13, directional, SinCurve, 213.68, 0, 0.1671874, 0, 0, False, 0, 0,0,0,0,0
14, directional, SinCurve, 213.7, 0, 0.1671874, 0, 0, False, 0, 0,0,0,0,0
15, directional, SinCurve, 213.72, 0, 0.1671874, 0, 0, False, 0, 0,0,0,0,0
16, directional, SinCurve, 213.74, 0, 0.1671874, 0, 0, False, 0, 0,0,0,0,0
17, directional, SinCurve, 213.76, 0, 0.1671874, 0, 0, False, 0, 0,0,0,0,0
18, directional, SinCurve, 213.78, 0, 0.1671874, 0, 0, False, 0, 0,0,0,0,0
19, directional, SinCurve, 213.8, 0, 0.1671874, 0, 0, False, 0, 0,0,0,0,0
20, directional, SinCurve, 213.82, 0, 0.1671874, 0, 0, False, 0, 0,0,0,0,0
21, directional, SinCurve, 213.84, 0, 0.1671874, 0, 0, False, 0, 0,0,0,0,0
22, directional, SinCurve, 213.86, 0, 0.1671874, 0, 0, False, 0, 0,0,0,0,0
23, directional, SinCurve, 213.88, 0, 0.1671874, 0, 0, False, 0, 0,0,0,0,0
24, directional, SinCurve, 213.9, 0, 0.1671874, 0, 0, False, 0, 0,0,0,0,0
25, directional, SinCurve, 213.92, 0, 0.1671874, 0, 0, False, 0, 0,0,0,0,0
26, directional, SinCurve, 213.94, 0, 0.1671874, 0, 0, False, 0, 0,0,0,0,0
27, directional, SinCurve, 213.96, 0, 0.1671874, 0, 0, False, 0, 0,0,0,0,0
28, directional, SinCurve, 213.98, 0, 0.1671874, 0, 0, False, 0, 0,0,0,0,0
29, directional, SinCurve, 214, 0, 0.1671874, 0, 0, False, 0, 0,0,0,0,0
30, directional, SinCurve, 214.02, 0, 0.1671874, 0, 0, False, 0, 0,0,0,0,0
31, directional, SinCurve, 214.04, 0, 0.1671874, 0, 0, False, 0, 0,0,0,0,0
32, directional, SinCurve, 214.06, 0, 0.1671874, 0, 0, False, 0, 0,0,0,0,0
33, directional, SinCurve, 214.08, 0, 0.1671874, 0, 0, False, 0, 0,0,0,0,0
34, directional, SinCurve, 214.1, 0, 0.1671874, 0, 0, False, 0, 0,0,0,0,0
35, directional, SinCurve, 214.12, 0, 0.1671874, 0, 0, False, 0, 0,0,0,0,0
36, directional, SinCurve, 214.14, 0, 0.1671874, 0, 0, False, 0, 0,0,0,0,0
37, directional, SinCurve, 214.16, 0, 0.1671874, 0, 0, False, 0, 0,0,0,0,0
38, directional, SinCurve, 214.18, 0, 0.1671874, 0, 0, False, 0, 0,0,0,0,0
39, directional, SinCurve, 214.2, 0, 0.1671874, 0, 0, False, 0, 0,0,0,0,0
