Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count, RMSE Distance, Sway V X, Sway V Y, Sway V Z, Sway V Magnitude
0, oneDir, Slope_LowAmp_LowFreq, 3.7, 0, 0.1669976, 0, 0, False, 0, 0,0,0,0,0
1, oneDir, Slope_LowAmp_LowFreq, 3.72, 0, 0.1669976, 0, 0, False, 0, 0,0,0,0,0
2, oneDir, Slope_LowAmp_LowFreq, 3.74, 0, 0.1669976, 0, 0, False, 0, 0,0,0,0,0
3, oneDir, Slope_LowAmp_LowFreq, 3.76, 0, 0.1669976, 0, 0, False, 0, 0,0,0,0,0
4, oneDir, Slope_LowAmp_LowFreq, 3.78, 0, 0.1669976, 0, 0, False, 0, 0,0,0,0,0
5, oneDir, Slope_LowAmp_LowFreq, 3.8, 0, 0.1669976, 0, 0, False, 0, 0,0,0,0,0
6, oneDir, Slope_LowAmp_LowFreq, 3.82, 0, 0.1669976, 0, 0, False, 0, 0,0,0,0,0
7, oneDir, Slope_LowAmp_LowFreq, 3.84, 0, 0.1669976, 0, 0, False, 0, 0,0,0,0,0
8, oneDir, Slope_LowAmp_LowFreq, 3.86, 0, 0.1669976, 0, 0, False, 0, 0,0,0,0,0
9, oneDir, Slope_LowAmp_LowFreq, 3.88, 0, 0.1669976, 0, 0, False, 0, 0,0,0,0,0
10, oneDir, Slope_LowAmp_LowFreq, 3.9, 0, 0.1669976, 0, 0, False, 0, 0,0,0,0,0
11, oneDir, Slope_LowAmp_LowFreq, 3.92, 0, 0.1669976, 0, 0, False, 0, 0,0,0,0,0
12, oneDir, Slope_LowAmp_LowFreq, 3.94, 0, 0.1669976, 0, 0, False, 0, 0,0,0,0,0
13, oneDir, Slope_LowAmp_LowFreq, 3.96, 0, 0.1669976, 0, 0, False, 0, 0,0,0,0,0
14, oneDir, Slope_LowAmp_LowFreq, 3.98, 0, 0.1669976, 0, 0, False, 0, 0,0,0,0,0
15, oneDir, Slope_LowAmp_LowFreq, 4, 0, 0.1669976, 0, 0, False, 0, 0,0,0,0,0
16, oneDir, Slope_LowAmp_LowFreq, 4.02, 0, 0.1669976, 0, 0, False, 0, 0,0,0,0,0
17, oneDir, Slope_LowAmp_LowFreq, 4.04, 0, 0.1669976, 0, 0, False, 0, 0,0,0,0,0
18, oneDir, Slope_LowAmp_LowFreq, 4.06, 0, 0.1669976, 0, 0, False, 0, 0,0,0,0,0
19, oneDir, Slope_LowAmp_LowFreq, 4.08, 0, 0.1669976, 0, 0, False, 0, 0,0,0,0,0
20, oneDir, Slope_LowAmp_LowFreq, 4.1, 0, 0.1669976, 0, 0, False, 0, 0,0,0,0,0
21, oneDir, Slope_LowAmp_LowFreq, 4.12, 0, 0.1669976, 0, 0, False, 0, 0,0,0,0,0
22, oneDir, Slope_LowAmp_LowFreq, 4.14, 0, 0.1669976, 0, 0, False, 0, 0,0,0,0,0
23, oneDir, Slope_LowAmp_LowFreq, 4.16, 0, 0.1669976, 0, 0, False, 0, 0,0,0,0,0
24, oneDir, Slope_LowAmp_LowFreq, 4.18, 0, 0.1669976, 0, 0, False, 0, 0,0,0,0,0
25, oneDir, Slope_LowAmp_LowFreq, 4.2, 0, 0.1669976, 0, 0, False, 0, 0,0,0,0,0
26, oneDir, Slope_LowAmp_LowFreq, 4.22, 0, 0.1669976, 0, 0, False, 0, 0,0,0,0,0
27, oneDir, Slope_LowAmp_LowFreq, 4.24, 0, 0.1669976, 0, 0, False, 0, 0,0,0,0,0
28, oneDir, Slope_LowAmp_LowFreq, 4.26, 0, 0.1669976, 0, 0, False, 0, 0,0,0,0,0
29, oneDir, Slope_LowAmp_LowFreq, 4.28, 0, 0.1669976, 0, 0, False, 0, 0,0,0,0,0
30, oneDir, Slope_LowAmp_LowFreq, 4.3, 0, 0.1669976, 0, 0, False, 0, 0,0,0,0,0
31, oneDir, Slope_LowAmp_LowFreq, 4.32, 0, 0.1669976, 0, 0, False, 0, 0,0,0,0,0
32, oneDir, Slope_LowAmp_LowFreq, 4.34, 0, 0.1669976, 0, 0, False, 0, 0,0,0,0,0
33, oneDir, Slope_LowAmp_LowFreq, 4.36, 0, 0.1669976, 0, 0, False, 0, 0,0,0,0,0
34, oneDir, Slope_LowAmp_LowFreq, 4.38, 0, 0.1669976, 0, 0, False, 0, 0,0,0,0,0
35, oneDir, Slope_LowAmp_LowFreq, 4.4, 0, 0.1669976, 0, 0, False, 0, 0,0,0,0,0
36, oneDir, Slope_LowAmp_LowFreq, 4.42, 0, 0.1669976, 0, 0, False, 0, 0,0,0,0,0
37, oneDir, Slope_LowAmp_LowFreq, 4.44, 0, 0.1669976, 0, 0, False, 0, 0,0,0,0,0
38, oneDir, Slope_LowAmp_LowFreq, 4.46, 0, 0.1669976, 0, 0, False, 0, 0,0,0,0,0
39, oneDir, Slope_LowAmp_LowFreq, 4.48, 0, 0.1669976, 0, 0, False, 0, 0,0,0,0,0
40, oneDir, Slope_LowAmp_LowFreq, 4.5, 0, 0.1669976, 0, 0, False, 0, 0,0,0,0,0
41, oneDir, Slope_LowAmp_LowFreq, 4.52, 0, 0.1669976, 0, 0, False, 0, 0,0,0,0,0
42, oneDir, Slope_LowAmp_LowFreq, 4.54, 0, 0.1669976, 0, 0, False, 0, 0,0,0,0,0
43, oneDir, Slope_LowAmp_LowFreq, 4.56, 0, 0.1669976, 0, 0, False, 0, 0,0,0,0,0
44, oneDir, Slope_LowAmp_LowFreq, 4.58, 0, 0.1669976, 0, 0, False, 0, 0,0,0,0,0
45, oneDir, Slope_LowAmp_LowFreq, 4.6, 0, 0.1669976, 0, 0, False, 0, 0,0,0,0,0
46, oneDir, Slope_LowAmp_LowFreq, 4.62, 0, 0.1669976, 0, 0, False, 0, 0,0,0,0,0
47, oneDir, Slope_LowAmp_LowFreq, 4.64, 0, 0.1669976, 0, 0, False, 0, 0,0,0,0,0
48, oneDir, Slope_LowAmp_LowFreq, 4.66, 0, 0.1669976, 0, 0, False, 0, 0,0,0,0,0
49, oneDir, Slope_LowAmp_LowFreq, 4.68, 0, 0.1669976, 0, 0, False, 0, 0,0,0,0,0
50, oneDir, Slope_LowAmp_LowFreq, 4.7, 0, 0.1669976, 0, 0, False, 0, 0,0,0,0,0
51, oneDir, Slope_LowAmp_LowFreq, 4.72, 0, 0.1669976, 0, 0, False, 0, 0,0,0,0,0
52, oneDir, Slope_LowAmp_LowFreq, 4.74, 0, 0.1669981, 0, 0, False, 0, 0,0,0,0,0
53, oneDir, Slope_LowAmp_LowFreq, 4.76, 0, 0.1669989, 0, 0, False, 0, 0,0,0,0,0
54, oneDir, Slope_LowAmp_LowFreq, 4.78, 0, 0.1670002, 0, 0, False, 0, 0,0,0,0,0
55, oneDir, Slope_LowAmp_LowFreq, 4.8, 0, 0.1670018, 0, 0, False, 0, 0,0,0,0,0
56, oneDir, Slope_LowAmp_LowFreq, 4.82, 0, 0.1670036, 0, 0, False, 0, 0,0,0,0,0
57, oneDir, Slope_LowAmp_LowFreq, 4.84, -2.500914E-12, 0.1670058, 0, 0, False, 0, 0,0,0,0,0
58, oneDir, Slope_LowAmp_LowFreq, 4.86, -9.57498E-12, 0.1670082, 0, 0, False, 0, 0,0,0,0,0
59, oneDir, Slope_LowAmp_LowFreq, 4.88, -2.292252E-11, 0.1670108, 0, 0, False, 0, 0,0,0,0,0
60, oneDir, Slope_LowAmp_LowFreq, 4.9, -4.392186E-11, 0.1670136, 0, 0, False, 0, 0,0,0,0,0
61, oneDir, Slope_LowAmp_LowFreq, 4.92, -7.36731E-11, 0.1670166, 0, 0, False, 0, 0,0,0,0,0
62, oneDir, Slope_LowAmp_LowFreq, 4.94, -1.130366E-10, 0.1670197, 0, 0, False, 0, 0,0,0,0,0
63, oneDir, Slope_LowAmp_LowFreq, 4.96, -1.601661E-10, 0.1670229, 0, 0, False, 0, 0,0,0,0,0
64, oneDir, Slope_LowAmp_LowFreq, 4.98, -2.134672E-10, 0.1670263, 0, 0, False, 0, 0,0,0,0,0
65, oneDir, Slope_LowAmp_LowFreq, 5, -2.715671E-10, 0.1670297, 0, 0, False, 0, 0,0,0,0,0
66, oneDir, Slope_LowAmp_LowFreq, 5.02, -3.33287E-10, 0.1670333, 0, 0, False, 0, 0,0,0,0,0
67, oneDir, Slope_LowAmp_LowFreq, 5.04, -3.951172E-10, 0.1670368, 0, 0, False, 0, 0,0,0,0,0
68, oneDir, Slope_LowAmp_LowFreq, 5.06, -4.541256E-10, 0.1670404, 0, 0, False, 0, 0,0,0,0,0
69, oneDir, Slope_LowAmp_LowFreq, 5.08, -5.103823E-10, 0.167044, 0, 0, False, 0, 0,0,0,0,0
70, oneDir, Slope_LowAmp_LowFreq, 5.1, -5.639648E-10, 0.1670477, 0, 0, False, 0, 0,0,0,0,0
71, oneDir, Slope_LowAmp_LowFreq, 5.12, -6.174561E-10, 0.1670513, 0, 0, False, 0, 0,0,0,0,0
72, oneDir, Slope_LowAmp_LowFreq, 5.14, -6.730145E-10, 0.167055, 0, 0, False, 0, 0,0,0,0,0
73, oneDir, Slope_LowAmp_LowFreq, 5.16, -7.324289E-10, 0.1670586, 0, 0, False, 0, 0,0,0,0,0
74, oneDir, Slope_LowAmp_LowFreq, 5.18, -7.946671E-10, 0.1670623, 0, 0, False, 0, 0,0,0,0,0
75, oneDir, Slope_LowAmp_LowFreq, 5.2, -8.588479E-10, 0.1670659, 0, 0, False, 0, 0,0,0,0,0
76, oneDir, Slope_LowAmp_LowFreq, 5.22, -9.242224E-10, 0.1670694, 0, 0, False, 0, 0,0,0,0,0
77, oneDir, Slope_LowAmp_LowFreq, 5.24, -9.876562E-10, 0.167073, 0, 0, False, 0, 0,0,0,0,0
78, oneDir, Slope_LowAmp_LowFreq, 5.26, -1.046544E-09, 0.1670765, 0, 0, False, 0, 0,0,0,0,0
79, oneDir, Slope_LowAmp_LowFreq, 5.28, -1.101242E-09, 0.1670799, 0, 0, False, 0, 0,0,0,0,0
80, oneDir, Slope_LowAmp_LowFreq, 5.3, -1.152073E-09, 0.1670833, 0, 0, False, 0, 0,0,0,0,0
81, oneDir, Slope_LowAmp_LowFreq, 5.32, -1.201836E-09, 0.1670866, 0, 0, False, 0, 0,0,0,0,0
82, oneDir, Slope_LowAmp_LowFreq, 5.34, -1.252875E-09, 0.1670899, 0, 0, False, 0, 0,0,0,0,0
83, oneDir, Slope_LowAmp_LowFreq, 5.36, -1.30714E-09, 0.1670932, 0, 0, False, 0, 0,0,0,0,0
84, oneDir, Slope_LowAmp_LowFreq, 5.38, -1.366236E-09, 0.1670963, 0, 0, False, 0, 0,0,0,0,0
85, oneDir, Slope_LowAmp_LowFreq, 5.4, -1.431474E-09, 0.1670994, 0, 0, False, 0, 0,0,0,0,0
86, oneDir, Slope_LowAmp_LowFreq, 5.42, -1.506408E-09, 0.1671024, 0, 0, False, 0, 0,0,0,0,0
87, oneDir, Slope_LowAmp_LowFreq, 5.44, -1.591441E-09, 0.1671053, 0, 0, False, 0, 0,0,0,0,0
88, oneDir, Slope_LowAmp_LowFreq, 5.46, -1.689341E-09, 0.1671082, 0, 0, False, 0, 0,0,0,0,0
89, oneDir, Slope_LowAmp_LowFreq, 5.48, -1.802338E-09, 0.167111, 0, 0, False, 0, 0,0,0,0,0
90, oneDir, Slope_LowAmp_LowFreq, 5.5, -1.932189E-09, 0.1671138, 0, 0, False, 0, 0,0,0,0,0
91, oneDir, Slope_LowAmp_LowFreq, 5.52, -2.077752E-09, 0.1671165, 0, 0, False, 0, 0,0,0,0,0
92, oneDir, Slope_LowAmp_LowFreq, 5.54, -2.237967E-09, 0.1671191, 0, 0, False, 0, 0,0,0,0,0
93, oneDir, Slope_LowAmp_LowFreq, 5.56, -2.409349E-09, 0.1671216, 0, 0, False, 0, 0,0,0,0,0
94, oneDir, Slope_LowAmp_LowFreq, 5.58, -2.588913E-09, 0.1671241, 0, 0, False, 0, 0,0,0,0,0
95, oneDir, Slope_LowAmp_LowFreq, 5.6, -2.774111E-09, 0.1671265, 0, 0, False, 0, 0,0,0,0,0
96, oneDir, Slope_LowAmp_LowFreq, 5.62, -2.962778E-09, 0.1671288, 0, 0, False, 0, 0,0,0,0,0
97, oneDir, Slope_LowAmp_LowFreq, 5.64, -3.155582E-09, 0.1671311, 0, 0, False, 0, 0,0,0,0,0
98, oneDir, Slope_LowAmp_LowFreq, 5.66, -3.350552E-09, 0.1671333, 0, 0, False, 0, 0,0,0,0,0
99, oneDir, Slope_LowAmp_LowFreq, 5.68, -3.543528E-09, 0.1671354, 0, 0, False, 0, 0,0,0,0,0
100, oneDir, Slope_LowAmp_LowFreq, 5.7, -3.731048E-09, 0.1671374, 0, 0, False, 0, 0,0,0,0,0
101, oneDir, Slope_LowAmp_LowFreq, 5.72, -3.910256E-09, 0.1671395, 0, 0, False, 0, 0,0,0,0,0
102, oneDir, Slope_LowAmp_LowFreq, 5.74, -4.076322E-09, 0.1671414, 0, 0, False, 0, 0,0,0,0,0
103, oneDir, Slope_LowAmp_LowFreq, 5.76, -4.2228E-09, 0.1671432, 0, 0, False, 0, 0,0,0,0,0
104, oneDir, Slope_LowAmp_LowFreq, 5.78, -4.344434E-09, 0.167145, 0, 0, False, 0, 0,0,0,0,0
105, oneDir, Slope_LowAmp_LowFreq, 5.8, -4.437001E-09, 0.1671468, 0, 0, False, 0, 0,0,0,0,0
106, oneDir, Slope_LowAmp_LowFreq, 5.82, -4.494668E-09, 0.1671485, 0, 0, False, 0, 0,0,0,0,0
107, oneDir, Slope_LowAmp_LowFreq, 5.84, -4.512795E-09, 0.1671501, 0, 0, False, 0, 0,0,0,0,0
108, oneDir, Slope_LowAmp_LowFreq, 5.86, -4.487772E-09, 0.1671517, 0, 0, False, 0, 0,0,0,0,0
109, oneDir, Slope_LowAmp_LowFreq, 5.88, -4.41687E-09, 0.1671532, 0, 0, False, 0, 0,0,0,0,0
110, oneDir, Slope_LowAmp_LowFreq, 5.9, -4.298117E-09, 0.1671547, 0, 0, False, 0, 0,0,0,0,0
111, oneDir, Slope_LowAmp_LowFreq, 5.92, -4.130187E-09, 0.1671561, 0, 0, False, 0, 0,0,0,0,0
112, oneDir, Slope_LowAmp_LowFreq, 5.94, -3.9123E-09, 0.1671574, 0, 0, False, 0, 0,0,0,0,0
113, oneDir, Slope_LowAmp_LowFreq, 5.96, -3.644137E-09, 0.1671587, 0, 0, False, 0, 0,0,0,0,0
114, oneDir, Slope_LowAmp_LowFreq, 5.98, -3.32577E-09, 0.16716, 0, 0, False, 0, 0,0,0,0,0
115, oneDir, Slope_LowAmp_LowFreq, 6, -2.955093E-09, 0.1671612, 0, 0, False, 0, 0,0,0,0,0
116, oneDir, Slope_LowAmp_LowFreq, 6.02, -2.530697E-09, 0.1671624, 0, 0, False, 0, 0,0,0,0,0
117, oneDir, Slope_LowAmp_LowFreq, 6.04, -2.049262E-09, 0.1671635, 0, 0, False, 0, 0,0,0,0,0
118, oneDir, Slope_LowAmp_LowFreq, 6.06, -1.508397E-09, 0.1671646, 0, 0, False, 0, 0,0,0,0,0
119, oneDir, Slope_LowAmp_LowFreq, 6.08, -9.040033E-10, 0.1671656, 0, 0, False, 0, 0,0,0,0,0
120, oneDir, Slope_LowAmp_LowFreq, 6.1, -2.330789E-10, 0.1671666, 0, 0, False, 0, 0,0,0,0,0
121, oneDir, Slope_LowAmp_LowFreq, 6.12, 5.064375E-10, 0.1671675, 0, 0, False, 0, 0,0,0,0,0
122, oneDir, Slope_LowAmp_LowFreq, 6.14, 1.315809E-09, 0.1671685, 0, 0, False, 0, 0,0,0,0,0
123, oneDir, Slope_LowAmp_LowFreq, 6.16, 2.195625E-09, 0.1671693, 0, 0, False, 0, 0,0,0,0,0
124, oneDir, Slope_LowAmp_LowFreq, 6.18, 3.145905E-09, 0.1671702, 0, 0, False, 0, 0,0,0,0,0
125, oneDir, Slope_LowAmp_LowFreq, 6.2, 4.166196E-09, 0.167171, 0, 0, False, 0, 0,0,0,0,0
126, oneDir, Slope_LowAmp_LowFreq, 6.22, 5.253151E-09, 0.1671718, 0, 0, False, 0, 0,0,0,0,0
127, oneDir, Slope_LowAmp_LowFreq, 6.24, 6.406027E-09, 0.1671726, 0, 0, False, 0, 0,0,0,0,0
128, oneDir, Slope_LowAmp_LowFreq, 6.26, 7.621265E-09, 0.1671733, 0, 0, False, 0, 0,0,0,0,0
129, oneDir, Slope_LowAmp_LowFreq, 6.28, 8.897976E-09, 0.1671739, 0, 0, False, 0, 0,0,0,0,0
130, oneDir, Slope_LowAmp_LowFreq, 6.3, 1.02375E-08, 0.1671746, 0, 0, False, 0, 0,0,0,0,0
131, oneDir, Slope_LowAmp_LowFreq, 6.32, 1.164056E-08, 0.1671752, 0, 0, False, 0, 0,0,0,0,0
132, oneDir, Slope_LowAmp_LowFreq, 6.34, 1.310729E-08, 0.1671758, 0, 0, False, 0, 0,0,0,0,0
133, oneDir, Slope_LowAmp_LowFreq, 6.36, 1.463743E-08, 0.1671764, 0, 0, False, 0, 0,0,0,0,0
134, oneDir, Slope_LowAmp_LowFreq, 6.38, 1.62303E-08, 0.167177, 0, 0, False, 0, 0,0,0,0,0
135, oneDir, Slope_LowAmp_LowFreq, 6.4, 1.788743E-08, 0.1671774, 0, 0, False, 0, 0,0,0,0,0
136, oneDir, Slope_LowAmp_LowFreq, 6.42, 1.960966E-08, 0.167178, 0, 0, False, 0, 0,0,0,0,0
137, oneDir, Slope_LowAmp_LowFreq, 6.44, 2.139727E-08, 0.1671785, 0, 0, False, 0, 0,0,0,0,0
138, oneDir, Slope_LowAmp_LowFreq, 6.46, 2.324754E-08, 0.1671789, 0, 0, False, 0, 0,0,0,0,0
139, oneDir, Slope_LowAmp_LowFreq, 6.48, 2.515779E-08, 0.1671793, 0, 0, False, 0, 0,0,0,0,0
140, oneDir, Slope_LowAmp_LowFreq, 6.5, 2.712538E-08, 0.1671798, 0, 0, False, 0, 0,0,0,0,0
141, oneDir, Slope_LowAmp_LowFreq, 6.52, 2.915022E-08, 0.1671802, 0, 0, False, 0, 0,0,0,0,0
142, oneDir, Slope_LowAmp_LowFreq, 6.54, 3.123184E-08, 0.1671805, 0, 0, False, 0, 0,0,0,0,0
143, oneDir, Slope_LowAmp_LowFreq, 6.56, 3.336699E-08, 0.1671809, 0, 0, False, 0, 0,0,0,0,0
144, oneDir, Slope_LowAmp_LowFreq, 6.58, 3.555259E-08, 0.1671813, 0, 0, False, 0, 0,0,0,0,0
145, oneDir, Slope_LowAmp_LowFreq, 6.6, 3.778322E-08, 0.1671816, 0, 0, False, 0, 0,0,0,0,0
146, oneDir, Slope_LowAmp_LowFreq, 6.62, 4.005406E-08, 0.1671818, 0, 0, False, 0, 0,0,0,0,0
147, oneDir, Slope_LowAmp_LowFreq, 6.64, 4.236081E-08, 0.1671822, 0, 0, False, 0, 0,0,0,0,0
148, oneDir, Slope_LowAmp_LowFreq, 6.66, 4.470214E-08, 0.1671824, 0, 0, False, 0, 0,0,0,0,0
149, oneDir, Slope_LowAmp_LowFreq, 6.68, 4.707672E-08, 0.1671827, 0, 0, False, 0, 0,0,0,0,0
150, oneDir, Slope_LowAmp_LowFreq, 6.7, 4.94857E-08, 0.167183, 0, 0, False, 0, 0,0,0,0,0
151, oneDir, Slope_LowAmp_LowFreq, 6.72, 5.192982E-08, 0.1671832, 0, 0, False, 0, 0,0,0,0,0
152, oneDir, Slope_LowAmp_LowFreq, 6.74, 5.440946E-08, 0.1671835, 0, 0, False, 0, 0,0,0,0,0
153, oneDir, Slope_LowAmp_LowFreq, 6.76, 5.69222E-08, 0.1671837, 0, 0, False, 0, 0,0,0,0,0
154, oneDir, Slope_LowAmp_LowFreq, 6.78, 5.94658E-08, 0.1671839, 0, 0, False, 0, 0,0,0,0,0
155, oneDir, Slope_LowAmp_LowFreq, 6.8, 6.203818E-08, 0.1671841, 0, 0, False, 0, 0,0,0,0,0
156, oneDir, Slope_LowAmp_LowFreq, 6.82, 6.463991E-08, 0.1671843, 0, 0, False, 0, 0,0,0,0,0
157, oneDir, Slope_LowAmp_LowFreq, 6.84, 6.727377E-08, 0.1671845, 0, 0, False, 0, 0,0,0,0,0
158, oneDir, Slope_LowAmp_LowFreq, 6.86, 6.994188E-08, 0.1671847, 0, 0, False, 0, 0,0,0,0,0
