Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count
0, directional, LeftCurve, 236.26, 0, 0.15, 0, 0, True, 0
1, directional, LeftCurve, 236.28, -0.001643211, 0.1461545, 0, 0, True, 0
2, directional, LeftCurve, 236.3, -0.004896769, 0.1413049, 0, 0, True, 0
3, directional, LeftCurve, 236.32, -0.009728467, 0.1355148, 0, 0, True, 0
4, directional, LeftCurve, 236.34, -0.01610563, 0.1288472, 0, 0, True, 0
5, directional, LeftCurve, 236.36, -0.02399736, 0.1213638, -2.11697E-12, 0, True, 0
6, directional, LeftCurve, 236.38, -0.03336911, 0.1131254, -8.400107E-12, 0, True, 0
7, directional, LeftCurve, 236.4, -0.04419129, 0.1041912, -1.974103E-11, 0, True, 0
8, directional, LeftCurve, 236.42, -0.05643489, 0.09461969, -3.921566E-11, 0, True, 0
9, directional, LeftCurve, 236.44, -0.07007067, 0.08446735, -6.754966E-11, 0, True, 0
10, directional, LeftCurve, 236.46, -0.08510137, 0.07378954, -1.077207E-10, 0, True, 0
11, directional, LeftCurve, 236.48, -0.1014991, 0.06264007, -1.672204E-10, 0, True, 0
12, directional, LeftCurve, 236.5, -0.1192365, 0.05252802, -2.485486E-10, 0, True, 0
13, directional, LeftCurve, 236.52, -0.1382866, 0.05050504, 7.652731E-10, 0, True, 0
14, directional, LeftCurve, 236.54, -0.1586408, 0.05010098, -4.628541E-10, 0, True, 0
15, directional, LeftCurve, 236.56, -0.1802731, 0.05002022, -2.041483E-09, 0, True, 0
16, directional, LeftCurve, 236.58, -0.2031578, 0.05000407, -3.630361E-09, 0, True, 0
17, directional, LeftCurve, 236.6, -0.22727, 0.05000079, -5.173011E-09, 0, True, 0
18, directional, LeftCurve, 236.62, -0.2525201, 0.05000019, -6.700596E-09, 0, True, 0
19, directional, LeftCurve, 236.64, -0.2788854, 0.05000001, -8.176743E-09, 0, True, 0
20, directional, LeftCurve, 236.66, -0.3063436, 0.05000001, -9.632217E-09, 0, True, 0
21, directional, LeftCurve, 236.68, -0.3348727, 0.05000001, -1.107645E-08, 0, True, 0
22, directional, LeftCurve, 236.7, -0.3644545, 0.04999989, -1.217345E-08, 0, True, 0
23, directional, LeftCurve, 236.72, -0.3950427, 0.04999995, -1.337201E-08, 0, True, 0
24, directional, LeftCurve, 236.74, -0.4266171, 0.05000001, -1.454282E-08, 0, True, 0
25, directional, LeftCurve, 236.76, -0.4591581, 0.05000001, -1.566385E-08, 0, True, 0
26, directional, LeftCurve, 236.78, -0.4926462, 0.05000001, -1.666732E-08, 0, True, 0
