Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count, RMSE Distance, Sway V X, Sway V Y, Sway V Z, Sway V Magnitude
0, torque, FreeMode, 103.58, 0, 0.1671874, 0, 0, False, 0, 0,0,0,0,0
1, torque, FreeMode, 103.6, 0, 0.1671874, 0, 0, False, 0, 0,-0.04734205,-0.004266781,-0.003343106,0.04765135
2, torque, FreeMode, 103.62, 0, 0.1671874, 0, 0, False, 0, 0,-0.01771449,-0.005222243,-0.006161174,0.01946883
3, torque, FreeMode, 103.64, 0, 0.1671874, 0, 0, False, 0, 0,-0.03075613,0.006090294,-0.01520488,0.03484565
4, torque, FreeMode, 103.66, 0, 0.1671874, 0, 0, False, 0, 0,-0.01725844,-0.004184948,-0.01403925,0.02263776
5, torque, FreeMode, 103.68, 0, 0.1671874, 0, 0, False, 0, 0,-0.03136174,-0.004040332,-0.03849042,0.0498136
6, torque, FreeMode, 103.7, 0, 0.1671874, 0, 0, False, 0, 0,-0.01989192,0.009180657,-0.0278147,0.03540665
7, torque, FreeMode, 103.72, 0, 0.1671874, 0, 0, False, 0, 0,-0.0306444,0.006638539,-0.06335812,0.07069229
8, torque, FreeMode, 103.74, 0, 0.1671874, 0, 0, False, 0, 0,-0.01326799,-0.0009657574,-0.0373292,0.0396288
9, torque, FreeMode, 103.76, 0, 0.1671874, 0, 0, False, 0, 0,-0.01407278,0.00394649,-0.04301197,0.04542739
10, torque, FreeMode, 103.78, 0, 0.1671874, 0, 0, False, 0, 0,-0.02314922,0.003372902,-0.09441147,0.09726658
11, torque, FreeMode, 103.8, 0, 0.1671874, 0, 0, False, 0, 0,-0.01033047,0.00207459,-0.05268296,0.05372631
12, torque, FreeMode, 103.82, 0, 0.1671874, 0, 0, False, 0, 0,-0.01548645,0.01144165,-0.1229039,0.124403
13, torque, FreeMode, 103.84, 0, 0.1671874, 0, 0, False, 0, 0,-0.007793125,0.002754197,-0.0663064,0.06681959
14, torque, FreeMode, 103.86, 0, 0.1671874, 0, 0, False, 0, 0,-0.008733195,0.00803299,-0.1479325,0.1484076
15, torque, FreeMode, 103.88, 0, 0.1671874, 0, 0, False, 0, 0,-0.004898089,0.004208794,-0.07912504,0.07938814
16, torque, FreeMode, 103.9, 0, 0.1671874, 0, 0, False, 0, 0,-0.01675321,0.02333318,-0.1728929,0.1752629
17, torque, FreeMode, 103.92, 0, 0.1671874, 0, 0, False, 0, 0,-0.0005206843,0.005994947,-0.09421929,0.09441125
18, torque, FreeMode, 103.94, 0, 0.1671874, 0, 0, False, 0, 0,-0.001437458,0.008071824,-0.2058539,0.2060171
19, torque, FreeMode, 103.96, 0, 0.1671874, 0, 0, False, 0, 0,-0.003716301,0.003790046,-0.1078509,0.1079815
20, torque, FreeMode, 103.98, 0, 0.1671874, 0, 0, False, 0, 0,-0.002226607,-0.0006915299,-0.1135391,0.113563
21, torque, FreeMode, 104, 0, 0.1671874, 0, 0, False, 0, 0,-0.001530767,0.0004409802,-0.2383706,0.238376
22, torque, FreeMode, 104.02, 0, 0.1671874, 0, 0, False, 0, 0,-0.003916683,-0.005424933,-0.1272609,0.1274367
23, torque, FreeMode, 104.04, 0, 0.1671874, 0, 0, False, 0, 0,-0.01537471,-0.0320962,-0.2619511,0.2643576
24, torque, FreeMode, 104.06, 0, 0.1671874, 0, 0, False, 0, 0,-0.008161991,-0.02253434,-0.1389528,0.1410046
25, torque, FreeMode, 104.08, 0, 0.1671874, 0, 0, False, 0, 0,-0.0129483,-0.03451688,-0.1407189,0.1454678
26, torque, FreeMode, 104.1, 0, 0.1671874, 0, 0, False, 0, 0,-0.04708953,-0.0782561,-0.282278,0.2966855
27, torque, FreeMode, 104.12, 0, 0.1671874, 0, 0, False, 0, 0,-0.0227266,-0.04360216,-0.1516373,0.1594099
28, torque, FreeMode, 104.14, 0, 0.1671874, 0, 0, False, 0, 0,-0.03664456,-0.1154057,-0.3200712,0.3422088
29, torque, FreeMode, 104.16, 0, 0.1671874, 0, 0, False, 0, 0,-0.02564846,-0.05504817,-0.1568193,0.1681679
30, torque, FreeMode, 104.18, 0, 0.1671874, 0, 0, False, 0, 0,-0.04146256,-0.1275744,-0.3225785,0.3493583
31, torque, FreeMode, 104.2, 0, 0.1671874, 0, 0, False, 0, 0,-0.01611831,-0.06945107,-0.1614514,0.1764931
32, torque, FreeMode, 104.22, 0, 0.1671874, 0, 0, False, 0, 0,-0.02377271,-0.155964,-0.3511781,0.3849883
33, torque, FreeMode, 104.24, 0, 0.1671874, 0, 0, False, 0, 0,-0.01110174,-0.07272987,-0.1747976,0.1896499
34, torque, FreeMode, 104.26, 0, 0.1671874, 0, 0, False, 0, 0,-0.01348483,-0.1102752,-0.353342,0.3703957
35, torque, FreeMode, 104.28, 0, 0.1671874, 0, 0, False, 0, 0,-0.01024609,-0.04444365,-0.1745432,0.1804039
36, torque, FreeMode, 104.3, 0, 0.1671874, 0, 0, False, 0, 0,-0.01377546,-0.0454979,-0.1778916,0.1841338
37, torque, FreeMode, 104.32, 0, 0.1671874, 0, 0, False, 0, 0,-0.0002860412,-0.06706474,-0.354338,0.3606288
38, torque, FreeMode, 104.34, 0, 0.1671874, 0, 0, False, 0, 0,0.004500161,-0.007213373,-0.1709435,0.1711548
39, torque, FreeMode, 104.36, 0, 0.1671874, 0, 0, False, 0, 0,0.01648759,-0.004767353,-0.3417388,0.3421695
40, torque, FreeMode, 104.38, 0, 0.1671874, 0, 0, False, 0, 0,0.01319198,-0.01492751,-0.1753252,0.1764534
41, torque, FreeMode, 104.4, 0, 0.1671874, 0, 0, False, 0, 0,0.02889,-0.02702928,-0.3390434,0.3413439
42, torque, FreeMode, 104.42, 0, 0.1671874, 0, 0, False, 0, 0,0.00950193,-0.01669765,-0.1564958,0.1576707
43, torque, FreeMode, 104.44, 0, 0.1671874, 0, 0, False, 0, 0,0.008195524,-0.007940671,-0.1655201,0.165913
44, torque, FreeMode, 104.46, 0, 0.1671874, 0, 0, False, 0, 0,0.01691218,-0.03955711,-0.2972013,0.3002988
45, torque, FreeMode, 104.48, 0, 0.1671874, 0, 0, False, 0, 0,0.007305775,-0.01344907,-0.1472646,0.1480578
46, torque, FreeMode, 104.5, 0, 0.1671874, 0, 0, False, 0, 0,0.0009586849,-0.003992658,-0.2707827,0.2708138
47, torque, FreeMode, 104.52, 0, 0.1671874, 0, 0, False, 0, 0,-0.0003286258,-0.007678367,-0.135832,0.1360492
48, torque, FreeMode, 104.54, 0, 0.1671874, 0, 0, False, 0, 0,0.003376627,-0.03089245,-0.2516581,0.2535696
49, torque, FreeMode, 104.56, 0, 0.1671874, 0, 0, False, 0, 0,0.006773715,-0.01926745,-0.1239254,0.1255971
50, torque, FreeMode, 104.58, 0, 0.1671874, 0, 0, False, 0, 0,0.005997979,-0.01626288,-0.1163872,0.1176709
51, torque, FreeMode, 104.6, 0, 0.1671874, 0, 0, False, 0, 0,0.0161658,-0.01655463,-0.224368,0.225558
52, torque, FreeMode, 104.62, 0, 0.1671874, 0, 0, False, 0, 0,0.00777077,-0.01579788,-0.1062602,0.1077088
53, torque, FreeMode, 104.64, 0, 0.1671874, -5.001303E-12, 0, False, 0, 0,0.01531438,-0.03519499,-0.1832274,0.1872045
54, torque, FreeMode, 104.66, -1.227928E-29, 0.1671874, -2.41493E-11, 0, False, 0, 0,0.007949614,-0.0228801,-0.07639347,0.08014148
55, torque, FreeMode, 104.68, -1.666277E-28, 0.1671874, -6.998972E-11, 0, False, 0, 0,0.01975919,-0.03461098,-0.140375,0.1459229
56, torque, FreeMode, 104.7, -6.536076E-28, 0.1671874, -1.578247E-10, 0, False, 0, 0,0.0162122,-0.02397701,-0.05723047,0.06413314
57, torque, FreeMode, 104.72, -2.826478E-27, 0.1671874, -3.051565E-10, 0, False, 0, 0,0.0141434,-0.02265685,-0.04095352,0.04889334
58, torque, FreeMode, 104.74, -9.820226E-27, 0.1671874, -5.312081E-10, 0, False, 0, 0,0.02037256,-0.04548598,-0.06584191,0.08257829
59, torque, FreeMode, 104.76, -2.715251E-26, 0.1671874, -8.565113E-10, 0, False, 0, 0,0.01263533,-0.02283241,-0.01703546,0.03116371
60, torque, FreeMode, 104.78, -6.583328E-26, 0.1671874, -1.302554E-09, 0, False, 0, 0,0.03923234,-0.05196415,-0.008997506,0.06572978
61, torque, FreeMode, 104.8, -1.37237E-25, 0.1671874, -1.891479E-09, 0, False, 0, 0,0.02559257,-0.02297549,0.00683567,0.03506535
62, torque, FreeMode, 104.82, -2.603253E-25, 0.1671874, -2.645827E-09, 0, False, 0, 0,0.0450135,-0.04236985,0.02871517,0.06816143
63, torque, FreeMode, 104.84, -4.713358E-25, 0.1671874, -3.588323E-09, 0, False, 0, 0,0.01459814,-0.009383346,0.03477995,0.03886899
64, torque, FreeMode, 104.86, -8.255554E-25, 0.1671874, -4.741692E-09, 0, False, 0, 0,0.04255086,-0.02387252,0.08201708,0.09543204
65, torque, FreeMode, 104.88, -1.398683E-24, 0.1671874, -6.128508E-09, 0, False, 0, 0,0.02560151,-0.01607211,0.06242589,0.06935951
66, torque, FreeMode, 104.9, -2.253997E-24, 0.1671874, -7.711052E-09, 0, False, 0, 0,0.06351643,-0.03120231,0.1188189,0.1382962
67, torque, FreeMode, 104.92, -5.001304E-12, 0.1671874, -9.50152E-09, 0, False, 0, 0,0.04353152,-0.01953423,0.08062397,0.0936846
68, torque, FreeMode, 104.94, -1.914799E-11, 0.1671874, -1.14537E-08, 0, False, 0, 0,0.07374854,-0.03688955,0.1704289,0.1893296
69, torque, FreeMode, 104.96, -5.084172E-11, 0.1671874, -1.357291E-08, 0, False, 0, 0,0.04204433,-0.01663806,0.09591784,0.1060414
70, torque, FreeMode, 104.98, -5.696994E-11, 0.1671874, -1.583248E-08, 0, False, 0, 0,0.04237931,-0.02049552,0.08847383,0.1002182
71, torque, FreeMode, 105, -4.670405E-11, 0.1671874, -1.823421E-08, 0, False, 0, 0,0.1201168,-0.04037948,0.1673024,0.2098777
72, torque, FreeMode, 105.02, -2.781435E-11, 0.1671874, -2.078362E-08, 0, False, 0, 0,0.04337078,-0.003076116,0.07861547,0.08983807
73, torque, FreeMode, 105.04, -5.68619E-11, 0.1671874, -2.345937E-08, 0, False, 0, 0,0.1005982,-0.03830568,0.1734037,0.2040985
74, torque, FreeMode, 105.06, -9.07474E-11, 0.1671874, -2.623776E-08, 0, False, 0, 0,0.03936318,-0.00720145,0.08204876,0.09128702
75, torque, FreeMode, 105.08, -1.384501E-10, 0.1671874, -2.912332E-08, 0, False, 0, 0,0.07938659,-0.008369897,0.1718373,0.1894738
76, torque, FreeMode, 105.1, -2.073778E-10, 0.1671874, -3.212413E-08, 0, False, 0, 0,0.0369738,-0.0007866133,0.07709732,0.08550835
77, torque, FreeMode, 105.12, -2.535633E-10, 0.1671874, -3.521615E-08, 0, False, 0, 0,0.0792927,-0.02972386,0.1432268,0.1663874
