Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count, RMSE Distance, Sway V X, Sway V Y, Sway V Z, Sway V Magnitude
0, directional, FreeMode, 451.84, 0, 0.1671876, 0, 0, False, 0, 0,0,0,0,0
1, directional, FreeMode, 451.86, 0, 0.1671876, 0, 0, False, 0, 0,0.1714158,-0.008265744,0.4026263,0.4376752
2, directional, FreeMode, 451.88, 0, 0.1671876, 0, 0, False, 0, 0,0.09460077,-0.007431402,0.205297,0.2261667
3, directional, FreeMode, 451.9, 0, 0.1671876, 0, 0, False, 0, 0,0.1962913,-0.04392891,0.4156377,0.4617518
4, directional, FreeMode, 451.92, 0, 0.1671876, 0, 0, False, 0, 0,0.1007947,-0.02989027,0.2153477,0.2396406
5, directional, FreeMode, 451.94, 0, 0.1671876, 0, 0, False, 0, 0,0.193538,-0.008967702,0.437133,0.478145
6, directional, FreeMode, 451.96, 0, 0.1671876, 0, 0, False, 0, 0,0.087336,0.01457538,0.2170943,0.2344567
7, directional, FreeMode, 451.98, 0, 0.1671876, 0, 0, False, 0, 0,0.1714046,0.02000239,0.4404729,0.4730709
8, directional, FreeMode, 452, 0, 0.1671876, 0, 0, False, 0, 0,0.09017498,0.005502096,0.2190567,0.2369549
9, directional, FreeMode, 452.02, 0, 0.1671876, 0, 0, False, 0, 0,0.08792865,0.001025763,0.2124114,0.2298937
10, directional, FreeMode, 452.04, 0, 0.1671876, 0, 0, False, 0, 0,0.1698682,0.008730916,0.4153223,0.4488029
11, directional, FreeMode, 452.06, 0, 0.1671876, 0, 0, False, 0, 0,0.08058874,0.007395674,0.2065318,0.2218212
12, directional, FreeMode, 452.08, 0, 0.1671876, 0, 0, False, 0, 0,0.1536252,0.01742605,0.4059317,0.4343787
13, directional, FreeMode, 452.1, 0, 0.1671876, 0, 0, False, 0, 0,0.07521469,-0.007585878,0.1971724,0.2111676
14, directional, FreeMode, 452.12, 0, 0.1671876, 0, 0, False, 0, 0,0.1467747,-0.006442931,0.3656326,0.3940451
15, directional, FreeMode, 452.14, 0, 0.1671876, 0, 0, False, 0, 0,0.07254219,0.003661737,0.1785432,0.1927523
16, directional, FreeMode, 452.16, 0, 0.1671876, 0, 0, False, 0, 0,0.1259721,-0.0002500953,0.3464556,0.3686469
17, directional, FreeMode, 452.18, 0, 0.1671876, 0, 0, False, 0, 0,0.06016147,-0.004341603,0.1650957,0.1757693
18, directional, FreeMode, 452.2, 0, 0.1671876, 0, 0, False, 0, 0,0.05682252,-0.001824905,0.1579694,0.1678883
19, directional, FreeMode, 452.22, 0, 0.1671876, 0, 0, False, 0, 0,0.1179177,0.01641101,0.3192991,0.3407724
20, directional, FreeMode, 452.24, 0, 0.1671876, 0, 0, False, 0, 0,0.05557237,0.01172471,0.1525674,0.1627961
21, directional, FreeMode, 452.26, 0, 0.1671876, 0, 0, False, 0, 0,0.104355,0.02767176,0.2873259,0.3069395
22, directional, FreeMode, 452.28, 0, 0.1671876, 0, 0, False, 0, 0,0.04908343,0.01469607,0.1389893,0.1481323
23, directional, FreeMode, 452.3, 0, 0.1671876, 0, 0, False, 0, 0,0.09477203,0.02278149,0.2632157,0.2806835
24, directional, FreeMode, 452.32, 0, 0.1671876, 0, 0, False, 0, 0,0.04220092,0.01428912,0.1246671,0.1323895
25, directional, FreeMode, 452.34, 0, 0.1671876, 0, 0, False, 0, 0,0.03914214,0.01002763,0.117413,0.1241712
26, directional, FreeMode, 452.36, 0, 0.1671876, 0, 0, False, 0, 0,0.07897185,0.009315362,0.2164614,0.2306055
27, directional, FreeMode, 452.38, 0, 0.1671876, 0, 0, False, 0, 0,0.03862632,0.00594274,0.09640391,0.1040241
28, directional, FreeMode, 452.4, 0, 0.1671876, 0, 0, False, 0, 0,0.06922673,0.01418178,0.1820566,0.1952897
29, directional, FreeMode, 452.42, 0, 0.1671876, 0, 0, False, 0, 0,0.03062753,0.007681298,0.07380352,0.08027458
30, directional, FreeMode, 452.44, 0, 0.1671876, 0, 0, False, 0, 0,0.06186844,0.004596989,0.1247395,0.1393154
31, directional, FreeMode, 452.46, 0, 0.1671876, 0, 0, False, 0, 0,0.03079079,-0.01102099,0.06144889,0.06960963
32, directional, FreeMode, 452.48, 0, 0.1671876, 0, 0, False, 0, 0,0.02694753,-0.00605916,0.05324055,0.05997866
33, directional, FreeMode, 452.5, 0, 0.1671876, 0, 0, False, 0, 0,0.06181931,0.0001310023,0.08540531,0.1054311
34, directional, FreeMode, 452.52, 0, 0.1671876, 0, 0, False, 0, 0,0.03022275,-0.003017653,0.02619946,0.0401115
35, directional, FreeMode, 452.54, 0, 0.1671876, 0, 0, False, 0, 0,0.05249284,0.005069179,0.03325456,0.0623463
36, directional, FreeMode, 452.56, 0, 0.1671876, 0, 0, False, 0, 0,0.02724252,0.001476753,0.00873547,0.02864689
37, directional, FreeMode, 452.58, 0, 0.1671876, 0, 0, False, 0, 0,0.058142,9.541985E-05,0.0009676169,0.05815012
38, directional, FreeMode, 452.6, 0, 0.1671876, 0, 0, False, 0, 0,0.03096635,-0.00502147,-0.01136167,0.03336491
39, directional, FreeMode, 452.62, 0, 0.1671876, 0, 0, False, 0, 0,0.06546021,-0.003334604,-0.05087429,0.08297199
40, directional, FreeMode, 452.64, 0, 0.1671876, 0, 0, False, 0, 0,0.03323182,0.004019561,-0.04476831,0.05589913
41, directional, FreeMode, 452.66, 0, 0.1671876, 0, 0, False, 0, 0,0.06327857,0.0010242,-0.09872362,0.1172671
42, directional, FreeMode, 452.68, 0, 0.1671876, 0, 0, False, 0, 0,0.03229589,-0.004389313,-0.06429471,0.07208398
43, directional, FreeMode, 452.7, 0, 0.1671876, 0, 0, False, 0, 0,0.02895806,0.005546279,-0.07551325,0.08106529
44, directional, FreeMode, 452.72, 0, 0.1671876, 0, 0, False, 0, 0,0.06122198,0.006645389,-0.1825494,0.1926567
45, directional, FreeMode, 452.74, 0, 0.1671876, 0, 0, False, 0, 0,0.02850631,0.005009542,-0.1127907,0.1164451
46, directional, FreeMode, 452.76, 0, 0.1671876, 0, 0, False, 0, 0,0.05378101,0.01760496,-0.2442599,0.2507294
47, directional, FreeMode, 452.78, 0, 0.1671876, 0, 0, False, 0, 0,0.02322648,0.01330269,-0.1358285,0.1384407
48, directional, FreeMode, 452.8, 0, 0.1671876, 0, 0, False, 0, 0,0.04065668,0.02984256,-0.3074729,0.3115817
49, directional, FreeMode, 452.82, 0, 0.1671876, 0, 0, False, 0, 0,0.01827029,0.01663884,-0.1729679,0.1747242
50, directional, FreeMode, 452.84, 0, 0.1671876, 0, 0, False, 0, 0,0.02235115,0.00713367,-0.1882447,0.1897012
51, directional, FreeMode, 452.86, 0, 0.1671876, 0, 0, False, 0, 0,0.0508804,0.001073473,-0.3947124,0.3979797
52, directional, FreeMode, 452.88, 0, 0.1671876, 0, 0, False, 0, 0,0.02473822,0.004644627,-0.2130332,0.214515
53, directional, FreeMode, 452.9, 0, 0.1671876, 0, 0, False, 0, 0,0.04502773,0.02280534,-0.4634318,0.4661723
54, directional, FreeMode, 452.92, 0, 0.1671876, 0, 0, False, 0, 0,0.01908211,0.01606632,-0.2508282,0.2520655
55, directional, FreeMode, 452.94, 0, 0.1671876, 0, 0, False, 0, 0,0.03489499,0.04314739,-0.5297074,0.5326061
56, directional, FreeMode, 452.96, 0, 0.1671876, 0, 0, False, 0, 0,0.01779506,0.02168416,-0.2769293,0.2783463
57, directional, FreeMode, 452.98, 0, 0.1671876, 0, 0, False, 0, 0,0.01264574,0.01586355,-0.2874404,0.2881554
58, directional, FreeMode, 453, 0, 0.1671876, 0, 0, False, 0, 0,0.01614566,0.04889958,-0.5932907,0.5955214
