Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count, RMSE Distance, Sway V X, Sway V Y, Sway V Z, Sway V Magnitude
0, combined, FreeMode, 172.44, 0, 0.1671874, 0, 0, False, 0, 0,0,0,0,0
1, combined, FreeMode, 172.46, 0, 0.1671874, 0, 0, False, 0, 0,-0.0238982,0.005307729,0.03179494,0.04012747
2, combined, FreeMode, 172.48, 0, 0.1671874, 0, 0, False, 0, 0,-0.06553919,0.0004767353,0.054797,0.08543023
3, combined, FreeMode, 172.5, 0, 0.1671874, 0, 0, False, 0, 0,-0.02566102,-0.01995137,0.03024215,0.04439745
4, combined, FreeMode, 172.52, 0, 0.1671874, 0, 0, False, 0, 0,-0.06967736,-0.05640506,0.04421368,0.09995656
5, combined, FreeMode, 172.54, 0, 0.1671874, 0, 0, False, 0, 0,-0.04874768,-0.02200134,0.01566076,0.05572839
6, combined, FreeMode, 172.56, 0, 0.1671874, 0, 0, False, 0, 0,-0.1008429,-0.05072464,0.02937062,0.1166401
7, combined, FreeMode, 172.58, 0, 0.1671874, 0, 0, False, 0, 0,-0.05561937,-0.02660183,0.01624401,0.06375767
8, combined, FreeMode, 172.6, 0, 0.1671874, 0, 0, False, 0, 0,-0.108725,-0.04862834,0.03264477,0.123497
9, combined, FreeMode, 172.62, 0, 0.1671874, 0, 0, False, 0, 0,-0.05127065,-0.02533848,0.0209838,0.06091829
10, combined, FreeMode, 172.64, 0, 0.1671874, 0, 0, False, 0, 0,-0.05117679,-0.0254815,0.02141733,0.06104976
11, combined, FreeMode, 172.66, 0, 0.1671874, 0, 0, False, 0, 0,-0.1125147,-0.04275124,0.04851527,0.1297728
12, combined, FreeMode, 172.68, 0, 0.1671874, 0, 0, False, 0, 0,-0.0561762,-0.02348521,0.0266199,0.06645254
13, combined, FreeMode, 172.7, 0, 0.1671874, 0, 0, False, 0, 0,-0.1065347,-0.04478928,0.05840827,0.1294884
14, combined, FreeMode, 172.72, 0, 0.1671874, 0, 0, False, 0, 0,-0.04914769,-0.02662567,0.03346011,0.06514599
15, combined, FreeMode, 172.74, 0, 0.1671874, 0, 0, False, 0, 0,-0.09772632,-0.04879532,0.05066347,0.1204085
16, combined, FreeMode, 172.76, 0, 0.1671874, 0, 0, False, 0, 0,-0.04565262,-0.02198942,0.02359616,0.055897
17, combined, FreeMode, 172.78, 0, 0.1671874, 0, 0, False, 0, 0,-0.09325166,-0.04022454,0.03270255,0.1066928
18, combined, FreeMode, 172.8, 0, 0.1671874, 0, 0, False, 0, 0,-0.04434532,-0.02319317,0.01534343,0.05234359
19, combined, FreeMode, 172.82, 0, 0.1671874, 0, 0, False, 0, 0,-0.04329005,-0.02094466,0.01649123,0.05083963
20, combined, FreeMode, 172.84, 0, 0.1671874, 0, 0, False, 0, 0,-0.08412516,-0.03902078,0.02357158,0.09568325
21, combined, FreeMode, 172.86, 0, 0.1671874, 0, 0, False, 0, 0,-0.04092177,-0.01866419,0.01017681,0.0461141
22, combined, FreeMode, 172.88, 0, 0.1671874, 0, 0, False, 0, 0,-0.07864758,-0.04120945,0.01775704,0.09054818
23, combined, FreeMode, 172.9, 0, 0.1671874, 0, 0, False, 0, 0,-0.03333944,-0.02393211,0.01018128,0.04228384
24, combined, FreeMode, 172.92, 0, 0.1671874, 0, 0, False, 0, 0,-0.05772222,-0.05586146,0.02913374,0.08544666
25, combined, FreeMode, 172.94, 0, 0.1671874, 0, 0, False, 0, 0,-0.03289474,-0.02751955,0.007340979,0.04351183
26, combined, FreeMode, 172.96, 0, 0.1671874, 0, 0, False, 0, 0,-0.02829273,-0.02898378,0.007160961,0.04113171
27, combined, FreeMode, 172.98, 0, 0.1671874, 0, 0, False, 0, 0,-0.04667611,-0.06488368,0.01592668,0.08149976
28, combined, FreeMode, 173, 0, 0.1671874, 0, 0, False, 0, 0,-0.01788651,-0.03380053,0.009868421,0.03949417
29, combined, FreeMode, 173.02, 0, 0.1671874, 0, 0, False, 0, 0,-0.03313231,-0.06363311,0.01740816,0.07382389
30, combined, FreeMode, 173.04, 0, 0.1671874, 0, 0, False, 0, 0,-0.02116258,-0.02188215,0.01250089,0.03290829
31, combined, FreeMode, 173.06, 0, 0.1671874, 0, 0, False, 0, 0,-0.03477635,-0.04663663,0.03145336,0.06613383
