Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count, RMSE Distance, Sway V X, Sway V Y, Sway V Z, Sway V Magnitude
0, combined, FreeMode, 46.6, 0, 0.1671876, 0, 0, False, 0, 0,0,0,0,0
1, combined, FreeMode, 46.62, 0, 0.1671876, 0, 0, False, 0, 0,0.009121537,0.004958993,-0.002559216,0.01069316
2, combined, FreeMode, 46.64, 0, 0.1671876, 0, 0, False, 0, 0,0.01163382,0.00889877,-0.02457518,0.02860897
3, combined, FreeMode, 46.66, 0, 0.1671876, 0, 0, False, 0, 0,0.006756777,0.003194736,-0.008862263,0.0115931
4, combined, FreeMode, 46.68, 0, 0.1671876, 0, 0, False, 0, 0,0.005002205,0.001788098,-0.01058778,0.01184569
5, combined, FreeMode, 46.7, 0, 0.1671876, 0, 0, False, 0, 0,0.004675877,-0.002431814,-0.02609059,0.0266176
6, combined, FreeMode, 46.72, 0, 0.1671876, 0, 0, False, 0, 0,0.00524907,0.003171499,-0.009881129,0.01162961
7, combined, FreeMode, 46.74, 0, 0.1671876, 0, 0, False, 0, 0,0.01030839,0.007432529,-0.01609736,0.02050927
8, combined, FreeMode, 46.76, 0, 0.1671876, 0, 0, False, 0, 0,0.004776458,0.004231833,-0.007011581,0.009480782
9, combined, FreeMode, 46.78, 0, 0.1671876, 0, 0, False, 0, 0,0.001683048,0.009667652,-0.01531283,0.01818733
10, combined, FreeMode, 46.8, 0, 0.1671876, 0, 0, False, 0, 0,-0.0010818,0.004053023,-0.00961997,0.01049481
11, combined, FreeMode, 46.82, 0, 0.1671876, 0, 0, False, 0, 0,0.003012946,0.00236625,-0.01555869,0.01602342
12, combined, FreeMode, 46.84, 0, 0.1671876, 0, 0, False, 0, 0,0.003075529,-0.0008225253,-0.008433119,0.009014041
13, combined, FreeMode, 46.86, 0, 0.1671876, 0, 0, False, 0, 0,0.003015181,-0.0002920561,-0.008683453,0.009196683
14, combined, FreeMode, 46.88, 0, 0.1671876, 0, 0, False, 0, 0,0.007947378,-0.002593237,-0.01753565,0.01942639
15, combined, FreeMode, 46.9, 0, 0.1671876, 0, 0, False, 0, 0,0.003303512,-0.00144836,-0.009045543,0.009738212
16, combined, FreeMode, 46.92, 0, 0.1671876, 0, 0, False, 0, 0,0.003453265,-0.001722535,-0.01527707,0.01575693
17, combined, FreeMode, 46.94, 0, 0.1671876, 0, 0, False, 0, 0,0.0002525689,0.001585447,-0.00309341,0.0034852
18, combined, FreeMode, 46.96, 0, 0.1671876, 0, 0, False, 0, 0,0.002322293,0.003826531,-0.008611929,0.009705705
19, combined, FreeMode, 46.98, 0, 0.1671876, 0, 0, False, 0, 0,0.0008471116,0.001805979,-0.005431349,0.005786079
20, combined, FreeMode, 47, 0, 0.1671876, 0, 0, False, 0, 0,-0.0005163134,0.005078199,-0.009966413,0.0111975
21, combined, FreeMode, 47.02, 0, 0.1671876, 0, 0, False, 0, 0,0.0005029027,0.001698693,-0.006812655,0.007039228
