Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count, RMSE Distance, Sway V X, Sway V Y, Sway V Z, Sway V Magnitude
0, directional, RaceTrack, 377.56, 0, 0.1671877, 0, 0, False, 0, 0.433534,0,0,0,0
1, directional, RaceTrack, 377.58, 0, 0.1671877, 0, 0, False, 0, 0.433534,-0.01512032,0.00625,0.02409947,0.02912853
2, directional, RaceTrack, 377.6, 0, 0.1671877, 0, 0, False, 0, 0.433534,-0.004499482,0.007086033,0.01964588,0.02136393
3, directional, RaceTrack, 377.62, 0, 0.1671877, 0, 0, False, 0, 0.433534,-0.002406369,0.002278149,0.01103217,0.01151909
4, directional, RaceTrack, 377.64, 0, 0.1671877, 0, 0, False, 0, 0.433534,0.002182729,0.0005486641,0.0008028686,0.002389547
5, directional, RaceTrack, 377.66, 0, 0.1671877, 0, 0, False, 0, 0.433534,-0.002733184,0.005216273,0.014903,0.01602433
6, directional, RaceTrack, 377.68, 0, 0.1671877, 0, 0, False, 0, 0.433534,0.001064528,0.002480916,0.002806685,0.00389431
7, directional, RaceTrack, 377.7, 0, 0.1671877, 0, 0, False, 0, 0.433534,-0.000149839,0.009112596,0.01402672,0.01672754
8, directional, RaceTrack, 377.72, 0, 0.1671877, 0, 0, False, 0, 0.433534,-0.001777463,0.005359184,0.01097516,0.01234238
9, directional, RaceTrack, 377.74, 0, 0.1671877, 0, 0, False, 0, 0.433534,-0.005497078,0.01020992,0.02609882,0.02855887
10, directional, RaceTrack, 377.76, 0, 0.1671877, 0, 0, False, 0, 0.433534,-0.005248837,0.005987595,0.01364653,0.01579966
11, directional, RaceTrack, 377.78, 0, 0.1671877, 0, 0, False, 0, 0.433534,-0.02252644,0.0178044,0.03343461,0.04407165
12, directional, RaceTrack, 377.8, 0, 0.1671877, 0, 0, False, 0, 0.433534,-0.002547263,0.003494752,0.0170481,0.01758805
13, directional, RaceTrack, 377.82, 0, 0.1671877, 0, 0, False, 0, 0.433534,-0.01183952,0.00459208,0.0365048,0.03865051
14, directional, RaceTrack, 377.84, 0, 0.1671877, 0, 0, False, 0, 0.433534,-0.002900659,-0.0004525534,0.0207914,0.02099764
15, directional, RaceTrack, 377.86, 0, 0.1671877, 0, 0, False, 0, 0.433534,-0.002017235,0.003685592,0.03432431,0.0345805
