Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count, RMSE Distance, Sway V X, Sway V Y, Sway V Z, Sway V Magnitude
0, directional, FreeMode, 1161.44, 0, 0.1671874, 0, 0, False, 0, 0,0,0,0,0
1, directional, FreeMode, 1161.46, 0, 0.1671874, 0, 0, False, 0, 0,0.07918195,0.01184975,0.1188801,0.1433272
2, directional, FreeMode, 1161.48, 0, 0.1671874, 0, 0, False, 0, 0,0.05357845,0.000476372,0.05228778,0.0748658
3, directional, FreeMode, 1161.5, 0, 0.1671874, 0, 0, False, 0, 0,0.09005439,0.006323838,0.1048524,0.1383612
4, directional, FreeMode, 1161.52, 0, 0.1671874, 0, 0, False, 0, 0,0.05512591,-0.0009884718,0.05026915,0.07461119
5, directional, FreeMode, 1161.54, 0, 0.1671874, 0, 0, False, 0, 0,0.04099765,0.01278518,0.04757148,0.06408833
6, directional, FreeMode, 1161.56, 0, 0.1671874, 0, 0, False, 0, 0,0.08646374,0.01705412,0.09928559,0.1327571
7, directional, FreeMode, 1161.58, 0, 0.1671874, 0, 0, False, 0, 0,0.07132851,0.003441787,0.07543052,0.1038719
8, directional, FreeMode, 1161.6, 0, 0.1671874, 0, 0, False, 0, 0,0.04981362,-0.0213891,0.0372173,0.06575727
9, directional, FreeMode, 1161.62, 0, 0.1671874, 0, 0, False, 0, 0,0.03557159,0.006693026,0.04200038,0.05544516
10, directional, FreeMode, 1161.64, 0, 0.1671874, 0, 0, False, 0, 0,0.06140286,0.006085651,0.06317808,0.0883109
11, directional, FreeMode, 1161.66, 0, 0.1671874, 0, 0, False, 0, 0,0.02862028,0.002620046,0.02947105,0.04116464
12, directional, FreeMode, 1161.68, 0, 0.1671874, 0, 0, False, 0, 0,0.05265799,0.01791363,0.06235247,0.08355592
13, directional, FreeMode, 1161.7, 0, 0.1671874, 0, 0, False, 0, 0,0.0311123,-0.005132908,0.02727155,0.04169004
14, directional, FreeMode, 1161.72, 0, 0.1671874, 0, 0, False, 0, 0,0.04381357,-0.006026105,0.05143477,0.0678342
15, directional, FreeMode, 1161.74, 0, 0.1671874, 0, 0, False, 0, 0,0.02439545,0.004573171,0.02306682,0.03388407
16, directional, FreeMode, 1161.76, 0, 0.1671874, 0, 0, False, 0, 0,0.02573748,0.009098704,0.02588263,0.03761801
17, directional, FreeMode, 1161.78, 0, 0.1671874, 0, 0, False, 0, 0,0.02547176,0.02908251,0.03609634,0.05289186
18, directional, FreeMode, 1161.8, 0, 0.1671874, 0, 0, False, 0, 0,0.01260619,0.01430694,0.01377897,0.02352583
19, directional, FreeMode, 1161.82, 0, 0.1671874, 0, 0, False, 0, 0,0.03954631,0.000476372,0.03337432,0.05174923
20, directional, FreeMode, 1161.84, 0, 0.1671874, 0, 0, False, 0, 0,0.0153429,0.007967321,0.01343592,0.02189536
21, directional, FreeMode, 1161.86, 0, 0.1671874, 0, 0, False, 0, 0,0.01242661,0.03845512,0.01913229,0.04471311
22, directional, FreeMode, 1161.88, 0, 0.1671874, 0, 0, False, 0, 0,0.0006475681,0.0213891,0.007420238,0.0226489
23, directional, FreeMode, 1161.9, 0, 0.1671874, 0, 0, False, 0, 0,0.001484941,0.01576791,0.004925983,0.01658606
24, directional, FreeMode, 1161.92, 0, 0.1671874, 0, 0, False, 0, 0,0.005070786,0.01679927,0.02248041,0.02851837
25, directional, FreeMode, 1161.94, 0, 0.1671874, 0, 0, False, 0, 0,0.002090082,0.01499381,0.00869751,0.01745936
26, directional, FreeMode, 1161.96, 0, 0.1671874, 0, 0, False, 0, 0,-0.00769043,0.05650962,0.0217047,0.06102109
27, directional, FreeMode, 1161.98, 0, 0.1671874, 0, 0, False, 0, 0,-0.01026954,0.03653773,0.01871249,0.04231579
28, directional, FreeMode, 1162, 0, 0.1671874, 0, 0, False, 0, 0,-0.01255166,0.05978468,0.0486212,0.07807543
29, directional, FreeMode, 1162.02, 0, 0.1671874, 0, 0, False, 0, 0,0.001299602,0.01146865,0.02395332,0.02658911
30, directional, FreeMode, 1162.04, 0, 0.1671874, 0, 0, False, 0, 0,-0.006146952,0.02487538,0.01686817,0.03067743
31, directional, FreeMode, 1162.06, 0, 0.1671874, 0, 0, False, 0, 0,-0.00203649,0.03975324,0.02427711,0.04662451
32, directional, FreeMode, 1162.08, 0, 0.1671874, 0, 0, False, 0, 0,-0.005593649,0.02113901,0.0159994,0.02709478
33, directional, FreeMode, 1162.1, 0, 0.1671874, 0, 0, False, 0, 0,-0.01938908,0.02847513,0.04747791,0.05865937
34, directional, FreeMode, 1162.12, 0, 0.1671874, 0, 0, False, 0, 0,-0.01213632,-0.001965034,0.02270284,0.02581803
35, directional, FreeMode, 1162.14, 0, 0.1671874, 0, 0, False, 0, 0,-0.01800239,0.01629192,0.0497109,0.05532347
36, directional, FreeMode, 1162.16, 0, 0.1671874, 0, 0, False, 0, 0,-0.01211176,0.0117783,0.02751271,0.03228579
37, directional, FreeMode, 1162.18, 0, 0.1671874, 0, 0, False, 0, 0,-0.02932608,0.01382765,0.05839829,0.06679508
38, directional, FreeMode, 1162.2, 0, 0.1671874, 0, 0, False, 0, 0,-0.009231195,-0.004454078,0.03909079,0.04041217
39, directional, FreeMode, 1162.22, 0, 0.1671874, 0, 0, False, 0, 0,-0.02216469,-0.01308832,0.08300707,0.08690657
40, directional, FreeMode, 1162.24, 0, 0.1671874, 0, 0, False, 0, 0,-0.01990044,0.008050686,0.04019165,0.04556544
41, directional, FreeMode, 1162.26, 0, 0.1671874, 0, 0, False, 0, 0,-0.02500506,0.002739139,0.03577479,0.04373319
42, directional, FreeMode, 1162.28, 0, 0.1671874, 0, 0, False, 0, 0,-0.05264952,0.001667302,0.08556831,0.1004823
43, directional, FreeMode, 1162.3, 0, 0.1671874, 0, 0, False, 0, 0,-0.03234788,-0.00370255,0.04479232,0.0553755
44, directional, FreeMode, 1162.32, 0, 0.1671874, 0, 0, False, 0, 0,-0.0608714,0.006609661,0.09614154,0.1139834
45, directional, FreeMode, 1162.34, 0, 0.1671874, 0, 0, False, 0, 0,-0.03027269,0.003167873,0.05818735,0.06566764
46, directional, FreeMode, 1162.36, 0, 0.1671874, 0, 0, False, 0, 0,-0.05375932,-0.009086795,0.1284552,0.139547
47, directional, FreeMode, 1162.38, 0, 0.1671874, 0, 0, False, 0, 0,-0.03106541,0.001762576,0.0615413,0.06896012
48, directional, FreeMode, 1162.4, 0, 0.1671874, 0, 0, False, 0, 0,-0.03511159,-0.000595465,0.06260644,0.07178262
49, directional, FreeMode, 1162.42, 0, 0.1671874, 0, 0, False, 0, 0,-0.07752663,-0.009813555,0.1365046,0.1572901
50, directional, FreeMode, 1162.44, 0, 0.1671874, 0, 0, False, 0, 0,-0.03410004,-0.003406059,0.07353024,0.08112404
51, directional, FreeMode, 1162.46, 0, 0.1671874, 0, 0, False, 0, 0,-0.07367539,-0.01175448,0.1506176,0.168083
52, directional, FreeMode, 1162.48, 0, 0.1671874, -5.001303E-12, 0, False, 0, 0,-0.03270666,-0.01182593,0.08658656,0.09331029
53, directional, FreeMode, 1162.5, -1.227928E-29, 0.1671874, -2.41493E-11, 0, False, 0, 0,-0.07413092,-0.01455316,0.1696375,0.1856989
54, directional, FreeMode, 1162.52, -1.666277E-28, 0.1671874, -6.998972E-11, 0, False, 0, 0,-0.03768846,-0.005168636,0.08819804,0.09605222
55, directional, FreeMode, 1162.54, -6.536076E-28, 0.1671874, -1.578247E-10, 0, False, 0, 0,-0.03957999,-0.01418712,0.08584314,0.0955871
56, directional, FreeMode, 1162.56, -2.826478E-27, 0.1671874, -3.051565E-10, 0, False, 0, 0,-0.07919312,-0.0251048,0.1792245,0.197543
57, directional, FreeMode, 1162.58, -9.820226E-27, 0.1671874, -5.312081E-10, 0, False, 0, 0,-0.0341648,-0.007443312,0.09422489,0.1005036
58, directional, FreeMode, 1162.6, -2.715251E-26, 0.1671874, -8.565113E-10, 0, False, 0, 0,-0.0722619,-0.02442597,0.1980971,0.2122754
59, directional, FreeMode, 1162.62, -6.583328E-26, 0.1671874, -1.302554E-09, 0, False, 0, 0,-0.03568324,-0.01438643,0.1078357,0.1144937
60, directional, FreeMode, 1162.64, -1.37237E-25, 0.1671874, -1.891479E-09, 0, False, 0, 0,-0.06999542,-0.02025772,0.1958373,0.2089545
61, directional, FreeMode, 1162.66, -2.603253E-25, 0.1671874, -2.645827E-09, 0, False, 0, 0,-0.03464489,-0.01049209,0.09822864,0.1046863
62, directional, FreeMode, 1162.68, -4.713358E-25, 0.1671874, -3.588323E-09, 0, False, 0, 0,-0.06857581,-0.03133387,0.1866702,0.2013212
63, directional, FreeMode, 1162.7, -8.255554E-25, 0.1671874, -4.741692E-09, 0, False, 0, 0,-0.02916513,-0.009241615,0.09272654,0.09764335
64, directional, FreeMode, 1162.72, -1.398683E-24, 0.1671874, -6.128508E-09, 0, False, 0, 0,-0.05552338,-0.0185666,0.1866433,0.19561
65, directional, FreeMode, 1162.74, -2.253997E-24, 0.1671874, -7.711052E-09, 0, False, 0, 0,-0.03253248,-0.01623238,0.096868,0.1034662
66, directional, FreeMode, 1162.76, -5.001304E-12, 0.1671874, -9.50152E-09, 0, False, 0, 0,-0.03370034,-0.01922161,0.09545229,0.1030355
67, directional, FreeMode, 1162.78, -1.914799E-11, 0.1671874, -1.14537E-08, 0, False, 0, 0,-0.05211621,-0.02524771,0.174044,0.1834253
68, directional, FreeMode, 1162.8, -5.084172E-11, 0.1671874, -1.357291E-08, 0, False, 0, 0,-0.02733701,-0.02304208,0.07984746,0.08748638
69, directional, FreeMode, 1162.82, -5.696994E-11, 0.1671874, -1.583248E-08, 0, False, 0, 0,-0.05817395,-0.04374285,0.1554521,0.1716479
70, directional, FreeMode, 1162.84, -4.670405E-11, 0.1671874, -1.823421E-08, 0, False, 0, 0,-0.02762697,-0.01227849,0.07879937,0.08439995
71, directional, FreeMode, 1162.86, -2.781435E-11, 0.1671874, -2.078362E-08, 0, False, 0, 0,-0.06100166,-0.02988043,0.1450114,0.1601322
72, directional, FreeMode, 1162.88, -5.68619E-11, 0.1671874, -2.345937E-08, 0, False, 0, 0,-0.03284436,-0.02080555,0.06893846,0.07914628
73, directional, FreeMode, 1162.9, -9.07474E-11, 0.1671874, -2.623776E-08, 0, False, 0, 0,-0.02862288,-0.01885242,0.06591797,0.07429577
