Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count, RMSE Distance, Sway V X, Sway V Y, Sway V Z, Sway V Magnitude
0, torque, FreeMode, 274.14, 0, 0.1671876, 0, 0, False, 0, 0,0,0,0,0
1, torque, FreeMode, 274.16, 0, 0.1671876, 0, 0, False, 0, 0,0.01421524,-0.02197861,0.08118271,0.08529809
2, torque, FreeMode, 274.18, 0, 0.1671876, 0, 0, False, 0, 0,0.03330003,-0.04753698,0.1645008,0.1744396
3, torque, FreeMode, 274.2, 0, 0.1671876, 0, 0, False, 0, 0,0.01664666,-0.02253101,0.08032562,0.08507034
4, torque, FreeMode, 274.22, 0, 0.1671876, 0, 0, False, 0, 0,0.03061881,-0.04218869,0.1657506,0.1737546
5, torque, FreeMode, 274.24, 0, 0.1671876, 0, 0, False, 0, 0,0.01753787,-0.02039003,0.08475072,0.08891577
6, torque, FreeMode, 274.26, 0, 0.1671876, 0, 0, False, 0, 0,0.03540673,-0.03531131,0.1769263,0.1838571
7, torque, FreeMode, 274.28, 0, 0.1671876, 0, 0, False, 0, 0,0.01850482,-0.01375524,0.09375,0.09654376
8, torque, FreeMode, 274.3, 0, 0.1671876, 0, 0, False, 0, 0,0.03920861,-0.02460639,0.1913809,0.1968996
9, torque, FreeMode, 274.32, 0, 0.1671876, 0, 0, False, 0, 0,0.0134549,-0.009854944,0.09868491,0.1000843
10, torque, FreeMode, 274.34, 0, 0.1671876, 0, 0, False, 0, 0,0.01626424,-0.007299618,0.0975489,0.0991645
11, torque, FreeMode, 274.36, 0, 0.1671876, 0, 0, False, 0, 0,0.03202305,-0.009828244,0.1950203,0.1978762
12, torque, FreeMode, 274.38, 0, 0.1671876, 0, 0, False, 0, 0,0.00964095,0.0005418731,0.1015863,0.1020442
13, torque, FreeMode, 274.4, 0, 0.1671876, 0, 0, False, 0, 0,0.01622734,0.006846374,0.2038317,0.2045912
14, torque, FreeMode, 274.42, 0, 0.1671876, 0, 0, False, 0, 0,0.004567852,0.006375239,0.1022513,0.1025516
15, torque, FreeMode, 274.44, 0, 0.1671876, 0, 0, False, 0, 0,-0.001396737,0.01830459,0.2027231,0.2035526
16, torque, FreeMode, 274.46, 0, 0.1671876, 0, 0, False, 0, 0,0.0005378549,0.0135854,0.1052764,0.1061507
17, torque, FreeMode, 274.48, 0, 0.1671876, 0, 0, False, 0, 0,-0.002310204,0.0134542,0.1093854,0.110234
18, torque, FreeMode, 274.5, 0, 0.1671876, 0, 0, False, 0, 0,-0.003675507,0.02886219,0.2170083,0.21895
19, torque, FreeMode, 274.52, 0, 0.1671876, 0, 0, False, 0, 0,-0.008521812,0.01214814,0.1022334,0.1033047
20, torque, FreeMode, 274.54, 0, 0.1671876, 0, 0, False, 0, 0,-0.02707393,0.02502144,0.2030625,0.2063818
21, torque, FreeMode, 274.56, 0, 0.1671876, 0, 0, False, 0, 0,-0.0151315,0.01165315,0.09867605,0.1005073
22, torque, FreeMode, 274.58, 0, 0.1671876, 0, 0, False, 0, 0,-0.04519211,0.02411737,0.2062232,0.2124899
23, torque, FreeMode, 274.6, 0, 0.1671876, 0, 0, False, 0, 0,-0.02748257,0.01390411,0.1039205,0.1083886
24, torque, FreeMode, 274.62, 0, 0.1671876, 0, 0, False, 0, 0,-0.05102241,0.01749165,0.202302,0.2093689
25, torque, FreeMode, 274.64, 0, 0.1671876, 0, 0, False, 0, 0,-0.02798411,0.006494513,0.1030177,0.1069482
