Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count, RMSE Distance, Sway V X, Sway V Y, Sway V Z, Sway V Magnitude
0, directional, FreeMode, 514.32, 0, 0.1671875, 0, 0, False, 0, 0,0,0,0,0
1, directional, FreeMode, 514.34, 0, 0.1671875, 0, 0, False, 0, 0,-0.02748038,-0.01196961,0.02148214,0.03687716
2, directional, FreeMode, 514.36, 0, 0.1671875, 0, 0, False, 0, 0,-0.03075055,-0.009104659,0.01824802,0.03689826
3, directional, FreeMode, 514.38, 0, 0.1671875, 0, 0, False, 0, 0,-0.0633277,0.002721275,0.03004269,0.07014532
4, directional, FreeMode, 514.4, 0, 0.1671875, 0, 0, False, 0, 0,-0.02620592,-0.01775134,0.01588258,0.03541351
5, directional, FreeMode, 514.42, 0, 0.1671875, 0, 0, False, 0, 0,-0.03559838,0.009277344,0.00981624,0.03807456
6, directional, FreeMode, 514.44, 0, 0.1671875, 0, 0, False, 0, 0,-0.06929872,0.01343369,-0.01110468,0.07145692
7, directional, FreeMode, 514.46, 0, 0.1671875, 0, 0, False, 0, 0,-0.03221313,-0.007704989,0.004748423,0.03346042
8, directional, FreeMode, 514.48, 0, 0.1671875, 0, 0, False, 0, 0,-0.06549817,0.002090082,-0.008739937,0.06611176
9, directional, FreeMode, 514.5, 0, 0.1671875, 0, 0, False, 0, 0,-0.02771368,-0.0124214,-0.004622296,0.03071978
10, directional, FreeMode, 514.52, 0, 0.1671875, 0, 0, False, 0, 0,-0.05639648,-0.006241638,-0.04282988,0.07109093
11, directional, FreeMode, 514.54, 0, 0.1671875, 0, 0, False, 0, 0,-0.02307129,0.005120998,-0.02507652,0.03445781
12, directional, FreeMode, 514.56, 0, 0.1671875, 0, 0, False, 0, 0,-0.03211491,-0.005252001,-0.07205424,0.07906178
13, directional, FreeMode, 514.58, 0, 0.1671875, 0, 0, False, 0, 0,-0.01652415,-0.01327887,-0.04298066,0.04792403
14, directional, FreeMode, 514.6, 0, 0.1671875, 0, 0, False, 0, 0,-0.02109017,-0.01557722,-0.04926489,0.05580748
15, directional, FreeMode, 514.62, 0, 0.1671875, 0, 0, False, 0, 0,-0.03143162,-0.01630978,-0.09686056,0.1031306
16, directional, FreeMode, 514.64, 0, 0.1671875, 0, 0, False, 0, 0,-0.01149992,-0.01267745,-0.05700609,0.05952025
17, directional, FreeMode, 514.66, 0, 0.1671875, 0, 0, False, 0, 0,-0.01445581,-0.03238484,-0.138206,0.1426837
18, directional, FreeMode, 514.68, 0, 0.1671875, 0, 0, False, 0, 0,-0.009441096,-0.008789063,-0.07145803,0.07261289
19, directional, FreeMode, 514.7, 0, 0.1671875, 0, 0, False, 0, 0,-0.01362796,-0.003239329,-0.1569616,0.1575854
20, directional, FreeMode, 514.72, 0, 0.1671875, 0, 0, False, 0, 0,-0.003677788,0.0009437118,-0.08570008,0.08578415
21, directional, FreeMode, 514.74, 0, 0.1671875, 0, 0, False, 0, 0,-0.001877948,0.007526677,-0.09165099,0.0919787
22, directional, FreeMode, 514.76, 0, 0.1671875, 0, 0, False, 0, 0,-0.0116205,0.01377906,-0.1941856,0.1950204
23, directional, FreeMode, 514.78, 0, 0.1671875, 0, 0, False, 0, 0,-0.004732744,0.02847262,-0.1067007,0.1105356
24, directional, FreeMode, 514.8, 0, 0.1671875, 0, 0, False, 0, 0,-0.006339469,0.08396651,-0.2278368,0.2428995
25, directional, FreeMode, 514.82, 0, 0.1671875, 0, 0, False, 0, 0,-0.0149097,0.02870141,-0.121515,0.1257457
26, directional, FreeMode, 514.84, 0, 0.1671875, 0, 0, False, 0, 0,-0.02345318,0.0461702,-0.251868,0.2571366
27, directional, FreeMode, 514.86, 0, 0.1671875, 0, 0, False, 0, 0,-0.01044148,0.0217047,-0.1361389,0.1382531
28, directional, FreeMode, 514.88, 0, 0.1671875, 0, 0, False, 0, 0,-0.01906083,0.03484065,-0.278979,0.2817916
29, directional, FreeMode, 514.9, 0, 0.1671875, 0, 0, False, 0, 0,-0.004582676,0.009275851,-0.1458617,0.1462282
30, directional, FreeMode, 514.92, 0, 0.1671875, 0, 0, False, 0, 0,-0.004740645,0.002780821,-0.1455867,0.1456904
31, directional, FreeMode, 514.94, 0, 0.1671875, 0, 0, False, 0, 0,-0.00808567,-0.003155964,-0.2885295,0.2886601
32, directional, FreeMode, 514.96, 0, 0.1671875, 0, 0, False, 0, 0,-0.005474126,0.001917288,-0.1434024,0.1435196
33, directional, FreeMode, 514.98, 0, 0.1671875, 0, 0, False, 0, 0,-0.01028963,0.008384147,-0.2870022,0.287309
34, directional, FreeMode, 515, 0, 0.1671875, 0, 0, False, 0, 0,-0.004052883,0.006693026,-0.1356209,0.1358464
35, directional, FreeMode, 515.02, 0, 0.1671875, 0, 0, False, 0, 0,0.002058397,0.02841289,-0.2711686,0.2726608
36, directional, FreeMode, 515.04, 0, 0.1671875, 0, 0, False, 0, 0,0.002795708,0.01676234,-0.1328519,0.1339344
37, directional, FreeMode, 515.06, 0, 0.1671875, 0, 0, False, 0, 0,0.001308534,0.007348037,-0.1319186,0.1321295
38, directional, FreeMode, 515.08, 0, 0.1671875, 0, 0, False, 0, 0,0.001567561,0.004567216,-0.2706567,0.2706997
39, directional, FreeMode, 515.1, 0, 0.1671875, 0, 0, False, 0, 0,0.000667467,0.004814125,-0.1336995,0.1337878
40, directional, FreeMode, 515.12, 0, 0.1671875, 0, 0, False, 0, 0,-0.00194717,0.01129597,-0.2535698,0.2538288
41, directional, FreeMode, 515.14, 0, 0.1671875, 0, 0, False, 0, 0,0.0002925222,0.01349324,-0.1227276,0.1234674
42, directional, FreeMode, 515.16, 0, 0.1671875, 0, 0, False, 0, 0,-0.0002956565,0.02131116,-0.2357122,0.2366738
43, directional, FreeMode, 515.18, 0, 0.1671875, 0, 0, False, 0, 0,-0.00666102,-0.001417207,-0.1274146,0.1275965
44, directional, FreeMode, 515.2, 0, 0.1671875, 0, 0, False, 0, 0,-0.004671422,-0.00304878,-0.1221849,0.1223122
45, directional, FreeMode, 515.22, 0, 0.1671875, 0, 0, False, 0, 0,-0.01242877,-0.005190415,-0.2339987,0.234386
46, directional, FreeMode, 515.24, 0, 0.1671875, 0, 0, False, 0, 0,-0.005522193,0.001292159,-0.1050713,0.1052242
47, directional, FreeMode, 515.26, 0, 0.1671875, 0, 0, False, 0, 0,-0.008132562,0.01305855,-0.2110893,0.2116492
48, directional, FreeMode, 515.28, 0, 0.1671875, 0, 0, False, 0, 0,0.0009788023,0.008618836,-0.1005613,0.1009347
49, directional, FreeMode, 515.3, 0, 0.1671875, 0, 0, False, 0, 0,-0.01576717,0.001083746,-0.1887706,0.189431
50, directional, FreeMode, 515.32, 0, 0.1671875, 0, 0, False, 0, 0,-0.009485756,0.001929306,-0.0832125,0.08377364
51, directional, FreeMode, 515.34, 0, 0.1671875, 0, 0, False, 0, 0,-0.0254623,0.0004181002,-0.1460633,0.1482666
52, directional, FreeMode, 515.36, 0, 0.1671875, 0, 0, False, 0, 0,-0.0122837,-0.00458508,-0.07123696,0.07243353
53, directional, FreeMode, 515.38, 0, 0.1671875, 0, 0, False, 0, 0,-0.0140031,-0.002864186,-0.06538428,0.06692828
54, directional, FreeMode, 515.4, 0, 0.1671875, 0, 0, False, 0, 0,-0.02110809,-0.02262519,-0.09791383,0.1026867
55, directional, FreeMode, 515.42, 0, 0.1671875, 0, 0, False, 0, 0,-0.01075856,-0.02048995,-0.04349202,0.04926601
56, directional, FreeMode, 515.44, 0, 0.1671875, 0, 0, False, 0, 0,-0.02207091,-0.03271484,-0.06409585,0.0752706
57, directional, FreeMode, 515.46, 0, 0.1671875, 0, 0, False, 0, 0,-0.01334038,-0.02501434,-0.02837183,0.04010789
58, directional, FreeMode, 515.48, 0, 0.1671875, 0, 0, False, 0, 0,-0.02621981,-0.04550543,-0.03412014,0.06262912
59, directional, FreeMode, 515.5, 0, 0.1671875, 0, 0, False, 0, 0,-0.009814006,-0.0202339,-0.009956918,0.02459402
