Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count, RMSE Distance, Sway V X, Sway V Y, Sway V Z, Sway V Magnitude
0, torque, FreeMode, 133.94, 0, 0.1671875, 0, 0, False, 0, 0,0,0,0,0
1, torque, FreeMode, 133.96, 0, 0.1671875, 0, 0, False, 0, 0,-0.005815765,-0.04072042,0.0001073473,0.04113377
2, torque, FreeMode, 133.98, 0, 0.1671875, 0, 0, False, 0, 0,0.009220359,-0.09097302,-0.02976728,0.09616234
3, torque, FreeMode, 134, 0, 0.1671875, 0, 0, False, 0, 0,0.005829207,-0.04125548,-0.006726437,0.04220473
4, torque, FreeMode, 134.02, 0, 0.1671875, 0, 0, False, 0, 0,-0.003220198,-0.04388944,-0.01869659,0.04781439
5, torque, FreeMode, 134.04, 0, 0.1671875, 0, 0, False, 0, 0,-0.02947355,-0.09799618,-0.003146619,0.1023809
6, torque, FreeMode, 134.06, 0, 0.1671875, 0, 0, False, 0, 0,-0.00632084,-0.05440742,-0.00873096,0.05546485
7, torque, FreeMode, 134.08, 0, 0.1671875, 0, 0, False, 0, 0,-0.02611467,-0.08971563,-0.01801501,0.09515992
8, torque, FreeMode, 134.1, 0, 0.1671875, 0, 0, False, 0, 0,-0.01639395,-0.0414301,-0.007182207,0.04513091
9, torque, FreeMode, 134.12, 0, 0.1671875, 0, 0, False, 0, 0,-0.02550459,-0.09361294,-0.0177055,0.09862734
10, torque, FreeMode, 134.14, 0, 0.1671875, 0, 0, False, 0, 0,-0.01549315,-0.04793574,-0.01905638,0.0538611
11, torque, FreeMode, 134.16, 0, 0.1671875, 0, 0, False, 0, 0,-0.04347156,-0.08304729,-0.01818373,0.09548444
12, torque, FreeMode, 134.18, 0, 0.1671875, 0, 0, False, 0, 0,-0.01930016,-0.03286617,-0.01538869,0.04110344
13, torque, FreeMode, 134.2, 0, 0.1671875, 0, 0, False, 0, 0,-0.0272052,-0.02726926,-0.0100215,0.03980158
14, torque, FreeMode, 134.22, 0, 0.1671875, 0, 0, False, 0, 0,-0.04884936,-0.03891948,-0.03150699,0.06995481
15, torque, FreeMode, 134.24, 0, 0.1671875, 0, 0, False, 0, 0,-0.02878362,-0.01455749,-0.01818084,0.03702648
16, torque, FreeMode, 134.26, 0, 0.1671875, 0, 0, False, 0, 0,-0.07238295,-0.01648312,-0.009258348,0.07481111
17, torque, FreeMode, 134.28, 0, 0.1671875, 0, 0, False, 0, 0,-0.03550039,-0.009933972,-0.007614729,0.03764234
18, torque, FreeMode, 134.3, 0, 0.1671875, 0, 0, False, 0, 0,-0.06525538,-0.005470538,-0.01412328,0.06698999
