Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count, RMSE Distance, Sway V X, Sway V Y, Sway V Z, Sway V Magnitude
0, directional, FreeMode, 582.28, 0, 0.1671876, 0, 0, False, 0, 0,0,0,0,0
1, directional, FreeMode, 582.3, 0, 0.1671876, 0, 0, False, 0, 0,0.09286574,0.08970084,-0.2804751,0.3087662
2, directional, FreeMode, 582.32, 0, 0.1671876, 0, 0, False, 0, 0,0.2156335,0.1770317,-0.5482446,0.6151505
3, directional, FreeMode, 582.34, 0, 0.1671876, 0, 0, False, 0, 0,0.1282455,0.08708429,-0.282081,0.3218699
4, directional, FreeMode, 582.36, 0, 0.1671876, 0, 0, False, 0, 0,0.2516874,0.1565001,-0.5152677,0.5944238
5, directional, FreeMode, 582.38, 0, 0.1671876, 0, 0, False, 0, 0,0.1355025,0.08087604,-0.245339,0.2917072
6, directional, FreeMode, 582.4, 0, 0.1671876, 0, 0, False, 0, 0,0.253297,0.1329081,-0.4588724,0.5407289
7, directional, FreeMode, 582.42, 0, 0.1671876, 0, 0, False, 0, 0,0.1204655,0.0690263,-0.2267426,0.2658736
8, directional, FreeMode, 582.44, 0, 0.1671876, 0, 0, False, 0, 0,0.1146218,0.05590225,-0.2155777,0.2504734
9, directional, FreeMode, 582.46, 0, 0.1671876, 0, 0, False, 0, 0,0.2082632,0.1163513,-0.406698,0.4715023
10, directional, FreeMode, 582.48, 0, 0.1671876, 0, 0, False, 0, 0,0.08165164,0.06410775,-0.189704,0.2162508
11, directional, FreeMode, 582.5, 0, 0.1671876, 0, 0, False, 0, 0,0.1627562,0.08774772,-0.3906711,0.4322189
12, directional, FreeMode, 582.52, 0, 0.1671876, 0, 0, False, 0, 0,0.07772855,0.04464115,-0.1893613,0.2095048
13, directional, FreeMode, 582.54, 0, 0.1671876, 0, 0, False, 0, 0,0.1186724,0.08114997,-0.3508189,0.3791337
14, directional, FreeMode, 582.56, 0, 0.1671876, 0, 0, False, 0, 0,0.05073585,0.03802639,-0.171083,0.1824542
15, directional, FreeMode, 582.58, 0, 0.1671876, 0, 0, False, 0, 0,0.04595947,0.03614472,-0.1757232,0.1851954
16, directional, FreeMode, 582.6, 0, 0.1671876, 0, 0, False, 0, 0,0.08527003,0.09420393,-0.3376174,0.3607365
17, directional, FreeMode, 582.62, 0, 0.1671876, 0, 0, False, 0, 0,0.0446822,0.02483089,-0.1683521,0.1759417
18, directional, FreeMode, 582.64, 0, 0.1671876, 0, 0, False, 0, 0,0.07604682,0.04912586,-0.3181458,0.3307766
19, directional, FreeMode, 582.66, 0, 0.1671876, 0, 0, False, 0, 0,0.04122169,0.02951787,-0.1496515,0.1580066
20, directional, FreeMode, 582.68, 0, 0.1671876, 0, 0, False, 0, 0,0.07459538,0.04114663,-0.3032137,0.3149541
21, directional, FreeMode, 582.7, 0, 0.1671876, 0, 0, False, 0, 0,0.03286966,0.01573218,-0.1470985,0.1515449
22, directional, FreeMode, 582.72, 0, 0.1671876, 0, 0, False, 0, 0,0.03844879,0.02371225,-0.1304181,0.1380198
23, directional, FreeMode, 582.74, 0, 0.1671876, 0, 0, False, 0, 0,0.03032405,0.03259575,-0.2031644,0.2079851
24, directional, FreeMode, 582.76, 0, 0.1671876, 0, 0, False, 0, 0,0.006611894,0.01637529,-0.08604394,0.0878375
25, directional, FreeMode, 582.78, 0, 0.1671876, 0, 0, False, 0, 0,0.01808208,0.02956565,-0.1578044,0.1615652
26, directional, FreeMode, 582.8, 0, 0.1671876, 0, 0, False, 0, 0,0.01346495,0.03864567,-0.06719524,0.07867651
27, directional, FreeMode, 582.82, 0, 0.1671876, 0, 0, False, 0, 0,0.02943532,0.06253573,-0.1358263,0.1524006
28, directional, FreeMode, 582.84, 0, 0.1671876, 0, 0, False, 0, 0,0.01976643,0.02516963,-0.07526474,0.08178633
29, directional, FreeMode, 582.86, 0, 0.1671876, 0, 0, False, 0, 0,0.03691808,0.08016149,-0.1614789,0.1840224
30, directional, FreeMode, 582.88, 0, 0.1671876, 0, 0, False, 0, 0,0.02812679,0.03699028,-0.08683331,0.09848563
31, directional, FreeMode, 582.9, 0, 0.1671876, 0, 0, False, 0, 0,0.03454478,0.03399752,-0.08799142,0.1004573
