Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count, RMSE Distance, Sway V X, Sway V Y, Sway V Z, Sway V Magnitude
0, torque, FreeMode, 45.74, 0, 0.1671876, 0, 0, False, 0, 0,0,0,0,0
1, torque, FreeMode, 45.76, 0, 0.1671876, 0, 0, False, 0, 0,0.03679683,0.0005960328,-0.0193137,0.04156177
2, torque, FreeMode, 45.78, 0, 0.1671876, 0, 0, False, 0, 0,0.01671872,0.000691398,-0.006533265,0.01796322
3, torque, FreeMode, 45.8, 0, 0.1671876, 0, 0, False, 0, 0,0.03635875,0.007903395,-0.01920865,0.04187355
4, torque, FreeMode, 45.82, 0, 0.1671876, 0, 0, False, 0, 0,0.01700482,0.001156304,-0.0118618,0.02076543
5, torque, FreeMode, 45.84, 0, 0.1671876, 0, 0, False, 0, 0,0.01655109,-0.001203986,-0.009687023,0.01921527
6, torque, FreeMode, 45.86, 0, 0.1671876, 0, 0, False, 0, 0,0.03322287,0.01324385,-0.01514072,0.03883813
7, torque, FreeMode, 45.88, 0, 0.1671876, 0, 0, False, 0, 0,0.01266662,0.001323445,-0.002262376,0.01293496
8, torque, FreeMode, 45.9, 0, 0.1671876, 0, 0, False, 0, 0,0.01538435,0.002634465,-0.009438924,0.01824039
9, torque, FreeMode, 45.92, 0, 0.1671876, 0, 0, False, 0, 0,0.02631634,0.007009346,-0.01211213,0.02980578
10, torque, FreeMode, 45.94, 0, 0.1671876, 0, 0, False, 0, 0,0.0119892,0.001585447,-0.004316023,0.01284066
11, torque, FreeMode, 45.96, 0, 0.1671876, 0, 0, False, 0, 0,0.02693323,0.002932481,-0.01127396,0.02934452
12, torque, FreeMode, 45.98, 0, 0.1671876, 0, 0, False, 0, 0,0.01360519,0.00127551,-0.00427579,0.01431819
13, torque, FreeMode, 46, 0, 0.1671876, 0, 0, False, 0, 0,0.02259262,0.009047778,-0.01090069,0.02666672
14, torque, FreeMode, 46.02, 0, 0.1671876, 0, 0, False, 0, 0,0.00826325,0.00290864,-0.006423743,0.01086306
15, torque, FreeMode, 46.04, 0, 0.1671876, 0, 0, False, 0, 0,0.01260403,0.004173025,-0.007003976,0.01501104
16, torque, FreeMode, 46.06, 0, 0.1671876, 0, 0, False, 0, 0,0.02120908,0.00798684,-0.004953033,0.023198
17, torque, FreeMode, 46.08, 0, 0.1671876, 0, 0, False, 0, 0,0.01003347,0.004088785,-0.00227759,0.01107141
18, torque, FreeMode, 46.1, 0, 0.1671876, 0, 0, False, 0, 0,0.01892032,0.01587831,-0.002103251,0.02478957
19, torque, FreeMode, 46.12, 0, 0.1671876, 0, 0, False, 0, 0,0.008772857,0.01149151,0.0001832801,0.01445861
20, torque, FreeMode, 46.14, 0, 0.1671876, 0, 0, False, 0, 0,0.01920418,0.01325577,-0.0004514949,0.02333923
21, torque, FreeMode, 46.16, 0, 0.1671876, 0, 0, False, 0, 0,0.01042685,0.004780183,-0.001566821,0.01157688
22, torque, FreeMode, 46.18, 0, 0.1671876, 0, 0, False, 0, 0,0.02103698,0.01132462,-0.001508708,0.02393904
23, torque, FreeMode, 46.2, 0, 0.1671876, 0, 0, False, 0, 0,0.009740666,0.006747091,-0.001551175,0.01195031
24, torque, FreeMode, 46.22, 0, 0.1671876, 0, 0, False, 0, 0,0.008917606,0.006664918,-0.003798198,0.01176313
25, torque, FreeMode, 46.24, 0, 0.1671876, 0, 0, False, 0, 0,0.01640357,0.00853519,-0.001464006,0.01854912
26, torque, FreeMode, 46.26, 0, 0.1671876, 0, 0, False, 0, 0,0.007293207,0.00218148,0.001294136,0.007721691
27, torque, FreeMode, 46.28, 0, 0.1671876, 0, 0, False, 0, 0,0.009758547,4.768262E-05,0.004657996,0.01081335
28, torque, FreeMode, 46.3, 0, 0.1671876, 0, 0, False, 0, 0,0.003117997,-0.002825195,0.00308894,0.005219692
29, torque, FreeMode, 46.32, 0, 0.1671876, 0, 0, False, 0, 0,-0.009939592,-0.01507963,0.009651261,0.02047773
30, torque, FreeMode, 46.34, 0, 0.1671876, 0, 0, False, 0, 0,-0.003804179,-0.007915315,0.005455935,0.01033882
31, torque, FreeMode, 46.36, 0, 0.1671876, 0, 0, False, 0, 0,-0.02010493,-0.02447311,0.01420644,0.03471259
32, torque, FreeMode, 46.38, 0, 0.1671876, 0, 0, False, 0, 0,-0.08590322,-0.1206601,0.0547419,0.1579078
33, torque, FreeMode, 46.4, 0, 0.1671876, 0, 0, False, 0, 0,-0.04476728,-0.1001931,0.03116879,0.1140801
34, torque, FreeMode, 46.42, 0, 0.1671876, 0, 0, False, 0, 0,-0.1040047,-0.2403204,0.06653067,0.27018
35, torque, FreeMode, 46.44, 0, 0.1671876, 0, 0, False, 0, 0,-0.07033262,-0.1321047,0.03681248,0.1541217
36, torque, FreeMode, 46.46, 0, 0.1671876, 0, 0, False, 0, 0,-0.1281396,-0.2883607,0.03644592,0.3176475
37, torque, FreeMode, 46.48, 0, 0.1671876, 0, 0, False, 0, 0,-0.05533271,-0.180288,0.02674548,0.1904752
38, torque, FreeMode, 46.5, 0, 0.1671876, 0, 0, False, 0, 0,-0.1014455,-0.3310247,0.05909442,0.3512274
39, torque, FreeMode, 46.52, 0, 0.1671876, 0, 0, False, 0, 0,-0.05077082,-0.1589143,0.03468687,0.1703954
40, torque, FreeMode, 46.54, 0, 0.1671876, 0, 0, False, 0, 0,-0.0681619,-0.1312238,0.03259655,0.1514208
41, torque, FreeMode, 46.56, 0, 0.1671876, 0, 0, False, 0, 0,-0.1339375,-0.2538146,0.04500867,0.2904942
42, torque, FreeMode, 46.58, 0, 0.1671876, 0, 0, False, 0, 0,-0.06216771,-0.07284713,0.02949692,0.1002078
43, torque, FreeMode, 46.6, 0, 0.1671876, 0, 0, False, 0, 0,-0.114664,-0.1056885,0.06094287,0.1674274
44, torque, FreeMode, 46.62, 0, 0.1671876, 0, 0, False, 0, 0,-0.04315129,-0.06956895,0.02209419,0.08479401
45, torque, FreeMode, 46.64, 0, 0.1671876, 0, 0, False, 0, 0,-0.09198648,-0.07003386,0.05829424,0.1294777
46, torque, FreeMode, 46.66, 0, 0.1671876, 0, 0, False, 0, 0,-0.04519419,-0.0392428,0.02517866,0.0649344
47, torque, FreeMode, 46.68, 0, 0.1671876, 0, 0, False, 0, 0,-0.04443872,-0.02747711,0.02518984,0.05800275
48, torque, FreeMode, 46.7, 0, 0.1671876, 0, 0, False, 0, 0,-0.0832181,-0.05513303,0.04036409,0.1076762
49, torque, FreeMode, 46.72, 0, 0.1671876, 0, 0, False, 0, 0,-0.04356415,-0.02223627,0.02177649,0.05353973
50, torque, FreeMode, 46.74, 0, 0.1671876, 0, 0, False, 0, 0,-0.09447865,-0.03859909,0.04626258,0.112055
51, torque, FreeMode, 46.76, 0, 0.1671876, 0, 0, False, 0, 0,-0.04993712,-0.01879887,0.01676566,0.05593032
52, torque, FreeMode, 46.78, 0, 0.1671876, 0, 0, False, 0, 0,-0.09507766,-0.07492132,0.03757242,0.1267464
53, torque, FreeMode, 46.8, 0, 0.1671876, 0, 0, False, 0, 0,-0.04508914,-0.03151821,0.01654215,0.05744624
54, torque, FreeMode, 46.82, 0, 0.1671876, 0, 0, False, 0, 0,-0.0733478,-0.04734885,0.03333686,0.09345137
55, torque, FreeMode, 46.84, 0, 0.1671876, 0, 0, False, 0, 0,-0.03718798,-0.03329439,0.01735573,0.05284585
56, torque, FreeMode, 46.86, 0, 0.1671876, 0, 0, False, 0, 0,-0.07628028,-0.06240464,0.02390241,0.1014118
57, torque, FreeMode, 46.88, 0, 0.1671876, 0, 0, False, 0, 0,-0.03555641,-0.02851965,0.01563767,0.04818885
58, torque, FreeMode, 46.9, 0, 0.1671876, 0, 0, False, 0, 0,-0.03384647,-0.0174876,0.01237141,0.0400556
59, torque, FreeMode, 46.92, 0, 0.1671876, 0, 0, False, 0, 0,-0.0444633,-0.04395146,0.01689529,0.06476239
60, torque, FreeMode, 46.94, 0, 0.1671876, 0, 0, False, 0, 0,-0.001287431,-0.0211234,0.006629375,0.02217666
61, torque, FreeMode, 46.96, 0, 0.1671876, 0, 0, False, 0, 0,-0.03096986,-0.01126502,0.0141908,0.03588052
62, torque, FreeMode, 46.98, 0, 0.1671876, 0, 0, False, 0, 0,-0.01525471,0.001120542,0.007662002,0.01710755
63, torque, FreeMode, 47, 0, 0.1671876, 0, 0, False, 0, 0,-0.008401828,0.03244803,0.008618634,0.03460847
64, torque, FreeMode, 47.02, 0, 0.1671876, 0, 0, False, 0, 0,0.009745137,0.01000143,0.001130972,0.01400983
65, torque, FreeMode, 47.04, 0, 0.1671876, 0, 0, False, 0, 0,-0.003547817,0.01763401,0.00632884,0.01906829
66, torque, FreeMode, 47.06, 0, 0.1671876, 0, 0, False, 0, 0,0.01691541,0.05653967,-0.003348214,0.05911071
67, torque, FreeMode, 47.08, 0, 0.1671876, 0, 0, False, 0, 0,0.005306182,0.0312798,-0.002662031,0.03183815
68, torque, FreeMode, 47.1, 0, 0.1671876, 0, 0, False, 0, 0,0.03217012,0.05510919,-0.002125602,0.06384715
69, torque, FreeMode, 47.12, 0, 0.1671876, 0, 0, False, 0, 0,0.02713886,0.03042151,-0.004716109,0.04103935
70, torque, FreeMode, 47.14, 0, 0.1671876, 0, 0, False, 0, 0,0.04260815,0.090144,-0.007492132,0.09998763
71, torque, FreeMode, 47.16, 0, 0.1671876, 0, 0, False, 0, 0,0.02447907,0.04808793,-0.008185021,0.05457718
72, torque, FreeMode, 47.18, 0, 0.1671876, 0, 0, False, 0, 0,0.0569934,0.1146767,-0.02412368,0.130311
73, torque, FreeMode, 47.2, 0, 0.1671876, 0, 0, False, 0, 0,0.03303512,0.06645766,-0.00327222,0.07428759
